,https://roic.ai/company/ABM,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,- -,-100000,-1500000,-500000,-2500000,-1132000,-1969000,516000,-4069000,-1768000,-331000,-2217000,-3223000,-4081000,3081000,-229000,-726000,-1503000,2416000,189000,-1059000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17094000,3700000,44300000,15400000,74400000,-1500000,85800000,-53500000,265700000
81,Other Working Capital,- -,- -,- -,- -,- -,66000000,61500000,75200000,76600000,90165000,95627000,119957000,137757000,166484000,184279000,224199000,229542000,210695000,243957000,231660000,246379000,312456000,353146000,273980000,278303000,274905000,290561000,293517000,356108000,400800000,379000000,394500000,477700000,378500000,373000000,455000000,-28400000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-1200000,-1300000,-27300000,300000,-13825000,-17815000,-39416000,-30746000,-45668000,-36318000,-83345000,13437000,69194000,-73150000,10109000,-50335000,-56816000,-59926000,45808000,25328000,31101000,-10246000,14169000,-86326000,-75392000,11500000,-57000000,-158700000,216500000,6200000,295100000,3300000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,3000000,6000000,4900000,17200000,21856000,13839000,16729000,27747000,32061000,35305000,18925000,65796000,110919000,60142000,33690000,37451000,130367000,54295000,68307000,140871000,149864000,159990000,150612000,135313000,120700000,145300000,83500000,5600000,320900000,262700000,457500000,314300000
84,CAPEX,- -,- -,- -,- -,- -,-6100000,-5600000,-5200000,-6200000,-8539000,-10225000,-10751000,-13272000,-11715000,-19451000,-18717000,-16922000,-59939000,-11621000,-11497000,-17738000,-14065000,-22046000,-34063000,-18582000,-23942000,-22124000,-28052000,-32593000,-37400000,-26500000,-44000000,-57200000,-50900000,-59600000,-38000000,-34300000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7148000,-12499000,-13044000,-28606000,- -,-10980000,-14191000,-23401000,- -,-40574000,-54152000,-26884000,-10002000,-10311000,-422883000,-21050000,-65430000,-291200000,-5963000,-199509000,-48200000,-19300000,-96000000,-818500000,-2300000,- -,- -,-710200000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-400000,-400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2505000,- -,-534750000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,495000,- -,370000,- -,- -,3493000,4100000,- -,- -,509750000,- -,- -,- -,5000000,- -,5000000,- -,- -,5000000,- -,2900000,- -,5000000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,1800000,10800000,-1800000,-16300000,450000,1443000,-4880000,3701000,-9513000,-963000,1164000,13302000,621000,114756000,796000,34025000,2253000,2563000,35424000,2165000,1512000,912000,4177000,1214000,3600000,136200000,200000,3900000,2200000,1300000,5500000,4500000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-4300000,4800000,-7400000,-22500000,-15237000,-21281000,-28675000,-38177000,-20733000,-31394000,-31374000,-27021000,-59318000,66054000,-60753000,-13102000,-21814000,-54794000,-421522000,-37467000,-87860000,-307412000,-29838000,-225888000,-82000000,90400000,-134800000,-871800000,-48100000,-58300000,-27500000,-740000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-713596000,-487935000,-726000000,-858000000,-906130000,-1089600000,-1122500000,-943200000,-958100000,-1429700000,-1899600000,-1145000000,-214900000
91,Common Stock Issued,- -,- -,- -,- -,- -,2600000,2800000,3400000,3800000,4092000,5297000,8022000,8778000,15151000,17178000,16381000,26688000,17955000,14324000,10034000,21137000,16193000,26495000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5448000,-8390000,-6400000,-23632000,-30354000,-11073000,-31318000,-25961000,- -,- -,- -,- -,- -,- -,- -,-20000000,-31400000,-46600000,-7900000,- -,- -,-5100000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-3700000,-3900000,-4100000,-4400000,-5118000,-6061000,-7235000,-8597000,-10708000,-13055000,-14539000,-16202000,-17730000,-18635000,-19476000,-20744000,-21577000,-23805000,-25271000,-26727000,-28152000,-29744000,-31309000,-32873000,-34600000,-36000000,-36900000,-39500000,-46000000,-47700000,-49300000,-51000000
94,Other Financing Activites,- -,- -,- -,- -,- -,1500000,-8900000,3100000,5200000,87000,2678000,10886000,10465000,-15710000,-2291000,18858000,-41809000,-11819000,- -,- -,- -,- -,- -,243004000,644331000,459376000,890187000,785527000,1018758000,1109600000,973000000,1079300000,1879500000,1179900000,1762500000,1105300000,358300000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,400000,-10000000,2400000,4600000,-939000,1914000,11673000,10646000,-11267000,-3616000,12310000,-37723000,-35226000,-34665000,-20515000,-30925000,-31345000,2690000,217733000,-95992000,-56711000,134443000,-103782000,79755000,-34600000,-216900000,52600000,874000000,-295800000,-184800000,-94100000,92400000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3300000,1500000,-700000,-200000,-200000,1900000
97,Net Change In Cash,- -,- -,- -,- -,- -,400000,-10000000,2400000,4600000,5680000,-5528000,-273000,216000,61000,295000,-139000,1052000,16375000,91531000,-47578000,-6576000,77208000,2191000,-135482000,7412000,5293000,-12979000,16992000,-10820000,4100000,18800000,500000,9300000,-23700000,19400000,335700000,-331400000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,7368000,1840000,1567000,1783000,1844000,2139000,2000000,3052000,19427000,110947000,63369000,56793000,134001000,136192000,710000,34153000,39446000,26467000,43459000,32639000,36700000,55500000,56000000,62800000,39100000,58500000,394200000,62800000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,2500000,1600000,2500000,2400000,1688000,7368000,1840000,1567000,1783000,1844000,2139000,2000000,3052000,19416000,110947000,63369000,56793000,134001000,136192000,26741000,34153000,39446000,26467000,43459000,32600000,36700000,55500000,53500000,62800000,39100000,58500000,394200000
100,Free Cash Flow,- -,- -,- -,- -,- -,-3100000,400000,-300000,11000000,13317000,3614000,5978000,14475000,20346000,15854000,208000,48874000,50980000,48521000,22193000,19713000,116302000,32249000,34244000,122289000,125922000,137866000,122560000,102720000,83300000,118800000,39500000,-51600000,270000000,203100000,419500000,280000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/771497/000091205795000209/0000912057-95-000209-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/771497/000095014901501984/0000950149-01-501984-index.html,https://www.sec.gov/Archives/edgar/data/771497/000095014902002436/f86502e10vk.htm,https://www.sec.gov/Archives/edgar/data/771497/000095014904000137/f95384e10vk.htm,https://www.sec.gov/Archives/edgar/data/771497/000095013405000777/f04468e10vk.htm,https://www.sec.gov/Archives/edgar/data/771497/000095013406006158/f16287e10vk.htm,https://www.sec.gov/Archives/edgar/data/771497/000095013406023656/f25881e10vk.htm,https://www.sec.gov/Archives/edgar/data/771497/000095013407026080/0000950134-07-026080-index.html,https://www.sec.gov/Archives/edgar/data/771497/000095012308018152/0000950123-08-018152-index.html,https://www.sec.gov/Archives/edgar/data/771497/000095012309072792/0000950123-09-072792-index.html,https://www.sec.gov/Archives/edgar/data/771497/000095012310116105/0000950123-10-116105-index.html,https://www.sec.gov/Archives/edgar/data/771497/000119312511351704/0001193125-11-351704-index.html,https://www.sec.gov/Archives/edgar/data/771497/000119312512509900/0001193125-12-509900-index.html,https://www.sec.gov/Archives/edgar/data/771497/000119312513477634/0001193125-13-477634-index.html,https://www.sec.gov/Archives/edgar/data/771497/000144530514005592/0001445305-14-005592-index.html,https://www.sec.gov/Archives/edgar/data/771497/000162828015009602/0001628280-15-009602-index.html,https://www.sec.gov/Archives/edgar/data/771497/000162828016022122/0001628280-16-022122-index.html,https://www.sec.gov/Archives/edgar/data/771497/000162828017012508/0001628280-17-012508-index.html,https://www.sec.gov/Archives/edgar/data/771497/000162828018015372/0001628280-18-015372-index.html,https://www.sec.gov/Archives/edgar/data/771497/000162828019015259/0001628280-19-015259-index.html,https://www.sec.gov/Archives/edgar/data/771497/000077149720000018/0000771497-20-000018-index.htm,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
