,https://roic.ai/company/CDE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
58,Total Non-Current Liabilities,28800000,42200000,67600000,69100000,66500000,62900000,63500000,134500000,133300000,234000000,184800000,202500000,300872000,258300000,264700000,228600000,141877000,89711000,39529000,210173000,219372000,210117000,812650000,1026224000,872222000,846043000,875639000,784869000,1010850000,696410000,770933000,433788000,657469000,698670000,520980000,476390000,698292000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23661000,31445000,15403000,63317000,32602000,11362000,3301000,20824000,17205000,34905000,52040000,77972000,81716000,60321000,65529000
61,Total Liabilities,31000000,49300000,76000000,78600000,76000000,72800000,77700000,144300000,154900000,252500000,205800000,234100000,339333000,288900000,285900000,253900000,183592000,125790000,61989000,232323000,253263000,268632000,924327000,1187208000,1060830000,1116760000,1127720000,1023121000,1155411000,870100000,911013000,550422000,886198000,859988000,711632000,710498000,934160000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22950000,23000000,30200000,38100000,49278000,119653000,214195000,241028000,250961000,279054000,551512000,567799000,803000,893000,897000,903000,1028000,1034000,1513000,1809000,1856000,2033000,2415000,2438000,2569000
64,Retained Earnings,9900000,2500000,13700000,28000000,35900000,32700000,-4200000,-5000000,-13500000,-17000000,-15900000,-70500000,-84542000,-318800000,-347100000,-394900000,-397999000,-479207000,-546241000,-561908000,-551357000,-463221000,-419331000,-419339000,-451865000,-538332000,-444833000,-396156000,-1046719000,-2202603000,-2600776000,-2545424000,-2546743000,-2592544000,-2933747000,-2908120000,-2939442000
65,Other Comprehensive Income/Loss,-1700000,-4000000,-9900000,-8100000,-27500000,-24800000,-51500000,-59700000,-68400000,-78100000,-72700000,-89000000,-119574000,-400000,200000,-400000,-142714000,-821000,-1377000,-2285000,-1838000,553000,639000,5000,5000,- -,-4975000,-7721000,-4906000,-2808000,-3722000,-2488000,2519000,-59000,-136000,-11136000,-1212000
66,Other Total Stockholders Equity,30100000,52900000,83700000,92300000,111700000,158100000,239600000,245700000,252700000,255400000,328400000,505700000,503255000,373300000,384900000,374600000,518223000,407673000,529710000,616619000,643787000,764608000,1594547000,1588225000,2444262000,2578206000,2585632000,2601254000,2781164000,2789695000,3024461000,3314590000,3357345000,3443082000,3598472000,3610297000,- -
67,Total Stockholders Equity,38300000,51400000,87500000,112200000,120100000,166000000,183900000,181000000,170800000,160300000,239800000,346200000,322089000,77100000,68200000,17400000,26788000,47298000,196287000,293454000,341553000,580994000,1727367000,1736690000,1993205000,2040767000,2136721000,2198280000,1730567000,585318000,421476000,768487000,814977000,852512000,667004000,693479000,800262000
68,Total Liabilities And Stockholders Equity,69300000,100700000,163500000,190800000,196100000,238800000,261600000,325300000,325700000,412800000,445600000,580300000,661422000,366000000,354100000,271300000,210380000,173088000,258276000,525777000,594816000,849626000,2651694000,2923898000,3054035000,3157527000,3264441000,3221401000,2885978000,1455418000,1332489000,1318909000,1701175000,1712500000,1378636000,1403977000,1734422000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,69300000,100700000,163500000,190800000,196100000,238800000,261600000,325300000,325700000,412800000,445600000,580300000,661422000,366000000,354000000,271400000,210380000,173088000,258276000,525777000,594816000,849626000,2651694000,2923898000,3054035000,3157527000,3264441000,3221401000,2885978000,1455418000,1332489000,1318909000,1701175000,1712500000,1378636000,1403977000,1734422000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/215466/000095013395000152/0000950133-95-000152-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/215466/000089706901500046/0000897069-01-500046-index.html,https://www.sec.gov/Archives/edgar/data/215466/000089706902000251/0000897069-02-000251-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/215466/000095013308000901/w50513e10vk.htm,https://www.sec.gov/Archives/edgar/data/215466/000095014809000027/0000950148-09-000027-index.html,https://www.sec.gov/Archives/edgar/data/215466/000095012310017695/0000950123-10-017695-index.html,https://www.sec.gov/Archives/edgar/data/215466/000095012311020796/v58041e10vk.htm,https://www.sec.gov/Archives/edgar/data/215466/000119312512075636/0001193125-12-075636-index.html,https://www.sec.gov/Archives/edgar/data/215466/000021546613000048/0000215466-13-000048-index.html,https://www.sec.gov/Archives/edgar/data/215466/000021546614000042/cde-1231201310k.htm,https://www.sec.gov/Archives/edgar/data/215466/000021546615000031/cde-12311410k.htm,https://www.sec.gov/Archives/edgar/data/215466/000021546616000166/0000215466-16-000166-index.html,https://www.sec.gov/Archives/edgar/data/215466/000021546617000056/0000215466-17-000056-index.html,https://www.sec.gov/Archives/edgar/data/215466/000021546618000038/0000215466-18-000038-index.html,https://www.sec.gov/Archives/edgar/data/215466/000021546619000057/0000215466-19-000057-index.html,https://www.sec.gov/Archives/edgar/data/215466/000021546620000032/0000215466-20-000032-index.html,https://www.sec.gov/Archives/edgar/data/215466/000021546621000025/0000215466-21-000025-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
