,https://roic.ai/company/PII,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,- -,-7200000,-16000000,-12300000,-18100000,-32500000,-46700000,-44900000,-36800000,-61500000,-65100000,-63056000,-53982000,-56575000,-61436000,-88836000,-89770000,-52636000,-63747000,-76575000,-43932000,-55718000,-84484000,-103083000,-251401000,-205079000,-249485000,-209137000,-184388000,-225414000,-251374000,-213900000,-298300000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000000,-52000000,-41000000,-137000000,-28000000,-41000000,-724000000,2000000,-760000000,-2000000,-37200000,-65600000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9209000,-3007000,-9173000,-17588000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16049000,17261000,27511000,876000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6700000,-2600000,600000,-1900000,3830000,1216000,-3752000,-5093000,-7320000,-31361000,21584000,84182000,- -,- -,262000,12051000,-18969000,-18284000,-13703000,1397000,23879000,31292000,25922000,14087000,100400000,60000000
89,Cash Used for Investing Activites,- -,- -,- -,-7200000,-16000000,-12300000,-18100000,-32500000,-46700000,-51600000,-39400000,-60900000,-67000000,-59226000,-52766000,-60327000,-66529000,-96156000,-121131000,-31052000,20435000,-69735000,-29678000,-42118000,-141145000,-163052000,-406685000,-246782000,-289088000,-909258000,-151096000,-959492000,-239287000,-150700000,-303900000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-786000000,-364000000,- -,-202333000,-7478000,-597492000,-2228587000,-2385480000,-2552760000,-2421473000,-2579495000,-3638864000,-1611700000,-2073000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9897000,12133000,11821000,20045000,9172000,11729000,1731000,4733000,68105000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13600000,-39900000,-37700000,-52400000,-39622000,-49207000,-76389000,-73125000,-66830000,-132280000,-307621000,-103100000,-107167000,-4556000,-27486000,-132372000,-127525000,-530033000,-81812000,-293616000,-245816000,-90461000,-348663000,-8378000,-50300000,-461600000
93,Dividends Paid,- -,- -,- -,-43500000,-42600000,-44000000,-46500000,-50100000,-129300000,-16400000,-17000000,-18600000,-19700000,-20648000,-22846000,-25273000,-26657000,-38856000,-46956000,-50234000,-47739000,-49602000,-50177000,-53043000,-61585000,-101534000,-113722000,-126908000,-139285000,-140336000,-145423000,-149032000,-149101000,-152500000,-153400000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,40100000,-5200000,-10600000,-3900000,19500000,8015000,-25601000,-16000,-19000,-8000,- -,234003000,-47768000,798865000,363590000,10610000,168774000,74025000,832212000,2214736000,2698256000,3253405000,2229677000,3600608000,3384513000,1399100000,2580400000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-43500000,-42600000,-44000000,-46500000,-50100000,-89200000,-35200000,-67500000,-60200000,-52600000,-52255000,-97654000,-91781000,-87668000,-93873000,-159191000,-114680000,-186878000,-142173000,-50410000,-1814000,-227516000,-162512000,-409035000,-222571000,-120125000,314493000,-427680000,523418000,-411830000,-415400000,-107600000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2460000,1133000,-1287000,-14565000,-13269000,-5042000,9816000,-9530000,-759000,8700000,-10600000
97,Net Change In Cash,- -,- -,- -,-43500000,-42600000,-44000000,-46500000,-50100000,- -,- -,- -,- -,4700000,-3815000,38161000,40663000,1568000,55708000,-118794000,-109000,43715000,-36154000,113113000,253687000,-68591000,91679000,-324767000,45352000,17749000,-28024000,11020000,31508000,3160000,461200000,-128400000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6200000,2369000,40530000,81193000,82761000,138469000,19675000,19566000,63281000,27127000,140240000,393927000,325336000,417015000,92248000,137600000,155349000,127325000,138345000,193126000,196286000,657500000,529100000
99,Cash at the Beginning of Period,- -,- -,- -,27900000,32000000,20100000,19100000,33800000,62900000,3500000,5800000,1200000,1500000,6184000,2369000,40530000,81193000,82761000,138469000,19675000,19566000,63281000,27127000,140240000,393927000,325336000,417015000,92248000,137600000,155349000,127325000,161618000,193126000,196300000,657500000
100,Free Cash Flow,- -,- -,- -,47600000,30600000,43000000,61200000,79200000,29700000,44200000,65500000,59900000,59300000,44610000,134599000,136196000,94329000,157992000,71758000,92987000,146411000,99179000,149269000,241901000,218046000,313027000,240839000,324191000,190746000,362646000,395592000,251698000,403662000,804700000,-4600000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/931015/000095013403003989/0000950134-03-003989-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000095013404003298/0000950134-04-003298-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000095013405004005/0000950134-05-004005-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000095013406004045/0000950134-06-004045-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000095013707003089/0000950137-07-003089-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000095013708003109/0000950137-08-003109-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000095015209002053/0000950152-09-002053-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000095012310019458/0000950123-10-019458-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000095012311020529/0000950123-11-020529-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000119312512081910/0001193125-12-081910-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000119312513083760/0001193125-13-083760-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000144530514000518/0001445305-14-000518-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000162828015000875/0001628280-15-000875-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000162828016011420/0001628280-16-011420-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000162828017001442/0001628280-17-001442-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000162828018001709/0001628280-18-001709-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000162828019001394/0001628280-19-001394-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000162828020001541/0001628280-20-001541-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000162828021002278/0001628280-21-002278-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000162828022002730/0001628280-22-002730-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
