,https://roic.ai/company/THO,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,- -,-1900000,-1600000,-1000000,-2000000,-1800000,-4300000,-5200000,-4700000,-1800000,-11800000,-7400000,-13908163,-17197774,-7483710,-27264463,-26940489,-47670000,-30166000,-13654000,-14475000,-5625000,-12297000,-33749000,-10063000,-24305000,-30406000,-42283000,-51976000,-115027000,-138197000,-130224000,-106697000,-128835000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-74794195,- -,-29618354,-38113000,- -,- -,- -,1578000,-19756000,-99562000,-170000,1333000,18951000,-194486000,-557651000,-5039000,-50402000,-1735854000,- -,-310938000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-1400000,- -,-2300000,- -,- -,- -,-11535508,-642691,- -,- -,- -,- -,- -,-295765000,-66650000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6356517,277723,96228,23687,- -,- -,- -,121046000,108675000,10850000,115850000,3700000,650000,800000,700000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-5000000,100000,-9600000,-14500000,200000,700000,-4900000,200000,700000,3300000,300000,114343,46310,1532177,21777,291813,3054000,263000,232000,5016000,-7110000,-820000,3259000,1729000,8176000,13683000,1801000,8154000,3411000,5106000,575000,22448000,11280000
89,Cash Used for Investing Activites,- -,- -,- -,-6900000,-1500000,-10600000,-16500000,-1600000,-5000000,-10100000,-6800000,-1100000,-8500000,-7100000,-18972811,-17516432,-80649500,-27218999,-56267030,-82729000,-29903000,-188141000,32566000,-307000,82977000,-126352000,-7854000,-13996000,2928000,-234968000,-601473000,-116655000,-183493000,-1865503000,-84249000,-428493000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-83000,-328000,-215341000,-145378000,-498371000,-669884000,-299235000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,16100000,100000,1000000,- -,- -,- -,500000,200000,322425,967275,1228145,948299,1686989,1329000,3581000,3111000,3090000,27000,16000,1047000,1441000,5845000,3206000,141000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-2700000,-100000,- -,- -,- -,-900000,-3900000,-13600000,- -,-2900000,-4305881,-3006036,- -,- -,-7078339,-15521000,-51462000,-1630000,-13561000,- -,-115420000,- -,-77000000,-2009000,- -,-60000000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-600000,-600000,-600000,-700000,-1100000,-1100000,-1100000,-1100000,-1000000,-1000000,-1000000,-966603,-951100,-1091057,-1428105,-5152406,-6824000,-27764000,-71324000,-127278000,-15523000,-42408000,-22329000,-32322000,-117687000,-102314000,-57381000,-62970000,-69409000,-77989000,-84139000,-88318000,-90801000
94,Other Financing Activites,- -,- -,- -,- -,- -,12500000,3200000,-15600000,-4500000,- -,6600000,-6500000,- -,100000,- -,- -,- -,- -,-12972498,-1001000,- -,- -,- -,- -,- -,516000,101000,740000,-346000,-1427000,349986000,-4572000,-7657000,2121583000,365286000,201598000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-600000,-3300000,11800000,18600000,-16600000,-4600000,-2000000,1600000,-21100000,-500000,-3600000,-4950059,-2989861,137088,-479806,-23516254,-22017000,-75645000,-69843000,-137749000,-15496000,-157812000,-20766000,-107780000,-113111000,-99454000,-118750000,286688000,-289322000,-231024000,1539073000,-392916000,-188438000
96,Effect of Forex Changes on Cash,- -,- -,- -,300000,300000,- -,-500000,-800000,-500000,100000,100000,- -,-600000,- -,82097,-113614,-225886,956464,563172,879000,829000,984000,806000,-703000,250000,- -,- -,- -,- -,- -,- -,- -,- -,-5576000,26325000,-2208000
97,Net Change In Cash,- -,- -,- -,-600000,-3300000,11800000,18600000,-16600000,-4600000,- -,- -,- -,- -,25400000,-9210384,403526,53133862,18931813,3996078,27476000,32540000,-24247000,17731000,32064000,26067000,-32316000,3207000,17959000,52735000,-105858000,26424000,13356000,51991000,176013000,87257000,-95511000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68900000,59655251,60058777,113192639,132124452,136120530,163596000,196136000,171889000,189620000,221684000,247751000,215435000,218642000,236601000,289336000,183478000,209902000,223258000,275249000,451262000,538519000,445852000
99,Cash at the Beginning of Period,- -,- -,- -,28500000,21700000,15200000,19100000,21700000,10600000,13600000,6800000,13100000,12800000,43500000,68865635,59655251,60058777,113192639,132124452,136120000,163596000,196136000,171889000,189620000,221684000,247751000,215435000,218642000,236601000,289336000,183478000,209902000,223258000,275249000,451262000,541363000
100,Free Cash Flow,- -,- -,- -,-1400000,-3600000,1700000,-1000000,6100000,8800000,100000,6700000,20700000,28500000,28700000,722226,3825659,126388450,18409691,56275701,83673000,107093000,219099000,107633000,42945000,88355000,81053000,108778000,120761000,118855000,205577000,289233000,304306000,328311000,377795000,434244000,397647000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/730263/000073026395000020/0000730263-95-000020-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/730263/000095015204007299/0000950152-04-007299-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000095015205008168/0000950152-05-008168-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000095015206007851/0000950152-06-007851-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000095015207007820/0000950152-07-007820-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000095015208007553/0000950152-08-007553-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000095012309047063/0000950123-09-047063-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000095012310089655/0000950123-10-089655-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000119312511258818/0001193125-11-258818-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000119312512404883/0001193125-12-404883-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000119312513380045/0001193125-13-380045-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000119312514353131/0001193125-14-353131-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000119312515324427/0001193125-15-324427-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000119312516719899/0001193125-16-719899-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000119312517295973/0001193125-17-295973-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000119312518278055/0001193125-18-278055-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000119312519258022/0001193125-19-258022-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000073026320000019/0000730263-20-000019-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000073026321000014/0000730263-21-000014-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
