,https://roic.ai/company/KLIC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16566000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,88800000,-200000,1700000,10000000,-10600000,3300000,-16400000,-6400000,-4800000,-6100000,- -,-19267000,2572000,9076000,2454000,-23766000,-1275000,-2794000,-11125000,6949000,2333000,-34065000,-6122000,8144000,17056000,-14618000,-14471000,-16340000,-47425000,1631000,24105000,-26194000,-52719000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33550000,-36066000,-1269000,-32766000,34106000,78254000,-30868000,-53759000,38148000,181960000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,61500000,61500000,103900000,113900000,190200000,182200000,167100000,471300000,265400000,159800000,132600000,176000000,186100000,249000000,291700000,259100000,172400000,347600000,405600000,589900000,677000000,756300000,633435000,654983000,760401000,813197000,719109000,702303000,1242000
82,Other Non-Cash Items,- -,- -,- -,- -,1200000,2300000,3300000,6700000,-72000000,-1700000,-67400000,9500000,-85900000,22900000,-13400000,-312782000,326776000,230574000,36946000,-59182000,69808000,-61875000,-55955000,43734000,57155000,-253246000,-30234000,-192169000,-86736000,-89190000,145878000,-8026000,-105687000,-39192000,104941000,24987000,-4284000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,2400000,7200000,4900000,-1900000,3900000,12800000,22000000,38900000,40200000,21700000,-37900000,134097000,71869000,-72003000,-29102000,71262000,-2686000,63308000,31763000,28063000,-53522000,85799000,200396000,182471000,94824000,82460000,87875000,68407000,136310000,123499000,65967000,94412000,300032000
84,CAPEX,- -,- -,- -,- -,-2600000,-2400000,-3800000,-3600000,-4400000,-6200000,-10800000,-18000000,-13500000,-16100000,-10900000,-38304000,-48636000,-20385000,-10975000,-13405000,-12505000,-9496000,-5763000,- -,-5263000,-6271000,-7688000,-6902000,-17172000,-10138000,-10269000,-6218000,-25590000,-20496000,-11742000,-11719000,-22775000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-284927000,-96000,- -,- -,- -,- -,-28155000,- -,-87039000,- -,- -,-14848000,- -,- -,-93153000,- -,-28431000,- -,-5000000,-1288000,-24223000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-10600000,-25900000,-12600000,-28500000,-4500000,-108500000,-40300000,-103046000,- -,-33850000,-8603000,-44992000,-37907000,-36607000,-37315000,-39182000,- -,-2985000,-3655000,- -,-3252000,-18236000,-1630000,- -,-305000000,-684000000,-619000000,-442000000,-507000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,10800000,22800000,18700000,27300000,10000000,86200000,57500000,- -,56640000,59224000,26287000,17286000,55615000,29775000,39308000,44583000,8536000,- -,- -,6364000,- -,12356000,10763000,- -,213000000,607000000,683000000,329000000,472000000
88,Other Investing Activites,- -,- -,- -,- -,2300000,- -,100000,300000,100000,-3100000,1100000,-44800000,-23800000,-14000000,-8000000,-2152000,8338000,1472000,1643000,4285000,3187000,27388000,1973000,-35193000,182170000,2827000,237000,- -,5310000,44000,180000,1053000,822000,625000,210000,50000,291000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-300000,-2400000,-3700000,-3300000,-4100000,-12400000,-3600000,-64000000,-31800000,-52400000,-1700000,-143502000,-268585000,6365000,8352000,-36826000,8390000,11060000,-29952000,-29792000,98404000,-6429000,-11106000,-15386000,-15114000,-15974000,-94109000,-5165000,-145199000,-96871000,47468000,-125957000,-81707000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-84358000,-48964000,- -,-110000000,- -,- -,-10815000,-542000,-604000,-704000,-30773000,-147266000,-23129000
91,Common Stock Issued,- -,- -,- -,- -,500000,400000,400000,300000,1200000,1100000,1500000,400000,104900000,400000,300000,14777000,1102000,1438000,424000,4162000,1097000,6840000,4527000,549000,38696000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-400000,-4700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-46118000,- -,- -,- -,- -,- -,- -,-419000,-75715000,-14551000,-18197000,-90310000,-99897000,-54549000,-10426000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8176000,-31566000,-30233000,-33453000
94,Other Financing Activites,- -,- -,- -,- -,-500000,700000,-1300000,-2800000,-100000,-100000,-100000,41500000,-51100000,-800000,-200000,168985000,139097000,-1685000,139000,-43985000,12498000,-26634000,55976000,-3831000,223000,2843000,9296000,4862000,1733000,255000,2071000,607000,-3883000,55000,90918000,86239000,22750000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-400000,-3600000,-900000,-2500000,1100000,1000000,1400000,41900000,53800000,-400000,100000,183762000,140199000,-247000,563000,-39823000,13595000,-19794000,14385000,-3282000,-45439000,-46121000,9296000,-105138000,1733000,-164000,-84459000,-14486000,-22684000,-99135000,-71318000,-145809000,-44258000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-200000,700000,- -,- -,100000,- -,- -,- -,- -,- -,200000,-23000,64000,15000,-74000,-5000,-177000,-62000,408000,-627000,185000,303000,1490000,109000,101000,-129000,1326000,537000,76000,715000,919000,1297000,594000
97,Net Change In Cash,- -,- -,- -,- -,-400000,-3600000,-900000,-2500000,1100000,1400000,19800000,16700000,62300000,-31100000,-39300000,174334000,-56453000,-65870000,-20261000,-5392000,19122000,54512000,16604000,-5638000,-372000,33552000,200076000,62056000,81544000,66193000,-89367000,49293000,-31497000,-71792000,43036000,-176057000,174661000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,8800000,28600000,45300000,107600000,76500000,37200000,211489000,155036000,89166000,65725000,60333000,79455000,133967000,150571000,144933000,144560000,178112000,378188000,440244000,521788000,587981000,498614000,547907000,392410000,321148000,364184000,188127000,362788000
99,Cash at the Beginning of Period,- -,- -,- -,- -,10300000,11700000,13800000,14000000,6400000,7400000,8800000,28600000,45300000,107600000,76500000,37155000,211489000,155036000,85986000,65725000,60333000,79455000,133967000,150571000,144932000,144560000,178112000,378188000,440244000,521788000,587981000,498614000,423907000,392940000,321148000,364184000,188127000
100,Free Cash Flow,- -,- -,- -,- -,-200000,4800000,1100000,-5500000,-500000,6600000,11200000,20900000,26700000,5600000,-48800000,95793000,23233000,-92388000,-40077000,57857000,-15191000,53812000,26000000,28063000,-58785000,79528000,192708000,175569000,77652000,72322000,77606000,62189000,110720000,103003000,54225000,82693000,277257000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/56978/000005697894000014/0000056978-94-000014-index.html,https://www.sec.gov/Archives/edgar/data/56978/000095010995005363/0000950109-95-005363-index.html,https://www.sec.gov/Archives/edgar/data/56978/000005697896000017/0000056978-96-000017-index.html,https://www.sec.gov/Archives/edgar/data/56978/000005697897000019/0000056978-97-000019-index.html,https://www.sec.gov/Archives/edgar/data/56978/000089155498001583/0000891554-98-001583-index.html,https://www.sec.gov/Archives/edgar/data/56978/000095011099001611/0000950110-99-001611-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/56978/000091664102002162/d10k.htm,https://www.sec.gov/Archives/edgar/data/56978/000089322003002069/w92545e10vk.htm,https://www.sec.gov/Archives/edgar/data/56978/000119312504212871/d10k.htm,https://www.sec.gov/Archives/edgar/data/56978/000119312505241639/d10k.htm,https://www.sec.gov/Archives/edgar/data/56978/000119312506253495/d10k.htm,https://www.sec.gov/Archives/edgar/data/56978/000119312507262429/0001193125-07-262429-index.html,https://www.sec.gov/Archives/edgar/data/56978/000119312508251411/0001193125-08-251411-index.html,https://www.sec.gov/Archives/edgar/data/56978/000114420409064804/0001144204-09-064804-index.html,https://www.sec.gov/Archives/edgar/data/56978/000114420410065562/0001144204-10-065562-index.html,https://www.sec.gov/Archives/edgar/data/56978/000114420411069020/0001144204-11-069020-index.html,https://www.sec.gov/Archives/edgar/data/56978/000114420412063659/0001144204-12-063659-index.html,https://www.sec.gov/Archives/edgar/data/56978/000005697813000096/0000056978-13-000096-index.html,https://www.sec.gov/Archives/edgar/data/56978/000005697814000193/0000056978-14-000193-index.html,https://www.sec.gov/Archives/edgar/data/56978/000005697815000125/0000056978-15-000125-index.html,https://www.sec.gov/Archives/edgar/data/56978/000005697816000239/0000056978-16-000239-index.html,https://www.sec.gov/Archives/edgar/data/56978/000005697817000149/0000056978-17-000149-index.html,https://www.sec.gov/Archives/edgar/data/56978/000005697818000142/0000056978-18-000142-index.html,https://www.sec.gov/Archives/edgar/data/56978/000005697819000130/0000056978-19-000130-index.html,https://www.sec.gov/Archives/edgar/data/56978/000005697820000146/0000056978-20-000146-index.htm,https://www.sec.gov/Archives/edgar/data/56978/000005697821000153/0000056978-21-000153-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
