,https://roic.ai/company/NYT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
75,Deferred Income Tax,- -,- -,- -,- -,134600000,-2800000,8700000,-18200000,-37900000,-33700000,-9200000,-6000000,-26600000,-12600000,-44600000,-28166000,-52940000,88119000,53536000,3547000,-29635000,-139904000,-11550000,-18958000,44431000,61271000,60741000,-1369000,44102000,-10621000,-10102000,-13128000,105174000,4047000,4242000,-16043000,-6358000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11250000,7029000,8497000,4693000,8741000,8880000,10588000,12430000,14809000,12959000,12948000,14437000,22215000
77,Change in Working Capital,- -,- -,- -,- -,78700000,-8800000,21800000,82300000,-94200000,21100000,-14900000,-120600000,93200000,-24100000,47200000,-208004000,-34396000,128400000,15500000,-348700000,97000000,295849000,-198349000,-97700000,409100000,352700000,-117500000,650500000,-62000000,-276213000,-248640000,98494000,-63399000,-113400000,58494000,69951000,5499000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52817000,39830000,12603000,5130000,3148000,-10166000,5510000,9825000,12470000,-37579000,9062000,29710000,-49216000
79,Inventory,- -,- -,- -,- -,-1600000,4500000,5500000,-10700000,10800000,-4000000,-12700000,9000000,1200000,-200000,3100000,-4576000,323000,8339000,-5652000,-3702000,554000,-7592000,9801000,2065000,8324000,171000,-4955000,6806000,176000,-811000,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19478000,-83072000,-33911000,-22833000,-32276000,10012000,20490000,-13197000,24516000,46054000
81,Other Working Capital,- -,- -,- -,- -,-61600000,-70400000,-48600000,33700000,-60500000,-39400000,-54300000,-174900000,-81700000,-105800000,-58600000,-266604000,-301000000,-172600000,-157100000,-505800000,-408800000,-112951000,-311300000,-409000000,100000,352800000,235300000,885800000,823800000,547587000,298947000,397441000,334042000,220642000,279136000,349087000,13950000
82,Other Non-Cash Items,- -,- -,- -,- -,-327300000,34700000,51200000,28700000,172500000,-173400000,44400000,320200000,-50600000,21100000,90800000,200518000,-80134000,-396282000,-53198000,349803000,-176623000,639973000,-77692000,277613000,-361690000,-496323000,45435000,-811490000,-106565000,245690000,298637000,-94340000,-36039000,68816000,-93797000,58781000,-39219000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,251600000,214100000,201100000,156000000,175300000,181600000,295200000,426000000,452200000,451500000,601100000,589857000,471238000,273284000,466285000,444038000,294311000,422328000,110670000,247564000,256766000,153327000,73927000,79309000,34855000,80491000,175326000,94247000,86712000,157117000,189898000,297933000,269098000
84,CAPEX,- -,- -,- -,- -,-229600000,-100800000,-39700000,-47100000,-75700000,-186200000,-200700000,-211300000,-152700000,-81600000,-73400000,-381578000,-90367000,-160689000,-120900000,-153804000,-221344000,-332305000,-380298000,-166990000,-51056000,-33565000,-44887000,-34888000,-16942000,-35350000,-26965000,-30095000,-84753000,-77487000,-45441000,-34451000,-34637000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2636000,-176903000,- -,- -,-437516000,-35752000,532176000,-5737000,45424000,- -,- -,456158000,68585000,- -,- -,-40410000,- -,- -,- -,-33085000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-65100000,-88400000,-39400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1338000,-29974000,-279721000,-439700000,-860848000,-777945000,-818865000,-566846000,-466522000,-470493000,-572337000,-632364000,-763425000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,65100000,88400000,39400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000000,- -,- -,- -,9254000,322815000,409726000,447350000,506711000,818262000,725365000,548461000,434012000,707632000,491128000,613539000
88,Other Investing Activites,- -,- -,- -,- -,307100000,3800000,26400000,41300000,-150500000,298400000,-52900000,-210400000,33600000,25400000,-9500000,186618000,430377000,-23320000,-125030000,-38344000,163349000,-20605000,-3626000,-2784000,-36013000,-19800000,-61348000,220629000,-8744000,-53483000,-30100000,10163000,-60920000,-64614000,-42083000,-24759000,-30921000
89,Cash Used for Investing Activites,- -,- -,- -,- -,77500000,-97000000,-13300000,-5800000,-226200000,112200000,-253600000,-421700000,-119100000,-56200000,-82900000,-194960000,337374000,-360912000,-245930000,-192148000,-495511000,-288662000,148252000,-175511000,8073000,-40520000,-18254000,646813000,-353657000,-324717000,-30703000,128272000,21019000,-101095000,93212000,-199080000,-180807000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-738471000,-592000,-250590000,-81584000,-19959000,-38857000,-223648000,-189768000,-552000,-552000,-252559000,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,1500000,400000,200000,2000000,19900000,2600000,1900000,- -,- -,38900000,28000000,37503000,57349000,68754000,33180000,41090000,14348000,15988000,530000,- -,443000,1010000,364000,730000,5086000,- -,103026000,761000,4601000,41288000,4520000,6071000,2454000
92,Common Stock Repurchased,- -,- -,- -,- -,-61100000,-49400000,- -,- -,-255200000,-232800000,-50000000,-43300000,-164400000,-480900000,-423700000,-580584000,-648723000,-131480000,-208501000,-293222000,-57363000,-52267000,-4517000,-231000,-489000,- -,- -,- -,- -,- -,-69293000,-15684000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-38400000,-51400000,-32600000,-54900000,-47100000,-58300000,-54300000,-55500000,-61900000,-69600000,-72000000,-75398000,-77018000,-80259000,-85515000,-90127000,-94535000,-100104000,-125063000,-108541000,- -,- -,- -,- -,-6040000,-24858000,-26599000,-25897000,-26004000,-26418000,-31604000,-38437000,-45337000
94,Other Financing Activites,- -,- -,- -,- -,-167900000,-60400000,-102500000,-64000000,256800000,-5900000,110900000,42200000,-39000000,45500000,-22700000,228764000,-157311000,215623000,42162000,93021000,341955000,30191000,-151461000,41413000,452353000,220248000,- -,- -,1654000,2329000,2303000,3193000,-4064000,-10494000,-15648000,-12607000,-12064000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-265900000,-160800000,-134900000,-116900000,-25600000,-294400000,8500000,-56600000,-265300000,-466100000,-490400000,-389715000,-825703000,72638000,-218674000,-249238000,204405000,-106192000,-280511000,-67359000,-286164000,220666000,-250226000,-80854000,-19259000,-61386000,-214211000,-227395000,-26019000,3824000,-295291000,-44973000,-54947000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,804000,290000,-667000,-41000,761000,558000,1061000,-325000,36000,70000,316000,-526000,-1243000,-208000,507000,-983000,-100000,566000,-1002000
97,Net Change In Cash,- -,- -,- -,- -,-265900000,-160800000,-134900000,-116900000,-25600000,-294400000,8500000,-56600000,-265300000,-466100000,27900000,5182000,-17091000,-14990000,2485000,2942000,2538000,27433000,-20828000,5252000,-20264000,333148000,-194517000,645338000,-337745000,-306138000,-70831000,-5084000,82219000,58863000,-12281000,54446000,32342000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63900000,69043000,51952000,36962000,39447000,42389000,44927000,72360000,51532000,56784000,36520000,369668000,175151000,820489000,482745000,176607000,105776000,100692000,182911000,259799000,247518000,301964000,334306000
99,Cash at the Beginning of Period,- -,- -,- -,- -,12800000,76000000,32300000,85200000,118500000,42100000,41400000,91400000,39100000,106800000,36000000,63861000,69043000,51952000,36962000,39447000,42389000,44927000,72360000,51532000,56784000,36520000,369668000,175151000,820490000,482745000,176607000,105776000,100692000,200936000,259799000,247518000,301964000
100,Free Cash Flow,- -,- -,- -,- -,22000000,113300000,161400000,108900000,99600000,-4600000,94500000,214700000,299500000,369900000,527700000,208279000,380871000,112595000,345385000,290234000,72967000,90023000,-269628000,80574000,205710000,119762000,29040000,44421000,17913000,45141000,148361000,64152000,1959000,79630000,144457000,263482000,234461000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/71691/000095011295000622/0000950112-95-000622-index.html,https://www.sec.gov/Archives/edgar/data/71691/000095011296000742/0000950112-96-000742-index.html,https://www.sec.gov/Archives/edgar/data/71691/000091205797010816/0000912057-97-010816-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/71691/000104746903006543/0001047469-03-006543-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000104746904005136/0001047469-04-005136-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000104746905004590/0001047469-05-004590-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000104746906002366/0001047469-06-002366-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000110465907015629/0001104659-07-015629-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000110465908012938/0001104659-08-012938-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000110465909012370/0001104659-09-012370-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000119312510036478/0001193125-10-036478-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000119312511042247/0001193125-11-042247-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000007169112000003/0000071691-12-000003-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000007169113000004/0000071691-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000007169114000004/0000071691-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000007169115000004/0000071691-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000007169116000023/0000071691-16-000023-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000007169117000003/0000071691-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000007169118000004/0000071691-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000007169119000003/0000071691-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000007169120000003/0000071691-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000007169121000006/0000071691-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000007169122000006/0000071691-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
