,https://roic.ai/company/DHR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
74,Depreciation and Amortization,- -,- -,- -,- -,- -,25600000,33200000,37100000,40900000,44600000,58500000,68600000,76100000,108700000,126400000,149721000,178390000,129565000,133436000,156128000,176972000,217190000,268492000,339287000,341587000,397082000,634934000,839800000,895000000,938500000,1051300000,1128100000,1238300000,1307700000,1189500000,1775000000,2168000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24154000,29870000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86000000,87350000,88122000,95603000,109900000,117700000,121100000,139000000,129800000,139400000,151400000,158800000,187000000,218000000
77,Change in Working Capital,- -,- -,- -,- -,- -,8700000,-13900000,-24600000,24800000,-49900000,69900000,9700000,22000000,104100000,295100000,-37534000,401555000,264633000,440194000,-845744000,-39971000,258913000,214568000,292108000,1017646000,-34909000,-324430000,1281371000,1204600000,-551400000,-2368600000,-1875200000,2266600000,194600000,18412200000,-14264500000,-658000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71403000,106132000,-262123000,-135279000,-79700000,-48700000,-142200000,-52100000,-183100000,-161400000,-58300000,-156400000,-264000000,-611000000
79,Inventory,- -,- -,- -,- -,- -,-500000,15000000,9200000,5300000,-1300000,-15600000,38900000,14700000,12500000,11100000,-38451000,66833000,77544000,21061000,65528000,-22478000,3368000,38094000,33119000,211595000,-166454000,162019000,69800000,62900000,50600000,119700000,9400000,-27400000,-143300000,-21900000,-123000000,-502000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3713000,-89853000,224711000,36602000,57000000,182600000,118400000,103900000,78100000,-54400000,225800000,18100000,227000000,549000000
81,Other Working Capital,- -,- -,- -,- -,- -,56100000,42200000,17600000,42400000,-7500000,62400000,72100000,94100000,198200000,493300000,455766000,857321000,1121954000,1562148000,716404000,676433000,935346000,1149914000,1442022000,2459668000,2424759000,2100329000,3381700000,4586300000,4034900000,1666300000,-208900000,2057700000,2252300000,20664500000,6400000000,-229000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,9200000,28800000,52400000,68000000,-62600000,-69000000,25500000,-64400000,-264000000,75845000,-269139000,25758000,-248920000,976832000,169000000,-75035000,-237059000,-175997000,-797453000,-158944000,47896000,-1208271000,-1327000000,651800000,1622700000,1585400000,-2658600000,-282600000,-18817100000,14864500000,197000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,70000000,41800000,72900000,135800000,144400000,174200000,217100000,278400000,331300000,419100000,512245000,608471000,710347000,861544000,1033216000,1203801000,1547251000,1645775000,1859029000,1800834000,2084351000,2626267000,3415000000,3585300000,3758400000,3801800000,3521800000,3477800000,4022000000,3951600000,6208000000,8358000000
84,CAPEX,- -,- -,- -,- -,- -,-33000000,-41800000,-33900000,-40300000,-54500000,-59200000,-51300000,-62800000,-616000000,-153700000,-88503000,-80585000,-65430000,-80343000,-115906000,-121206000,-137706000,-162071000,-193783000,-188547000,-217328000,-334471000,-458300000,-551500000,-597500000,-633000000,-589600000,-619600000,-655700000,-635500000,-791000000,-1294000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-706794000,-406988000,-1158129000,-312283000,-1591719000,-885083000,-2656035000,-3576562000,-423208000,-703511000,-2073110000,-6196067000,-1796800000,-249800000,-3130900000,-14305000000,-4880100000,-385800000,-2173300000,-331300000,-20145000000,-10935000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23219000,- -,-66768000,- -,- -,- -,- -,- -,-87100000,- -,- -,-148900000,-241000000,-342000000,-934000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43100000,- -,98485000,301278000,48504000,- -,- -,- -,- -,251200000,253800000,43000000,264800000,137900000,22200000,- -,13000000,126000000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-22500000,-54000000,-144200000,-207900000,-91400000,-147200000,16300000,- -,- -,- -,79028000,24574000,30894000,40883000,-74114000,14815000,1088000,15885000,1559000,683284000,367500000,-2400000,30300000,31100000,-38100000,24100000,6300000,-30300000,26000000,50000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-33000000,-41800000,-56400000,-94300000,-198700000,-267100000,-142700000,-210000000,-599700000,-153700000,-795297000,-487573000,-1144531000,-368052000,-1633631000,-965406000,-2769370000,-3445759000,-567399000,-942941000,-2288879000,-5847254000,-1887600000,-552500000,-3444300000,-14951000000,-5243000000,-843400000,-2949400000,-1238100000,-21239000000,-12987000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1164911000,-469899000,-9388000,-1602379000,-61500000,-967800000,-414700000,-35500000,-2668700000,-668400000,-507800000,-1571000000,-5959000000,-1282000000
91,Common Stock Issued,- -,- -,- -,- -,- -,2300000,2100000,2900000,1300000,1000000,3600000,9500000,2500000,29600000,87900000,26580000,28169000,512105000,50497000,45957000,59931000,98415000,733028000,82430000,174233000,178406000,1112551000,212000000,177400000,132900000,249000000,164500000,68800000,96000000,2216700000,1882000000,86000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-15200000,- -,- -,- -,- -,- -,-12100000,-19800000,- -,- -,-82174000,-17299000,- -,- -,- -,-257696000,- -,-117486000,-74165000,- -,- -,- -,-648400000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-2600000,-3400000,-4700000,-5100000,-5900000,-10500000,-9900000,-10015000,-11676000,-13516000,-15326000,-17731000,-21553000,-24589000,-34275000,-38259000,-41717000,-52214000,-61323000,-86400000,-52100000,-227700000,-354100000,-885100000,-378300000,-433400000,-750700000,-615000000,-742000000
94,Other Financing Activites,- -,- -,- -,- -,- -,-26600000,-2600000,-17800000,-35100000,51700000,98300000,-48400000,-38100000,219200000,-129800000,266090000,410516000,17708000,-145509000,-66281000,-292242000,1145015000,1130903000,72652000,744615000,- -,2639785000,195900000,-763300000,291300000,9190800000,5432000000,-2120600000,47800000,16470900000,5698000000,3233000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-39500000,-500000,-14900000,-36400000,49300000,97200000,-56100000,-61300000,238300000,-51800000,200481000,409710000,516297000,-110338000,-38055000,-511560000,1218841000,1712170000,-1122253000,407232000,116804000,2088634000,-388400000,-1605800000,-218200000,9050200000,2042700000,-3098500000,-797400000,16365900000,1006000000,1295000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-1600000,-200000,100000,- -,300000,100000,100000,-200000,1200000,-1100000,-786000,-973000,21791000,36539000,17429000,-20399000,5537000,9112000,-15631000,63941000,-1216000,36374000,2700000,9500000,-205500000,-115800000,-148600000,130700000,-117700000,45100000,148000000,-115000000
97,Net Change In Cash,- -,- -,- -,- -,- -,-39500000,-500000,-14900000,-36400000,49300000,97200000,-56100000,-61300000,238300000,212500000,-83357000,529635000,103904000,419693000,-621041000,-293564000,2259000,-78702000,153746000,1329066000,-88940000,-1095979000,1141700000,1436500000,-109600000,-2214800000,172900000,-333400000,157500000,19124500000,-13877000000,-3449000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,260300000,176924000,706559000,810463000,1230156000,609115000,315551000,317810000,239108000,392854000,1721920000,1632980000,537001000,1678700000,3115200000,3005600000,790800000,963700000,630300000,787800000,19912300000,6035000000,2586000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,4800000,600000,- -,1700000,6900000,3600000,7900000,26400000,70800000,47800000,260281000,176924000,706559000,810463000,1230156000,609115000,315551000,317810000,239108000,392854000,1721920000,1632980000,537000000,1678700000,3115200000,3005600000,790800000,963700000,630300000,787800000,19912000000,6035000000
100,Free Cash Flow,- -,- -,- -,- -,- -,37000000,- -,39000000,95500000,89900000,115000000,165800000,215600000,-284700000,265400000,423742000,527886000,644917000,781201000,917310000,1082595000,1409545000,1483704000,1665246000,1612287000,1867023000,2291796000,2956700000,3033800000,3160900000,3168800000,2932200000,2858200000,3366300000,3316100000,5417000000,7064000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/313616/000031361695000001/0000313616-95-000001-index.html,https://www.sec.gov/Archives/edgar/data/313616/000031361696000001/0000313616-96-000001-index.html,https://www.sec.gov/Archives/edgar/data/313616/000031361697000017/0000313616-97-000017-index.html,https://www.sec.gov/Archives/edgar/data/313616/000031361698000004/0000313616-98-000004-index.html,https://www.sec.gov/Archives/edgar/data/313616/000031361699000002/0000313616-99-000002-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/313616/000110465904006799/a04-3138_110k.htm,https://www.sec.gov/Archives/edgar/data/313616/000119312505043666/d10k.htm,https://www.sec.gov/Archives/edgar/data/313616/000119312506055148/d10k.htm,https://www.sec.gov/Archives/edgar/data/313616/000119312507043522/d10k.htm,https://www.sec.gov/Archives/edgar/data/313616/000119312508034637/d10k.htm,https://www.sec.gov/Archives/edgar/data/313616/000119312509037468/0001193125-09-037468-index.html,https://www.sec.gov/Archives/edgar/data/313616/000119312510038977/0001193125-10-038977-index.html,https://www.sec.gov/Archives/edgar/data/313616/000119312511044412/d10k.htm,https://www.sec.gov/Archives/edgar/data/313616/000119312512076756/0001193125-12-076756-index.html,https://www.sec.gov/Archives/edgar/data/313616/000031361613000026/0000313616-13-000026-index.html,https://www.sec.gov/Archives/edgar/data/313616/000031361614000023/dhr-20131231x10xk.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361615000038/dhr-20141231x10xk.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361616000145/0000313616-16-000145-index.html,https://www.sec.gov/Archives/edgar/data/313616/000031361617000066/0000313616-17-000066-index.html,https://www.sec.gov/Archives/edgar/data/313616/000031361618000038/0000313616-18-000038-index.html,https://www.sec.gov/Archives/edgar/data/313616/000031361619000035/0000313616-19-000035-index.html,https://www.sec.gov/Archives/edgar/data/313616/000031361620000041/0000313616-20-000041-index.html,https://www.sec.gov/Archives/edgar/data/313616/000031361621000045/0000313616-21-000045-index.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361622000061/0000313616-22-000061-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
