,https://roic.ai/company/ODFL,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,- -,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32925000,-42566000,-54552000,-71023000,-92366000
94,Other Financing Activites,- -,30200000,10700000,11500000,7300000,18700000,38112000,9840000,22571000,3818000,29301000,25573000,5453000,17616000,4319000,69509000,162915000,- -,- -,65047000,1181000,29780000,10410000,- -,- -,12317000,-338000,-344000,-1074000,-1448000,96578000,-67353000
95,Cash Used/Provided by Financing Activities,- -,3600000,4900000,900000,-300000,11800000,12925000,4184000,15403000,-5719000,18672000,14880000,43263000,5169000,1952000,47110000,145014000,-12726000,-12931000,53075000,-35500000,37798000,-29874000,-48978000,-41247000,-139578000,-159484000,-51257000,-256905000,-296960000,-383502000,-696184000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,3600000,4900000,900000,-300000,11800000,367000,-679000,-15000,122000,-196000,176000,18498000,-18208000,-309000,244000,1578000,3764000,17776000,-19933000,1279000,70400000,-62993000,17317000,4613000,-23315000,-1301000,117291000,62820000,213289000,-2141000,61134000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,1353000,674000,659000,781000,585000,761000,19259000,1051000,742000,986000,2564000,6328000,24104000,4171000,5450000,75850000,12857000,30174000,34787000,11472000,10171000,127462000,190282000,403571000,401430000,462564000
99,Cash at the Beginning of Period,- -,900000,2600000,9300000,5600000,2400000,986000,1353000,674000,659000,781000,585000,761000,19259000,1051000,742000,986000,2564000,6328000,24104000,4171000,5450000,75850000,12857000,30174000,34787000,11472000,10171000,127462000,190282000,403571000,401430000
100,Free Cash Flow,- -,-6400000,- -,-5300000,-4500000,-14600000,-13589000,-6436000,-808000,3997000,-20921000,-11355000,-25652000,-26839000,-3854000,-28974000,-44488000,-29092000,15007000,-80172000,34729000,27166000,-45137000,55060000,23994000,91821000,147642000,154169000,311824000,504563000,707943000,662529000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/878927/000102140803004927/d10k.htm,https://www.sec.gov/Archives/edgar/data/878927/000119312504038217/d10k.htm,https://www.sec.gov/Archives/edgar/data/878927/000119312505052687/d10k.htm,https://www.sec.gov/Archives/edgar/data/878927/000119312506056599/d10k.htm,https://www.sec.gov/Archives/edgar/data/878927/000119312507043879/d10k.htm,https://www.sec.gov/Archives/edgar/data/878927/000119312508043137/d10k.htm,https://www.sec.gov/Archives/edgar/data/878927/000119312509042346/0001193125-09-042346-index.html,https://www.sec.gov/Archives/edgar/data/878927/000119312510044645/0001193125-10-044645-index.html,https://www.sec.gov/Archives/edgar/data/878927/000119312511049846/d10k.htm,https://www.sec.gov/Archives/edgar/data/878927/000119312512087645/0001193125-12-087645-index.html,https://www.sec.gov/Archives/edgar/data/878927/000087892713000012/0000878927-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/878927/000087892714000010/a201310-k.htm,https://www.sec.gov/Archives/edgar/data/878927/000087892715000006/a201410-k.htm,https://www.sec.gov/Archives/edgar/data/878927/000087892716000055/0000878927-16-000055-index.html,https://www.sec.gov/Archives/edgar/data/878927/000087892717000005/0000878927-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/878927/000087892718000005/0000878927-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/878927/000156459019004755/0001564590-19-004755-index.html,https://www.sec.gov/Archives/edgar/data/878927/000156459020006626/0001564590-20-006626-index.html,https://www.sec.gov/Archives/edgar/data/878927/000156459021008056/0001564590-21-008056-index.htm,https://www.sec.gov/Archives/edgar/data/878927/000156459022006303/0001564590-22-006303-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
