,https://roic.ai/company/HCSG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-2400000,-6900000,1500000,100000,3000000,3900000,5900000,8900000,5400000,3300000,1600000,7750533,12495734,16113446,16743003,19435000,24495000,16120000,25771000,16662000,38307000,37747000,32948000,60376000,32158000,57730000,63361000,41400000,7630000,80031000,93581000,217213000,37108000
84,CAPEX,- -,- -,- -,- -,-500000,-4900000,-2000000,-3800000,-2200000,-1700000,-2700000,-2400000,-1800000,-2800000,-2900000,-1803877,-2051219,-1861583,-2309463,-2387000,-1897000,-1854000,-1505000,-1577000,-2154000,-4174000,-5545000,-3484000,-3762000,-5795000,-4998000,-5442000,-5397000,-4940000,-4368000,-4341000,-5687000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9736000,-477000,- -,-4613000,- -,-1000000,- -,-5000000,- -,- -,- -,-4584000,- -,- -,- -,-23876000
86,Purchases of Investments,- -,- -,- -,- -,- -,-2700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48442000,-3686000,-38873000,-18934000,-10833000,-6598000,-5140000,-75150000,-29449000,-33861000,-14297000,-33544000,-39047000,-20335000
87,Sales/Maturities of Investments,- -,- -,- -,- -,100000,- -,3700000,100000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46083000,29971000,19978000,15807000,4392000,17567000,28164000,28537000,9011000,21256000,6269000,26697000
88,Other Investing Activites,- -,- -,- -,- -,100000,-1500000,-900000,100000,- -,500000,1600000,300000,300000,400000,1100000,439848,313209,152109,221034,321000,85000,151000,132000,157000,220000,44000,22000,26000,158000,83000,267000,275000,338000,640000,199000,274000,211000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-300000,-9100000,800000,-3600000,-2000000,-1200000,-1100000,-2100000,-1500000,-2400000,-1800000,-1364029,-1738010,-1709474,-2088429,-2066000,-1812000,-11439000,-1850000,-49862000,-10233000,3080000,4514000,5687000,605000,-6460000,-62314000,-6452000,-14967000,-9586000,-16457000,-36845000,-22990000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4718000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,500000,21500000,600000,300000,600000,600000,500000,100000,2200000,2000000,400000,18302,1484930,1787068,2857603,3921000,5581000,3342000,5462000,- -,- -,121000,128000,118000,107000,110000,113000,109000,95000,89000,90000,93000,92000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-200000,- -,- -,- -,-500000,-10900000,-3500000,-200000,-761875,-824938,-2130276,-163448,-6026000,-4030000,-8488000,- -,-4652000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21535000
93,Dividends Paid,- -,- -,- -,- -,-200000,-300000,-500000,- -,- -,- -,-300000,- -,- -,- -,- -,- -,- -,- -,-1488130,-4598000,-8076000,-12627000,-17736000,-24983000,-32246000,-39285000,-42228000,-44093000,-46707000,-49077000,-51375000,-53342000,-55244000,-57201000,-58951000,-60705000,-62226000
94,Other Financing Activites,- -,- -,- -,- -,-100000,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4916000,7817000,7875000,2690000,6728000,3585000,8222000,9043000,8822000,8124000,8949000,48190000,3135000,-16959000,-7755000,1015000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,200000,21200000,100000,200000,600000,600000,200000,-400000,-8700000,-1500000,200000,-743573,659992,-343208,1206025,-6703000,-6525000,-22689000,-4457000,-21760000,-34274000,-32436000,-38515000,-35753000,-37557000,-40145000,-43138000,-44284000,-6959000,-53977000,-75820000,-68367000,-82654000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,200000,21200000,100000,200000,600000,600000,200000,-400000,-8700000,-1500000,- -,5642931,11417716,14060764,15860599,10666000,16158000,-18008000,19464000,-54960000,-6200000,8391000,-1053000,30310000,-4794000,11125000,-42091000,-9336000,-14296000,16468000,1304000,112001000,-68536000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17200000,22841618,34259334,48320098,64180697,74847000,91005000,72997000,92461000,37501000,31301000,39692000,38639000,68949000,64155000,75280000,33189000,23853000,9557000,26025000,27329000,139330000,70794000
99,Cash at the Beginning of Period,- -,- -,- -,- -,4700000,2200000,7400000,9800000,6400000,7900000,11200000,16300000,22700000,17800000,17200000,17198687,22841618,34259334,48320098,64181000,74847000,91005000,72997000,92461000,37501000,31301000,39692000,38639000,68949000,64155000,75280000,33189000,23853000,9557000,26025000,27329000,139330000
100,Free Cash Flow,- -,- -,- -,- -,-2900000,-11800000,-500000,-3700000,800000,2200000,3200000,6500000,3600000,500000,-1300000,5946656,10444515,14251863,14433540,17048000,22598000,14266000,24266000,15085000,36153000,33573000,27403000,56892000,28396000,51935000,58363000,35958000,2233000,75091000,89213000,212872000,31421000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/731012/0000950116-97-000555-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/731012/000095011601000464/0000950116-01-000464-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/731012/000089322007000449/0000893220-07-000449-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000089322008000430/0000893220-08-000430-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000089322009000364/0000893220-09-000364-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000095012310013368/0000950123-10-013368-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000095012311015770/0000950123-11-015770-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000119312512075632/0001193125-12-075632-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000073101213000034/0000731012-13-000034-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000073101214000034/0000731012-14-000034-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000073101215000033/0000731012-15-000033-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000073101216000120/0000731012-16-000120-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000073101217000038/0000731012-17-000038-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000073101218000032/0000731012-18-000032-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000073101219000040/0000731012-19-000040-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000073101220000033/0000731012-20-000033-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000073101221000026/0000731012-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000073101222000026/0000731012-22-000026-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
