,https://roic.ai/company/INT,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19250000,- -,- -,- -,- -,-531315000,242611000,247408000,573600000,-45179000,385482000,-585674000,-481500000,423400000,451200000,171300000,143700000,-1223900000,1143800000
81,Other Working Capital,1300000,1300000,2400000,2800000,5300000,19100000,19100000,17000000,23700000,20600000,27500000,39600000,48500000,60100000,69100000,74041000,75786000,106259000,181083000,312754000,369330000,434197000,421104000,516236000,709383000,1096085000,1132079000,1300986000,1433489000,1491800000,1653900000,1221800000,1038900000,1007700000,955300000,101900000
82,Other Non-Cash Items,-400000,-500000,-2500000,-2100000,-7400000,-10400000,-800000,-700000,-2100000,2700000,-16900000,-23200000,-14700000,-22500000,-7301000,1142000,17205000,-32622000,-136425000,-177686000,-61693000,-211448000,272417000,-165281000,-396226000,-776479000,-140006000,-160863000,-298595000,129089000,-148900000,686400000,-213900000,-33200000,476400000,19600000
83,Cash Provided by Operating Activities,- -,- -,- -,1000000,- -,10100000,7400000,-100000,11100000,9300000,3700000,3700000,12900000,6500000,11002000,18324000,35961000,26730000,-28785000,-4026000,67884000,-77927000,393452000,77921000,-35698000,-142536000,145791000,264302000,141160000,447500000,205200000,205200000,-182500000,228800000,604100000,173200000
84,CAPEX,- -,- -,- -,-1000000,- -,-2900000,-4700000,-3900000,-3100000,-2200000,-1400000,-3200000,-3500000,-5700000,-1860000,-2684000,-1436000,-3267000,-2398000,-4615000,-20031000,-16581000,-6791000,-6493000,-12485000,-19492000,-28454000,-82716000,-50153000,-51000000,-36100000,-54000000,-72300000,-80900000,-51300000,-39200000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4184000,-1824000,-8574000,- -,- -,- -,-2646000,-54907000,-93366000,-51982000,-177807000,-122702000,-217782000,-83875000,-230649000,-96900000,-401800000,-120700000,-21300000,30800000,131000000,-12100000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3500000,- -,-600000,- -,- -,- -,- -,- -,- -,- -,-20000000,-78100000,-30060000,- -,-25185000,- -,- -,- -,-21588000,-2104000,-2400000,-1000000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,3500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,75600000,32560000,- -,25185000,10000000,- -,- -,21588000,43000000,5300000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-300000,- -,-1400000,400000,100000,100000,-2200000,2700000,1300000,-300000,3300000,27591000,-1036000,296000,-3267000,3587000,- -,- -,- -,-6791000,-9846000,-12485000,-21930000,-28840000,-90685000,-107334000,-50700000,-25700000,-59400000,307300000,-81300000,-58200000,-46200000
89,Cash Used for Investing Activites,- -,- -,- -,-1300000,- -,-4300000,-4300000,-3800000,-3000000,-4400000,1300000,-2500000,-3800000,-2400000,21547000,-5544000,-9714000,-3267000,1189000,-14615000,-25177000,-68988000,-100157000,-61828000,-180292000,-144632000,-246622000,-174560000,-297087000,-144700000,-428500000,-180100000,286000000,-50500000,72800000,-58300000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2527000,- -,- -,- -,- -,-1911578000,-24379000,-14988000,-5034953000,-3970264000,-4476304000,-5551509000,-4755400000,-4286000000,-4749700000,-6407300000,-5080200000,-2207400000,-24200000
91,Common Stock Issued,- -,- -,- -,900000,- -,400000,700000,100000,- -,900000,900000,700000,1200000,300000,10000,- -,2161000,- -,6315000,123295000,6733000,1056000,- -,- -,218816000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,-8423000,-4404000,-3257000,- -,- -,- -,- -,-2583000,-1599000,-4954000,-3824000,-10206000,-4973000,-41768000,-15082000,-77800000,-45800000,-61900000,-20000000,-65400000,-68300000,-50500000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-700000,-1900000,-2200000,-2400000,-2500000,-2434000,-2154000,-3906000,-3182000,-3350000,-3440000,-4160000,-4253000,-5025000,-8198000,-9421000,-12400000,-10685000,-10679000,-10595000,-15300000,-16600000,-16300000,-16200000,-21100000,-25600000,-28700000
94,Other Financing Activites,- -,- -,- -,-200000,- -,-2600000,-6000000,2400000,-4000000,-1900000,-2100000,-1500000,-4500000,- -,-5456000,-18000,-2050000,726000,12553000,-32108000,-2069000,12351000,1904830000,3095000,-632000,5280125000,4052780000,4558260000,5746701000,4831400000,4689300000,4466300000,6186400000,4961800000,2088300000,-10200000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,700000,- -,-2200000,-5300000,2500000,-4100000,-1700000,-3100000,-3000000,-5700000,-2200000,-16303000,-6576000,-7052000,-4983000,15518000,87747000,504000,6571000,-13372000,-34436000,189951000,222566000,66858000,29509000,169515000,-17100000,340900000,-361600000,-257100000,-204900000,-213000000,-113600000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1722000,2834000,89000,-2876000,1298000,70000,-3385000,-5500000,-1500000,10300000,-7000000,1000000,8800000,-7800000
97,Net Change In Cash,- -,- -,- -,700000,- -,-2200000,-5300000,2500000,-4100000,-1700000,-3100000,-3000000,-5700000,-2200000,16246000,6204000,19195000,18480000,-12078000,69106000,43211000,-140344000,278201000,-15509000,-25950000,-67478000,-32675000,119321000,10203000,280200000,116100000,-326300000,-160600000,-25600000,472700000,-6600000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32773000,38977000,58172000,76256000,64178000,133284000,176495000,36151000,314352000,298843000,272893000,205415000,172740000,292061000,302264000,582500000,698600000,372300000,211700000,186100000,658800000,652200000
99,Cash at the Beginning of Period,- -,- -,- -,2300000,- -,3600000,7300000,5100000,3700000,7700000,10900000,12900000,11000000,14500000,16527000,32773000,38977000,57776000,76256000,64178000,133284000,176495000,36151000,314352000,298843000,272893000,205415000,172740000,292061000,302300000,582500000,698600000,372300000,211700000,186100000,658800000
100,Free Cash Flow,- -,- -,- -,- -,- -,7200000,2700000,-4000000,8000000,7100000,2300000,500000,9400000,800000,9142000,15640000,34525000,23463000,-31183000,-8641000,47853000,-94508000,386661000,71428000,-48183000,-162028000,117337000,181586000,91007000,396500000,169100000,151200000,-254800000,147900000,552800000,134000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/789460/000095017096000276/0000950170-96-000276-index.html,https://www.sec.gov/Archives/edgar/data/789460/000101684397000372/0001016843-97-000372-index.html,- -,https://www.sec.gov/Archives/edgar/data/789460/000101684399000628/0001016843-99-000628-index.html,https://www.sec.gov/Archives/edgar/data/789460/000101684300000457/0001016843-00-000457-index.html,https://www.sec.gov/Archives/edgar/data/789460/000102140801502209/0001021408-01-502209-index.html,- -,https://www.sec.gov/Archives/edgar/data/789460/000119312504042155/d10k.htm,https://www.sec.gov/Archives/edgar/data/789460/000119312505067072/d10k.htm,https://www.sec.gov/Archives/edgar/data/789460/000119312506056673/d10k.htm,https://www.sec.gov/Archives/edgar/data/789460/000119312507044566/d10k.htm,https://www.sec.gov/Archives/edgar/data/789460/000119312508041954/d10k.htm,https://www.sec.gov/Archives/edgar/data/789460/000119312509039256/0001193125-09-039256-index.html,https://www.sec.gov/Archives/edgar/data/789460/000119312510040758/0001193125-10-040758-index.html,https://www.sec.gov/Archives/edgar/data/789460/000119312511045452/d10k.htm,https://www.sec.gov/Archives/edgar/data/789460/000104746912001378/0001047469-12-001378-index.html,https://www.sec.gov/Archives/edgar/data/789460/000104746913001398/0001047469-13-001398-index.html,https://www.sec.gov/Archives/edgar/data/789460/000104746914000906/a2218162z10-k.htm,https://www.sec.gov/Archives/edgar/data/789460/000155837015000073/int-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/789460/000155837016003246/0001558370-16-003246-index.html,https://www.sec.gov/Archives/edgar/data/789460/000162828017001482/0001628280-17-001482-index.html,https://www.sec.gov/Archives/edgar/data/789460/000162828018002457/0001628280-18-002457-index.html,https://www.sec.gov/Archives/edgar/data/789460/000162828019002382/0001628280-19-002382-index.html,https://www.sec.gov/Archives/edgar/data/789460/000162828020002590/0001628280-20-002590-index.html,https://www.sec.gov/Archives/edgar/data/789460/000162828021003481/0001628280-21-003481-index.htm,https://www.sec.gov/Archives/edgar/data/789460/000162828022004028/0001628280-22-004028-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
