,https://roic.ai/company/XOM,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,7977000000,8532000000,9010000000,8458000000,9838000000,19337000000,18772000000,17891000000,19413000000,23353000000,26240000000,27983000000,29551000000,35250000000,34440000000,- -,8640000000,9092000000,7668000000,7522000000,8676000000,8285000000,9572000000,9767000000,10332000000,16363000000,- -,18022000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,71402000000,73978000000,75617000000,74872000000,75037000000,113380000000,108601000000,107493000000,114353000000,128318000000,134879000000,134993000000,143238000000,156119000000,155786000000,178088000000,243526000000,258089000000,269335000000,287500000000,296583000000,294135000000,288898000000,301557000000,298223000000,312545000000,287857000000,279769000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,87862000000,91296000000,95527000000,96064000000,92630000000,144521000000,149000000000,143174000000,152644000000,174278000000,195256000000,208335000000,219015000000,242082000000,228052000000,233323000000,302510000000,331052000000,333795000000,346808000000,349493000000,336758000000,330314000000,348691000000,346196000000,362597000000,332750000000,338923000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,13391000000,14113000000,14510000000,14683000000,13825000000,13524000000,15357000000,12696000000,13792000000,15334000000,31763000000,36120000000,25084000000,29239000000,21190000000,24236000000,30780000000,33969000000,33789000000,30920000000,25286000000,18074000000,17801000000,21701000000,21063000000,24694000000,17499000000,26623000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,3858000000,2247000000,2510000000,2902000000,4248000000,10570000000,6161000000,3703000000,4093000000,4789000000,3280000000,1771000000,1702000000,2383000000,2400000000,2476000000,2787000000,7711000000,3653000000,15808000000,17468000000,18762000000,13830000000,17930000000,17258000000,20578000000,20458000000,4276000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17139000000,15923000000,14231000000,16590000000,19850000000,13888000000,11714000000,8228000000,5739000000,5268000000,6356000000,5892000000,4881000000,4092000000,5497000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18165000000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2244000000,2376000000,2485000000,2069000000,1339000000,14639000000,16673000000,13715000000,15290000000,18263000000,7938000000,8416000000,22031000000,26690000000,25510000000,25349000000,29066000000,35825000000,26697000000,24996000000,21879000000,17140000000,16007000000,18140000000,18817000000,18717000000,241000000,25744000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,19493000000,18736000000,19505000000,19654000000,19412000000,38733000000,38191000000,30114000000,33175000000,38386000000,42981000000,46307000000,48817000000,58312000000,49100000000,52061000000,62633000000,77505000000,64139000000,71724000000,64633000000,53976000000,47638000000,57771000000,57138000000,63989000000,56363000000,56643000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,8831000000,7778000000,7236000000,7050000000,4530000000,8402000000,7280000000,7099000000,6655000000,4756000000,5013000000,6220000000,6645000000,7183000000,7025000000,7129000000,12227000000,9322000000,7928000000,6516000000,11278000000,18687000000,27707000000,23079000000,19235000000,24672000000,45502000000,43428000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,11435000000,12431000000,13475000000,13452000000,13142000000,16251000000,16442000000,16359000000,16484000000,20118000000,21092000000,20878000000,20851000000,22899000000,19726000000,23148000000,35150000000,36618000000,37570000000,40530000000,39230000000,36818000000,34041000000,26893000000,27244000000,25620000000,18165000000,20165000000
