,https://roic.ai/company/OPCH,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
61,Total Liabilities,30600000,44800000,69900000,79384000,75785000,79523000,88023000,63989000,70789000,92822000,143623000,130619000,151420000,131427000,463885000,461823000,348967000,582275000,607908000,627383000,639303000,687844000,727942000,1682720000,1631715000,1615032000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62918000,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,2000,2000,2000,2000,2000,4000,4000,4000,4000,4000,6000,6000,6000,7000,8000,8000,12000,13000,13000,18000,18000,18000
64,Retained Earnings,-41600000,-55100000,-50800000,-54575000,-56398000,-42196000,-23511000,-14381000,-7348000,-31195000,-69484000,-68588000,-142620000,-88521000,-157663000,-149791000,-85084000,-154738000,-302206000,-601913000,-643419000,-709511000,-761204000,-91955000,-100031000,39867000
65,Other Comprehensive Income/Loss,-1200000,-1700000,-2900000,-5100000,-6821000,-10979000,-15015000,-18070000,-19962000,-19500000,-9565000,-13263000,-17125000,-21400000,-35823000,-41256000,-33365000,-42630000,-50643000,-62035000,-75091000,-88298000,1000000,-7000000,-11172000,-451000
66,Other Total Stockholders Equity,72900000,73600000,92800000,94862000,102722000,113469000,132732000,139651000,142991000,246456000,240878000,248050000,255278000,265710000,393581000,406320000,411852000,551944000,569646000,520144000,686935000,713044000,616187000,1005764000,1126909000,1136452000
67,Total Stockholders Equity,30100000,16800000,39100000,35187000,39505000,60296000,94208000,107202000,115683000,195765000,161833000,166203000,95537000,155793000,200101000,215279000,293409000,354583000,216805000,-80878000,-31563000,-84752000,-144004000,906827000,1015724000,1175886000
68,Total Liabilities And Stockholders Equity,60700000,61600000,109000000,114571000,115290000,139819000,182231000,171191000,186472000,288587000,305456000,296822000,246957000,287220000,663986000,677102000,642376000,936858000,824713000,546505000,607740000,603092000,583938000,2589547000,2647439000,2790918000
69,Minority Interest,1100000,1100000,1100000,1112000,1112000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,61800000,62700000,110100000,115683000,116402000,139819000,182231000,171191000,186472000,288587000,305456000,296822000,246957000,287220000,663986000,677102000,642376000,936858000,824713000,546505000,607740000,603092000,583938000,2589547000,2647439000,2790918000
