,https://roic.ai/company/HUM,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
87,Sales/Maturities of Investments,- -,- -,- -,- -,337000000,731000000,356000000,648000000,1174000000,863000000,1125000000,1898535000,2551208000,4289500000,3698893000,3484603000,3407125000,3058522000,5867260000,5534123000,3833029000,2882000000,2901000000,2669000000,3294000000,6558000000,5738000000,3879000000,4466000000,5819000000,7733000000,6144000000
88,Other Investing Activites,-60400000,-111000000,-27000000,-388000000,-15000000,-28000000,-12000000,38000000,-26000000,39000000,21000000,- -,1849000,11182000,39142000,34727000,-570757000,-682545000,6000,1509000,66000,10000000,- -,4000000,- -,1000000,- -,2000000,- -,- -,- -,- -
89,Cash Used for Investing Activites,-404600000,-608000000,-331000000,-416000000,-402000000,-450000000,-174000000,-664000000,7000000,18000000,-178000000,-118807000,-128157000,-373163000,-624081000,-767276000,-1654066000,-1845391000,-498324000,-1859261000,-1810989000,-1358000000,-1965000000,-1182000000,-63000000,320000000,-1362000000,-2941000000,-3087000000,-1278000000,-3065000000,-6556000000
90,Debt Repayment,-253300000,-183000000,-231000000,- -,- -,-51000000,-250000000,- -,-330000000,-93000000,- -,-856952000,-55875000,-265000000,- -,-324230000,748545000,-1359379000,-2674730000,-250000000,34921000,-56000000,-36000000,- -,-500000000,-33000000,-91000000,-1024000000,-350000000,-1410000000,-1400000000,-2078000000
91,Common Stock Issued,1500000,18000000,6000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27681000,29570000,38235000,48735000,61638000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26000000,-1867000,-74035000,-44147000,-96594000,-2364000,-26211000,-27412000,-106070000,-22841000,-108545000,-541000000,-518000000,-531000000,-872000000,-385000000,-104000000,-3365000000,-1090000000,-1070000000,-1820000000,-79000000
93,Dividends Paid,-108200000,-130000000,-143000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-82000000,-165000000,-168000000,-172000000,-172000000,-177000000,-220000000,-265000000,-291000000,-323000000,-354000000
94,Other Financing Activites,500000,273000000,25000000,370000000,4000000,261000000,223000000,680000000,381000000,-77000000,-156000000,822526000,6596000,451536000,-8029000,581945000,204573000,2246431000,2226784000,353685000,-297632000,-338000000,690000000,-3000000,786000000,38000000,1104000000,3664000000,920000000,476000000,1588000000,5526000000
95,Cash Used/Provided by Financing Activities,-359500000,-22000000,-343000000,370000000,4000000,210000000,-27000000,680000000,51000000,-170000000,-182000000,-36293000,-123314000,170070000,-75053000,293586000,975642000,921278000,-554016000,80844000,-371256000,-1017000000,-29000000,-702000000,-758000000,-552000000,732000000,-945000000,-785000000,-2295000000,-1955000000,3015000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-359500000,-22000000,-343000000,370000000,-100000000,-90000000,140000000,305000000,134000000,65000000,-320000000,-6142000,69937000,210047000,-351325000,151937000,1008288000,300149000,-70030000,-356835000,59549000,-296000000,-71000000,-168000000,797000000,636000000,1306000000,165000000,-1699000000,1711000000,619000000,-1279000000
98,Cash at the End of Period,- -,- -,- -,- -,272000000,182000000,322000000,627000000,913000000,978000000,658000000,651420000,721357000,931404000,580079000,732016000,1740304000,2040453000,1970423000,1613588000,1673137000,1377000000,1306000000,1138000000,1935000000,2571000000,3877000000,4042000000,2343000000,4054000000,4673000000,3394000000
99,Cash at the Beginning of Period,105300000,100000000,- -,233000000,372000000,272000000,182000000,322000000,779000000,913000000,978000000,657562000,651420000,721357000,931404000,580079000,732016000,1740304000,2040453000,1970423000,1613588000,1673000000,1377000000,1306000000,1138000000,1935000000,2571000000,3877000000,4042000000,2343000000,4054000000,4673000000
100,Free Cash Flow,414100000,107000000,370000000,157000000,259000000,96000000,269000000,216000000,-28000000,128000000,-95000000,33987000,209272000,311872000,233713000,459781000,1493561000,985018000,720738000,1236132000,2019492000,1733000000,1513000000,1275000000,1090000000,345000000,1409000000,3525000000,1561000000,4548000000,4675000000,946000000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/49071/000095013197002198/0000950131-97-002198-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/49071/000095013101500403/d10k405.htm,https://www.sec.gov/Archives/edgar/data/49071/000095013102001193/d10k405.htm,https://www.sec.gov/Archives/edgar/data/49071/000093066103001145/d10k.htm,https://www.sec.gov/Archives/edgar/data/49071/000119312504035443/d10k.htm,https://www.sec.gov/Archives/edgar/data/49071/000119312505040063/d10k.htm,https://www.sec.gov/Archives/edgar/data/49071/000119312506045135/d10k.htm,https://www.sec.gov/Archives/edgar/data/49071/000119312507038330/d10k.htm,https://www.sec.gov/Archives/edgar/data/49071/000119312508037394/d10k.htm,https://www.sec.gov/Archives/edgar/data/49071/000119312509034123/0001193125-09-034123-index.html,https://www.sec.gov/Archives/edgar/data/49071/000119312510035019/0001193125-10-035019-index.html,https://www.sec.gov/Archives/edgar/data/49071/000119312511039288/d10k.htm,https://www.sec.gov/Archives/edgar/data/49071/000119312512076885/0001193125-12-076885-index.html,https://www.sec.gov/Archives/edgar/data/49071/000119312513069911/0001193125-13-069911-index.html,https://www.sec.gov/Archives/edgar/data/49071/000119312514058508/d637615d10k.htm,https://www.sec.gov/Archives/edgar/data/49071/000004907115000019/hum-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/49071/000004907116000117/0000049071-16-000117-index.html,https://www.sec.gov/Archives/edgar/data/49071/000004907117000019/0000049071-17-000019-index.html,https://www.sec.gov/Archives/edgar/data/49071/000004907118000014/0000049071-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/49071/000004907119000023/0000049071-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/49071/000004907120000032/0000049071-20-000032-index.html,https://www.sec.gov/Archives/edgar/data/49071/000004907121000039/0000049071-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/49071/000004907122000017/0000049071-22-000017-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
