,https://roic.ai/company/HAE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,- -,-4300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-500000,-12000000,-500000,16100000,-13000000,13900000,42600000,-11900000,13374000,-4997000,4035000,-3587000,-17332000,-11651000,-3020000,-10430000,-15477000,35535000,26784000,31916000,16620000,512739000,17327000,15452000,20645000,-17730000,41011000,376225000,56917000,389327000
95,Cash Used/Provided by Financing Activities,- -,800000,-10800000,1800000,2200000,-19000000,2800000,40100000,-5500000,-17789000,5008000,-9336000,-49001000,718000,14531000,12094000,-35554000,-73228000,-30737000,-13970000,-18084000,-30470000,461853000,-20700000,-33160000,-62624000,-60413000,-120643000,-50628000,-131208000,367452000
96,Effect of Forex Changes on Cash,- -,- -,-200000,1300000,300000,-700000,-2600000,- -,-400000,-528000,-348000,75000,821000,775000,1182000,-753000,1667000,2732000,-2459000,478000,1332000,-498000,-273000,355000,-4057000,-12000,-1571000,3939000,-3323000,-1873000,4179000
97,Net Change In Cash,- -,800000,-10800000,1800000,2200000,-19000000,2800000,40100000,-5500000,5009000,15530000,-10260000,14972000,68232000,106348000,64852000,-21440000,-95674000,23168000,-15159000,55145000,32154000,-49741000,13349000,-31807000,-45539000,24441000,40605000,-10818000,-32040000,54994000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,61328000,41441000,34913000,49885000,118117000,185815000,250667000,229227000,133553000,156721000,141562000,196707000,228861000,179120000,192469000,160662000,115123000,139564000,180169000,169351000,137311000,192305000
99,Cash at the Beginning of Period,- -,1700000,2900000,10300000,16200000,4200000,13400000,8300000,21800000,56319000,25911000,45173000,34913000,49885000,79467000,185815000,250667000,229227000,133553000,156721000,141562000,196707000,228861000,179120000,192469000,160662000,115123000,139564000,180169000,169351000,137311000
100,Free Cash Flow,- -,7400000,18300000,4100000,-9300000,35100000,-5300000,- -,11200000,30150000,30470000,10636000,30132000,60748000,53677000,48842000,42105000,19879000,59985000,74364000,76786000,62120000,22886000,65876000,4958000,19460000,83603000,145551000,40320000,109459000,71765000
101,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/313143/000091064797000149/0000910647-97-000149-index.html,https://www.sec.gov/Archives/edgar/data/313143/000091064798000186/0000910647-98-000186-index.html,https://www.sec.gov/Archives/edgar/data/313143/000091064799000173/0000910647-99-000173-index.html,https://www.sec.gov/Archives/edgar/data/313143/000091064700000161/0000910647-00-000161-index.html,https://www.sec.gov/Archives/edgar/data/313143/000091064701500151/0000910647-01-500151-index.html,https://www.sec.gov/Archives/edgar/data/313143/000091064702000106/0000910647-02-000106-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/313143/000110465906040688/a06-13357_110k.htm,https://www.sec.gov/Archives/edgar/data/313143/000110465907043148/0001104659-07-043148-index.html,https://www.sec.gov/Archives/edgar/data/313143/000104746908006945/0001047469-08-006945-index.html,https://www.sec.gov/Archives/edgar/data/313143/000095013509004179/0000950135-09-004179-index.html,https://www.sec.gov/Archives/edgar/data/313143/000095012310054652/0000950123-10-054652-index.html,https://www.sec.gov/Archives/edgar/data/313143/000095012311054481/0000950123-11-054481-index.html,https://www.sec.gov/Archives/edgar/data/313143/000031314312000071/hae201233110k.htm,https://www.sec.gov/Archives/edgar/data/313143/000031314313000085/0000313143-13-000085-index.html,https://www.sec.gov/Archives/edgar/data/313143/000031314314000055/0000313143-14-000055-index.html,https://www.sec.gov/Archives/edgar/data/313143/000031314315000033/0000313143-15-000033-index.html,https://www.sec.gov/Archives/edgar/data/313143/000031314316000128/0000313143-16-000128-index.html,https://www.sec.gov/Archives/edgar/data/313143/000031314317000017/0000313143-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/313143/000031314318000020/0000313143-18-000020-index.html,https://www.sec.gov/Archives/edgar/data/313143/000031314319000022/0000313143-19-000022-index.html,https://www.sec.gov/Archives/edgar/data/313143/000031314320000028/0000313143-20-000028-index.htm,https://www.sec.gov/Archives/edgar/data/313143/000031314321000023/0000313143-21-000023-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
