,https://roic.ai/company/BUKS,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,-610000,220000,180000,20000,-200000,100000,- -,- -,- -,- -,238742,-227558,145502,-423873,-87319,404097,413074,-369938,-218816,27912,-83864,352250,1123497,-925000,340000,-133000,499000,144000,-99000,296000,-441000,-812000,931000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,-900000,-3000000,-820000,-700000,-100000,1700000,900000,629714,682673,619542,599863,1991667,1760193,2401314,3049423,3930786,5770682,6206074,7505326,8377595,9712879,9231092,9390361,10944000,7442000,6027000,6492000,6410000,7200000,8346000,13435000,18885000,16901000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,1320000,2730000,-2430000,-400000,-400000,-2800000,600000,21688,-1721236,-1164258,1961757,-2159141,156788,-533420,-1141052,-3015039,-4211992,-1945305,-1952605,-1955097,-1569052,6954548,-389178,-4703639,3969000,2660000,-676000,-1379000,89000,748000,-3833000,-5961000,7786000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,-480000,-140000,-80000,210000,300000,-800000,-1300000,138311,-1275165,-538036,861161,-1599895,-299992,1463949,-288304,-1192313,495954,-855842,342780,610739,1172270,9177143,2545889,1671000,4192000,6071000,3986000,2417000,6001000,6314000,9563000,10044000,13458000
84,CAPEX,- -,- -,- -,- -,- -,- -,-110000,-20000,-20000,-40000,- -,- -,-200000,-11819,-626489,-681336,-213136,-52264,-14516,-66594,-47363,-85860,-1382996,-218406,-667608,-2659520,-198407,-506485,-3792459,-1351000,-8159000,-290000,-3682000,-2757000,-3180000,-2289000,-4985000,-3165000,-6992000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,190000,- -,50000,-10000,- -,- -,- -,-909507,-1016091,-1850937,-884396,346768,555797,712495,771585,192835,-622670,100000,- -,-3479520,-198407,1493515,-3753459,-1351000,-8159000,-290000,-2359000,-1749000,-3179000,-2289000,-4985000,-2070000,-6992000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,80000,- -,30000,-50000,- -,- -,100000,-909507,-1016091,-1850937,-1097532,294504,541281,645901,724222,106975,-2005666,-118406,-586926,-3479520,-198407,1493515,-3753459,-1351000,-8159000,-290000,-2359000,-1749000,-3179000,-2289000,-4985000,-2070000,-6992000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45445,- -,-103745,-1723598,-512810,-964327,-2581231,-1337433,-538645,-488153,-443669,-819026,-3789391,-7640629,-4317150,-1927359,-2464000,-3509000,-5048000,-9033000,-2541000,-2551000,-2297000,-4086000,-2892000,-3520000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86125,64374,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,10000,- -,- -,20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32000,-187000,-436000,-326000,-196000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,1570000,200000,20000,-220000,-200000,2000000,-100000,2038961,1801758,4804879,1964294,1813368,671019,720459,922621,2320516,1839532,1276540,1926764,7838718,5675089,375000,2903908,1100000,5193000,380000,7340000,3059000,-1231000,-577000,1605000,3023000,2479000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,1580000,200000,20000,-200000,-200000,2000000,-100000,1993516,1801758,4701134,240696,1300558,-293308,-1860772,-414812,1867996,1415753,832871,1107738,4049327,-1965540,-3942150,976549,-1364000,1684000,-4668000,-1693000,518000,-3814000,-3061000,-2917000,-195000,-1237000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,1190000,50000,-30000,-40000,-200000,2000000,-100000,1222320,-489198,-48163,4325,-4833,-52019,249078,21106,782659,-93959,-141378,863592,1180546,-991677,6728508,-231021,-1044000,-2283000,1113000,-66000,1186000,-992000,964000,1661000,7779000,5229000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,1210000,70000,50000,- -,- -,- -,- -,1436254,256449,160598,164923,160090,108071,357149,378255,1160914,1066955,925577,1789169,2969715,1978038,8706546,8475525,7431000,5148000,6261000,6195000,7381000,6389000,7353000,9014000,16793000,22022000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,20000,20000,80000,40000,- -,200000,1400000,213934,745647,208761,160598,164923,160090,108071,357149,378255,1160914,1066955,925577,1789169,2969715,1978038,8706546,8475000,7431000,5148000,6261000,6195000,7381000,6389000,7353000,9014000,16793000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,-590000,-160000,-100000,170000,300000,-800000,-1500000,126492,-1901654,-1219372,648025,-1652159,-314508,1397355,-335667,-1278173,-887042,-1074248,-324828,-2048781,973863,8670658,-1246570,320000,-3967000,5781000,304000,-340000,2821000,4025000,4578000,6879000,6466000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/15847/000001584796000005/0000015847-96-000005-index.html,- -,https://www.sec.gov/Archives/edgar/data/15847/000001584798000029/0000015847-98-000029-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/15847/000001584702000014/0000015847-02-000014-index.html,https://www.sec.gov/Archives/edgar/data/15847/000001584703000009/kfy03.htm,- -,https://www.sec.gov/Archives/edgar/data/15847/000001584705000016/fye510kb.htm,https://www.sec.gov/Archives/edgar/data/15847/000001584706000005/fy0610k.htm,https://www.sec.gov/Archives/edgar/data/15847/000001584707000010/0000015847-07-000010-index.html,https://www.sec.gov/Archives/edgar/data/15847/000001584708000018/0000015847-08-000018-index.html,https://www.sec.gov/Archives/edgar/data/15847/000001584709000010/0000015847-09-000010-index.html,https://www.sec.gov/Archives/edgar/data/15847/000001584710000018/0000015847-10-000018-index.html,https://www.sec.gov/Archives/edgar/data/15847/000001584711000027/0000015847-11-000027-index.html,https://www.sec.gov/Archives/edgar/data/15847/000114036112034252/0001140361-12-034252-index.html,https://www.sec.gov/Archives/edgar/data/15847/000114036113029113/0001140361-13-029113-index.html,https://www.sec.gov/Archives/edgar/data/15847/000001584714000018/0000015847-14-000018-index.html,https://www.sec.gov/Archives/edgar/data/15847/000001584715000028/0000015847-15-000028-index.html,https://www.sec.gov/Archives/edgar/data/15847/000001584716000069/0000015847-16-000069-index.html,https://www.sec.gov/Archives/edgar/data/15847/000143774917012924/0001437749-17-012924-index.html,https://www.sec.gov/Archives/edgar/data/15847/000143774918013553/0001437749-18-013553-index.html,https://www.sec.gov/Archives/edgar/data/15847/000143774919014273/buks20190331_10k.htm,https://www.sec.gov/Archives/edgar/data/15847/000143774920015329/0001437749-20-015329-index.htm,https://www.sec.gov/Archives/edgar/data/15847/000143774921017053/0001437749-21-017053-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
