,https://roic.ai/company/EVRI,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
38,PP&E,- -,- -,15129000,10341000,10579000,20454000,23523000,24419000,19419000,16648000,15577000,15441000,18710000,106085000,106308000,98439000,113519000,116288000,141126000,128427000,132685000
39,Goodwill,- -,- -,156685000,- -,- -,156755000,156889000,183929000,174354000,185110000,180122000,180141000,180084000,857913000,789803000,640546000,640589000,640537000,681635000,681974000,682663000
40,Intangible Assets,- -,- -,20619000,173279000,178762000,18001000,13941000,34982000,28154000,26368000,38216000,33994000,31535000,436785000,382462000,317997000,324311000,287397000,279187000,214627000,214594000
41,Intangible Assets,- -,- -,177304000,173279000,178762000,174756000,170830000,218911000,202508000,211478000,218338000,214135000,211619000,1294698000,1172265000,958543000,964900000,927934000,960822000,896601000,897257000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,214705000,207476000,191741000,177227000,156514000,148764000,131547000,119538000,104664000,91044000,- -,- -,- -,- -,- -,- -,- -,32121000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,1540000,- -,- -,- -,- -,- -,60127000,41709000,9542000,10247000,15099000,24743000,20512000,20949000
45,Total Non-Current Assets,- -,- -,- -,398325000,396817000,386951000,371580000,401384000,370691000,359673000,353453000,334240000,321373000,1460910000,1320282000,1066524000,1088666000,1059321000,1126691000,1045540000,1083012000
46,Other Assets,276207000,287039000,243627000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,276207000,287039000,243627000,496625000,510418000,588647000,539323000,559150000,501767000,458394000,529067000,553895000,527327000,1707285000,1574065000,1408163000,1537074000,1548261000,1629223000,1477179000,1635650000
48,Accounts Payable,- -,- -,18016000,20617000,20413000,26282000,22463000,35561000,28482000,28562000,32223000,35374000,- -,48962000,67139000,55352000,59435000,70796000,93529000,54531000,25453000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,208750000,174000000,121500000,103000000,10000000,10000000,10000000,8200000,8200000,5824000,6899000,11663000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3195000,1654000,2587000,2112000,1917000,1846000,1329000,2756000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8016000,10836000,9222000,10450000,12887000,29150000,26980000,36238000
52,Other Current Liabilities,- -,- -,- -,54450000,395372000,155625000,114949000,96961000,78126000,-131146000,21159000,76762000,102723000,166847000,163356000,268940000,382363000,379753000,278687000,231080000,398440000
53,Total Current Liabilities,- -,- -,- -,75067000,415785000,181907000,137412000,132522000,106608000,106166000,227382000,233636000,205723000,233825000,251331000,343514000,460448000,471636000,407190000,319490000,471794000
54,Long-Term Debt,- -,- -,- -,478250000,- -,274480000,263480000,265750000,249750000,208750000,141827000,121500000,103000000,1178787000,1153579000,1111880000,1159643000,1155016000,1108078000,1128003000,975525000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57333000,27644000,57611000,38207000,27867000,26401000,19956000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5867000,4091000,2951000,19409000,2637000,33566000,17628000,13831000
58,Total Non-Current Liabilities,- -,- -,- -,478250000,- -,274480000,263480000,265750000,249750000,208750000,141827000,121500000,103000000,1241987000,1185314000,1172442000,1217259000,1185520000,1168045000,1165587000,989356000
59,Other Liabilities,71005000,84768000,44380000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5824000,5649000,5663000
61,Total Liabilities,71005000,84768000,44380000,553317000,415785000,456387000,400892000,398272000,356358000,314916000,369209000,355136000,308723000,1475812000,1436645000,1515956000,1677707000,1657156000,1575235000,1485077000,1461150000
62,Preferred Stock,- -,- -,- -,40000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,32000,149000,82000,83000,83000,83000,85000,86000,87000,89000,90000,91000,91000,93000,95000,109000,112000,117000
64,Retained Earnings,- -,- -,- -,-58801000,-36210000,-9601000,14103000,37659000,71302000,88796000,97925000,123614000,148012000,160152000,55180000,-194299000,-246202000,-229457000,-212940000,-294620000,-141755000
65,Other Comprehensive Income/Loss,- -,- -,1741000,1950000,1726000,2161000,2708000,1243000,2190000,2587000,2340000,2558000,2827000,1569000,318000,-2109000,-253000,-1998000,-819000,-1191000,-1455000
66,Other Total Stockholders Equity,205202000,202271000,199247000,- -,128819000,139515000,121402000,121893000,71922000,52010000,59507000,72500000,67676000,69662000,81831000,88524000,105729000,122465000,267638000,287801000,317593000
67,Total Stockholders Equity,205202000,202271000,199247000,-56779000,94484000,132157000,138296000,160878000,145497000,143478000,159858000,198759000,218604000,231473000,137420000,-107793000,-140633000,-108895000,53988000,-7898000,174500000
68,Total Liabilities And Stockholders Equity,276207000,287039000,243627000,496538000,510269000,588544000,539188000,559150000,501855000,458394000,529067000,553895000,527327000,1707285000,1574065000,1408163000,1537074000,1548261000,1629223000,1477179000,1635650000
69,Minority Interest,- -,- -,- -,87000,149000,103000,135000,- -,-88000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,276207000,287039000,243627000,496625000,510418000,588647000,539323000,559150000,501767000,458394000,529067000,553895000,527327000,1707285000,1574065000,1408163000,1537074000,1548261000,1629223000,1477179000,1635650000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1318568/000136231007000366/0001362310-07-000366-index.htm,https://www.sec.gov/Archives/edgar/data/1318568/000136231008001487/0001362310-08-001487-index.htm,https://www.sec.gov/Archives/edgar/data/1318568/000136231009003458/0001362310-09-003458-index.html,https://www.sec.gov/Archives/edgar/data/1318568/000095012310024786/0000950123-10-024786-index.html,https://www.sec.gov/Archives/edgar/data/1318568/000095012311025240/0000950123-11-025240-index.htm,https://www.sec.gov/Archives/edgar/data/1318568/000104746912002471/0001047469-12-002471-index.html,https://www.sec.gov/Archives/edgar/data/1318568/000104746913002599/0001047469-13-002599-index.html,https://www.sec.gov/Archives/edgar/data/1318568/000104746914002144/0001047469-14-002144-index.htm,https://www.sec.gov/Archives/edgar/data/1318568/000104746915002295/a2223630z10-k.htm,https://www.sec.gov/Archives/edgar/data/1318568/000155837016004171/0001558370-16-004171-index.html,https://www.sec.gov/Archives/edgar/data/1318568/000155837017001764/0001558370-17-001764-index.html,https://www.sec.gov/Archives/edgar/data/1318568/000156459018005916/0001564590-18-005916-index.html,https://www.sec.gov/Archives/edgar/data/1318568/000131856819000020/0001318568-19-000020-index.html,https://www.sec.gov/Archives/edgar/data/1318568/000131856820000017/0001318568-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/1318568/000131856821000035/0001318568-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1318568/000131856822000035/0001318568-22-000035-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,42141000,50422000,58389000,254555000,22591000,26609000,23704000,26030000,33638000,17494000,9129000,25689000,24398000,12140000,-104972000,-249479000,-51903000,12356000,16517000,-81680000,152925000
74,Depreciation and Amortization,- -,11820000,14061000,15166000,14051000,11473000,12762000,17193000,17936000,16195000,16644000,16639000,16938000,22944000,138638000,153325000,124606000,134891000,140845000,150439000,119474000
75,Deferred Income Tax,- -,- -,- -,-214665000,7228000,15899000,14514000,20677000,19578000,- -,- -,14376000,13643000,6613000,-19878000,29940000,-20015000,-10343000,-1593000,-6579000,-52077000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,8454000,7935000,6809000,6655000,5078000,8876000,8284000,6735000,6411000,7251000,9857000,13036000,20900000
77,Change in Working Capital,- -,- -,- -,23233000,-325417000,321973000,10542000,-5087000,-776000,-31913000,-44323000,37787000,14212000,12319000,-10098000,-4327000,-10165000,29344000,78038000,16807000,86837000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5070000,-8169000,-884000,-29320000,-41754000,8621000,-37617000
79,Inventory,- -,- -,- -,-659000,-1093000,- -,- -,- -,- -,814000,-3146000,134000,-2286000,-850000,-1075000,5600000,-5753000,-3848000,-3067000,-5650000,-3755000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-7528000,-715000,3658000,3148000,- -,- -,- -,- -,- -,-1102000,- -,- -,- -
81,Other Working Capital,- -,- -,- -,23233000,-302184000,19789000,30331000,25244000,24468000,-7445000,-51768000,-13981000,231000,12550000,2452000,-1875000,-12040000,17304000,95342000,112149000,- -
82,Other Non-Cash Items,31469000,19722000,-38979000,-3077000,318130000,-305875000,30352000,12511000,12133000,59187000,65993000,56342000,-69935000,-38361000,112613000,195517000,46894000,120787000,-158774000,-55844000,63571000
83,Cash Provided by Operating Activities,73610000,81964000,33471000,75212000,36583000,70079000,91874000,71324000,90963000,68898000,54252000,157488000,4334000,24531000,124587000,131711000,95828000,294286000,84890000,36179000,391630000
84,CAPEX,- -,- -,-7047000,-3261000,-7098000,-15711000,-10930000,-8135000,-7216000,-9051000,-7420000,-13654000,-13986000,-18021000,-79801000,-80741000,-96490000,-103031000,-114291000,-76429000,-104708000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-50881000,-38000,-15354000,-10763000,- -,- -,-1068000000,-10857000,-694000,- -,- -,-35000000,-15000000,-16000000
