,https://roic.ai/company/TBI,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
52,Other Current Liabilities,5207327,9300000,12100000,27100000,24200000,29653000,36973000,45037000,- -,60211000,71771000,76496000,81987000,68607000,-25906200000,85923000,-32049700000,-32625400000,-37368600000,131500000,150856000,- -,157328000,151324000,144814000,192830000,169277000
53,Total Current Liabilities,7955731,11500000,15800000,34800000,37200000,56247000,52785000,57836000,- -,76508000,100000000,101400000,114500000,95300000,84800000,85923000,112300000,113600000,121400000,187200000,227976000,- -,212419000,225526000,230806000,268967000,258546000
54,Long-Term Debt,9694560,100000,100000,5100000,6600000,6843000,4998000,73574000,- -,71276000,- -,- -,- -,- -,- -,- -,- -,- -,29700000,199400000,243397000,- -,116489000,101747000,63865000,54797000,54927000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6300000,2562000,7640000,19768000,26892000,- -,- -,4388000,3228000,- -,- -
57,Other Non-Current Liabilities,- -,- -,6500000,10300000,19500000,30229000,36554000,53679000,- -,93929000,123500000,138400000,146900000,154200000,147900000,147836000,148600000,151938000,167360000,190932000,225604000,- -,225276000,191744000,212283000,219623000,226686000
58,Total Non-Current Liabilities,9694560,1200000,6600000,15400000,26100000,37072000,41552000,127253000,- -,165205000,123500000,138400000,146900000,154200000,147900000,147836000,154900000,154500000,204700000,410100000,495893000,- -,341765000,297879000,279376000,274420000,281613000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43207000,68735000,67024000
61,Total Liabilities,17650291,12700000,22400000,50200000,63300000,93319000,94337000,185089000,- -,241713000,223500000,239800000,261400000,249500000,232700000,233759000,267200000,268100000,326100000,597300000,723869000,- -,554184000,523405000,510182000,543387000,540159000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,7116422,- -,- -,- -,62900000,52074000,50665000,50854000,- -,63914000,149400000,76400000,1000,1000,1000000,- -,1000000,1000000,1000000,1000,1000,- -,1000,1000,1000,1000,1000
64,Retained Earnings,589547,1300000,7400000,25700000,47500000,60280000,69495000,81081000,- -,134925000,196900000,273400000,280100000,268100000,283200000,309800000,290900000,330900000,391300000,468500000,549585000,- -,561650000,606087000,639210000,452017000,508813000
65,Other Comprehensive Income/Loss,-690648,-1400000,-2800000,-6100000,-10800000,-17827000,-25099000,176000,- -,3555000,2237000,2728000,3738000,1992000,2275000,2906000,2643000,2818000,2033000,871000,-14013000,- -,-6804000,-14649000,-13238000,-14828000,-15747000
66,Other Total Stockholders Equity,1516023,51700000,53400000,60900000,11600000,17577000,24632000,- -,- -,- -,61000,-10000,-12000,36000,-1043000,1000,-964000,-1044000,-973000,-38000,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,8531344,51600000,58000000,80500000,111200000,112104000,119693000,132111000,- -,202394000,348598000,352518000,283827000,270129000,285432000,312707000,293579000,333674000,393360000,469334000,535573000,- -,554847000,591439000,625973000,437190000,493067000
68,Total Liabilities And Stockholders Equity,26181635,64300000,80400000,130700000,174500000,205423000,214030000,317200000,- -,444107000,572098000,592318000,545227000,519629000,518132000,546466000,560779000,601774000,719460000,1066634000,1259442000,- -,1109031000,1114844000,1136155000,980577000,1033226000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000,-18000,-27000,71000,-32000,- -,21000,-74000,40000,66000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,26181635,64300000,80400000,130700000,174500000,205423000,214030000,317200000,- -,444107000,572100000,592300000,545200000,519700000,518100000,546466000,560800000,601700000,719500000,1066700000,1259442000,- -,1109031000,1114844000,1136155000,980577000,1033226000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/768899/000076889996000002/0000768899-96-000002-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/768899/000110465901500169/0001104659-01-500169-index.htm,https://www.sec.gov/Archives/edgar/data/768899/000110465902001310/0001104659-02-001310-index.htm,https://www.sec.gov/Archives/edgar/data/768899/000110465903004264/0001104659-03-004264-index.htm,undefined,- -,https://www.sec.gov/Archives/edgar/data/768899/000110465906014572/0001104659-06-014572-index.htm,https://www.sec.gov/Archives/edgar/data/768899/000110465907012294/0001104659-07-012294-index.htm,https://www.sec.gov/Archives/edgar/data/768899/000104746908001479/0001047469-08-001479-index.htm,https://www.sec.gov/Archives/edgar/data/768899/000104746909001556/0001047469-09-001556-index.htm,https://www.sec.gov/Archives/edgar/data/768899/000119312510032440/0001193125-10-032440-index.htm,https://www.sec.gov/Archives/edgar/data/768899/000119312511042254/0001193125-11-042254-index.htm,https://www.sec.gov/Archives/edgar/data/768899/000076889912000010/0000768899-12-000010-index.htm,https://www.sec.gov/Archives/edgar/data/768899/000076889913000009/0000768899-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/768899/000076889914000008/0000768899-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/768899/000076889915000010/0000768899-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/768899/000076889916000069/0000768899-16-000069-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/768899/000076889918000006/0000768899-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/768899/000076889919000065/0000768899-19-000065-index.htm,https://www.sec.gov/Archives/edgar/data/768899/000076889920000063/0000768899-20-000063-index.htm,https://www.sec.gov/Archives/edgar/data/768899/000076889921000085/0000768899-21-000085-index.htm,https://www.sec.gov/Archives/edgar/data/768899/000076889922000079/0000768899-22-000079-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2061807,700000,7000000,19800000,23100000,10059000,9215000,11586000,- -,36313000,62000000,76500000,66200000,-4200000,8800000,19839000,30800000,33600000,44900000,65700000,71247000,- -,55456000,65754000,63073000,-141841000,61634000
74,Depreciation and Amortization,522436,1800000,4000000,6100000,4800000,7380000,8340000,9626000,- -,10902000,10087000,10364000,12223000,16774000,17030000,16468000,16384000,18890000,20472000,29474000,41843000,- -,46115000,41049000,37549000,32031000,27556000
75,Deferred Income Tax,-502451,200000,-3800000,-4000000,-6500000,-4448000,1044000,-393000,- -,14168000,-658000,-3169000,-8696000,2960000,2772000,5322000,-1910000,3091000,-3844000,12663000,5176000,- -,2440000,-1929000,1263000,-26791000,752000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7706000,7066000,7159000,7432000,7917000,8412000,11051000,11103000,- -,7744000,13876000,9769000,9113000,13943000
77,Change in Working Capital,-6874297,24940105,12600000,21300000,26600000,-3541000,-13416000,38711000,- -,50550000,34150000,19700000,-123400000,32500000,15800000,44277000,-39277000,35300000,31500000,-6500000,86389000,- -,39192000,-11559000,-13374000,-81009000,-102416000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36602000,-14812000,-11604000,-51824000,-20408000,-4181000,-77629000,-89474000,- -,-28483000,11640000,5450000,57146000,-81616000
