,https://roic.ai/company/OC,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-620000000,- -,- -,- -,-84000000,- -,-62000000,-12000000,- -,-452000000,-570000000,-1143000000,- -,- -,-42000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-120000000,-81000000,-70000000,-564000000,- -,-1000000,-4000000,-7000000,-14000000,- -,- -,- -,- -,-620000000,- -,- -,- -,-84000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,4000000,- -,- -,64000000,31000000,- -,- -
88,Other Investing Activites,- -,- -,-214000000,-22000000,-24000000,-4000000,-14000000,23000000,-4000000,35000000,-8000000,635000000,20000000,148000000,28000000,12000000,32000000,-88000000,5000000,- -,1057000000,272000000,39000000,65000000,165000000,79000000,108000000,84000000,20000000,10000000,6000000,27000000,22000000,102000000,81000000
89,Cash Used for Investing Activites,- -,- -,-339000000,-143000000,-120000000,-134000000,-178000000,-355000000,-361000000,-360000000,-799000000,382000000,-225000000,-332000000,-249000000,-250000000,-176000000,-320000000,-283000000,-77000000,-430000000,-162000000,-204000000,-249000000,-445000000,-253000000,-307000000,-286000000,-369000000,-815000000,-901000000,-1589000000,-394000000,-205000000,-377000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-51000000,-128000000,-43000000,-133000000,-1129000000,-38000000,-91000000,-4000000,-3000000,-56000000,-21000000,-31000000,- -,- -,-980000000,-621000000,-1238000000,-1433000000,-2421000000,-1109000000,-1746000000,-1682000000,-1138000000,-1484000000,-1979000000,-3032000000,-1095000000,-193000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000000,-3000000,-120000000,-138000000,-113000000,-63000000,-44000000,-138000000,-247000000,-159000000,-236000000,-61000000,-318000000,-570000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000000,-14000000,-16000000,-16000000,-12000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-56000000,-78000000,-81000000,-89000000,-92000000,-95000000,-104000000,-108000000
94,Other Financing Activites,- -,- -,-50000000,-240000000,-137000000,-59000000,-74000000,229000000,164000000,96000000,829000000,637000000,322000000,1105000000,-10000000,-2000000,13000000,-3000000,1000000,-54000000,-731000000,1147000000,607000000,608000000,1745000000,2458000000,1065000000,1704000000,1565000000,1378000000,1735000000,2954000000,2615000000,1159000000,-10000000
95,Cash Used/Provided by Financing Activities,- -,- -,-50000000,-240000000,-137000000,-59000000,-74000000,178000000,36000000,50000000,682000000,-508000000,268000000,1002000000,-14000000,-5000000,-43000000,-24000000,-30000000,-54000000,-731000000,67000000,-17000000,-750000000,174000000,-76000000,-107000000,-142000000,-333000000,-88000000,3000000,647000000,-573000000,-358000000,-881000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,2000000,-1000000,-2000000,1000000,- -,-1000000,9000000,23000000,15000000,1000000,- -,25000000,3000000,8000000,-1000000,-18000000,2000000,-2000000,-3000000,-11000000,-18000000,17000000,-29000000,24000000,-27000000,-3000000
97,Net Change In Cash,- -,- -,-50000000,-240000000,-137000000,-59000000,-74000000,56000000,-41000000,27000000,13000000,-4000000,16000000,480000000,214000000,111000000,130000000,120000000,434000000,-116000000,-954000000,101000000,328000000,-512000000,- -,3000000,2000000,10000000,29000000,22000000,135000000,-168000000,94000000,545000000,242000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,59000000,18000000,45000000,58000000,54000000,70000000,550000000,764000000,875000000,1005000000,1125000000,1559000000,1089000000,135000000,236000000,564000000,52000000,52000000,55000000,57000000,67000000,96000000,118000000,253000000,85000000,179000000,724000000,966000000
99,Cash at the Beginning of Period,- -,- -,23000000,29000000,7000000,3000000,2000000,3000000,59000000,18000000,45000000,58000000,54000000,70000000,550000000,764000000,875000000,1005000000,1125000000,1205000000,1089000000,135000000,236000000,564000000,52000000,52000000,55000000,57000000,67000000,96000000,118000000,253000000,85000000,179000000,724000000
100,Free Cash Flow,- -,- -,270000000,240000000,157000000,62000000,89000000,103000000,66000000,10000000,-96000000,-129000000,-272000000,-666000000,208000000,109000000,118000000,217000000,458000000,-62000000,-65000000,-241000000,298000000,174000000,-153000000,-2000000,65000000,78000000,349000000,570000000,679000000,266000000,590000000,828000000,1087000000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1370946/000119312508040193/0001193125-08-040193-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000119312509031783/0001193125-09-031783-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000119312510032821/0001193125-10-032821-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000119312511037296/0001193125-11-037296-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000119312512062185/0001193125-12-062185-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000119312513066200/0001193125-13-066200-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000119312514046910/0001193125-14-046910-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000137094615000061/0001370946-15-000061-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000137094616000272/0001370946-16-000272-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000137094617000006/0001370946-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000137094618000010/0001370946-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000137094619000012/0001370946-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000137094620000015/0001370946-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000137094621000011/0001370946-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000137094622000010/0001370946-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
