,https://roic.ai/company/MRVL,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6808000,-12161000,-24620000,-28780000,-95241000,-45762000,-99500000,-188725000,-136637000,-78443000,-55412000,-113317000,-102602000,-103188000,-84240000,-79454000,-55731000,-54819000,-45138000,-87461000,-86633000,-119506000,-187121000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68542000,-29450000,1098000,968000,-69000,-186401000,-901899000,-19987000,-5287000,- -,-29446000,-93916000,-1000000,1886000,12519000,-41000,16000,8491000,-2652817000,627704000,- -,-3554936000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-118728000,-97661000,-130810000,-435364000,-712908000,-266938000,-263209000,-10172000,-806979000,-1264517000,-1855699000,-1552652000,-837892000,-1128319000,-1056045000,-764856000,-1135494000,-39956000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27784000,75480000,107514000,149290000,631264000,812831000,230906000,29181000,118362000,877951000,1462164000,1835655000,995039000,826310000,1303500000,981254000,1033163000,986881000,18832000,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6573000,-400000,-13137000,-16225000,- -,- -,3782000,-5200000,-15598000,-23144000,-13823000,-35002000,-17647000,-16424000,1771000,-10309000,171912000,29260000,-5769000,-12846000,-20870000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6808000,56381000,-151587000,-50263000,-130706000,-348130000,-367545000,-544731000,-185145000,-64721000,-744029000,-529329000,-590053000,178815000,74793000,-368944000,201690000,161595000,39521000,-1752553000,558846000,-119644000,-3745130000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-397213000,-1787000,-1940000,-511000,- -,- -,- -,- -,- -,- -,-756128000,-1250000000,-250000000,-708083000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6874000,- -,32381000,22240000,86536000,131679000,163126000,45645000,65903000,92645000,111645000,165954000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-480000,-115000,-5000,- -,- -,- -,- -,- -,- -,- -,-87486000,-1340876000,-936935000,-376285000,-64962000,-260875000,-181564000,-527574000,-103974000,-364272000,-25202000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-98761000,-119449000,-122801000,-122821000,-122292000,-119251000,-148081000,-159573000,-160574000,-191049000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1623000,99435000,-341000,-1957000,-6560000,-12577000,-15918000,381352000,-10470000,365000,677000,899000,98021000,94895000,186699000,72998000,43857000,36608000,110581000,1857920000,919896000,-161004000,3689960000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5251000,98955000,31925000,20278000,79976000,119102000,147208000,426997000,55433000,-304203000,110535000,77427000,-1243366000,-940801000,-309035000,-114765000,-339839000,-267248000,-536244000,849737000,-853949000,-596780000,2790828000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11085000,167528000,-69645000,10833000,99083000,-7498000,181960000,219577000,47640000,311761000,178019000,741646000,-1062172000,-32949000,213797000,245227000,67203000,-464088000,74390000,-306072000,65194000,100863000,-134934000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16600000,184128000,114483000,125316000,224399000,166471000,348431000,568008000,615648000,927409000,1105428000,1847074000,784902000,751953000,965750000,1210977000,1278180000,814092000,888482000,582410000,647604000,748467000,613533000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5515000,16600000,184128000,114483000,125316000,173969000,166471000,348431000,568008000,615648000,927409000,1105428000,1847074000,784902000,751953000,965750000,1210977000,1278180000,814092000,888482000,582410000,647604000,748467000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5834000,31000,25397000,12038000,54572000,175768000,302797000,148586000,40715000,602242000,756101000,1080231000,668645000,625849000,363799000,649482000,149621000,-413254000,525975000,509283000,273664000,697781000,632247000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1058057/000089161802002079/0000891618-02-002079-index.html,https://www.sec.gov/Archives/edgar/data/1058057/000089161803002249/0000891618-03-002249-index.htm,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1058057/000119312513134707/0001193125-13-134707-index.html,https://www.sec.gov/Archives/edgar/data/1058057/000119312514118715/d658295d10k.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1058057/000105805718000009/0001058057-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1058057/000105805719000010/0001058057-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1058057/000105805720000014/0001058057-20-000014-index.html,- -,https://www.sec.gov/Archives/edgar/data/1835632/000183563222000016/0001835632-22-000016-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
