,https://roic.ai/company/NATR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,-1000000,-1500000,- -,-4000000,-200000,-600000,300000,-2700000,-1500000,-4800000,-29400000,-16700000,1300000,400000,-5600000,-4970000,5923000,6466000,13125000,-14117000,31125000,30686000,20553000,1995000,-9522000,2717000,-32395000,-36593000,6740000,16418000,4796000,3783000,-13286000,19443000,6306000,3735000,8377000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,4500000,4000000,5800000,4800000,7700000,7400000,10600000,18600000,24200000,25600000,17600000,29146000,25792000,12331000,17294000,18079000,17012000,14252000,12832000,772000,927000,16150000,3908000,26651000,29378000,14182000,10162000,3417000,10524000,21833000,8545000,37659000,34608000
84,CAPEX,- -,- -,- -,- -,-1300000,-1600000,-1800000,-2800000,-3000000,-2600000,-6100000,-10500000,-7500000,-6500000,-4500000,-5005000,-15491000,-6076000,-3702000,-8124000,-4284000,-3481000,-5456000,-7504000,-3211000,-2595000,-2419000,-6629000,-8570000,-26285000,-22527000,-11537000,-5501000,-4834000,-5104000,-4905000,-6666000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4824000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-300000,- -,- -,- -,- -,-1000000,-8300000,-700000,- -,-3111000,-598000,-2699000,-6128000,-1317000,-1901000,- -,- -,- -,-3439000,-6968000,-174000,-442000,-721000,-3000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,300000,- -,- -,- -,1519000,- -,780000,5084000,4753000,1718000,1396000,1432000,665000,2844000,125000,7697000,3789000,200000,247000,810000,5000,1776000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,100000,100000,-1800000,-3000000,300000,-1200000,1000000,- -,300000,-700000,-2900000,-1262000,-1514000,540000,1473000,1579000,204000,-736000,-2677000,80000,70000,- -,11000,25000,248000,85000,3128000,-509000,521000,5045000,2000,- -,54000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1200000,-1500000,-3600000,-6000000,-2700000,-3800000,-5100000,-10200000,-8200000,-15500000,-8100000,-9572000,-20116000,-5354000,156000,-7920000,-3679000,-3959000,-5701000,-6759000,-297000,-5909000,-1679000,-2989000,-8564000,-26674000,-18592000,-11532000,-3204000,211000,-5102000,-4905000,-6612000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27500000,-11643000,- -,- -,-7900000,- -,-810000,-3570000,-3353000,-12267000,- -,- -,-15922000,-81503000,-2064000,-5692000,-2203000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,200000,- -,400000,800000,5800000,9900000,2300000,- -,29000,1106000,2894000,2743000,13422000,- -,- -,- -,- -,- -,- -,- -,- -,- -,44795000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-1200000,-200000,-200000,- -,-300000,-300000,-1300000,-4900000,-26100000,-14300000,-9200000,-5509000,-2705000,-16877000,-11796000,-16999000,-11363000,- -,- -,- -,- -,- -,- -,- -,-2546000,-7455000,-6645000,- -,- -,- -,- -,- -,-7425000
93,Dividends Paid,- -,- -,- -,- -,-1200000,-1200000,-1300000,-1700000,-2200000,-2200000,-2400000,-2500000,-2500000,-2500000,-2300000,-2247000,-2170000,-2111000,-1891000,-3001000,-3053000,-3069000,-3102000,-3102000,-776000,- -,- -,-2349000,-30419000,-35228000,-7490000,-7509000,-1848000,- -,- -,- -,-19858000
94,Other Financing Activites,- -,- -,- -,- -,-100000,- -,100000,- -,- -,1500000,1200000,7100000,3200000,-600000,-800000,-634000,-385000,5500000,-500000,2500000,34660000,5409000,1498000,- -,7900000,132000,10398000,2786000,14987000,5079000,6557000,7223000,19343000,69311000,2001000,9570000,-2235000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-2500000,-1400000,-1400000,-1500000,-2500000,-600000,-1700000,5500000,-15500000,-15100000,-12300000,-8361000,-4154000,-10594000,-11444000,-4078000,-7256000,-9303000,-1604000,-3102000,-776000,132000,9588000,-3133000,-21331000,-5076000,-7578000,-286000,1573000,-12192000,-63000,3878000,-31721000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-100000,-100000,- -,-500000,-800000,-200000,-500000,-600000,-800000,-843000,-537000,4000,-1516000,-540000,-895000,196000,711000,-1357000,831000,1693000,-452000,-257000,-1477000,-980000,-1271000,-735000,1733000,-2124000,-389000,1808000,-2160000
97,Net Change In Cash,- -,- -,- -,- -,-2500000,-1400000,-1400000,-1500000,-2500000,-600000,-1700000,5500000,-15500000,-15100000,-3700000,10370000,985000,-3613000,4490000,5541000,5182000,1186000,6238000,-10446000,685000,12066000,11365000,20272000,-1994000,-18548000,-17279000,-9136000,10626000,7728000,2991000,38440000,-5885000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18400000,28803000,29788000,26175000,30665000,36206000,37875000,39061000,45299000,34853000,35538000,47604000,58969000,79241000,77247000,58699000,41420000,32284000,42910000,50638000,53629000,92069000,86184000
99,Cash at the Beginning of Period,- -,- -,- -,- -,6500000,7300000,8500000,9100000,6300000,8700000,11200000,14200000,27900000,27800000,22100000,18433000,28803000,29788000,26175000,30665000,32693000,37875000,39061000,45299000,34853000,35538000,47604000,58969000,79241000,77247000,58699000,41420000,32284000,42910000,50638000,53629000,92069000
100,Free Cash Flow,- -,- -,- -,- -,3200000,2400000,4000000,2000000,4700000,4800000,4500000,8100000,16700000,19100000,13100000,24141000,10301000,6255000,13592000,9955000,12728000,10771000,7376000,-6732000,-2284000,13555000,1489000,20022000,20808000,-12103000,-12365000,-8120000,5023000,16999000,3441000,32754000,27942000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/275053/000091205702009975/0000912057-02-009975-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000110465903005152/0001104659-03-005152-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000110465904007425/0001104659-04-007425-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000110465905011412/0001104659-05-011412-index.htm,- -,https://www.sec.gov/Archives/edgar/data/275053/000110465908062460/0001104659-08-062460-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000110465908062462/0001104659-08-062462-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000110465909019160/0001104659-09-019160-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000110465910014614/0001104659-10-014614-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000110465911013837/0001104659-11-013837-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000110465912015681/0001104659-12-015681-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000110465913018014/0001104659-13-018014-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000110465914020306/0001104659-14-020306-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000110465915019269/0001104659-15-019269-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000162828016012675/0001628280-16-012675-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000162828017002548/0001628280-17-002548-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000162828018003302/0001628280-18-003302-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000162828019002700/0001628280-19-002700-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000027505320000009/0000275053-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000027505321000002/0000275053-21-000002-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000027505322000002/0000275053-22-000002-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
