,https://roic.ai/company/CULP,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,-10000000,- -,- -,20300000,600000,6700000,-13900000,-2700000,-9800000,-28900000,-17700000,-57200000,11600000,-11473000,49808000,4636000,66889000,10703000,38080000,20405000,21221000,-2238000,34112000,-7667000,-13363000,-11003000,-17129000,-11956000,4142000,-11812000,17674000,-36553000,793000,2730000,35528000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,22800000,9700000,10200000,6200000,17900000,13900000,15700000,23400000,8900000,32500000,21818000,36079000,42177000,31129000,25352000,3972000,10300000,11465000,16364000,22768000,21577000,14821000,12003000,17075000,20219000,26111000,26795000,32981000,27473000,13873000,4970000,21478000
84,CAPEX,- -,- -,- -,- -,-5400000,-11100000,-12400000,-11900000,-16800000,-18100000,-14400000,-27000000,-35900000,-10700000,-22559000,-8050000,-4729000,-6830000,-5976000,-11448000,-6242000,-6262000,-4846000,-1970000,-7431000,-6352000,-5890000,-4400000,-5258000,-10461000,-11475000,-11858000,-8005000,-3261000,-4585000,-6664000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2640000,- -,- -,-1129000,-5202000,-12216000,-220000,-982000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-700000,-40000,- -,- -,-10043000,-17282000,- -,- -,- -,- -,- -,-3023000,-6713000,-4797000,-105000,-2710000,-7005000,-1753000,-32415000,-1951000,-1021000,-15808000,-13836000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3380000,- -,- -,- -,27325000,- -,- -,- -,- -,- -,- -,2037000,6707000,795000,810000,1628000,5612000,2000000,57000,29371000,12706000,10790000
88,Other Investing Activites,- -,- -,- -,- -,-800000,3800000,- -,- -,-41100000,-8300000,-5700000,-6300000,-36500000,700000,- -,4547000,- -,- -,- -,- -,3950000,3315000,2723000,-8728000,-6848000,-6273000,-5591000,-3703000,-4881000,-9432000,-11260000,-11735000,-8017000,-973000,-2390000,-6652000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-6200000,-7300000,-12400000,-11900000,-57900000,-26400000,-20100000,-33300000,-72400000,-10700000,-19219000,-3503000,-4729000,-16873000,4067000,-11448000,-2292000,-2947000,-2123000,-8728000,-9871000,-10949000,-3681000,-3013000,-9421000,-14809000,-7401000,-43279000,-15113000,15161000,-5712000,-10680000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16809000,-5415000,-556000,-7904000,-3840000,-2200000,-2738000,-9200000,-9000000,-19000000,-12000000,- -,-38378000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,200000,100000,1400000,100000,300000,17100000,600000,- -,79000,17000,552000,1384000,196000,22000,369000,262000,459000,21000,673000,769000,318000,205000,194000,94000,200000,37000,111000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5500000,-6636000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5384000,-5022000,- -,-745000,-2397000,- -,- -,-3323000,-1680000,- -
93,Dividends Paid,- -,- -,- -,- -,-400000,-500000,-500000,-700000,-900000,-1100000,-1200000,-1500000,-1800000,-1800000,-1611000,-1177000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7593000,-2204000,-7579000,-8140000,-6280000,-6843000,-4732000,-5075000,-5292000
94,Other Financing Activites,- -,- -,- -,- -,-7800000,-2200000,-1600000,9600000,34900000,12200000,4400000,-5400000,66200000,-16300000,6067000,-31216000,-7214000,-33278000,-29402000,-2007000,-3770000,-8325000,-19955000,9631000,-571000,312000,6350000,1076000,60000,109000,7707000,8605000,13720000,9894000,37398000,-40000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-8200000,-2700000,-1900000,9000000,35400000,11200000,3500000,10200000,65000000,-23600000,-2101000,-32376000,-6662000,-31894000,-29206000,-1985000,-3401000,-8063000,-19496000,-7157000,-5313000,525000,-6620000,-15174000,-4150000,-10859000,-11830000,-6638000,-12012000,-10161000,30643000,-43710000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105000,489000,140000,-381000,-875000,-21000,498000,-56000,85000,-93000,-119000,131000
97,Net Change In Cash,- -,- -,- -,- -,-8200000,-2700000,-1900000,9000000,35400000,11200000,3500000,10200000,65000000,-23600000,498000,200000,30786000,-17638000,213000,-9461000,4607000,455000,-5255000,6883000,6498000,4886000,1842000,-1493000,5773000,422000,8062000,-16992000,433000,18780000,29782000,-32781000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1007000,1207000,31993000,14355000,14568000,5107000,9714000,10169000,4914000,11797000,18295000,23181000,25023000,23530000,29303000,29725000,37787000,20795000,21228000,40008000,69790000,37009000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,8200000,8000000,4000000,7200000,2700000,1400000,500000,800000,2300000,509000,1007000,1207000,31993000,14355000,14568000,5107000,9714000,10169000,4914000,11797000,18295000,23181000,25023000,23530000,29303000,29725000,37787000,20795000,21228000,40008000,69790000
100,Free Cash Flow,- -,- -,- -,- -,17400000,-1400000,-2200000,-5700000,1100000,-4200000,1300000,-3600000,-27000000,21800000,-741000,28029000,37448000,24299000,19376000,-7476000,4058000,5203000,11518000,20798000,14146000,8469000,6113000,12675000,14961000,15650000,15320000,21123000,19468000,10612000,385000,14814000
101,SEC Link,undefined,- -,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/723603/000095016895000568/0000950168-95-000568-index.html,https://www.sec.gov/Archives/edgar/data/723603/000095016896001297/0000950168-96-001297-index.html,- -,https://www.sec.gov/Archives/edgar/data/723603/000095016898002447/0000950168-98-002447-index.html,https://www.sec.gov/Archives/edgar/data/723603/000095016899002018/0000950168-99-002018-index.html,https://www.sec.gov/Archives/edgar/data/723603/000072360300000013/0000723603-00-000013-index.html,https://www.sec.gov/Archives/edgar/data/723603/000072360301500028/0000723603-01-500028-index.html,https://www.sec.gov/Archives/edgar/data/723603/000072360302000013/0000723603-02-000013-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/723603/000115752307007015/0001157523-07-007015-index.html,https://www.sec.gov/Archives/edgar/data/723603/000115752308005426/0001157523-08-005426-index.html,https://www.sec.gov/Archives/edgar/data/723603/000115752309004901/0001157523-09-004901-index.html,https://www.sec.gov/Archives/edgar/data/723603/000115752310004033/0001157523-10-004033-index.html,https://www.sec.gov/Archives/edgar/data/723603/000115752311004013/0001157523-11-004013-index.html,https://www.sec.gov/Archives/edgar/data/723603/000115752312003608/0001157523-12-003608-index.html,- -,https://www.sec.gov/Archives/edgar/data/723603/000115752314002798/0001157523-14-002798-index.html,https://www.sec.gov/Archives/edgar/data/723603/000115752315002386/0001157523-15-002386-index.html,https://www.sec.gov/Archives/edgar/data/723603/000115752316006084/0001157523-16-006084-index.html,https://www.sec.gov/Archives/edgar/data/723603/000115752317001944/0001157523-17-001944-index.html,https://www.sec.gov/Archives/edgar/data/723603/000115752318001419/0001157523-18-001419-index.html,https://www.sec.gov/Archives/edgar/data/723603/000115752319001520/a52010021.htm,https://www.sec.gov/Archives/edgar/data/723603/000156459020032587/0001564590-20-032587-index.htm,https://www.sec.gov/Archives/edgar/data/723603/000156459021036807/0001564590-21-036807-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
