,https://roic.ai/company/DY,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2995000,-1557000,2580000,2978000,-11163000,-4244000,7114000,15132000,977000,- -,20064000,-2141000,43747000,-4905000
81,Other Working Capital,- -,- -,- -,15900000,- -,14000000,10900000,-13400000,7500000,9000000,16200000,81200000,162500000,209600000,224500000,186100000,234800000,173555706,223200000,172500000,165100000,173600000,217200000,225558000,211800000,262300000,341300000,409204000,469922000,528607000,619980000,645174000,- -,811449000,935268000,720140000,974294
82,Other Non-Cash Items,- -,- -,- -,-10300000,- -,16900000,11200000,54300000,-17700000,-2600000,-6300000,-75100000,-87100000,-67400000,-34729235,68454337,108428343,24453569,-29720341,60991000,43041000,-3399000,-26777000,107839000,-6832000,-104413000,-132624000,-89473000,-115556000,-112320000,-127197000,-112912000,- -,-313048000,-329886000,402085000,857230132
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,20500000,9300000,6900000,4500000,9200000,11500000,9600000,30600000,37300000,76002849,133234799,65263760,25260563,124126205,87432000,102274000,108461000,104289000,126636000,54138000,43857000,65125000,106744000,84185000,141900000,261488000,256443000,- -,124447000,57999000,381777000,308655000
84,CAPEX,- -,- -,- -,- -,- -,-6900000,-5100000,-6900000,-4800000,-6000000,-7700000,-12100000,-21500000,-81300000,-40198993,-38410950,-15057463,-19411569,-35882142,-64543000,-57140000,-77116000,-72071000,-30529000,-55376000,-61457000,-77612000,-64650000,-89136000,-102997000,-186011000,-201197000,- -,-164963000,-120574000,-58047000,-157042000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31120691,-70890386,-1893476,- -,-175201913,-8527000,-65391000,-61845000,- -,- -,- -,-36451000,- -,-330291000,-17088000,-31909000,-157183000,-26070000,- -,-20917000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-65649000,-79985000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85659000,79985000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-1200000,800000,700000,2400000,2600000,2300000,1700000,2000000,-1500000,2077681,3975550,5549165,6237643,7234369,19102000,9519000,14389000,9972000,-25386000,-46608000,-48927000,-51903000,-58763000,-74032000,-98143000,-175950000,-183077000,- -,-140438000,-101223000,-44628000,-151679000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-8100000,-4300000,-6200000,-2400000,-3400000,-5400000,-10400000,-19500000,-82800000,-69242003,-105325786,-11401774,-13173926,-203849686,-33958000,-113012000,-124572000,-62099000,-25386000,-46608000,-85378000,-51903000,-389054000,-91120000,-130052000,-333133000,-209147000,- -,-161355000,-101223000,-44628000,-151679000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45466000,-4256000,-135932000,-233000,-358699000,-495813000,-467563000,-1486500000,-685563000,- -,-331250000,-505625000,-1375236000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,700000,200000,- -,- -,- -,200000,800000,37400000,118000000,3836165,2453317,990031,1791657,4632497,3968000,2817000,7050000,1339000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-8800000,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1150407,- -,- -,- -,-186235000,- -,-25159000,-2915000,-4489000,-64548000,-12960000,-15203000,-9999000,-87146000,-169997000,-62909000,- -,- -,-1698000,-100000000,-106133000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,-2800000,-4800000,-2600000,-4000000,-4100000,-6700000,2700000,-13200000,-10500000,-2890344,-5580609,-68133142,-78673,-3367667,-5763000,138362000,655000,-15164000,29770000,-172000,183447000,7786000,622238000,514812000,543478000,1740640000,705997000,- -,412127000,476265000,1091792000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-10900000,-4800000,-2600000,-4000000,-4100000,-6500000,3500000,19600000,107500000,945821,-3127292,-68293518,1712984,1264830,-1795000,-45056000,7705000,-38984000,-18611000,-8917000,-17033000,-5407000,248336000,9000000,-11231000,84143000,-42475000,- -,80877000,-31058000,-383444000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,-10900000,-4800000,-2600000,-4000000,-4100000,-6500000,3500000,19600000,62100000,7706667,24781721,-14431532,13799621,-78458651,51679000,-55794000,-8406000,3206000,82639000,-1387000,-58554000,7815000,-33974000,2065000,617000,12498000,4821000,- -,43969000,-74282000,-46295000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98000000,105701950,130483671,116052139,129851760,51393109,83062000,27268000,18862000,22068000,104707000,103320000,44766000,52581000,18607000,20672000,21289000,33787000,38608000,- -,134151000,59869000,13574000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,4600000,6200000,6300000,4400000,2600000,4300000,3900000,5300000,35900000,97995283,105701950,130483671,116052139,129851760,31383000,83062000,27268000,18862000,22068000,104707000,103320000,44766000,52581000,18607000,20672000,21289000,33787000,- -,90182000,134151000,59869000,- -
100,Free Cash Flow,- -,- -,- -,- -,- -,13600000,4200000,- -,-300000,3200000,3800000,-2500000,9100000,-44000000,35803856,94823849,50206297,5848994,88244063,22889000,45134000,31345000,32218000,96107000,-1238000,-17600000,-12487000,42094000,-4951000,38903000,75477000,55246000,- -,-40516000,-62575000,323730000,151613000
101,SEC Link,undefined,undefined,undefined,- -,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/67215/000095014497010566/0000950144-97-010566-index.html,https://www.sec.gov/Archives/edgar/data/67215/000095012398008120/0000950123-98-008120-index.html,https://www.sec.gov/Archives/edgar/data/67215/000095014499011693/0000950144-99-011693-index.html,- -,https://www.sec.gov/Archives/edgar/data/67215/000095014401507681/0000950144-01-507681-index.html,https://www.sec.gov/Archives/edgar/data/67215/000095014402010610/g78449e10vk.htm,https://www.sec.gov/Archives/edgar/data/67215/000095014403011246/g84734e10vk.htm,https://www.sec.gov/Archives/edgar/data/67215/000095014404009678/g91228e10vk.htm,https://www.sec.gov/Archives/edgar/data/67215/000095014405009429/g97261e10vk.htm,https://www.sec.gov/Archives/edgar/data/67215/000095014406008646/g03267e10vk.htm,https://www.sec.gov/Archives/edgar/data/67215/000095014407008441/0000950144-07-008441-index.html,https://www.sec.gov/Archives/edgar/data/67215/000095014408006879/0000950144-08-006879-index.html,https://www.sec.gov/Archives/edgar/data/67215/000095012309040918/0000950123-09-040918-index.html,https://www.sec.gov/Archives/edgar/data/67215/000006721510000020/0000067215-10-000020-index.html,https://www.sec.gov/Archives/edgar/data/67215/000006721511000027/0000067215-11-000027-index.html,https://www.sec.gov/Archives/edgar/data/67215/000006721512000041/0000067215-12-000041-index.html,https://www.sec.gov/Archives/edgar/data/67215/000006721513000046/0000067215-13-000046-index.html,- -,https://www.sec.gov/Archives/edgar/data/67215/000006721515000035/0000067215-15-000035-index.html,https://www.sec.gov/Archives/edgar/data/67215/000006721516000096/0000067215-16-000096-index.html,https://www.sec.gov/Archives/edgar/data/67215/000006721517000033/0000067215-17-000033-index.html,undefined,- -,https://www.sec.gov/Archives/edgar/data/67215/000006721520000012/0000067215-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/67215/000006721521000010/0000067215-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/67215/000006721522000011/0000067215-22-000011-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
