,https://roic.ai/company/NFG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15500000,5700000,-6300000,7300000,-1300000,-7800000,-13707000,-37054000,8717000,-12421000,9860000,1934000,1679000,-5714000,-22116000,81306000,6546000,-9934000,5405000,-3016000,13285000,3438000,-3532000,-1417000,-4021000,-3713000,-6625000,-2014000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41876000,-59622000,14442000,-10551000,1167000,36066000,57720000,-77905000,-2345000,21356000,-24147000,2114000,20585000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-154300000,-203900000,-130400000,-155500000,-478900000,-381800000,-490007000,-509568000,-373490000,-146219000,-103156000,112819000,229108000,114792000,124907000,458463000,251053000,-143306000,-378903000,146506000,-113244000,66861000,109294000,172241000,104531000,-59285000,-145375000,3997000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,77200000,138700000,-13600000,201300000,579400000,45800000,177388000,424055000,29777000,-157747000,194322000,-128505000,222250000,118211000,131437000,177689000,306513000,648992000,532157000,-227171000,715549000,1407281000,1078543000,207585000,292183000,410558000,881427000,387000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,199200000,173500000,168500000,294700000,253000000,271900000,238246000,414144000,345550000,326837000,444300000,317346000,471400000,394197000,482776000,609432000,459695000,677286000,660787000,738572000,909390000,853580000,588979000,684251000,613603000,694483000,740809000,791553000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-135100000,-182800000,-171600000,-214000000,-393200000,-260500000,-269371000,-292706000,-232368000,-152251000,-172341000,-219530000,-294159000,-276728000,-397734000,-309930000,-455764000,-837612000,-1036784000,-703461000,-914417000,-1018179000,-581576000,-450335000,-584004000,-788938000,-1222411000,-751734000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,232092000,- -,-34933000,- -,59365000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1317000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,3600000,10600000,-1300000,-19600000,-109900000,-2700000,-114968000,-95337000,26544000,47421000,9136000,116206000,-3217000,-57136000,68742000,-311093000,-402245000,-777019000,-1036338000,-705983000,-908435000,-1024790000,-453496000,-422565000,-528887000,-799175000,-717358000,-633217000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-131500000,-172200000,-172900000,-233600000,-503100000,-263200000,-384339000,-388043000,-205824000,-104830000,-163205000,-103324000,-297376000,-101772000,-328992000,-347343000,-402245000,-717654000,-1036338000,-705983000,-908435000,-1024790000,-453496000,-422565000,-528887000,-799175000,-1223616000,-633217000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000000,- -,-200000000,-150000000,-250000000,- -,- -,- -,- -,-566512000,- -,- -,-515715000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,9100000,2600000,9000000,7100000,7900000,10700000,14278000,11545000,10915000,17019000,23763000,20279000,23339000,17498000,17432000,28176000,26057000,-592000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-80974000,- -,- -,- -,- -,-48070000,-237006000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-57200000,-59200000,-61200000,-64300000,-67200000,-70100000,-73046000,-76671000,- -,-84530000,-89092000,-106835000,-98266000,-100632000,-103683000,-104158000,-109596000,-114559000,-118798000,-122710000,-126642000,-130719000,-134824000,-139063000,-143258000,-147418000,-153322000,-163089000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4200000,39100000,63200000,-9100000,324200000,51600000,208233000,43772000,-85213000,-126935000,-204485000,-128676000,-88458000,-105887000,112906000,253707000,13207000,38776000,638415000,330485000,97715000,378639000,15717000,302935000,299130000,46323000,629410000,620065000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-52300000,-17500000,11000000,-66300000,264900000,-7800000,149465000,-21354000,-155272000,-194446000,-269814000,-215232000,-163385000,-237091000,-210351000,77725000,-70332000,-276375000,369617000,-42225000,-28927000,247920000,-119107000,163872000,-410640000,-101095000,476088000,-58739000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,-2100000,-469000,-645000,1535000,1644000,3451000,1276000,1365000,-139000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,15400000,-16200000,6600000,-5300000,16400000,-1200000,2903000,4102000,-14011000,29205000,14732000,66000,12004000,55195000,-56567000,339814000,-12882000,-316743000,-5934000,-9636000,-27972000,76710000,16376000,425558000,-325924000,-205787000,-6719000,99597000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,29000000,12800000,19300000,14000000,30400000,29200000,32125000,36227000,22216000,51421000,66153000,57607000,69611000,124806000,68239000,408053000,395171000,80428000,74494000,64858000,36886000,113596000,129972000,555530000,229606000,27260000,20541000,120138000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,13600000,29000000,12700000,19300000,14000000,30400000,29222000,32125000,36227000,22216000,51421000,57541000,57607000,69611000,124806000,68239000,408053000,397171000,80428000,74494000,64858000,36886000,113596000,129972000,555530000,233047000,27260000,20541000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,64100000,-9300000,-3100000,80700000,-140200000,11400000,-31125000,121438000,113182000,174586000,271959000,97816000,177241000,117469000,85042000,299502000,3931000,-160326000,-375997000,35111000,-5027000,-164599000,7403000,233916000,29599000,-94455000,-481602000,39819000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/70145/000007014594000086/0000070145-94-000086-index.html,https://www.sec.gov/Archives/edgar/data/70145/000007014595000086/0000070145-95-000086-index.html,- -,https://www.sec.gov/Archives/edgar/data/70145/000007014597000072/0000070145-97-000072-index.html,https://www.sec.gov/Archives/edgar/data/70145/000007014598000104/0000070145-98-000104-index.html,https://www.sec.gov/Archives/edgar/data/70145/000007014599000100/0000070145-99-000100-index.html,https://www.sec.gov/Archives/edgar/data/70145/000007014500000049/0000070145-00-000049-index.html,https://www.sec.gov/Archives/edgar/data/70145/000007014501500105/0000070145-01-500105-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/70145/000095015205009904/0000950152-05-009904-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000095015206009990/0000950152-06-009990-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000095015207009346/0000950152-07-009346-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000095015208009791/0000950152-08-009791-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000095012309066226/0000950123-09-066226-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000095012310108604/0000950123-10-108604-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000119312511321222/0001193125-11-321222-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000119312512478803/0001193125-12-478803-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000119312513451068/0001193125-13-451068-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000007014514000095/0000070145-14-000095-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000007014515000066/0000070145-15-000066-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000007014516000173/0000070145-16-000173-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000007014517000054/0000070145-17-000054-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000007014518000022/0000070145-18-000022-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000007014519000030/0000070145-19-000030-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000007014520000032/0000070145-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000007014521000030/0000070145-21-000030-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
