,https://roic.ai/company/TAYD,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-100000,100000,-200000,-200000,-300000,-400000,500000,-300000,-335535,1499466,3259448,-776264,-4178845,840206,1060405,-1703722,-1136412,159482,- -,- -,258000,-258000,- -,- -,- -,- -,- -,- -,1461500,- -
95,Cash Used/Provided by Financing Activities,- -,- -,-100000,- -,-100000,- -,-200000,-200000,-200000,-300000,600000,-300000,-369983,1544203,3375498,-645596,-3964471,1141320,1122736,-1688413,-1108634,28705,-1136398,-7448,550377,-249940,172831,77994,346838,190893,187658,50341,1507108,43416
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-100000,- -,-100000,- -,-200000,-200000,-200000,-300000,600000,-500000,-707401,-254426,164263,193056,-328776,-24993,-3386,-37263,87972,-65423,152290,1995947,-2119582,1923922,795768,2102256,1190182,-2761146,-466611,2213499,10088005,5421777
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,314273,59847,224110,417166,88390,63397,60011,22748,110720,45297,197587,2193534,73952,1997874,2793642,4895898,6086080,3324934,2858323,5071822,15159827,20581604
99,Cash at the Beginning of Period,- -,- -,100000,200000,- -,100000,200000,500000,900000,900000,1100000,1500000,1021674,314273,59847,224110,417166,88390,63397,60011,22748,110720,45297,197587,2193534,73952,1997874,2793642,4895898,6086080,3324934,2858323,5071822,15159827
100,Free Cash Flow,- -,- -,200000,-100000,100000,200000,400000,700000,300000,500000,100000,-100000,-302004,-1762715,-3229377,805203,3115609,-1140812,-1120195,1661023,510880,-81281,1256265,2009010,-2664379,2179390,628427,2029689,1848699,-2924484,-632362,2184686,8602128,5408340
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/96536/000009653601500014/0000096536-01-500014-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653602000006/0000096536-02-000006-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653603000016/0000096536-03-000016-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653604000013/0000096536-04-000013-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653605000014/0000096536-05-000014-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653606000024/0000096536-06-000024-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653607000014/0000096536-07-000014-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653608000026/0000096536-08-000026-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653609000016/0000096536-09-000016-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653610000011/0000096536-10-000011-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653611000010/0000096536-11-000010-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653612000032/0000096536-12-000032-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653613000018/0000096536-13-000018-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653614000017/0000096536-14-000017-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653615000022/0000096536-15-000022-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653616000053/0000096536-16-000053-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653617000031/0000096536-17-000031-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653618000022/0000096536-18-000022-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653619000026/0000096536-19-000026-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653620000013/0000096536-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653621000015/0000096536-21-000015-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
