,https://roic.ai/company/SCHW,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4950000000,-4997000000,-1028000000,-1120000000,2709000000,-4651000000,1483000000,6494000000,22909000000,- -
81,Other Working Capital,- -,- -,-1481000000,-719000000,-1372000000,-3178000000,-3908000000,194500000,-5494000000,-6332000000,-7280000000,554600000,754500000,1107500000,1336900000,-2571800000,3358856000,3207000000,3182000000,3298000000,3104000000,3984000000,4790000000,4025000000,4414000000,5305000000,-55198000000,-55964000000,-63308000000,-71773000000,-74518000000,-89489000000,-115510000000,-155384000000,-174060000000,-173275000000,- -,139659000000
82,Other Non-Cash Items,- -,- -,2000000,-758200000,633600000,1816300000,716100000,-4096100000,5694600000,813100000,960200000,-7821600000,-169100000,-450800000,7900000,4347700000,-5293586000,-956144000,-240000000,-892000000,372000000,-1151000000,-399000000,-227000000,-1848000000,-491000000,59858000000,2112000000,7376000000,8753000000,3483000000,14418000000,26404000000,38303000000,27073000000,4302000000,-170392000000,-144867000000
83,Cash Provided by Operating Activities,- -,- -,42000000,53000000,34000000,83100000,51300000,107200000,120700000,131800000,205900000,247300000,357700000,268100000,718100000,1181000000,1639386000,-584000000,169000000,7000000,686000000,675000000,1760000000,1746000000,2000000,1437000000,-9000000,2464000000,1266000000,1656000000,2348000000,1246000000,2662000000,1263000000,12456000000,9325000000,6852000000,2118000000
84,CAPEX,- -,- -,-12000000,-13000000,-7000000,-33500000,-19300000,-27400000,-53500000,-77100000,-31500000,-165600000,-159800000,-139400000,-185500000,-283000000,-704558000,-301000000,-160000000,-153000000,-194000000,-120000000,-59000000,-168000000,-188000000,-140000000,-129000000,-180000000,-148000000,-249000000,-400000000,-266000000,-346000000,-400000000,-570000000,-708000000,-631000000,-916000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,- -,3118000000,-5000000,- -,-44000000,54000000,-80000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-545436000,-1025000000,-1147000000,-3264000000,-3387000000,-3342000000,-3224000000,-3554000000,-10084000000,-19812000000,-30603000000,-20687000000,-37713000000,-39003000000,-22054000000,-40654000000,-60410000000,-47958000000,-73674000000,-51256000000,-202171000000,-171732000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,320472000,1133000000,1051000000,1216000000,1840000000,1758000000,935000000,2034000000,2017000000,7309000000,16804000000,13264000000,22656000000,20834000000,15086000000,13304000000,23187000000,29339000000,33541000000,65717000000,68048000000,- -
88,Other Investing Activites,- -,- -,- -,-92000000,1000000,-33000000,-21200000,-37100000,-49600000,-70900000,-73800000,-273500000,-164500000,-140600000,-186900000,-373700000,-1197897000,-915000000,-643000000,-1640000000,-1011000000,-1788000000,-951000000,-1231000000,-2829000000,-1414000000,-1438000000,-1118000000,-975000000,-1632000000,-1027000000,-1007000000,-1206000000,-1454000000,148000000,-1789000000,8903000000,96985000000
89,Cash Used for Investing Activites,- -,- -,-12000000,-105000000,-6000000,-33000000,-21200000,-37100000,-49600000,-70900000,-73800000,-273500000,-164500000,-140600000,-186900000,-373700000,-1422861000,-807000000,-739000000,-3688000000,-2558000000,-3368000000,-3240000000,367000000,-10901000000,-14057000000,-15410000000,-8667000000,-16260000000,-20050000000,-8395000000,-28623000000,-38775000000,-20473000000,-40555000000,11964000000,-125851000000,-75663000000
90,Debt Repayment,- -,- -,- -,- -,- -,-20800000,-8100000,-6700000,-22700000,-128000000,-35900000,-2800000,-27500000,-33600000,-40000000,-40100000,-58903000,-40000000,-214000000,-100000000,-315000000,-56000000,-68000000,-43000000,-20000000,-80000000,-205000000,-116000000,-732000000,-306000000,-6000000,-357000000,-8511000000,-257000000,-909000000,- -,-700000000,-1822000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,543000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-485000000,-1000000000,-2220000000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-2300000,-3300000,-4900000,-8400000,-10900000,-16000000,-24200000,-31500000,-37100000,-43100000,-45500000,-62366000,-61000000,-60000000,-68000000,-101000000,-116000000,-173000000,-1500000000,-253000000,-279000000,-288000000,-295000000,-337000000,-368000000,-373000000,-387000000,-486000000,-592000000,-787000000,-1060000000,-1280000000,-1822000000
94,Other Financing Activites,- -,- -,5000000,193000000,-84000000,-4800000,-31800000,1500000,13800000,153600000,20600000,102500000,43700000,107300000,-89400000,199100000,598237000,1025000000,-452000000,3567000000,2281000000,2417000000,4323000000,1687000000,9850000000,15778000000,12059000000,10362000000,20047000000,14133000000,10061000000,28736000000,43960000000,23933000000,49862000000,-10659000000,145962000000,99967000000
95,Cash Used/Provided by Financing Activities,- -,- -,5000000,193000000,-84000000,-27900000,-43200000,-10100000,-17300000,14700000,-31300000,75500000,-15300000,36600000,-172500000,113500000,476968000,924000000,-726000000,3399000000,1865000000,2245000000,4082000000,144000000,9577000000,15419000000,12109000000,9951000000,18978000000,13459000000,9682000000,27992000000,34963000000,22599000000,47166000000,-13939000000,143982000000,96323000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-700000,500000,100000,-200000,2400000,-3689000,-2000000,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,36000000,141000000,-56000000,- -,100000,100000,- -,-100000,- -,48700000,178300000,164100000,358500000,923200000,689804000,-469000000,-1293000000,-282000000,-7000000,-448000000,2602000000,2257000000,-1322000000,2799000000,-3310000000,3748000000,3984000000,-4935000000,3635000000,615000000,-1150000000,3389000000,19067000000,7350000000,24983000000,22778000000
98,Cash at the End of Period,- -,- -,36000000,653000000,81000000,- -,- -,- -,- -,- -,- -,429300000,633300000,797400000,1155900000,2079100000,3302255000,4407000000,3114000000,2832000000,2778000000,2330000000,4507000000,6764000000,5442000000,8241000000,4931000000,8679000000,12663000000,7728000000,11363000000,11978000000,10828000000,14217000000,38227000000,45577000000,70560000000,93338000000
99,Cash at the Beginning of Period,- -,- -,- -,512000000,137000000,81300000,103400000,90400000,150500000,204300000,279800000,380600000,455000000,633300000,797400000,1155900000,2612451000,4876000000,4407000000,3114000000,2785000000,2778000000,1905000000,4507000000,6764000000,5442000000,8241000000,4931000000,8679000000,12663000000,7728000000,11363000000,11978000000,10828000000,19160000000,38227000000,45577000000,70560000000
100,Free Cash Flow,- -,- -,30000000,40000000,27000000,49600000,32000000,79800000,67200000,54700000,174400000,81700000,197900000,128700000,532600000,898000000,934828000,-885000000,9000000,-146000000,492000000,555000000,1701000000,1578000000,-186000000,1297000000,-138000000,2284000000,1118000000,1407000000,1948000000,980000000,2316000000,863000000,11886000000,8617000000,6221000000,1202000000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/316709/000119312507039782/d10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000119312508039024/d10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000119312509037420/d10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000119312510040444/d10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000119312511046932/d10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000119312512077926/d264447d10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000119312513071646/d455860d10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000031670914000005/schw-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000031670915000014/schw-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000031670916000067/schw-20151231x10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000031670917000010/schw-20161231x10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000031670918000009/schw-12312017x10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000031670919000008/schw-12312018x10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000031670920000012/schw-12312019x10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000031670921000012/0000316709-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/316709/000031670922000009/0000316709-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
