,https://roic.ai/company/EXPD,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,1400000,15600000,4200000,-1800000,13800000,9700000,24500000,35700000,44600000,5600000,33493000,57805000,-32774000,71089000,34473000,113904000,- -,- -,- -,- -,- -,- -,- -,30625000,44150000,153424000,-84164000,102716000,114631000,86036000,-181987000,430495000,1041805000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,7100000,81431000,83468000,87252000,94601000,152264000,222829000,237443000,249350000,370057000,521544000,589460000,632692000,764944000,903010000,1079444000,1278377000,1490738000,1515041000,1545069000,1305467000,1131997000,1288648000,1448333000,1407977000,-3456000,27622000,91467000
82,Other Non-Cash Items,- -,- -,- -,- -,3500000,6400000,-4400000,600000,-500000,-2100000,-74471000,-10243000,4197000,-20629000,-100513000,-22826000,29836000,-29981000,-152647000,-161168000,-34533000,-27767000,-193515000,-132964000,-164932000,-240212000,-219054000,-83174000,-41927000,172431000,173533000,-166207000,-216914000,-103174000,940000,9544000,11330000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,8200000,14300000,3600000,8900000,5800000,10500000,23544000,24167000,59804000,53238000,53311000,154458000,167614000,116493000,114335000,192659000,279548000,333287000,312585000,408966000,330800000,395518000,457131000,370126000,407536000,394966000,564712000,529099000,488639000,572804000,771935000,655012000,868494000
84,CAPEX,- -,- -,- -,- -,-3200000,-8200000,-2600000,-10500000,-5700000,-8600000,-9302000,-20824000,-36007000,-52455000,-26582000,-25582000,-37382000,-81427000,-20745000,-66244000,-90781000,-141225000,-82786000,-59726000,-34700000,-42408000,-78115000,-47626000,-53411000,-64573000,-44383000,-59316000,-95016000,-47474000,-47022000,-47543000,-36247000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7076000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-2700000,- -,-2000000,- -,-1500000,-1300000,-47000,-13000,- -,-121000,-750000,-818000,- -,-31000,-5000,-23000,-12000,-419000,-10000,-72000,- -,- -,- -,- -,-116116000,-136726000,-47026000,-54000,-12000,-27000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,2900000,- -,5900000,- -,- -,2400000,100000,- -,- -,- -,- -,1698000,- -,- -,- -,- -,- -,- -,- -,26000,- -,29000,- -,89915000,122726000,87320000,17000,12000,59000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,100000,-200000,-200000,-100000,-1000000,-900000,-977000,-3058000,-838000,-93000,-4381000,-3081000,-17173000,-31694000,-5147000,1287000,26000,-863000,-5175000,573000,-6674000,229000,-2253000,632000,2806000,-338000,-3337000,6157000,83331000,-957000,1007000,1516000,-398000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-5800000,-5500000,-4800000,-4700000,-8200000,-10800000,-7926000,-23795000,-43921000,-52669000,-31713000,-29481000,-52857000,-113152000,-25897000,-64980000,-90767000,-142507000,-87971000,-59225000,-41348000,-42179000,-80339000,-46994000,-76806000,-78911000,-7426000,-53196000,-11685000,-48399000,-46015000,-46027000,-36645000
90,Debt Repayment,- -,- -,- -,- -,-400000,-200000,-700000,-100000,-1800000,-4100000,- -,- -,-2900000,- -,- -,-14501000,-2632000,-790000,-2342000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,300000,500000,600000,1200000,500000,2200000,2134000,2732000,3628000,4976000,8727000,10241000,15279000,16760000,20024000,28983000,41210000,49314000,64985000,51460000,46925000,99784000,56646000,52511000,59752000,69269000,130964000,185313000,205092000,182732000,148245000,186345000,106105000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2200000,-2063000,-3320000,-3091000,-4735000,-8992000,-11502000,-60314000,-16595000,-20105000,-29240000,-126852000,-175783000,-207584000,-154178000,-88360000,-246312000,-112071000,-302414000,-261936000,-550781000,-629991000,-337658000,-478258000,-647898000,-389060000,-332387000,-514594000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-1200000,-1200000,-1438000,-1933000,-2444000,-3449000,-5027000,-7184000,-10409000,-12485000,-16772000,-23368000,-32055000,-47020000,-59748000,-68103000,-81639000,-84872000,-106011000,-117263000,-123292000,-124634000,-135673000,-145123000,-150495000,-156840000,-170553000,-174929000,-195766000
94,Other Financing Activites,- -,- -,- -,- -,- -,-400000,- -,- -,4400000,- -,44000,3164000,13000,10067000,7328000,- -,- -,395000,1171000,1863000,-2057000,13382000,27789000,10075000,5726000,22812000,4345000,4119000,-6552000,612000,-272000,-949000,-904000,-5732000,-6674000,-10566000,-9291000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-100000,-100000,1100000,1900000,-5300000,-1323000,643000,-4794000,6859000,2036000,-22946000,-58076000,-12715000,-18024000,-21762000,-119754000,-160107000,-174558000,-160746000,-117348000,-208588000,-157091000,-363047000,-332028000,-605534000,-634972000,-298417000,-424565000,-627738000,-418042000,-331537000,-613546000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,500000,-300000,900000,-500000,-500000,400000,420000,-191000,-5961000,-93000,-1880000,-4209000,-7009000,2556000,13559000,7234000,-14116000,16791000,13185000,-22566000,12797000,13785000,-9810000,6401000,-11892000,-31066000,-41625000,-10847000,24275000,-24031000,-1122000,19852000,-17402000
97,Net Change In Cash,- -,- -,- -,- -,- -,-100000,-100000,1100000,1900000,-5300000,14715000,824000,5128000,7335000,21754000,97822000,49672000,-6818000,83973000,113151000,54911000,47464000,63241000,166429000,184901000,158536000,209891000,-33514000,-13190000,-320545000,-119311000,166639000,76664000,-127364000,306756000,297300000,200901000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,15600000,36142000,36966000,42094000,49429000,71183000,169005000,218677000,211859000,295832000,408983000,463894000,511358000,574599000,741028000,925929000,1084465000,1294356000,1260842000,1247652000,927107000,807796000,974435000,1051099000,923735000,1230491000,1527791000,1728692000
99,Cash at the Beginning of Period,- -,- -,- -,- -,12300000,15300000,23700000,23300000,28100000,20900000,21427000,36142000,36966000,42094000,49429000,71183000,169005000,218677000,211859000,295832000,408983000,463894000,511358000,574599000,741028000,925929000,1084465000,1294356000,1260842000,1247652000,927107000,807796000,974435000,1051099000,923735000,1230491000,1527791000
100,Free Cash Flow,- -,- -,- -,- -,5000000,6100000,1000000,-1600000,100000,1900000,14242000,3343000,23797000,783000,26729000,128876000,130232000,35066000,93590000,126415000,188767000,192062000,229799000,349240000,296100000,353110000,379016000,322500000,354125000,330393000,520329000,469783000,393623000,525330000,724913000,607469000,832247000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/746515/000091205796005655/0000912057-96-005655-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/746515/000091205701506328/0000912057-01-506328-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000110465902001275/0001104659-02-001275-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000110465903005167/0001104659-03-005167-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000110465904007431/0001104659-04-007431-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000110465905011481/0001104659-05-011481-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000110465906017206/0001104659-06-017206-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000110465907015464/0001104659-07-015464-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000110465908013877/0001104659-08-013877-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000119312509040947/0001193125-09-040947-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000119312510042974/0001193125-10-042974-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000119312511049764/0001193125-11-049764-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000074651512000006/0000746515-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000074651513000004/0000746515-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000074651514000004/0000746515-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000074651515000004/0000746515-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000074651516000053/0000746515-16-000053-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000074651517000007/0000746515-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000074651518000004/0000746515-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000074651519000004/0000746515-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000156459020005719/0001564590-20-005719-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000156459021006925/0001564590-21-006925-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000156459022010381/0001564590-22-010381-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
