,https://roic.ai/company/GGG,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
75,Deferred Income Tax,- -,-1000000,2700000,800000,100000,-5500000,-2600000,-3200000,300000,-6000000,800000,-4000000,1900000,800000,-400000,-600000,1200000,1644000,762000,274000,4721000,1403000,1260000,-6597000,-1590000,-160000,-69000,-4248000,-1814000,-10786000,-1715000,329000,-11585000,-35561000,34446000,15405000,-6411000,10747000,-46572000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9051000,9369000,10024000,10994000,12409000,16545000,17249000,19224000,21134000,23652000,25565000,26669000,25153000,24931000
77,Change in Working Capital,- -,-5400000,13100000,10500000,-12300000,3100000,4900000,4700000,7500000,10000000,-37100000,6700000,2500000,7000000,23400000,-39000000,11400000,2200000,20300000,78100000,-92100000,62253000,-28153000,7800000,12855000,16445000,-54222000,47476000,319046000,173600000,-1600000,61300000,-370599000,10976000,72123000,25913000,82733000,196266000,-20654000
78,Accounts Receivable,- -,-8100000,-9600000,-3800000,-4900000,-5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14965000,28420000,-23285000,-26767000,-2752000,-11880000,-26557000,-18276000,4506000,-28010000,-12402000,8934000,-43122000,-13801000
79,Inventory,- -,-11500000,1500000,-10600000,3000000,-11500000,-800000,-1900000,5900000,-2900000,14900000,-14000000,9700000,-400000,-3900000,10500000,3300000,4161000,5329000,452000,4694000,-11031000,4524000,-15587000,2045000,-9937000,32663000,-32997000,-13440000,5941000,-10186000,-15079000,-34109000,-693000,-32011000,-30719000,12435000,-13086000,-97780000
80,Accounts Payable,- -,-3400000,-100000,-2600000,-2200000,-6000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6806000,-701000,1670000,5974000,-952000,2436000,450000,4305000,553000,4588000,-1976000,-539000,6820000,12397000
81,Other Working Capital,- -,43300000,56400000,66900000,54600000,57700000,62600000,67300000,74800000,84800000,47700000,54400000,56900000,63900000,87300000,48300000,59700000,61900000,82200000,160300000,68200000,130453000,102300000,110100000,122955000,139400000,85178000,132654000,451700000,625300000,623700000,685000000,314401000,325377000,397500000,423413000,506146000,702412000,-1901000
82,Other Non-Cash Items,- -,- -,-13400000,-19900000,11600000,-5800000,-1100000,-4600000,3600000,8200000,40600000,-19800000,8500000,-8100000,-44900000,55700000,-10800000,-9787000,-15675000,-76381000,91739000,-67237000,30721000,-21420000,-15669000,-19253000,107347000,-88942000,-340965000,-173403000,-18291000,-98738000,162279000,183580000,-90352000,-87706000,-77021000,-223916000,- -
83,Cash Provided by Operating Activities,- -,5800000,19100000,12100000,19400000,12500000,23100000,23500000,29400000,26100000,23100000,8600000,51700000,48600000,36300000,77100000,75800000,79609000,89181000,95673000,109807000,122908000,153224000,155629000,177097000,162478000,146532000,101123000,162044000,189682000,243055000,241255000,189639000,269093000,337864000,367985000,418734000,394035000,456896000
84,CAPEX,- -,-12900000,-6900000,-5600000,-8000000,-9700000,-12300000,-12100000,-8400000,-10200000,-16200000,-23100000,-19800000,-30000000,-20100000,-12000000,-27500000,-14523000,-30203000,-12253000,-15515000,-16893000,-19904000,-33854000,-36954000,-30429000,-12065000,-17527000,-24785000,-18234000,-23319000,-30636000,-41749000,-42113000,-40194000,-53854000,-127953000,-71338000,-133566000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15949000,- -,-13514000,- -,-111005000,-30676000,- -,-55186000,- -,- -,-2139000,-666881000,-7044000,-184932000,-189017000,-48946000,-27905000,-10769000,-26577000,-27557000,-19386000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20500000,-25700000,-5500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1499000,-1499000,-1499000,-1499000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,18700000,31800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-1900000,800000,-2200000,-200000,400000,3900000,-10200000,7000000,8800000,800000,700000,3000000,1000000,2000000,2200000,9700000,4845000,267000,295000,257000,-2271000,-563000,128000,-1203000,441000,168000,-650000,-505000,-9405000,-875000,-1163000,600705000,124000,-360000,-1624000,-939000,-143000,-347000
89,Cash Used for Investing Activites,- -,-14800000,-6100000,-7800000,-8200000,-9300000,-8400000,-22300000,-1400000,-20700000,-22400000,3900000,-16800000,-29000000,-18100000,-9800000,-17800000,-9678000,-45885000,-11958000,-28772000,-19164000,-131472000,-64402000,-38157000,-85346000,-12794000,-18769000,-27997000,-694520000,-31238000,-216731000,369939000,-90935000,-68459000,-66247000,-155469000,-99038000,-153299000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-171238000,-178121000,-170334000,-190154000,-392845000,-568122000,-511215000,-942910000,-735144000,-395570000,-583212000,-207191000,-250000000,-70000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,1500000,1700000,3700000,2500000,3400000,3100000,2500000,2500000,3300000,4900000,6800000,9630000,11932000,12867000,10514000,15117000,10481000,12008000,24055000,13701000,6571000,12794000,22231000,30194000,41664000,30199000,18835000,32631000,60685000,24634000,48250000,83438000,50963000
92,Common Stock Repurchased,- -,1500000,900000,-600000,-43700000,-3100000,- -,-400000,-2400000,-200000,-1800000,-4600000,-1500000,-8100000,-7000000,-190900000,-5100000,-19182000,-3761000,-7088000,-55496000,-40792000,-42297000,-87570000,-230412000,-114836000,-187000,-24218000,-43250000,-1378000,-67827000,-195326000,-274503000,-50497000,-90160000,-244814000,-9482000,-102143000,- -
93,Dividends Paid,- -,-2600000,-2600000,-3200000,-3400000,-3300000,-3800000,-4400000,-5100000,-5500000,-5900000,-37700000,-7500000,-8300000,-9600000,-10700000,-8900000,-11361000,-12339000,-13887000,-15253000,-129910000,-35805000,-39429000,-43188000,-44702000,-45444000,-48146000,-50646000,-54302000,-61139000,-66362000,-69429000,-73434000,-80477000,-88845000,-106443000,-116983000,-127110000
94,Other Financing Activites,- -,-900000,-1900000,-100000,25800000,1700000,-10100000,4400000,-6700000,-7700000,-4900000,19300000,-27100000,-2500000,-1900000,119200000,-49100000,-46142000,-24473000,2448000,-9608000,1752000,2498000,12450000,111252000,245722000,78371000,153112000,421460000,651002000,429532000,719130000,733596000,648192000,288446000,609526000,100814000,246217000,19075000
95,Cash Used/Provided by Financing Activities,- -,-2000000,-3600000,-3900000,-21300000,-4700000,-12400000,1300000,-10500000,-10900000,-9200000,-19900000,-33600000,-16400000,-15200000,-77500000,-56300000,-67055000,-28641000,-5660000,-69843000,-153833000,-65123000,-102541000,-138293000,-71353000,-138810000,-76792000,159641000,232671000,-225892000,-23574000,-534411000,-178252000,-217076000,-282711000,-174052000,-139471000,-57142000
96,Effect of Forex Changes on Cash,- -,- -,700000,900000,400000,400000,200000,-1100000,500000,300000,700000,-1300000,-2100000,1600000,4000000,200000,1300000,1607000,805000,-1253000,-2407000,-1475000,1481000,-1479000,-1596000,1418000,-1635000,-1383000,-129000,137000,2711000,2950000,3472000,164000,-1032000,187000,-358000,2410000,-1062000
97,Net Change In Cash,- -,-11100000,10000000,1300000,-9700000,-1100000,-12400000,1300000,-10500000,-10900000,-9200000,-8700000,-33600000,-16400000,-15200000,-77500000,3000000,4483000,15460000,76802000,8785000,-51564000,-41890000,-12793000,-949000,7197000,-6707000,4179000,293559000,-272030000,-11364000,3900000,28639000,70000,51297000,19214000,88855000,157936000,245393000
98,Cash at the End of Period,- -,1500000,11500000,12800000,3200000,2000000,- -,- -,- -,- -,- -,2400000,- -,- -,- -,- -,6600000,11071000,26531000,103333000,112118000,60554000,18664000,5871000,4922000,12119000,5412000,9591000,303150000,31120000,19756000,23656000,52295000,52365000,103662000,132118000,220973000,378909000,624302000
99,Cash at the Beginning of Period,- -,12600000,1500000,11500000,12900000,3100000,2000000,4500000,6000000,24000000,18900000,11100000,2400000,1600000,6500000,13500000,3600000,6588000,11071000,26531000,103333000,112118000,60554000,18664000,5871000,4922000,12119000,5412000,9591000,303150000,31120000,19756000,23656000,52295000,52365000,112904000,132118000,220973000,378909000
100,Free Cash Flow,- -,-7100000,12200000,6500000,11400000,2800000,10800000,11400000,21000000,15900000,6900000,-14500000,31900000,18600000,16200000,65100000,48300000,65086000,58978000,83420000,94292000,106015000,133320000,121775000,140143000,132049000,134467000,83596000,137259000,171448000,219736000,210619000,147890000,226980000,297670000,314131000,290781000,322697000,323330000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/42888/000004288895000006/0000042888-95-000006-index.html,- -,https://www.sec.gov/Archives/edgar/data/42888/000004288897000003/0000042888-97-000003-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/42888/000004288801000002/0000042888-01-000002-index.html,https://www.sec.gov/Archives/edgar/data/42888/000004288802000004/0000042888-02-000004-index.html,- -,https://www.sec.gov/Archives/edgar/data/42888/000004288804000050/0000042888-04-000050-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000004288805000057/0000042888-05-000057-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000004288806000062/0000042888-06-000062-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000004288807000068/0000042888-07-000068-index.htm,- -,https://www.sec.gov/Archives/edgar/data/42888/000004288809000030/0000042888-09-000030-index.htm,- -,https://www.sec.gov/Archives/edgar/data/42888/000095012311016366/0000950123-11-016366-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000119312512069746/0001193125-12-069746-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000119312513064952/0001193125-13-064952-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000119312514056452/0001193125-14-056452-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000095012315002691/0000950123-15-002691-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000004288816000010/0000042888-16-000010-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000004288817000006/0000042888-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000004288818000009/0000042888-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000004288819000011/0000042888-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000004288820000015/0000042888-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000004288821000011/0000042888-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000004288822000013/0000042888-22-000013-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
