,https://roic.ai/company/WGO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,-20700000,-6500000,-28400000,-100000,7300000,13800000,11200000,-7600000,37900000,-8100000,31800000,18000000,32600000,-29305000,19905000,-100000,32700000,-10400000,-18200000,-60300000,-29200000,11900000,22300000,12500000,27396000,18504000,12607000,3033000,-40661000,20774000,45160000,200307000,238417000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9200000,-2000000,- -,-1300000,9300000,-11300000,1300000,-28400000,- -,35600000,-15200000,5522000,18954000,-8325000,- -,- -,-8550000,101000,-2085000,-8908000,-38233000,2458000,1217000,-27597000,-37739000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-6700000,20400000,17400000,-3400000,-5400000,-14900000,2300000,-10000000,9500000,-1800000,-31600000,1300000,5900000,-33839000,-600000,-16400000,10078000,43574000,-24127000,- -,- -,3324000,-23792000,-17316000,-24267000,-1763000,-561000,-11510000,-6165000,-46429000,-8256000,105994000,-161663000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8939000,10919000,-1880000,14253000,33697000,-1278000,907000,37041000,51478000
81,Other Working Capital,- -,- -,- -,- -,72400000,65900000,37500000,37400000,44700000,58500000,69700000,62100000,100000000,91900000,123700000,141700000,174300000,144995000,164900000,164800000,197500000,187100000,168900000,108600000,79400000,91300000,113600000,126100000,153496000,172000000,184607000,187640000,146979000,167753000,212913000,413220000,651637000
82,Other Non-Cash Items,- -,- -,- -,- -,2400000,28000000,36600000,14300000,-5400000,-11600000,-8500000,3400000,-63300000,43300000,-54100000,-18900000,-7800000,4672000,-14505000,-5800000,-32543000,63006000,-7771000,29700000,71100000,4054000,-51515000,-29518000,-58674000,-47742000,-16459000,-7054000,23146000,-72180000,-61567000,-35012000,-328728000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-12600000,10200000,-9500000,11800000,17900000,2000000,25400000,17300000,5200000,62000000,25000000,51400000,73400000,36790000,63000000,66700000,78800000,113300000,27800000,-14400000,8300000,33000000,-10100000,100000,10238000,23200000,45183000,52746000,97127000,83346000,133750000,270434000,237279000
84,CAPEX,- -,- -,- -,- -,-12000000,-9600000,-3800000,-3000000,-7700000,-9500000,-9300000,-10500000,-4400000,-5600000,-11600000,-14500000,-9100000,-10997000,-23500000,-10600000,-9653000,-4830000,-5245000,-3700000,-3500000,-1874000,-2109000,-2213000,-4422000,-10476000,-16573000,-24551000,-13993000,-28668000,-40858000,-32377000,-44891000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4694000,- -,- -,- -,- -,- -,-392473000,-81200000,-702000,-260965000,- -
86,Purchases of Investments,- -,- -,- -,- -,-119500000,-45200000,-11700000,-18600000,-7900000,- -,- -,-41100000,- -,- -,- -,- -,- -,- -,- -,- -,-255023000,-214825000,-308149000,- -,- -,- -,- -,-6604000,- -,-26340000,-6519000,-3066000,-1530000,-6481000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,165600000,62600000,12200000,18100000,7100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,177975000,335449000,- -,- -,- -,- -,- -,7300000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-5700000,65200000,-100000,-3200000,-12200000,-4900000,-5400000,36600000,51100000,-2200000,-8600000,-10800000,-10600000,-179000,38100000,-300000,212776000,980000,-255000,60100000,8500000,16174000,11003000,8717000,1189000,31416000,6575000,4225000,2611000,4588000,2624000,266000,11882000
89,Cash Used for Investing Activites,- -,- -,- -,- -,28400000,73000000,-3400000,-6700000,-20700000,-14400000,-14700000,-15000000,46700000,-7800000,-20200000,-25300000,-19700000,-11176000,14600000,-10900000,-51900000,-40700000,21800000,56400000,5000000,14300000,4200000,-100000,4067000,-5400000,-16517000,-23392000,-405385000,-111761000,-38936000,-293076000,-33009000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18958000,26319000,- -,- -,-24356000,1703000,-134000,- -,14061000,17658000,18449000,-11020000,-589000,-930424000,-2446824000,-3627627000
91,Common Stock Issued,- -,- -,- -,- -,100000,3100000,100000,2600000,300000,- -,- -,100000,- -,- -,- -,- -,- -,4357000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,600000,- -,600000,-26800000,-7000000,-18600000,-7200000,-86072000,-16700000,-72700000,-22400000,-55900000,-56600000,-17100000,-200000,- -,- -,-6600000,-12718000,-24300000,-6519000,-3066000,-1530000,-6481000,-8171000,-1844000,-47589000
93,Dividends Paid,- -,- -,- -,- -,-9900000,-2500000,- -,- -,- -,- -,-7600000,-7600000,-5100000,-4900000,-4400000,-4300000,-4100000,-3954000,-3700000,-6900000,-9400000,-11700000,-12500000,-14000000,-3500000,- -,- -,- -,- -,- -,-9765000,-10891000,-12738000,-12738000,-13670000,-14588000,-16168000
94,Other Financing Activites,- -,- -,- -,- -,-5200000,-62500000,-2700000,-1000000,400000,1400000,4300000,-2500000,-16100000,-700000,- -,- -,-100000,- -,- -,- -,- -,-18458000,-24819000,100000,9200000,15156000,-1203000,134000,7000,-14061000,-17605000,-18502000,283908000,14620000,892540000,2741042000,3629102000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-15000000,-61900000,-2600000,1600000,700000,2000000,-2700000,-10000000,-20600000,-32400000,-11400000,-22900000,-11400000,-85669000,-20400000,-79600000,-31800000,-67100000,-67600000,-31000000,5500000,-9200000,500000,-6600000,-12711000,-24300000,-16231000,-14010000,258620000,-5188000,-59725000,277786000,-62282000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10400000,8000000,- -,31300000,21700000,-6600000,3300000,42300000,-60055000,57200000,-23800000,-5000000,5500000,-18000000,11000000,18700000,38100000,-5400000,-6600000,1594000,-6500000,12435000,15344000,-49638000,-33603000,35089000,255144000,141988000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,8800000,- -,32100000,53800000,47300000,51500000,93700000,42225000,99400000,75600000,19400000,25000000,6900000,17900000,36600000,74700000,69300000,62700000,64277000,57800000,70235000,85583000,35945000,2342000,37431000,292575000,434563000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,800000,22200000,6600000,13300000,11200000,800000,8500000,800000,32100000,53900000,48200000,51400000,102280000,42200000,99400000,24400000,19500000,24900000,6900000,17900000,36600000,74700000,69300000,62683000,64300000,57800000,70239000,85583000,35945000,2342000,37431000,292575000
100,Free Cash Flow,- -,- -,- -,- -,-24600000,600000,-13300000,8800000,10200000,-7500000,16100000,6800000,800000,56400000,13400000,36900000,64300000,25793000,39500000,56100000,69100000,108500000,22600000,-18100000,4800000,31100000,-12200000,-2100000,5816000,12700000,28610000,28195000,83134000,54678000,92892000,238057000,192388000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/107687/000089710195000449/0000897101-95-000449-index.html,- -,https://www.sec.gov/Archives/edgar/data/107687/000089710197001212/0000897101-97-001212-index.html,https://www.sec.gov/Archives/edgar/data/107687/000089710198001180/0000897101-98-001180-index.html,https://www.sec.gov/Archives/edgar/data/107687/000089710199001114/0000897101-99-001114-index.html,https://www.sec.gov/Archives/edgar/data/107687/000089710100001138/0000897101-00-001138-index.html,https://www.sec.gov/Archives/edgar/data/107687/000089710101500784/0000897101-01-500784-index.html,https://www.sec.gov/Archives/edgar/data/107687/000089710102000828/0000897101-02-000828-index.html,https://www.sec.gov/Archives/edgar/data/107687/000089710103001509/0000897101-03-001509-index.html,https://www.sec.gov/Archives/edgar/data/107687/000089710104002375/0000897101-04-002375-index.html,https://www.sec.gov/Archives/edgar/data/107687/000089710105002381/0000897101-05-002381-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000089710106002321/0000897101-06-002321-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000089710107002206/0000897101-07-002206-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000089710108002154/0000897101-08-002154-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000089710109002143/0000897101-09-002143-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000010768710000020/0000107687-10-000020-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000010768711000049/0000107687-11-000049-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000010768712000041/0000107687-12-000041-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000010768713000048/0000107687-13-000048-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000010768714000048/0000107687-14-000048-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000010768715000045/0000107687-15-000045-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000010768716000126/0000107687-16-000126-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000010768717000094/0000107687-17-000094-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000010768718000026/0000107687-18-000026-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000010768719000024/0000107687-19-000024-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000010768720000035/0000107687-20-000035-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000010768721000043/0000107687-21-000043-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
