,https://roic.ai/company/AAL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
73,Net Income,- -,- -,- -,- -,454800000,-39600000,-240000000,-935000000,-110000000,228000000,167000000,1016000000,985000000,1314000000,985000000,813000000,-1762000000,-3511000000,-1228000000,-761000000,-861000000,231000000,504000000,-2071000000,-1468000000,-471000000,-1979000000,-1876000000,-1834000000,2882000000,7610000000,2676000000,1919000000,1412000000,1686000000,-8885000000,-1993000000
74,Depreciation and Amortization,- -,- -,- -,- -,-612700000,-723100000,-883000000,-1041000000,-1223000000,1253000000,1259000000,1204000000,1244000000,1287000000,1092000000,1202000000,1404000000,1366000000,1377000000,1292000000,1164000000,1157000000,1202000000,1207000000,1104000000,1093000000,1086000000,1015000000,1020000000,1513000000,1609000000,1818000000,2017000000,2159000000,2318000000,2370000000,2335000000
75,Deferred Income Tax,- -,- -,- -,- -,134900000,-152000000,-110000000,-101000000,-30000000,145000000,50000000,218000000,362000000,312000000,183000000,461000000,-731000000,-845000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-569000000,-324000000,346000000,-3014000000,1611000000,1141000000,440000000,560000000,-2568000000,-555000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,133000000,53000000,61000000,43000000,40000000,29000000,39000000,304000000,284000000,100000000,90000000,86000000,94000000,91000000,98000000
77,Change in Working Capital,- -,- -,- -,- -,123100000,-779000000,230900000,84000000,125000000,-69000000,240000000,460000000,550000000,-218000000,-676000000,-371000000,839000000,-1331000000,426000000,-170000000,-109000000,553000000,349000000,-2185000000,2353000000,-856000000,69000000,-359000000,2749000000,-1840000000,-2297000000,72000000,-2270000000,-3641000000,-646000000,4631000000,1041000000
78,Accounts Receivable,- -,- -,- -,- -,-47200000,-76700000,-152000000,-144000000,37000000,-135000000,-109000000,-225000000,12000000,-242000000,261000000,-169000000,120000000,-66000000,690000000,-89000000,-156000000,3000000,- -,- -,- -,- -,- -,-222000000,-93000000,-160000000,352000000,-160000000,-190000000,222000000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-89600000,-102100000,-55000000,-85000000,-27000000,-19000000,-11000000,-66000000,-41000000,-35000000,-140000000,-111000000,-39000000,48000000,56000000,8000000,-59000000,-7000000,-128000000,5000000,-79000000,-81000000,-64000000,17000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,263900000,63500000,15000000,-17000000,34000000,-216000000,441000000,261000000,117000000,268000000,42000000,579000000,379000000,-32000000,-198000000,-26000000,250000000,-130000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,-1387900000,-2166900000,-1936000000,-1852000000,-1727000000,-1796000000,-1556000000,-1096000000,-546000000,-764000000,-1440000000,-1811000000,-972000000,-2303000000,-1877000000,-2047000000,-2156000000,-1603000000,-1254000000,-3439000000,-1086000000,-1942000000,-1873000000,-2232000000,517000000,-1323000000,-3620000000,-3548000000,-5818000000,-9459000000,-10105000000,-5474000000,-168000000
82,Other Non-Cash Items,- -,- -,- -,- -,1225400000,2379500000,1746100000,2836000000,2615000000,52000000,469000000,-182000000,-221000000,500000000,680000000,1037000000,761000000,3210000000,26000000,356000000,830000000,-2000000,-253000000,1602000000,-1120000000,1432000000,1464000000,3039000000,-975000000,-125000000,2057000000,247000000,1847000000,3077000000,-197000000,-2182000000,-222000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,1325500000,685800000,744000000,843000000,1377000000,1609000000,2185000000,2716000000,2920000000,3195000000,2264000000,3142000000,511000000,-1111000000,601000000,717000000,1024000000,1939000000,1935000000,-1394000000,930000000,1241000000,680000000,1279000000,675000000,3080000000,6249000000,6524000000,4744000000,3533000000,3815000000,-6543000000,704000000
84,CAPEX,- -,- -,- -,- -,-2394800000,-2901300000,-3536000000,-3299000000,-2080000000,-1114000000,-928000000,-547000000,-1390000000,-2661000000,-3539000000,-3678000000,-3640000000,-1881000000,-680000000,-1027000000,-681000000,-530000000,-714000000,-876000000,-1521000000,-1962000000,-1614000000,-1888000000,-3114000000,-5311000000,-6151000000,-5731000000,-5971000000,-3745000000,-4268000000,-1958000000,-412000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-272000000,160000000,-50000000,-742000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,206000000,- -,- -,- -,-203000000,- -,- -,- -,-23000000
86,Purchases of Investments,- -,- -,- -,- -,-42913000000,-60912000000,-64950000000,- -,- -,-239000000,-65000000,-924000000,-627000000,- -,-253000000,-438000000,-728000000,-248000000,-896000000,-372000000,-867000000,-918000000,- -,-31000000,-1331000000,-82000000,- -,- -,-3342000000,-5380000000,-8126000000,-6241000000,-4633000000,-3412000000,-3187000000,-5873000000,-19454000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,43668300000,60557100000,64631000000,342000000,290000000,- -,- -,- -,- -,392000000,85000000,94000000,- -,788000000,256000000,49000000,- -,- -,- -,1471000000,- -,10000000,- -,306000000,2161000000,7179000000,8569000000,6092000000,5915000000,3912000000,4144000000,2844000000,13923000000
88,Other Investing Activites,- -,- -,- -,- -,-76400000,-481800000,-716000000,3000000,36000000,-110000000,68000000,257000000,281000000,293000000,97000000,797000000,419000000,-52000000,675000000,302000000,9000000,83000000,480000000,491000000,129000000,4000000,-1292000000,-1877000000,-2839000000,-4710000000,-6037000000,-5549000000,-4705000000,-2473000000,-3200000000,-1313000000,-225000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1715900000,-3738000000,-4571000000,-2954000000,-1754000000,-1463000000,-925000000,-1214000000,-1736000000,-2248000000,-3450000000,-3275000000,-4691000000,-1393000000,-645000000,-1048000000,-1539000000,-1365000000,-234000000,1055000000,-2723000000,-2030000000,-1292000000,-1571000000,-3814000000,-2911000000,-5594000000,-5698000000,-3626000000,-1973000000,-2243000000,-4342000000,-5983000000
90,Debt Repayment,- -,- -,- -,- -,-133100000,-411000000,-1342000000,-932000000,-1449000000,-1095000000,-1585000000,-2130000000,-648000000,-547000000,-280000000,-766000000,-922000000,-687000000,-886000000,-1653000000,-1131000000,-1366000000,-2321000000,-1092000000,-2416000000,-1154000000,-2545000000,-1288000000,-2926000000,-3132000000,-2153000000,-3827000000,-2332000000,-2941000000,-4190000000,-3535000000,-7343000000
91,Common Stock Issued,- -,- -,- -,- -,5200000,- -,300000000,454000000,1081000000,- -,- -,589000000,200000000,111000000,25000000,67000000,37000000,3000000,1000000,7000000,223000000,630000000,497000000,294000000,412000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2970000000,460000000
92,Common Stock Repurchased,- -,- -,- -,- -,-150000000,- -,- -,- -,- -,- -,- -,- -,-740000000,-994000000,-871000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1062000000,-3846000000,-4500000000,-1615000000,-837000000,-1097000000,-173000000,-18000000
93,Dividends Paid,- -,- -,- -,- -,-12100000,- -,- -,- -,-49000000,-66000000,-5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-144000000,-278000000,-224000000,-198000000,-186000000,-178000000,-43000000,- -
94,Other Financing Activites,- -,- -,- -,- -,745800000,3456400000,4849000000,2540000000,812000000,975000000,389000000,25000000,- -,516000000,2310000000,836000000,5096000000,3190000000,945000000,1977000000,1441000000,145000000,149000000,1180000000,3759000000,1958000000,3272000000,1777000000,6725000000,4023000000,5018000000,7657000000,3000000000,2292000000,3897000000,11775000000,12189000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,455800000,3045400000,3807000000,2062000000,395000000,-186000000,-1201000000,-1516000000,-1188000000,-914000000,1184000000,137000000,4211000000,2506000000,60000000,331000000,533000000,-591000000,-1675000000,382000000,1755000000,804000000,727000000,489000000,3799000000,-315000000,-1259000000,-894000000,-1145000000,-1672000000,-1568000000,10994000000,5288000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,455800000,3045400000,3807000000,2062000000,395000000,-40000000,59000000,-14000000,-4000000,33000000,-2000000,4000000,31000000,2000000,16000000,- -,18000000,-17000000,27000000,43000000,-38000000,15000000,115000000,197000000,660000000,-146000000,-604000000,-68000000,-27000000,-112000000,4000000,109000000,9000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,23000000,82000000,68000000,64000000,95000000,85000000,89000000,120000000,104000000,120000000,120000000,138000000,121000000,148000000,191000000,153000000,168000000,283000000,480000000,1140000000,994000000,390000000,322000000,295000000,286000000,290000000,399000000,408000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,54900000,120300000,114000000,94000000,45000000,63000000,23000000,82000000,68000000,62000000,87000000,85000000,89000000,102000000,104000000,120000000,120000000,138000000,121000000,148000000,191000000,153000000,168000000,283000000,480000000,1140000000,994000000,390000000,322000000,398000000,286000000,290000000,399000000
100,Free Cash Flow,- -,- -,- -,- -,-1069300000,-2215500000,-2792000000,-2456000000,-703000000,495000000,1257000000,2169000000,1530000000,534000000,-1275000000,-536000000,-3129000000,-2992000000,-79000000,-310000000,343000000,1409000000,1221000000,-2270000000,-591000000,-721000000,-934000000,-609000000,-2439000000,-2231000000,98000000,793000000,-1227000000,-212000000,-453000000,-8501000000,292000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6201/000095013404002668/0000950134-04-002668-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000095013405003726/0000950134-05-003726-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000095013406003715/0000950134-06-003715-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000095013407003888/0000950134-07-003888-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6201/000095012311014726/0000950123-11-014726-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000119312512063516/0001193125-12-063516-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620113000023/0000006201-13-000023-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620114000004/0000006201-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000119312515061145/0001193125-15-061145-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000119312516474605/0001193125-16-474605-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000119312517051216/0001193125-17-051216-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620118000009/0000006201-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620119000009/0000006201-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620120000023/0000006201-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620121000014/0000006201-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620122000026/0000006201-22-000026-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
