,https://roic.ai/company/TRNS,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -,400000,457487,- -,13463000,- -,- -,- -,- -,- -,- -,- -,-1094000,- -,- -,- -,249000,51000,31000,59000,11000,16000,184000,17000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-400000,-400000,-600000,-400000,-1000000,-5100000,-24100000,-2800000,-1491211,-1393617,12099000,-291000,-459000,-866000,-1777000,-1194000,-1505000,-7416000,-4139000,-5074000,-4513000,-9686000,-1712000,-10728000,-17964000,-12168000,-5871000,-10904000,-20242000,-10151000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000,-1027000,-19000,-13000,- -,-424000,- -,- -,-1762000,-11604000,-4348000,-1899000,-1982000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,300000,600000,400000,328941,175964,- -,- -,- -,162000,416000,218000,266000,239000,201000,300000,436000,239000,317000,466000,454000,635000,931000,285000,1727000,1177000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-647000,-559000,-247000,-110000,-6482000,-71000,-73000,-98000,-360000,-145000,-2822000,-3049000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,1200000,900000,1300000,-1000000,-2000000,3800000,20500000,-2100000,1026500,-4189793,-15291000,-1131000,516000,106000,-3070000,-1428000,-2512000,3243000,4000,2700000,-1927000,4643000,1000,4592000,6844000,5993000,7053000,2500000,11241000,-8801000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,1200000,900000,1300000,-1000000,-1700000,4100000,21100000,-2200000,1355441,-4013829,-15291000,-1131000,516000,268000,-2654000,-1210000,-2246000,3472000,-1469000,2422000,-1751000,4772000,-6588000,4987000,7225000,4768000,-3980000,-1708000,8247000,-12655000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,-100000,68873,-173465,-21000,91000,168000,163000,5000,1000,9000,-21000,23000,-12000,5000,47000,305000,1344000,333000,57000,-288000,262000,145000,-772000
97,Net Change In Cash,- -,- -,- -,- -,- -,1200000,900000,1300000,-1000000,-1700000,4100000,21100000,-2200000,225828,-331619,331000,-394000,433000,-441000,9000,242000,-149000,-149000,64000,-91000,- -,374000,-383000,42000,576000,201000,-265000,211000,-289000,61000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,508453,176834,508000,114000,547000,106000,115000,357000,208000,59000,123000,32000,32000,406000,23000,65000,641000,842000,577000,788000,499000,560000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,200000,500000,500000,200000,600000,200000,800000,700000,282625,508453,177000,508000,114000,547000,106000,115000,357000,208000,59000,123000,32000,32000,406000,23000,65000,641000,842000,577000,788000,499000
100,Free Cash Flow,- -,- -,- -,- -,- -,-900000,-800000,-1500000,1500000,1200000,-4000000,-21200000,1400000,-1655973,3855675,2180000,646000,-251000,-872000,3521000,1451000,2088000,2041000,4521000,926000,4868000,2584000,5651000,939000,6881000,2294000,3992000,5563000,4982000,17022000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/99302/0000950152-96-003175-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/99302/000095015203006045/l01290ae10vk.htm,https://www.sec.gov/Archives/edgar/data/99302/000095015204004738/l08024ae10vk.htm,https://www.sec.gov/Archives/edgar/data/99302/000095015205005349/l14492ae10vk.htm,https://www.sec.gov/Archives/edgar/data/99302/000095015206005276/l20395ae10vk.htm,https://www.sec.gov/Archives/edgar/data/99302/000095015207005449/0000950152-07-005449-index.html,https://www.sec.gov/Archives/edgar/data/99302/000095015208004907/0000950152-08-004907-index.html,https://www.sec.gov/Archives/edgar/data/99302/000095012309016807/0000950123-09-016807-index.html,https://www.sec.gov/Archives/edgar/data/99302/000095012310060637/0000950123-10-060637-index.html,https://www.sec.gov/Archives/edgar/data/99302/000095012311060885/0000950123-11-060885-index.html,https://www.sec.gov/Archives/edgar/data/99302/000119312512276871/d284998d10k.htm,https://www.sec.gov/Archives/edgar/data/99302/000117184313002603/0001171843-13-002603-index.html,https://www.sec.gov/Archives/edgar/data/99302/000117184314003016/0001171843-14-003016-index.html,https://www.sec.gov/Archives/edgar/data/99302/000120677415002052/0001206774-15-002052-index.html,https://www.sec.gov/Archives/edgar/data/99302/000120677416006245/0001206774-16-006245-index.html,https://www.sec.gov/Archives/edgar/data/99302/000120677417001858/0001206774-17-001858-index.html,https://www.sec.gov/Archives/edgar/data/99302/000120677418001839/0001206774-18-001839-index.html,https://www.sec.gov/Archives/edgar/data/99302/000120677419001847/0001206774-19-001847-index.html,https://www.sec.gov/Archives/edgar/data/99302/000120677420001786/0001206774-20-001786-index.htm,https://www.sec.gov/Archives/edgar/data/99302/000120677421001568/0001206774-21-001568-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
