,https://roic.ai/company/NHC,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,- -,- -,-6200000,-17600000,-14700000,-17500000,-21000000,-5400000,- -,- -,- -,- -,- -,- -,- -,-8109000,-9769000,-19879000,-22181000,-23453000,-24623000,-39520000,-26140000,-27374000,-30075000,-25795000,-28237000,-29827000,-31208000,-31921000,-32030000
94,Other Financing Activites,36600000,31200000,4000000,29900000,-4200000,25600000,50500000,-3800000,-9942000,7494000,-11445000,-26289000,-35474000,-13674000,-18237000,-1209000,28507000,21539000,1312000,145000,-52000,-1667000,-1195000,-748000,111393000,-635000,120000,-749000,-1091000,42495000,-1416000
95,Cash Used/Provided by Financing Activities,36600000,31700000,-2200000,13100000,-18100000,9500000,31800000,-8200000,-9208000,4575000,-6806000,-24876000,-34565000,-15020000,-23532000,-3648000,24715000,890000,-55976000,-26597000,-16378000,-27775000,-31044000,-30124000,-41675000,-27131000,-49074000,-77274000,-79748000,-41889000,-35264000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,36600000,31700000,-2200000,13100000,-18100000,9500000,31800000,-8200000,-8576000,5957000,32187000,26734000,-6594000,-3298000,20269000,-10192000,-48299000,46654000,-10011000,-10544000,32530000,5693000,15004000,-11938000,-31559000,-17725000,35832000,-12501000,6090000,97492000,-38759000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,4054000,10011000,42198000,68932000,43899000,40601000,60870000,50678000,2379000,49033000,39022000,28478000,61008000,66701000,81705000,69767000,38208000,31589000,67421000,54920000,61010000,158502000,119743000
99,Cash at the Beginning of Period,6400000,5900000,13000000,100000,1400000,4800000,1900000,17200000,12630000,4054000,10011000,42198000,50493000,43899000,40601000,60870000,50678000,2379000,49033000,39022000,28478000,61008000,66701000,81705000,69767000,49314000,31589000,67421000,54920000,61010000,158502000
100,Free Cash Flow,-16300000,-3900000,2100000,21800000,10500000,-18000000,400000,4500000,11588000,45511000,29438000,35743000,20982000,-2446000,45431000,-1672000,28172000,14221000,41086000,29566000,57057000,42690000,58910000,22396000,15547000,28281000,62119000,68663000,73703000,181386000,22995000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1047335/000104733502000004/0001047335-02-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733503000016/0001047335-03-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733504000023/0001047335-04-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733505000044/0001047335-05-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000095014406002368/0000950144-06-002368-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733507000033/0001047335-07-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733508000031/0001047335-08-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733509000031/0001047335-09-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733510000020/0001047335-10-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733511000019/0001047335-11-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733512000017/0001047335-12-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733513000021/0001047335-13-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733514000023/0001047335-14-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733515000018/0001047335-15-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733516000180/0001047335-16-000180-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733517000042/0001047335-17-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000143774918002879/0001437749-18-002879-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000143774919002958/0001437749-19-002958-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000143774920003248/0001437749-20-003248-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000143774921003415/0001437749-21-003415-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000143774922003787/0001437749-22-003787-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
