,https://roic.ai/company/TTC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,- -,-11500000,-113100000,-11400000,-12800000,-10200000,-18200000,-28200000,-21400000,-37000000,-51100000,-29800000,-39934000,-35662000,-46031000,-44663000,-40812000,-38189000,-39885000,-42168000,-48914000,-37939000,-48699000,-57447000,-43242000,-49427000,-71138000,-56374000,-50723000,-58276000,-90124000,-92881000,-78068000,-104012000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3014000,-8549000,- -,-1244000,- -,-35285000,- -,-9881000,-3382000,-6400000,-9657000,-15155000,-9663000,4241000,4957000,-194065000,11348000,-25681000,-37952000,-684730000,-138225000,1701000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-371000,- -,-250000,-3811000,-3659000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-200000,2200000,-600000,-1400000,4700000,-4700000,4800000,-300000,-129700000,3100000,-7400000,-1418000,-549000,343000,4140000,2516000,5055000,2194000,1761000,986000,2190000,1209000,3327000,5582000,413000,479000,179000,310000,199000,151000,4669000,216000,-26141000
89,Cash Used for Investing Activites,- -,- -,- -,-11700000,-110900000,-12000000,-14200000,-5500000,-22900000,-23400000,-21700000,-166700000,-48000000,-37200000,-44366000,-44760000,-45688000,-41767000,-38296000,-68419000,-38062000,-50288000,-51560000,-45960000,-60806000,-69275000,-47323000,-44773000,-65702000,-250260000,-39065000,-83758000,-127925000,-772942000,-216077000,-128452000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5748000,-3646000,-1857000,-1858000,-2154000,- -,- -,- -,- -,- -,-511000000,-546025000,-370000000
91,Common Stock Issued,- -,- -,- -,4500000,41700000,4600000,2400000,3800000,6100000,8300000,4600000,8400000,2200000,4100000,4275000,17285000,12941000,8923000,14307000,14153000,10683000,13255000,3997000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-10900000,-6500000,-700000,-800000,-800000,-2300000,-26200000,-13400000,-8000000,-1700000,-29200000,-17056000,-44153000,-24155000,-18726000,-169821000,-156972000,-146543000,-182843000,-110355000,-115283000,-135777000,-129955000,-93395000,-99587000,-103039000,-106964000,-111999000,-159354000,-160435000,-20043000,- -,-302274000
93,Dividends Paid,- -,- -,- -,-5700000,-5400000,-5700000,-5800000,-5800000,-6000000,-6000000,-5800000,-5800000,-6200000,-6100000,-6090000,-6108000,-6026000,-6005000,-5839000,-10755000,-15421000,-19459000,-22615000,-21403000,-23721000,-24970000,-26230000,-32499000,-45048000,-55549000,-65890000,-75758000,-85031000,-96133000,-107698000,-112440000
94,Other Financing Activites,- -,- -,- -,7200000,74000000,-25400000,-13000000,-25500000,-28700000,7100000,-3100000,92700000,-13800000,19900000,-49460000,19657000,-32559000,-14697000,-4869000,-819000,13080000,60256000,4912000,21129000,20852000,16679000,28442000,15942000,165104000,-10848000,7453000,-10156000,-6609000,926674000,656077000,281063000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-4900000,103800000,-27200000,-17200000,-28300000,-30900000,-16800000,-17700000,87300000,-19500000,-11300000,-68331000,-13319000,-49799000,-30505000,-166222000,-154393000,-138201000,-128791000,-124061000,-121305000,-142292000,-140103000,-93041000,-118298000,17017000,-173361000,-170436000,-245268000,-252075000,299498000,2354000,-503651000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-800000,400000,300000,-700000,-4500000,-1400000,-1300000,-3837000,-215000,1273000,2342000,-161000,-625000,113000,2029000,-2789000,4209000,-816000,-979000,-464000,-1668000,-1800000,-1846000,-5161000,4979000,-5937000,-1223000,2413000,2354000
97,Net Change In Cash,- -,- -,- -,-4900000,103800000,-27200000,-17200000,-28300000,-30900000,-16800000,-17700000,87300000,-19500000,11900000,-10982000,11898000,49940000,47471000,-19531000,-49354000,14121000,6524000,37312000,88414000,-10407000,-96480000,44970000,57137000,131880000,-188598000,147280000,36701000,-21132000,-137296000,328064000,-74280000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000000,978000,12876000,62816000,110287000,90756000,41402000,55523000,62047000,99359000,187773000,177366000,80886000,125856000,182993000,314873000,126275000,273555000,310256000,289124000,151828000,479892000,405612000
99,Cash at the Beginning of Period,- -,- -,- -,18700000,19700000,12300000,17000000,25500000,61800000,36200000,7700000,100000,- -,100000,11960000,978000,12876000,62816000,110287000,90756000,41402000,55523000,62047000,99359000,187773000,177366000,80886000,125856000,182993000,314873000,126275000,273555000,310256000,289124000,151828000,479892000
100,Free Cash Flow,- -,- -,- -,6200000,-113500000,32500000,27100000,60700000,9600000,-12700000,11000000,46900000,18000000,31800000,65618000,34530000,98123000,72738000,144336000,135894000,150386000,141406000,166808000,213531000,144808000,56430000,142556000,172449000,111227000,180495000,311219000,302472000,274681000,244490000,461306000,451457000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/737758/000091205794003585/0000912057-94-003585-index.html,- -,https://www.sec.gov/Archives/edgar/data/737758/000091205797002164/0000912057-97-002164-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/737758/000095013404000383/c79924e10vk.htm,https://www.sec.gov/Archives/edgar/data/737758/000095013404019731/c88301e10vk.htm,https://www.sec.gov/Archives/edgar/data/737758/000110465905062402/a05-15748_210k.htm,https://www.sec.gov/Archives/edgar/data/737758/000110465906083580/a06-25975_310k.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/737758/000104746910010555/0001047469-10-010555-index.html,https://www.sec.gov/Archives/edgar/data/737758/000104746911010161/0001047469-11-010161-index.html,https://www.sec.gov/Archives/edgar/data/737758/000104746912011370/0001047469-12-011370-index.html,https://www.sec.gov/Archives/edgar/data/737758/000104746913011316/0001047469-13-011316-index.html,https://www.sec.gov/Archives/edgar/data/737758/000104746914010062/0001047469-14-010062-index.html,https://www.sec.gov/Archives/edgar/data/737758/000104746915009397/0001047469-15-009397-index.html,https://www.sec.gov/Archives/edgar/data/737758/000104746916017295/0001047469-16-017295-index.html,https://www.sec.gov/Archives/edgar/data/737758/000073775817000056/0000737758-17-000056-index.html,https://www.sec.gov/Archives/edgar/data/737758/000073775818000050/0000737758-18-000050-index.html,https://www.sec.gov/Archives/edgar/data/737758/000073775819000028/0000737758-19-000028-index.html,https://www.sec.gov/Archives/edgar/data/737758/000073775820000029/0000737758-20-000029-index.htm,https://www.sec.gov/Archives/edgar/data/737758/000073775821000030/0000737758-21-000030-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
