,https://roic.ai/company/CWEN-A,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-46000000,-18000000,-72000000,-722000000,-124000000,-139000000,-183000000,-202000000,-238000000,-155000000,-211000000,-268000000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250000000,276000000,460000000,586000000,899000000,915000000,620000000,85000000,939000000,1516000000,1506000000,3304000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,136000000,180000000,345000000,261000000,1177000000,427000000,-193000000,-415000000,-46000000,-175000000,-435000000,367000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000000,-6000000,-2000000,14000000,332000000,-318000000,206000000,-182000000,267000000,-166000000,48000000,189000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000000,24000000,22000000,36000000,391000000,111000000,317000000,316000000,583000000,417000000,465000000,654000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18000000,30000000,24000000,22000000,59000000,429000000,111000000,498000000,316000000,583000000,417000000,465000000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000000,-99000000,-322000000,-97000000,190000000,344000000,540000000,485000000,415000000,249000000,421000000,550000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1567683/000156768321000009/0001567683-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1567683/000156768322000006/0001567683-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
