,https://roic.ai/company/ICAD,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,1600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2850000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-500000,- -,-200000,-900000,-700000,-400000,-300000,-400000,-200000,-100000,-137140,-111168,2202040,- -,-1446,- -,- -,- -,- -,-137944,246424,-13000,-70000,-168000,-50000,-40000,-12000,-5000,-15000,-10000,-13000,-24000
89,Cash Used for Investing Activites,- -,- -,- -,600000,-500000,-2000000,-2300000,-2000000,-1600000,-900000,-900000,-500000,-300000,-248913,-196750,2051978,-1468194,-472638,-1056405,-1175860,-714341,-2620941,-311468,-99439,-276000,-735000,-707000,-4746000,-2672000,-355000,2455000,-316000,-306000,-474000,-587000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-46000,-8505000,-12647000,-946000,-80000,-13000,-3016000,-7413000,-59000
91,Common Stock Issued,- -,- -,- -,200000,4000000,1300000,400000,200000,200000,1700000,- -,1000000,- -,1744937,152259,160509,6780300,9903178,490783,605403,1240097,1868902,23494,- -,60000,- -,146000,28214000,- -,- -,- -,- -,9353000,18285000,1027000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,257000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,1000000,-3000000,-400000,-1100000,- -,2600000,-100000,-3400000,1500000,1400000,260000,471870,638891,3364474,-4573390,-1541094,4000000,-375000,-258906,-22570,-86942,-1335000,14311000,-28000,2173000,279000,84000,5764000,6994000,4204000,8460000,15866000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,1200000,1000000,900000,-700000,200000,2800000,1600000,-3400000,2500000,1400000,2004937,624129,799400,10144774,5329788,-1050311,4605403,865097,1609996,924,-86942,-1275000,14311000,72000,21882000,-12368000,-862000,5684000,6981000,10541000,19332000,17091000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,1181698,-949411,595669,4010022,2907112,-3403300,-981459,725325,8766986,3132316,20947,-11693000,9372000,-2068000,20340000,-16940000,-6695000,802000,2798000,3128000,11873000,7096000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,1444771,495360,1091029,5101051,8008163,4604863,3623404,4348729,13115715,16248031,16268978,4576000,13948000,11880000,32220000,15280000,8585000,9387000,12185000,15313000,27186000,34282000
99,Cash at the Beginning of Period,- -,- -,- -,3500000,400000,400000,200000,1800000,600000,600000,200000,200000,200000,263073,1444771,495360,1091029,5101051,8008163,4604863,3623404,4348729,13115715,16248031,16269000,4576000,13948000,11880000,32220000,15280000,8585000,9387000,12185000,15313000,27186000
100,Free Cash Flow,- -,- -,- -,-5300000,-1000000,-900000,3000000,-600000,-2400000,-1600000,3800000,-2400000,-1200000,-686099,-1462372,-2405771,-5030783,-2297718,-2352989,-5586862,-139772,9156990,3131392,-142867,-10418000,-4939000,-2140000,1940000,-2872000,-5827000,-7732000,-4183000,-7413000,-7459000,-9971000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/749660/000089155401501470/0000891554-01-501470-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/749660/000114420406013278/0001144204-06-013278-index.htm,https://www.sec.gov/Archives/edgar/data/749660/000114420407014175/0001144204-07-014175-index.htm,https://www.sec.gov/Archives/edgar/data/749660/000114420408015886/0001144204-08-015886-index.htm,https://www.sec.gov/Archives/edgar/data/749660/000114420409012664/0001144204-09-012664-index.htm,https://www.sec.gov/Archives/edgar/data/749660/000095012310027293/0000950123-10-027293-index.htm,https://www.sec.gov/Archives/edgar/data/749660/000114420411018493/0001144204-11-018493-index.htm,https://www.sec.gov/Archives/edgar/data/749660/000119312512104800/0001193125-12-104800-index.htm,https://www.sec.gov/Archives/edgar/data/749660/000119312513079600/0001193125-13-079600-index.htm,https://www.sec.gov/Archives/edgar/data/749660/000119312514078096/0001193125-14-078096-index.htm,https://www.sec.gov/Archives/edgar/data/749660/000119312515089682/0001193125-15-089682-index.htm,https://www.sec.gov/Archives/edgar/data/749660/000119312516501542/0001193125-16-501542-index.htm,https://www.sec.gov/Archives/edgar/data/749660/000119312517095536/0001193125-17-095536-index.htm,https://www.sec.gov/Archives/edgar/data/749660/000119312518103266/0001193125-18-103266-index.htm,https://www.sec.gov/Archives/edgar/data/749660/000119312519092896/0001193125-19-092896-index.htm,https://www.sec.gov/Archives/edgar/data/749660/000119312520070296/0001193125-20-070296-index.htm,https://www.sec.gov/Archives/edgar/data/749660/000119312521081487/0001193125-21-081487-index.htm,https://www.sec.gov/Archives/edgar/data/749660/000119312522086983/0001193125-22-086983-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
