,https://roic.ai/company/SYK,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,-7000000,- -,- -,- -,- -,361300000,87600000,52900000,-48200000,158700000,-171500000,-61200000,80100000,-15900000,103300000,482000000,592200000,561500000,1389100000,-54700000,893000000,1616200000,-643400000,889000000,-594000000,-469000000,-768000000,272000000,-205000000,418000000,2034000000,-2294000000,-67000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-131200000,-9800000,-121400000,-152000000,-20000000,-89000000,-89000000,-151000000,-192000000,-162000000,-60000000,-563000000,354000000,-377000000
79,Inventory,- -,- -,- -,- -,-1600000,-7500000,-18100000,700000,2300000,5800000,-1600000,3500000,-18200000,-30200000,14700000,-20200000,-10200000,7000000,-5800000,-63000000,-39700000,-86800000,-89900000,-180200000,33700000,-131200000,-166000000,18000000,-77000000,-173000000,-115000000,-299000000,-320000000,-385000000,-400000000,27000000,-189000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10400000,-80500000,95900000,44000000,-48000000,1000000,13000000,35000000,-16000000,21000000,116000000,63000000,100000000,329000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,361300000,448900000,501800000,453600000,612300000,440800000,379600000,459700000,443800000,547100000,1029100000,1621300000,2182800000,3571900000,3517200000,4410200000,6026400000,5383000000,6272000000,5678000000,5209000000,4441000000,4713000000,4508000000,4926000000,6960000000,4666000000,-145000000
82,Other Non-Cash Items,- -,- -,- -,- -,2800000,19400000,-1400000,-4200000,12600000,-353100000,-94300000,42900000,-20500000,-37000000,321900000,-25300000,-79900000,-10100000,-105100000,-539800000,-713900000,-776600000,-1597700000,-352700000,-914600000,-1717400000,340400000,-843000000,1068000000,1221000000,-342000000,-704000000,-47000000,-621000000,-2957000000,2970000000,412000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,21500000,48300000,37600000,50700000,86100000,97700000,111500000,204300000,91900000,154500000,284000000,331800000,468300000,503900000,648500000,593300000,863800000,867300000,1028300000,1175900000,1460700000,1547400000,1434000000,1657000000,1886000000,1782000000,899000000,1812000000,1559000000,2610000000,2191000000,3277000000,3263000000
84,CAPEX,- -,- -,- -,- -,-7100000,-13100000,-16600000,-31600000,-54800000,-29200000,-36300000,-26700000,-35200000,-1745900000,-76200000,-80700000,-161900000,-139000000,-144500000,-187800000,-271700000,-217500000,-187700000,-155200000,-131300000,-182100000,-226000000,-210000000,-195000000,-233000000,-270000000,-490000000,-598000000,-572000000,-649000000,-487000000,-525000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14600000,-24500000,-43000000,-173600000,-10800000,-144700000,-59700000,-97100000,-54800000,-14200000,-570200000,-265400000,-2066000000,-154000000,-2320000000,-916000000,-153000000,-4332000000,-831000000,-2451000000,-802000000,-4222000000,-339000000
86,Purchases of Investments,- -,- -,- -,- -,- -,-15400000,-11700000,-21600000,-54300000,- -,-110300000,- -,-5100000,- -,-5000000,- -,- -,- -,- -,- -,-1543400000,-9137800000,-14851900000,-16832300000,-4602100000,-5619000000,-6779000000,-3480000000,-4558000000,-4365000000,-1715000000,-151000000,-270000000,-226000000,-74000000,-54000000,-49000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,17700000,- -,3700000,- -,179800000,16400000,7100000,- -,- -,- -,- -,968400000,8709700000,13772400000,17303200000,3973700000,5210100000,6869000000,3108000000,4856000000,3636000000,4094000000,785000000,87000000,394000000,69000000,61000000,55000000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-8700000,- -,-42600000,-17800000,-51300000,-39400000,-100000,- -,4800000,9000000,800000,3700000,8500000,3400000,400000,700000,8600000,1500000,60900000,67000000,- -,- -,- -,- -,-3000000,-1000000,-2000000,1000000,1000000,-1000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-7100000,-28500000,-28300000,-61900000,-109100000,-54100000,-164400000,-74300000,-79700000,-1566200000,-79400000,-93300000,-195900000,-311800000,-151600000,-324000000,-903000000,-742300000,-1321300000,310100000,-1328400000,-795500000,-2135000000,-736000000,-2217000000,-1878000000,1956000000,-4191000000,-1613000000,-2857000000,-1455000000,-4701000000,-859000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19300000,-19600000,-80800000,-190000000,-182000000,-355000000,-1428000000,-2272000000,-1635000000,-933000000,-669000000,-1342000000,-2297000000,-1151000000
91,Common Stock Issued,- -,- -,- -,- -,1500000,900000,1300000,9800000,1400000,1800000,3800000,4100000,5400000,6700000,7200000,14200000,14700000,32000000,26900000,- -,30400000,48600000,69500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3100000,- -,-15100000,-25600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000000,- -,-425500000,-622000000,-108000000,-317000000,-100000000,-700000000,-13000000,-230000000,-300000000,-307000000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-2400000,-2900000,-3400000,-3900000,-4400000,-9700000,-10600000,-11600000,-12700000,-15700000,-19700000,-23700000,-28000000,-36200000,-44600000,-89700000,-135600000,-198400000,-238300000,-279000000,-324000000,-401000000,-462000000,-521000000,-568000000,-636000000,-703000000,-778000000,-863000000,-950000000
94,Other Financing Activites,- -,- -,- -,- -,-1100000,-1500000,3800000,-7800000,31400000,26800000,5100000,-6000000,-500000,1390700000,-226200000,-260200000,-276600000,-224900000,-479500000,38600000,207700000,-207200000,33800000,108800000,24700000,1154700000,930000000,165000000,1373000000,2619000000,2352000000,4577000000,1005000000,3001000000,2430000000,3149000000,-264000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,400000,-600000,5100000,-400000,29900000,22100000,5000000,-21400000,-30400000,1386800000,-230600000,-258700000,-277600000,-212600000,-476300000,10600000,201900000,-203200000,13600000,-1046100000,-193300000,410100000,-161000000,-449000000,300000000,629000000,-1141000000,2361000000,-794000000,1329000000,3000000,-11000000,-2365000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-100000,200000,-200000,1700000,-300000,1400000,200000,-2000000,-3300000,-4200000,-15300000,-5800000,1300000,8200000,7500000,3600000,-20900000,3600000,10200000,-29300000,18600000,-63100000,9000000,18000000,-25000000,-77000000,-130000000,-45000000,74000000,-8000000,-18000000,41000000,-38000000
97,Net Change In Cash,- -,- -,- -,- -,400000,-600000,5100000,-400000,29900000,- -,- -,- -,- -,- -,-41300000,-26000000,-3900000,-12300000,28100000,283500000,141800000,-74600000,-126100000,410600000,-42400000,1098900000,-853000000,490000000,-56000000,456000000,1584000000,-63000000,-774000000,1074000000,721000000,-1394000000,1000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80000000,54000000,50100000,37800000,65900000,349400000,491200000,416600000,290500000,701100000,658700000,1757600000,905000000,1395000000,1339000000,1795000000,3379000000,3316000000,2542000000,3616000000,4337000000,2943000000,2944000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,4600000,19300000,38700000,52900000,43100000,49700000,116800000,69000000,175700000,154000000,121300000,80000000,54000000,50100000,37800000,65900000,349400000,491200000,416600000,290500000,701100000,658700000,1758000000,905000000,1395000000,1339000000,1795000000,3379000000,3316000000,2542000000,3616000000,4337000000,2943000000
100,Free Cash Flow,- -,- -,- -,- -,14400000,35200000,21000000,19100000,31300000,68500000,75200000,177600000,56700000,-1591400000,207800000,251100000,306400000,364900000,504000000,405500000,592100000,649800000,840600000,1020700000,1329400000,1365300000,1208000000,1447000000,1691000000,1549000000,629000000,1322000000,961000000,2038000000,1542000000,2790000000,2738000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/310764/000031076495000004/0000310764-95-000004-index.html,https://www.sec.gov/Archives/edgar/data/310764/000031076496000004/0000310764-96-000004-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/310764/000031076402000013/0000310764-02-000013-index.html,https://www.sec.gov/Archives/edgar/data/310764/000031076403000008/syk10k02.htm,https://www.sec.gov/Archives/edgar/data/310764/000123933804000002/syk10k03.htm,https://www.sec.gov/Archives/edgar/data/310764/000031076405000008/syk10k04.htm,https://www.sec.gov/Archives/edgar/data/310764/000031076406000040/syk10k05.htm,https://www.sec.gov/Archives/edgar/data/310764/000031076407000062/syk10k06.htm,https://www.sec.gov/Archives/edgar/data/310764/000031076408000047/syk10k07.htm,https://www.sec.gov/Archives/edgar/data/310764/000031076409000035/0000310764-09-000035-index.html,https://www.sec.gov/Archives/edgar/data/310764/000119312510042997/0001193125-10-042997-index.html,https://www.sec.gov/Archives/edgar/data/310764/000119312511039845/d10k.htm,https://www.sec.gov/Archives/edgar/data/310764/000031076412000031/0000310764-12-000031-index.html,https://www.sec.gov/Archives/edgar/data/310764/000031076413000054/0000310764-13-000054-index.html,https://www.sec.gov/Archives/edgar/data/310764/000031076414000021/syk10k12312013.htm,https://www.sec.gov/Archives/edgar/data/310764/000031076415000022/syk10k12312014.htm,https://www.sec.gov/Archives/edgar/data/310764/000031076416000226/0000310764-16-000226-index.html,https://www.sec.gov/Archives/edgar/data/310764/000031076417000034/0000310764-17-000034-index.html,https://www.sec.gov/Archives/edgar/data/310764/000031076418000031/0000310764-18-000031-index.html,https://www.sec.gov/Archives/edgar/data/310764/000031076419000014/0000310764-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/310764/000031076420000014/0000310764-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/310764/000031076421000027/0000310764-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/310764/000031076422000028/0000310764-22-000028-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
