,https://roic.ai/company/ATSG,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,- -,- -,- -,37223000,16252000,15045000,14014000,13907000,14701000,11259000,5226000,7205000,8906000,9430000,9050000,10665000,12963000,19925000,22169000,33536000,37397000,40410000,49204000
36,Other Current Assets,- -,- -,- -,23589000,5151000,2550000,5546000,23305000,40779000,33676000,69324000,23011000,51164000,31369000,26682000,32383000,12660000,19123000,20521000,18608000,20323000,39096000,28742000
37,Total Current Assets,- -,- -,- -,63163000,89986000,111021000,120446000,126170000,219726000,248932000,245487000,117635000,132851000,104099000,119678000,117121000,101306000,132653000,184503000,259221000,266791000,272736000,352841000
38,PP&E,991748000,1201879000,1137912000,1089485000,312803000,351646000,381645000,458638000,690813000,671552000,636089000,658756000,748913000,818924000,838172000,847268000,875401000,1000992000,1159962000,1555005000,1810322000,2008600000,2192578000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,178654000,89777000,89777000,89777000,86980000,86980000,34395000,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,31700000,11000000,10113000,9259000,6396000,5146000,4896000,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,210354000,100777000,99890000,99036000,93376000,92126000,39291000,39010000,38729000,45586000,44577000,535359000,527654000,516290000,505125000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,87024000,15794000,54807000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,21360000,10317000,10256000,13952000,7966000,26280000,25281000,21307000,25227000,18579000,20462000,35998000,28230000,26827000,80099000,159802000,121000000,215411000,204119000,216791000
45,Total Non-Current Assets,- -,- -,- -,1110845000,323120000,361902000,395597000,553628000,943241000,852417000,757286000,783019000,860868000,931512000,913461000,914508000,940957000,1126677000,1364341000,2211364000,2553387000,2729009000,2914494000
46,Other Assets,1098236000,1296100000,1220623000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
