,https://roic.ai/company/VHI,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,176100000,104900000,4200000,58800000,32800000,71800000,173600000,81200000,93000000,17000000,151500000,162439000,158649000,106829000,108546000,142129000,104291000,86295000,63500000,-24500000,76000000,76000000,292400000,71900000,117100000,67300000,22500000,79800000,259300000,165500000,177200000,152200000,459700000
84,CAPEX,- -,- -,-153300000,- -,-26800000,-28000000,-40000000,-73200000,-120500000,-75900000,-36700000,-77200000,-120900000,-67118000,-70821000,-45995000,-45331000,-48521000,-62778000,-63773000,-63800000,-84900000,-66900000,-66900000,-155100000,-102900000,-76100000,-73000000,-55900000,-60400000,-73500000,-61400000,-59900000,-65500000,-64100000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9149000,- -,- -,-7342000,-9832000,- -,- -,- -,6700000,-4500000,165600000,22100000,- -,- -,- -,- -,- -,2900000,4900000,- -
86,Purchases of Investments,- -,- -,-614000000,- -,-201800000,-294100000,-281800000,- -,-5000000,-17000000,-19000000,-3800000,- -,-84902000,- -,- -,- -,-17632000,-58098000,-90227000,-23300000,-6100000,-5400000,-5400000,-310100000,-11700000,-7900000,-16300000,-13600000,-11400000,-9700000,-4400000,-4900000,-3400000,-4000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,197100000,280500000,381400000,- -,- -,- -,6900000,6900000,6600000,158000,16802000,- -,- -,2745000,38866000,42922000,28500000,7900000,28500000,9500000,256000000,33500000,11100000,15100000,15000000,10700000,9000000,18200000,4300000,4300000,5200000
88,Other Investing Activites,- -,- -,72300000,-130000000,294600000,2200000,4300000,-11000000,-15400000,142800000,15000000,227600000,-16100000,945000,225000,-11998000,11566000,5321000,109722000,31396000,-6800000,23100000,-67600000,-55300000,-162300000,-86500000,-81500000,-53900000,-58400000,-60900000,-73700000,-70800000,-53000000,-62800000,-38600000
89,Cash Used for Investing Activites,- -,- -,-695000000,-130000000,263100000,-39400000,63900000,-84200000,-140900000,49900000,-33800000,153500000,-130400000,-150917000,-53794000,-67142000,-33765000,-58087000,20370000,-89514000,-65400000,-60000000,-44500000,-44500000,-220900000,100900000,-56200000,-55100000,-57000000,-61600000,-74400000,-57000000,-50700000,-57000000,-37400000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-401900000,-401100000,-328800000,-546000000,-693300000,-343100000,-53400000,-309000000,-600200000,-12600000,-11200000,-58500000,-102300000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110400000,- -,- -,- -,- -,- -,9201000,2507000,961000,2400000,- -,- -,- -,300000,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-18800000,- -,- -,- -,- -,- -,- -,- -,- -,-3700000,- -,-19000,- -,- -,- -,- -,-62060000,-43794000,-11100000,-1000000,-100000,-100000,-9500000,- -,-700000,- -,- -,- -,- -,- -,-3100000,-1000000,-1500000
93,Dividends Paid,- -,- -,-28500000,- -,-22700000,-22800000,-5700000,-9100000,-13800000,-23100000,-23100000,-23100000,-26800000,-24328000,-27820000,-27872000,-29796000,-29804000,-48805000,-47981000,-45600000,-45500000,-50300000,-45400000,-53700000,-65000000,-67900000,-37300000,-27100000,-27100000,-27200000,-27100000,-27100000,-13600000,-9000000
94,Other Financing Activites,- -,- -,594100000,259000000,-260000000,36900000,-113100000,170400000,-23300000,-20400000,71800000,-381800000,-40600000,-2690000,-56633000,-75199000,-41448000,99041000,-7404000,3261000,-1800000,33600000,447600000,441900000,91900000,707000000,475600000,490600000,69900000,290600000,721000000,-20100000,-22700000,-49400000,-76300000
95,Cash Used/Provided by Financing Activities,- -,- -,546800000,259000000,-282700000,14100000,-118800000,161300000,-37100000,-43500000,48700000,-298200000,-67400000,-27037000,-84453000,-103071000,-71244000,78438000,-115762000,-87553000,-56100000,-12900000,-4700000,-4700000,-299800000,96000000,-286200000,110200000,-10600000,-45500000,93600000,-59800000,-64100000,-122500000,-189100000
96,Effect of Forex Changes on Cash,- -,- -,1800000,5800000,- -,-300000,- -,-400000,4600000,-2800000,-3200000,-8100000,-3400000,-2175000,-1006000,3650000,5178000,1955000,-1765000,4962000,7100000,-3900000,4900000,4900000,-400000,1700000,1200000,-9400000,-8400000,-5300000,14400000,-14400000,-2300000,13800000,-10600000
97,Net Change In Cash,- -,- -,546800000,259000000,-282700000,14100000,-118800000,148500000,200000,84800000,104700000,-135800000,-49600000,-17690000,19396000,-59734000,8715000,164435000,7134000,-85810000,-50900000,-101300000,31700000,31700000,-228700000,270500000,-224100000,113000000,-53500000,-32600000,292900000,34300000,60100000,-13500000,222600000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,170700000,170900000,255700000,360400000,224600000,175000000,135017000,154413000,94679000,103394000,267829000,274963000,189153000,138300000,37000000,68700000,68700000,96400000,366900000,142800000,255800000,202300000,196500000,489400000,523700000,583800000,570300000,792900000
99,Cash at the Beginning of Period,- -,- -,214600000,222300000,26800000,11300000,44500000,22200000,170700000,170900000,255700000,360400000,224600000,152707000,135017000,154413000,94679000,103394000,267829000,274963000,189200000,138300000,37000000,37000000,325100000,96400000,366900000,142800000,255800000,229100000,196500000,489400000,523700000,583800000,570300000
100,Free Cash Flow,- -,- -,22800000,104900000,-22600000,30800000,-7200000,-1400000,53100000,5300000,56300000,-60200000,30600000,95321000,87828000,60834000,63215000,93608000,41513000,22522000,-300000,-109400000,9100000,9100000,137300000,-31000000,41000000,-5700000,-33400000,19400000,185800000,104100000,117300000,86700000,395600000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/59255/000090589495000003/0000905894-95-000003-index.html,https://www.sec.gov/Archives/edgar/data/59255/0000059255-96-000004-index.html,https://www.sec.gov/Archives/edgar/data/59255/000090589497000006/0000905894-97-000006-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/59255/000005925506000002/0000059255-06-000002-index.htm,https://www.sec.gov/Archives/edgar/data/59255/000005925506000008/0000059255-06-000008-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/59255/000005925511000084/0000059255-11-000084-index.htm,https://www.sec.gov/Archives/edgar/data/59255/000119312512101411/0001193125-12-101411-index.htm,https://www.sec.gov/Archives/edgar/data/59255/000119312513110265/0001193125-13-110265-index.htm,https://www.sec.gov/Archives/edgar/data/59255/000156459014000779/0001564590-14-000779-index.htm,https://www.sec.gov/Archives/edgar/data/59255/000156459015001677/0001564590-15-001677-index.htm,https://www.sec.gov/Archives/edgar/data/59255/000156459016014582/0001564590-16-014582-index.htm,https://www.sec.gov/Archives/edgar/data/59255/000156459017004035/0001564590-17-004035-index.htm,https://www.sec.gov/Archives/edgar/data/59255/000156459018005830/0001564590-18-005830-index.htm,https://www.sec.gov/Archives/edgar/data/59255/000156459019007189/0001564590-19-007189-index.htm,https://www.sec.gov/Archives/edgar/data/59255/000156459020010472/0001564590-20-010472-index.htm,https://www.sec.gov/Archives/edgar/data/59255/000156459021012521/0001564590-21-012521-index.htm,https://www.sec.gov/Archives/edgar/data/59255/000155837022003285/0001558370-22-003285-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
