,https://roic.ai/company/KOSS,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-349196,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250000,25000,75000,25000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-200000,-100000,-100000,100000,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-117641,- -,- -,700000,- -,-348503,-349196,- -,-259279,-243940,-231942,-129702,-133928,-131219,-123237,-113116,-104051
89,Cash Used for Investing Activites,- -,- -,- -,-1000000,-1400000,-1100000,-300000,-900000,-400000,-800000,-700000,-800000,-200000,-400000,-349620,-814851,-664319,-618919,-1344169,-1288135,-921807,-176070,-454344,-2072866,-1760333,-2628968,-1847409,-914759,-779808,-558555,-579498,-537362,-381837,-310993,-537275,-704206
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1400000,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,800000,2100000,- -,- -,400000,900000,800000,400000,500000,3800000,200000,774262,535798,487300,818163,359925,577188,3869626,500566,1413869,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-800000,-2100000,- -,- -,- -,- -,-200000,-1500000,-400000,-7000000,-5900000,-6486347,-11627523,-5416436,-1201000,-1004068,-2217371,-6605451,-1837655,-1283413,-43640,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1338424,-1866782,-1959563,-1926938,-5648156,-5641556,-5591850,-1920586,-1845678,-1771848,-1771850,-1771849,-1771849,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-800000,-1300000,1700000,-1600000,-300000,-1200000,-1500000,-100000,800000,1600000,-2800000,- -,- -,- -,- -,- -,- -,4407333,288631,-286200,- -,1250000,95011,- -,- -,- -,- -,- -,- -,- -,46677,506700,3306272
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-800000,-1300000,1700000,-1600000,100000,-300000,-900000,-1200000,900000,-1600000,-8500000,-5712085,-11091725,-6267560,-2249619,-2603706,-3567121,-3976648,-6690014,-5747594,-1964226,-595678,-1676837,-3171850,-1771849,-1771849,- -,- -,- -,- -,46677,506700,3306272
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-800000,-1300000,1700000,-1600000,100000,-300000,- -,- -,- -,- -,- -,1992897,-2982723,870686,504740,553813,3107781,927882,-1958898,-864809,-1658466,-1373380,35046,-110515,809609,1039775,-899145,-264873,-303110,649250,1146749,1771127,2950806
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,3164401,181678,1052364,1557104,2110917,5218698,6146580,4187682,3322873,1664407,125496,160542,50027,859636,1899411,1000266,735393,432283,1081533,2228282,3999409,6950215
99,Cash at the Beginning of Period,- -,- -,- -,100000,300000,100000,- -,100000,200000,- -,- -,- -,- -,- -,1171504,3164401,181678,1052364,1557104,2110917,5218698,6146580,4187682,3322873,1498876,125496,160542,50027,859636,1899411,1000266,735393,432283,1081533,2228282,3999409
100,Free Cash Flow,- -,- -,- -,1100000,1300000,-1600000,1600000,100000,100000,1000000,1200000,-900000,1600000,9700000,7704982,8109002,7138246,2745711,3157519,6792543,4904530,4481116,4157785,230760,-454199,2061079,3410531,2840737,3055564,-667203,-135171,-169182,780469,1223309,1377543,-251415
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/56701/000095012495003043/0000950124-95-003043-index.html,- -,https://www.sec.gov/Archives/edgar/data/56701/000095012497004821/0000950124-97-004821-index.html,https://www.sec.gov/Archives/edgar/data/56701/000095012498005202/0000950124-98-005202-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/56701/000095013402011206/0000950134-02-011206-index.html,- -,https://www.sec.gov/Archives/edgar/data/56701/000095013404014343/d18773e10vk.htm,https://www.sec.gov/Archives/edgar/data/56701/000095013405018501/d29032e10vk.htm,https://www.sec.gov/Archives/edgar/data/56701/000110465906059662/a06-19032_110k.htm,https://www.sec.gov/Archives/edgar/data/56701/000095013407018572/0000950134-07-018572-index.html,https://www.sec.gov/Archives/edgar/data/56701/000110465908054880/0001104659-08-054880-index.html,https://www.sec.gov/Archives/edgar/data/56701/000110465909051789/0001104659-09-051789-index.html,https://www.sec.gov/Archives/edgar/data/56701/000110465910049173/0001104659-10-049173-index.html,https://www.sec.gov/Archives/edgar/data/56701/000110465911050170/0001104659-11-050170-index.html,https://www.sec.gov/Archives/edgar/data/56701/000005670112000011/0000056701-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/56701/000005670113000033/0000056701-13-000033-index.html,https://www.sec.gov/Archives/edgar/data/56701/000005670114000028/0000056701-14-000028-index.html,https://www.sec.gov/Archives/edgar/data/56701/000005670115000031/0000056701-15-000031-index.html,https://www.sec.gov/Archives/edgar/data/56701/000005670116000084/fy201610-k.htm,https://www.sec.gov/Archives/edgar/data/56701/000005670117000038/0000056701-17-000038-index.html,https://www.sec.gov/Archives/edgar/data/56701/000005670118000033/0000056701-18-000033-index.html,https://www.sec.gov/Archives/edgar/data/56701/000143774919017702/0001437749-19-017702-index.html,https://www.sec.gov/Archives/edgar/data/56701/000143774920018841/0001437749-20-018841-index.htm,https://www.sec.gov/Archives/edgar/data/56701/000005670121000024/0000056701-21-000024-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
