,https://roic.ai/company/UL,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/217410/000102123103000386/0001021231-03-000386-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000102123104000199/0001021231-04-000199-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000102123105000243/0001021231-05-000243-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/217410/000115697308000355/0001156973-08-000355-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000095012309004220/0000950123-09-004220-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000095012310021289/0000950123-10-021289-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000095012311021977/0000950123-11-021977-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000119312512094131/0001193125-12-094131-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000119312513097045/0001193125-13-097045-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000119312514087835/0001193125-14-087835-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000119312515079958/0001193125-15-079958-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000119312516472832/0001193125-16-472832-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000119312517060492/0001193125-17-060492-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000119312518062395/0001193125-18-062395-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000119312519070426/0001193125-19-070426-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000119312520067343/0001193125-20-067343-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,1611874237,1620382889,1718076090,1987558651,1775152095,2215273316,5005916138,2792427886,2933976236,1745929011,1838000000,2130840920,2756872160,1874444880,3765999815,4745000000,3888000000,5027000000,3370000000,4244000000,4252000000,4480000000,4842000000,5171000000,4909000000,5184000000,6053000000,9389000000,5625000000,5581000000,6049000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,732543019,699111750,894831297,933221894,959281105,1168178289,1106080540,883160163,1191274735,3084474587,2845000000,2584454640,2034304860,2857034640,876999393,982000000,943000000,1003000000,1032000000,993000000,1029000000,1199000000,1151000000,1432000000,1370000000,1464000000,1538000000,1747000000,1982000000,2018000000,1763000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,191999736,120000000,118000000,125000000,195000000,144000000,105000000,153000000,228000000,188000000,150000000,198000000,284000000,196000000,151000000,108000000,161000000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,510263744,209608011,-226690595,63744665,-295256119,-90812446,300565364,-390628533,336000566,1515668808,223000000,452660750,-200095560,543670160,-172000523,87000000,27000000,-161000000,1701000000,169000000,-177000000,822000000,200000000,8000000,720000000,51000000,-68000000,-793000000,-9000000,680000000,-47000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-6989914,-159402500,-167035175,-218006754,-465179028,70173254,117220492,-404781741,19291899,655355962,-177000000,-98155910,-107194050,219828640,-153000177,-156000000,-333000000,-345000000,473000000,-573000000,-219000000,-9000000,168000000,-47000000,-129000000,190000000,-104000000,-471000000,313000000,-587000000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,-728349070,-694091199,-270437903,-869477229,-426614964,-331603024,-3914863866,-1129425977,-7543132328,-1804126645,-1419000000,-400247400,-369223950,-550309280,-953000777,-1423000000,-1100000000,-2123000000,-524000000,-60000000,243000000,182000000,-127000000,-1256000000,181000000,150000000,-515000000,-3786000000,360000000,671000000,46000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,2126331930,1835011451,2115778889,2115047981,2012562118,2961036134,2497698175,2155533538,-3081880791,4541945761,3487000000,4767708910,4221857510,4724840400,3709997644,4511000000,3876000000,3871000000,5774000000,5490000000,5452000000,6836000000,6294000000,5543000000,7330000000,7047000000,7292000000,6753000000,8109000000,9058000000,7972000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,-1479065866,-1391947811,-1822804494,-1820547629,-1463024198,-1608481060,-1438205267,-1262466130,-1390624353,-2148251783,-1358000000,-1296039200,-1036209150,-977426000,-1005999056,-1126000000,-1182000000,-1289000000,-1369000000,-1815000000,-2099000000,-2380000000,-2168000000,-2252000000,-2201000000,-2036000000,-1667000000,-1532000000,-1526000000,-1021000000,-1239000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-174747857,144340846,-710562334,-629797289,-753204385,-1194321266,6154075828,319862495,-385837971,-43220599192,3477000000,-57178200,-261235870,-39834720,783999772,1777000000,-50000000,2265000000,-139000000,-361000000,-1720000000,113000000,911000000,1428000000,-1698000000,-1701000000,-4335000000,5757000000,-945000000,-1387000000,-2088000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-5591931,- -,- -,-2549787,-49410208,-57789739,-34565017,-140116757,-279732529,-290988169,- -,-67660870,- -,- -,-50000220,-90000000,-50000000,-126000000,-95000000,-85000000,-1160000000,-91000000,-583000000,-78000000,-189000000,-73000000,-466000000,-104000000,-228000000,-128000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1255138,108705432,- -,1205127,- -,10519788,- -,11253607,20242655,- -,- -,- -,45736160,82999286,61000000,33000000,47000000,224000000,729000000,178000000,1092000000,302000000,69000000,127000000,173000000,251000000,151000000,55000000,609000000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-43337469,80328819,13256760,160636556,414563694,-218775439,-6522268399,-1824348477,6081771014,4635568042,-252000000,1469479740,896459870,244172080,704001462,420000000,490000000,371000000,-5000000,191000000,70000000,106000000,- -,133000000,88000000,217000000,180000000,169000000,197000000,288000000,-1158000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-1702743123,-1166023008,-2411404636,-2292258149,-1849869970,-3079367504,-1830443067,-2907068869,4036829769,-41004028447,3225000000,48601470,-400985150,-727352480,515001243,1155000000,-623000000,1415000000,-1263000000,-1164000000,-4467000000,-755000000,-1161000000,-341000000,-3539000000,-3188000000,-5879000000,4644000000,-2237000000,-1481000000,-3246000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-1281950283,-873575903,-1292534096,-1463577506,-2335536158,-2212521423,-1597504910,-496777592,-426029426,-4377474188,- -,- -,- -,- -,-4795000518,-5364000000,-2896000000,- -,- -,-1391000000,-907000000,-4435000000,-3294000000,-5305000000,-6270000000,-5213000000,-2604000000,-6594000000,-4912000000,-3577000000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,16775794,16316791,54352716,39521692,20487159,19263246,45084805,16983849,4822975,- -,- -,8576730,- -,8114480,- -,98000000,442000000,103000000,103000000,-124000000,30000000,48000000,24000000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-359519910,- -,- -,- -,- -,- -,-27833651,- -,- -,-7940300,-332000000,-1275999368,- -,-1500000000,-1503000000,- -,-124000000,- -,- -,- -,-467000000,-276000000,-257000000,-5666000000,-6277000000,-201000000,- -,-3018000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1420000000,-1580977230,-1711928680,-1718794400,-1803999006,-3207000000,-2734000000,-2573000000,-2623000000,-2323000000,-2485000000,-2699000000,-2993000000,-3189000000,-3331000000,-3609000000,-3916000000,-4066000000,-4209000000,-4279000000,-4483000000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,1083436716,594935313,1122847568,2066602036,2222254218,2597786348,837074539,519422724,266871263,40566281028,-5098000000,-3195308410,-2945057270,-2626096800,3697000708,1901000000,3679000000,843000000,-1781000000,-647000000,3773000000,464000000,873000000,3771000000,6845000000,6006000000,10753000000,5389000000,4655000000,2052000000,402000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,-181737772,-262323798,-115333812,283026312,-92794780,404528171,-715345566,39628982,-154335188,36160973190,-6518000000,-4767708910,-4664926250,-4668776720,-4177998185,-6572000000,-3009000000,-3130000000,-4301000000,-4609000000,411000000,-6622000000,-5390000000,-5190000000,-3032000000,-3073000000,-1433000000,-11548000000,-4667000000,-5804000000,-7099000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-19571760,55226063,-78214884,272827166,- -,-189880570,-88666782,58028152,152727530,-374489121,- -,334617798,- -,489000000,-188000000,351000000,-53000000,-697000000,-173000000,-148000000,-384000000,-220000000,84000000,-146000000,-541000000,284000000,-9000000,72000000,-179000000,-414000000,285000000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,222279275,461890707,-489174442,378643309,69897367,96316231,-136757241,-653878197,953341319,-675598617,194000000,48601470,-844847920,-671288800,-141000000,-555000000,191000000,1459000000,37000000,-431000000,1012000000,-761000000,-173000000,-134000000,218000000,1070000000,-29000000,-79000000,1026000000,1359000000,-2088000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,427782755,845962871,404331179,767485765,-91589653,110075693,7381885340,8050344560,2535276999,-18527090175,1862000000,2253774050,1850883930,1586012000,1265000000,710000000,901000000,2360000000,2397000000,1966000000,2978000000,2217000000,2044000000,1910000000,2128000000,3198000000,3169000000,3090000000,4116000000,5475000000,3387000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,205503480,384072164,893505621,388842456,-161487020,13759462,7518642581,8704222757,1581935680,-17851491558,1668000000,2205172580,2695731850,2257300800,1406000000,1265000000,710000000,901000000,2360000000,2397000000,1966000000,2978000000,2217000000,2044000000,1910000000,2128000000,3198000000,3169000000,3090000000,4116000000,5475000000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,647266064,443063640,292974395,294500352,549537920,1352555074,1059492908,893067408,-4472505144,2393693978,2129000000,3471669710,3185648360,3747414400,2703998588,3385000000,2694000000,2582000000,4405000000,3675000000,3353000000,4456000000,4126000000,3291000000,5129000000,5011000000,5625000000,5221000000,6583000000,8037000000,6733000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/217410/000102123103000386/0001021231-03-000386-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000102123104000199/0001021231-04-000199-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000102123105000243/0001021231-05-000243-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/217410/000115697308000355/0001156973-08-000355-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000095012309004220/0000950123-09-004220-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000095012310021289/0000950123-10-021289-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000095012311021977/0000950123-11-021977-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000119312512094131/0001193125-12-094131-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000119312513097045/0001193125-13-097045-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000119312514087835/0001193125-14-087835-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000119312515079958/0001193125-15-079958-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000119312516472832/0001193125-16-472832-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000119312517060492/0001193125-17-060492-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000119312518062395/0001193125-18-062395-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000119312519070426/0001193125-19-070426-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000119312520067343/0001193125-20-067343-index.htm,- -,- -
102,Forex Rate,undefined,undefined,0.8902,1.0734,1.3113,1.1734,1.1918,1.367,1.3369,1.2047,1.113,1.2269,1.2777,1.2538,1.0991,1.1723,1.0075,0.9424,0.8909,1.0501,1.2588,1.3558,1.1843,1.3199,1.459,1.398,1.4318,1.3379,1.2945,1.3194,1.3745,1.2097,1.086,1.0513,1.1996,1.1469,1.121,1.2213,1.1368
