,https://roic.ai/company/RCL,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,- -,- -,-32100000,-25400000,-30500000,-34400000,-50000000,-67734000,-81568000,-94418000,-99955000,-100127000,-98320000,-104521000,-118764000,-124460000,-98298000,-128045000,- -,- -,-21707000,-117707000,-143629000,-198952000,-280212000,-346487000,-437455000,-527494000,-602674000,-326421000,- -
94,Other Financing Activites,472700000,357800000,8900000,639800000,556600000,454500000,692500000,294822000,16723000,1197958000,1845159000,44599000,661763000,221602000,385078000,2941500000,1931221000,2222850000,2321830000,2357225000,1524238000,2154791000,2423484000,4176724000,4345253000,7255826000,5821744000,13229567000,29705240000,19927602000,4225649000
95,Cash Used/Provided by Financing Activities,295300000,103200000,-161400000,-80100000,156500000,398100000,806700000,-2524000,294635000,975454000,1699651000,-658798000,332343000,-145989000,-1525527000,879707000,36611000,1083386000,1312206000,756960000,-676515000,-179617000,-576626000,17480000,-253512000,243809000,-2675796000,1198073000,-670371000,9349788000,3040577000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8483000,-5298000,-889000,3249000,-12402000,-6125000,-1072000,-6307000,-17555000,-24569000,2331000,-20314000,1297000,1167000,-727000
97,Net Change In Cash,295300000,103200000,-161400000,-8400000,7400000,9100000,70400000,62128000,-109451000,114340000,549368000,-484594000,87502000,298492000,-503193000,-20865000,126264000,172094000,-118259000,135310000,-157743000,-67331000,9832000,-15446000,-67676000,11038000,-12491000,167740000,-44114000,3440736000,-982704000
98,Cash at the End of Period,- -,- -,- -,23900000,31300000,40400000,110800000,172921000,63470000,177810000,727178000,242584000,330086000,628578000,125385000,104520000,230784000,402878000,284619000,419929000,262186000,194855000,204687000,189241000,121565000,132603000,120112000,287852000,243738000,3684474000,2701770000
99,Cash at the Beginning of Period,35400000,27400000,56500000,32300000,23900000,31300000,40400000,110793000,172921000,63470000,177810000,727178000,242584000,330086000,628578000,125385000,104520000,230784000,402878000,284619000,419929000,262186000,194855000,204687000,189241000,121565000,132603000,120112000,287852000,243738000,3684474000
100,Free Cash Flow,-318900000,-95700000,136800000,72000000,-202900000,-422900000,-824500000,-124595000,-389123000,-582333000,-1103782000,180479000,-171727000,446321000,681462000,-232073000,-48687000,-1152279000,-1632668000,-524170000,282113000,90235000,648291000,-67639000,333026000,22327000,2310428000,-180889000,691703000,-5696784000,-4107519000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/884887/000088488706000003/0000884887-06-000003-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488707000043/0000884887-07-000043-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488708000067/0000884887-08-000067-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000119312509035629/0001193125-09-035629-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000119312510037643/0001193125-10-037643-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000119312511045435/0001193125-11-045435-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000119312512087322/0001193125-12-087322-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000104746913001567/0001047469-13-001567-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488714000023/0000884887-14-000023-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488715000025/0000884887-15-000025-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488716000126/0000884887-16-000126-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488717000020/0000884887-17-000020-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488718000017/0000884887-18-000017-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488719000017/0000884887-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488720000009/0000884887-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488721000006/0000884887-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488722000008/0000884887-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
