,https://roic.ai/company/NSSC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5422000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7248000,- -,- -,- -,- -,- -,- -,- -,419000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-1400000,-900000,-1200000,-1600000,-3300000,-1200000,-700000,-600000,-1100000,-1221000,-8283000,-709000,-752000,-681000,-658000,-1679000,-1294000,-1045000,-25229000,-300000,-737000,-606000,-383000,-753000,-730000,-693000,-1414000,-1280000,-1988000,-1615000,-6429000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7179000,-3572000,-6072000,-3520000,-3857000,-4600000,-1600000,-5900000,-2800000,-3500000,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000,59000,252000,261000,1108000,249000,447000,168000,3000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2500000,- -,- -,-725000,-243000,-2442000,- -,- -,- -,-2390000,-3225000,- -,- -,- -,- -,-435000,-285000,-2194000,-1108000,- -,-1337000,-3998000,-2454000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,1500000,1800000,2100000,700000,1700000,-2300000,-1400000,4200000,-1600000,-1468000,6276000,-5928000,-3255000,-7700000,-6414000,2960000,6200000,1500000,26960000,- -,- -,-68000,26000,149000,500000,- -,1415000,106000,53000,3984000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,1500000,1800000,2100000,700000,1700000,-2300000,-1400000,1700000,-1600000,-1447000,5610000,-5919000,-5436000,-6592000,-6165000,3407000,3978000,-1722000,19781000,-3572000,-6072000,-3588000,-4266000,-4736000,-3294000,-7008000,-1385000,-4731000,-3945000,1530000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,154000,-1347000,463000,294000,-998000,382000,1560000,-990000,1017000,1344000,1413000,-2445000,-98000,250000,-746000,-137000,1459000,-351000,1854000,2720000,10220000,16558000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2200000,2384000,1037000,1500000,1794000,796000,1178000,2738000,1748000,2765000,4109000,5522000,3077000,2979000,3229000,2483000,2346000,3805000,3454000,5308000,8028000,18248000,34806000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,2400000,1100000,400000,900000,1300000,400000,400000,1000000,2000000,2230000,2384000,1037000,1500000,1794000,796000,1178000,2738000,1748000,2765000,4109000,5522000,3077000,2979000,3229000,2483000,2346000,3805000,3454000,5308000,8028000,18248000
100,Free Cash Flow,- -,- -,- -,- -,- -,-2800000,-2500000,-1600000,-200000,-2600000,2300000,2100000,-700000,1800000,1601000,291000,6382000,5730000,5594000,6547000,-1847000,-4968000,2739000,6144000,4985000,3627000,3490000,4516000,3990000,3157000,8467000,1034000,6585000,6665000,8690000,21980000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/69633/000095012398008594/0000950123-98-008594-index.html,https://www.sec.gov/Archives/edgar/data/69633/000095012399008898/0000950123-99-008898-index.html,https://www.sec.gov/Archives/edgar/data/69633/000095012300008935/0000950123-00-008935-index.html,https://www.sec.gov/Archives/edgar/data/69633/000095012301506817/0000950123-01-506817-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/69633/000115752307009519/0001157523-07-009519-index.html,https://www.sec.gov/Archives/edgar/data/69633/000115752308007740/0001157523-08-007740-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/69633/000115752311005500/0001157523-11-005500-index.html,https://www.sec.gov/Archives/edgar/data/69633/000115752312004922/0001157523-12-004922-index.html,https://www.sec.gov/Archives/edgar/data/69633/000115752313004445/0001157523-13-004445-index.html,https://www.sec.gov/Archives/edgar/data/69633/000114420414055943/0001144204-14-055943-index.html,https://www.sec.gov/Archives/edgar/data/69633/000114420415054446/0001144204-15-054446-index.html,https://www.sec.gov/Archives/edgar/data/69633/000114420416123247/v448033_10k.htm,https://www.sec.gov/Archives/edgar/data/69633/000114420417047855/0001144204-17-047855-index.html,https://www.sec.gov/Archives/edgar/data/69633/000114420418049353/0001144204-18-049353-index.html,https://www.sec.gov/Archives/edgar/data/69633/000114420419044601/tv528953_10k.htm,https://www.sec.gov/Archives/edgar/data/69633/000110465920105150/0001104659-20-105150-index.htm,https://www.sec.gov/Archives/edgar/data/69633/000155837021012426/0001558370-21-012426-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
