,https://roic.ai/company/ABMD,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-4000000,-3400000,-4300000,-3400000,900000,566908,-236892,-687354,-7430419,-7306000,-11959000,-20068000,-16184000,-10136000,-5164000,-9339000,-19820000,-28874000,-18305000,-7362000,1574000,3634000,26399000,23466000,43290000,76795000,115116000,192546000,252197000,314920000,274578000
84,CAPEX,- -,- -,- -,- -,-200000,-100000,-300000,-200000,-100000,-322642,-1594484,-15969977,-1551893,-1358000,-2555000,-1624000,-840000,-429000,-697000,-3064000,-2420000,-3829000,-3751000,-1800000,-1804000,-1745000,-2836000,-2761000,-5188000,-15624000,-50415000,-55863000,-44004000,-44006000,-53383000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2573000,-9000,- -,- -,4639000,- -,- -,- -,- -,-15697000,- -,- -,- -,- -,- -,-52183000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-4300000,-2900000,-1300000,- -,-35554,- -,-25548051,-8313000,-26991000,-38009000,-14648000,-38968000,-39520000,-29021000,-17663000,-66390000,-60180000,-11869000,-8004000,-24502000,-49429000,-87776000,-100508000,-261725000,-281400000,-331808000,-404337000,-632237000,-582303000
87,Sales/Maturities of Investments,- -,- -,- -,- -,5500000,- -,4900000,6200000,- -,2701323,- -,- -,40360661,12748000,29422000,14391000,30425000,10197000,42169000,42016000,35187000,34454000,37126000,17848000,7000000,8767000,42000000,68265000,71530000,219639000,205482000,206909000,331886000,550788000,464525000
88,Other Investing Activites,- -,- -,- -,- -,-100000,- -,100000,- -,700000,-770000,- -,-2540168,- -,- -,- -,- -,-127000,-29000,-36000,11000,- -,-5140000,- -,- -,456000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,5200000,-100000,400000,3100000,-700000,1608681,-1630038,-18510145,13260717,3077000,-124000,-25242000,14810000,-29229000,1916000,7369000,15095000,-40905000,-26805000,8818000,-2352000,-17480000,-10265000,-22272000,-49863000,-57710000,-126333000,-180762000,-116455000,-125455000,-223344000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-446000,-517000,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,1400000,100000,100000,100000,- -,148652,545294,20300678,765761,96306000,864000,1007000,333000,1589000,4087000,2159000,66607000,3938000,42233000,340000,313000,423000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-66000,-50000,-1868000,- -,- -,- -,- -,-15302000,-425000,- -,- -,- -,- -,- -,-84879000,-11310000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,561000,-236000,-492000,-54000,- -,- -,- -,- -,- -,3997000,639000,1061000,14257000,3491000,10057000,9523000,7160000,4313000,-8620000,-55775000,-32836000,3243000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,1400000,100000,- -,100000,- -,148652,545294,20300678,765761,96867000,628000,515000,279000,1589000,4087000,2093000,66557000,2070000,46230000,979000,1374000,14680000,-11811000,9632000,9523000,7160000,3867000,-9137000,-55775000,-117715000,-8067000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97000,-56000,91000,-18000,105000,-1377000,568000,447000,-675000,-862000,639000,-1465000,-415000,-1841000,1288000,-1921000,-430000,-2798000
97,Net Change In Cash,- -,- -,- -,- -,1400000,100000,- -,100000,- -,2324241,-1321636,1103179,6596059,92638000,-11455000,-44795000,-1095000,-37679000,783000,214000,61814000,-67604000,-257000,3003000,1043000,159000,3461000,11465000,1485000,25830000,-9191000,3935000,78046000,71320000,40369000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,2938332,1616696,2683151,9279210,101917000,90462000,45667000,44572000,6893000,7618000,7832000,69646000,2042000,1785000,4788000,5831000,5990000,9451000,20916000,22401000,48231000,39040000,42975000,121021000,192341000,232710000
99,Cash at the Beginning of Period,- -,- -,- -,- -,5400000,8000000,4700000,700000,500000,614091,2938332,1579972,2683151,9279000,101917000,90462000,45667000,44572000,6835000,7618000,7832000,69646000,2042000,1785000,4788000,5831000,5990000,9451000,20916000,22401000,48231000,39040000,42975000,121021000,192341000
100,Free Cash Flow,- -,- -,- -,- -,-4200000,-3500000,-4600000,-3600000,800000,244266,-1831376,-16657331,-8982312,-8664000,-14514000,-21692000,-17024000,-10565000,-5861000,-12403000,-22240000,-32703000,-22056000,-9162000,-230000,1889000,23563000,20705000,38102000,61171000,64701000,136683000,208193000,270914000,221195000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/815094/000095010995002477/0000950109-95-002477-index.html,https://www.sec.gov/Archives/edgar/data/815094/000095010996004013/0000950109-96-004013-index.html,https://www.sec.gov/Archives/edgar/data/815094/000092701697001801/0000927016-97-001801-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/815094/000091205700029599/0000912057-00-029599-index.html,https://www.sec.gov/Archives/edgar/data/815094/000091205701521860/0000912057-01-521860-index.html,- -,https://www.sec.gov/Archives/edgar/data/815094/000104746903020694/0001047469-03-020694-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000110465904015644/0001104659-04-015644-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000110465905028230/0001104659-05-028230-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000119312506129882/0001193125-06-129882-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000119312507134975/0001193125-07-134975-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000119312508134401/0001193125-08-134401-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000119312509127074/0001193125-09-127074-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000119312510134997/0001193125-10-134997-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000119312511157312/0001193125-11-157312-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000119312512258595/0001193125-12-258595-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000119312513237523/0001193125-13-237523-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000119312514214835/0001193125-14-214835-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000119312515204302/0001193125-15-204302-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000156459016020014/0001564590-16-020014-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000156459017011690/0001564590-17-011690-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000156459018014310/0001564590-18-014310-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000156459019020329/0001564590-19-020329-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000156459020026547/0001564590-20-026547-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000156459021029314/0001564590-21-029314-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
