,https://roic.ai/company/HP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,216688000,-223916000,-2987000,-160154000,-4806000,-83594000,249873000,72792000,-97114000,-85202000,70323000,300807000,-28416000
79,Inventory,- -,- -,- -,- -,-1000000,-1300000,-6600000,-900000,- -,-3300000,-300000,2400000,-2700000,-5800000,200000,-411000,-2062000,1042000,251000,1707000,-487000,-4852000,-2980000,-3953000,-11625000,-3858000,-11005000,-22170000,-12289000,-17375000,-22488000,1944000,-10607000,-22427000,1821000,7197000,19847000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28640000,16760000,17362000,54906000,-52076000,-21082000,-34150000,-10907000,39412000,-4461000,-9147000,-9414000,31027000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,76200000,45400000,51800000,62800000,58800000,88700000,186250000,210191000,105852000,108913000,185983000,410316000,164143000,272352000,381690000,221026000,420166000,539584000,514064000,805938000,769840000,1087779000,1242566000,890882000,738382000,704848000,744191000,1101000
82,Other Non-Cash Items,- -,- -,- -,- -,-500000,-34100000,-14200000,6400000,-7800000,-75100000,34200000,-12400000,-9600000,-72300000,-25300000,-111533000,233000,155515000,-48348000,-48721000,-290572000,139128000,-230846000,-300605000,301500000,-277368000,-91272000,-157751000,-539779000,-131470000,-85187000,-27420000,249498000,85628000,370400000,633376000,67144000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,66400000,53400000,48800000,62000000,71000000,79900000,88600000,124900000,165600000,113500000,158700000,201836000,278856000,201395000,96504000,135400000,212238000,296390000,561067000,610828000,897319000,462288000,977552000,1000332000,997185000,1118527000,1418744000,753597000,357217000,544531000,855751000,538881000,136440000
84,CAPEX,- -,- -,- -,- -,-56300000,-40800000,-99300000,-81200000,-50600000,-102900000,-110800000,-110000000,-161200000,-266300000,-123000000,-131932000,-274670000,-312064000,-246301000,-88972000,-86805000,-528905000,-894214000,-705635000,-880753000,-329572000,-694264000,-1097680000,-809066000,-952892000,-1133482000,-257169000,-397567000,-466584000,-458402000,-140795000,-82148000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2279000,- -,- -,- -,- -,- -,- -,-12041000,-16000,- -,-4000000,- -,- -,- -,- -,- -,-70416000,-47886000,-16163000,15056000,- -
86,Purchases of Investments,- -,- -,- -,- -,-20500000,-12900000,- -,-5200000,-3000000,- -,- -,-1200000,-1400000,- -,-500000,- -,- -,-5656000,- -,- -,-5000000,-148440000,- -,- -,-12500000,-16000,- -,- -,- -,- -,-45607000,-57276000,-69866000,-71049000,-97652000,-134641000,-417601000
87,Sales/Maturities of Investments,- -,- -,- -,- -,18700000,8000000,5300000,20600000,7100000,100000,- -,8000000,8600000,75000000,2800000,12569000,24439000,47146000,18215000,14033000,65539000,113715000,127819000,25507000,541000,12516000,3932000,- -,232221000,49205000,- -,58381000,69449000,68776000,98764000,94646000,207716000
88,Other Investing Activites,- -,- -,- -,- -,1300000,4100000,9200000,8300000,10200000,4900000,1800000,1900000,9400000,15400000,10000000,18044000,13173000,4135000,6720000,7941000,28992000,14748000,67825000,36834000,8699000,7867000,26795000,39894000,28026000,30770000,22501000,21845000,23412000,44381000,50817000,-62946000,47891000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-56800000,-41600000,-84800000,-57500000,-36300000,-97900000,-109000000,-101300000,-144600000,-175900000,-110700000,-101319000,-239337000,-266439000,-221366000,-66998000,2726000,-548882000,-698570000,-655335000,-884029000,-309205000,-667537000,-1057786000,-548819000,-872917000,-1156588000,-234219000,-444988000,-472362000,-422636000,-87885000,-161994000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3816733000,-1062038000,-20000000,-135000000,-40000000,-115000000,-41002000,-40000000,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,1200000,1300000,900000,1300000,3000000,3100000,2000000,2900000,5437000,13601000,3554000,2194000,4927000,25358000,12372000,3802000,14537000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19100000,- -,-450000,-23198000,- -,- -,- -,- -,-28407000,-17621000,- -,- -,- -,- -,-77610000,- -,- -,-59654000,- -,- -,- -,-42779000,-28505000,- -
93,Dividends Paid,- -,- -,- -,- -,-10200000,-10700000,-11300000,-11400000,-11800000,-12000000,-12400000,-12500000,-13000000,-13800000,-13800000,-14175000,-15047000,-15221000,-16026000,-16222000,-16866000,-17712000,-18638000,-19333000,-21111000,-22254000,-26741000,-30049000,-93053000,-264386000,-298367000,-300152000,-305515000,-308430000,-313421000,-260335000,-109130000
94,Other Financing Activites,- -,- -,- -,- -,-2500000,-3700000,-300000,1800000,-200000,-3100000,21700000,-16700000,- -,89800000,-39800000,-5000000,- -,50000000,130000000,-30000000,- -,31340000,225322000,81601000,3844527000,898142000,37952000,24462000,21460000,46817000,493935000,-3049000,9100000,-759000,-20129000,-8380000,534653000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-12700000,-14400000,-11600000,-8400000,-10700000,-14200000,10600000,-26200000,-9900000,58900000,-50700000,-14188000,-24644000,38333000,116168000,-41295000,8492000,-2407000,192865000,76805000,6683000,-186150000,-8789000,-218197000,-111593000,-332569000,94912000,-343201000,-296415000,-309189000,-376329000,-297220000,425523000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-12700000,-14400000,-11600000,-8400000,-10700000,- -,- -,-2700000,- -,-3500000,-2700000,86329000,14875000,-81943000,-8694000,27107000,223456000,-254899000,55362000,32298000,19973000,-33122000,301226000,-268151000,351773000,-86959000,357068000,176177000,-384186000,-237020000,56786000,153776000,399969000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16800000,- -,24500000,21800000,108087000,122962000,46883000,38189000,65296000,288752000,33853000,89215000,121513000,141486000,63020000,364246000,96095000,447868000,360909000,717977000,905561000,521375000,284355000,382971000,536747000,936716000
99,Cash at the Beginning of Period,- -,- -,- -,- -,94800000,91700000,89000000,41500000,37600000,61700000,29400000,19500000,16900000,28000000,24500000,21758000,108087000,128826000,46883000,38189000,65296000,288752000,33853000,89215000,121513000,96142000,63020000,364246000,96095000,447868000,360909000,729384000,905561000,521375000,326185000,382971000,536747000
100,Free Cash Flow,- -,- -,- -,- -,10100000,12600000,-50500000,-19200000,20400000,-23000000,-22200000,14900000,4400000,-152800000,35700000,69904000,4186000,-110669000,-149797000,46428000,125433000,-232515000,-333147000,-94807000,16566000,132716000,283288000,-97348000,188119000,165635000,285262000,496428000,-40350000,77947000,397349000,398086000,54292000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/46765/000095013494001530/0000950134-94-001530-index.html,https://www.sec.gov/Archives/edgar/data/46765/000095013495003420/0000950134-95-003420-index.html,https://www.sec.gov/Archives/edgar/data/46765/000095013496007092/0000950134-96-007092-index.html,https://www.sec.gov/Archives/edgar/data/46765/000095013497009511/0000950134-97-009511-index.html,https://www.sec.gov/Archives/edgar/data/46765/000095013498009926/0000950134-98-009926-index.html,https://www.sec.gov/Archives/edgar/data/46765/000095013499011418/0000950134-99-011418-index.html,- -,https://www.sec.gov/Archives/edgar/data/46765/000095013401509830/0000950134-01-509830-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/46765/000095013404019175/d20886e10vk.htm,https://www.sec.gov/Archives/edgar/data/46765/000120677405002004/d18056.htm,https://www.sec.gov/Archives/edgar/data/46765/000104746906014971/a2175096z10-k.htm,https://www.sec.gov/Archives/edgar/data/46765/000104746907009574/0001047469-07-009574-index.html,https://www.sec.gov/Archives/edgar/data/46765/000104746908012608/0001047469-08-012608-index.html,https://www.sec.gov/Archives/edgar/data/46765/000104746909010426/0001047469-09-010426-index.html,https://www.sec.gov/Archives/edgar/data/46765/000104746910010040/0001047469-10-010040-index.html,https://www.sec.gov/Archives/edgar/data/46765/000104746911009738/0001047469-11-009738-index.html,https://www.sec.gov/Archives/edgar/data/46765/000104746912010732/0001047469-12-010732-index.html,https://www.sec.gov/Archives/edgar/data/46765/000104746913010895/0001047469-13-010895-index.html,https://www.sec.gov/Archives/edgar/data/46765/000104746914009586/0001047469-14-009586-index.html,https://www.sec.gov/Archives/edgar/data/46765/000104746915008958/0001047469-15-008958-index.html,https://www.sec.gov/Archives/edgar/data/46765/000104746916016935/0001047469-16-016935-index.html,https://www.sec.gov/Archives/edgar/data/46765/000155837017009052/0001558370-17-009052-index.html,https://www.sec.gov/Archives/edgar/data/46765/000155837018009412/0001558370-18-009412-index.html,https://www.sec.gov/Archives/edgar/data/46765/000004676519000019/0000046765-19-000019-index.html,https://www.sec.gov/Archives/edgar/data/46765/000004676520000032/0000046765-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/46765/000004676521000044/0000046765-21-000044-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
