,https://roic.ai/company/SGC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-6100000,-4100000,-10300000,-700000,-14100000,10400000,-12800000,-2800000,-14200000,12400000,-27222269,22372607,16975005,-1019177,-1183561,9515610,5288055,-7937910,8756450,16958017,-2616842,-11296420,3456000,-14978000,-17145000,-10921000,-21009000,-6934000,-62120000,8242000,-6570000,-66551000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,6400000,7700000,10600000,5600000,10700000,10000000,9100000,6800000,14000000,1400000,20800000,-2645367,24324146,18816426,12825605,3577973,11239114,9850952,839201,10426788,17455963,6455157,-855000,9158000,8401000,6838000,8352000,11989000,22727000,19864000,20007000,41359000,17080000
84,CAPEX,- -,- -,- -,- -,-2900000,-1700000,-2600000,-5500000,-6800000,-9100000,-9700000,-2600000,-2200000,-9100000,-13800000,-2825936,-1349478,-2820406,-2051067,-6162371,-2157013,-887196,-1162745,-2271090,-1091284,-771315,-2974000,-1647000,-1631000,-4936000,-8069000,-7385000,-4248000,-4869000,-9672000,-11857000,-17696000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6272259,- -,- -,- -,- -,-1996552,- -,- -,- -,-32483000,- -,- -,-15161000,-7988000,-85597000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,100000,300000,- -,200000,-300000,800000,600000,-300000,-200000,800000,-300000,-2110,2244369,-1034320,-637281,-1062163,2632242,4748807,158432,351853,371427,162075,-2016000,1000,14000,128000,24000,- -,2858000,- -,5000,5284000,-16434000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-2800000,-1400000,-2600000,-5300000,-7100000,-8300000,-9100000,-2900000,-2400000,-8300000,-14100000,-2828046,894891,-3854726,-2688348,-13496793,475229,3861611,-1004313,-1919237,-2716409,-609240,-2929000,-1646000,-34100000,-4808000,-8045000,-22546000,-9378000,-90466000,-9667000,-6573000,-34130000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-66842202,-17058393,-3415000,-24290000,-30000000,-18490000,-56332000,-68416000,-106827000,-77573000,-127439000,-163645000,-234063000,-223025000
91,Common Stock Issued,- -,- -,- -,- -,300000,300000,800000,700000,200000,1800000,- -,- -,400000,900000,- -,- -,32500,989358,2671671,1659394,562198,1031803,561586,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-2000000,-4000000,- -,- -,- -,-6800000,-5200000,-1000000,-2000000,-2400000,-2700000,-4571954,-883014,-178300,-365750,-1311510,-3620690,-8705252,- -,-5712373,-1255077,-533215,-882000,-437000,-162000,- -,- -,-714000,- -,-2906000,-1685000,-500000,- -
93,Dividends Paid,- -,- -,- -,- -,-1400000,-1600000,-1900000,-2200000,-2400000,-2800000,-600000,-3100000,-3600000,-4000000,-4200000,-3907347,-3834658,-3818151,-3894738,-4014559,-3992433,-3691983,-3591301,-3493707,-3252688,-3196040,-3235000,-6574000,-874000,-3663000,-4255000,-4707000,-5269000,-5836000,-6046000,-6111000,-7237000
94,Other Financing Activites,- -,- -,- -,- -,-800000,-500000,-1400000,-2500000,-1000000,14300000,- -,-600000,-2300000,4100000,2800000,11119626,-17507561,-7698480,-1104080,-1179021,-1593807,-1647029,44266,66904168,13059009,4040242,25888000,30249000,46987000,57235000,68814000,125356000,73923000,204319000,164666000,202231000,251257000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-3900000,-5800000,-2500000,-4000000,-3200000,6500000,-5800000,-4700000,-7500000,-1400000,-4100000,2640325,-22192733,-10705573,-2692897,-4845696,-8644732,-13012461,-2985449,-9144114,-8507149,-3104013,-2519000,-6762000,27461000,-2760000,-3857000,13108000,-8919000,68138000,-6710000,-38443000,20995000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62000,51000,-304000,46000,-209000,-182000
97,Net Change In Cash,- -,- -,- -,- -,-3900000,-5800000,-2500000,-4000000,-3200000,6500000,-5800000,-4700000,-7500000,-1400000,2500000,-2833088,3026304,4256127,7444360,-14764516,3069611,700102,-3150561,-636563,6232405,2741904,-6303000,750000,1762000,-730000,-3550000,2613000,4481000,-2768000,3676000,-3866000,3763000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,188288,3214592,7470719,14915079,150563,3220174,3920276,769715,133152,6365557,9107461,2804000,3554000,5316000,4586000,1036000,3649000,8130000,5362000,9038000,5172000,8935000
99,Cash at the Beginning of Period,- -,- -,- -,- -,700000,400000,900000,6400000,2600000,3000000,11200000,5400000,4700000,8900000,500000,3021376,188288,3214592,7470719,14915079,150563,3220174,3920276,769715,133152,6365557,9107000,2804000,3554000,5316000,4586000,1036000,3649000,8130000,5362000,9038000,5172000
100,Free Cash Flow,- -,- -,- -,- -,3500000,6000000,8000000,100000,3900000,900000,-600000,4200000,11800000,-7700000,7000000,-5471303,22974668,15996020,10774538,-2584398,9082101,8963756,-323544,8155698,16364679,5683842,-3829000,7511000,6770000,1902000,283000,4604000,18479000,14995000,10335000,29502000,-616000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/95574/000095014499003122/0000950144-99-003122-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/95574/000102140803004278/d10k.htm,https://www.sec.gov/Archives/edgar/data/95574/000119312504042348/d10k.htm,https://www.sec.gov/Archives/edgar/data/95574/000119312505052469/d10k.htm,https://www.sec.gov/Archives/edgar/data/95574/000119312506052184/d10k.htm,https://www.sec.gov/Archives/edgar/data/95574/000119312507053528/d10k.htm,https://www.sec.gov/Archives/edgar/data/95574/000119312508043085/d10k.htm,https://www.sec.gov/Archives/edgar/data/95574/000119312509040742/0001193125-09-040742-index.html,https://www.sec.gov/Archives/edgar/data/95574/000119312510042475/0001193125-10-042475-index.html,https://www.sec.gov/Archives/edgar/data/95574/000119312511046657/d10k.htm,https://www.sec.gov/Archives/edgar/data/95574/000119312512077267/0001193125-12-077267-index.html,https://www.sec.gov/Archives/edgar/data/95574/000143774913002849/0001437749-13-002849-index.html,https://www.sec.gov/Archives/edgar/data/95574/000143774914003074/sgc20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/95574/000143774915003455/sgc20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/95574/000143774916026016/0001437749-16-026016-index.html,https://www.sec.gov/Archives/edgar/data/95574/000143774917003024/0001437749-17-003024-index.html,https://www.sec.gov/Archives/edgar/data/95574/000143774918003029/0001437749-18-003029-index.html,https://www.sec.gov/Archives/edgar/data/95574/000143774919003013/0001437749-19-003013-index.html,https://www.sec.gov/Archives/edgar/data/95574/000143774920003101/0001437749-20-003101-index.html,https://www.sec.gov/Archives/edgar/data/95574/000143774921004782/0001437749-21-004782-index.htm,https://www.sec.gov/Archives/edgar/data/95574/000143774922006982/0001437749-22-006982-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
