,https://roic.ai/company/ADI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
75,Deferred Income Tax,- -,- -,- -,- -,1200000,-1300000,800000,1000000,-4100000,-5400000,1800000,6600000,-6100000,-12400000,16600000,-12544000,-29923000,-40563000,2157000,26931000,14604000,-28454000,-2850000,-11369000,11595000,-9866000,1704000,-9801000,-17699000,-77711000,-52214000,8124000,-825869000,-736759000,-91253000,-113948000,-406922000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48613000,51752000,52358000,53500000,56886000,50812000,68919000,63421000,104188000,151165000,150300000,149518000,243611000
77,Change in Working Capital,- -,- -,- -,- -,-6300000,-33700000,25800000,45500000,73000000,28600000,-27000000,278000000,71000000,-38400000,317400000,1618000000,389000000,233000000,-717000000,539000000,-49000000,-393000000,-1089000000,90000000,583023000,731977000,1025000000,310000000,730000000,-1798000000,-137282000,1226211000,-3436923000,-49006000,-229506000,676208000,-86366000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16561000,-82380000,40025000,5774000,12377000,-36460000,-71198000,-9392000,-65669000,45979000,5890000,-101626000,-114504000
79,Inventory,- -,- -,- -,- -,-2500000,16100000,-10500000,-24700000,-6300000,20800000,-14400000,-76700000,-7700000,-48900000,28400000,-82321000,82267000,-59382000,18202000,-58401000,22797000,-52043000,16549000,16784000,67347000,-24274000,-17603000,-18592000,28527000,24642000,-35557000,38221000,-47354000,-34636000,-42771000,1760000,-65114000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100064000,- -,-90323000,- -,17487000,58373000,56614000,85502000,192249000,-5069000,-6371000,103104000,208444000
81,Other Working Capital,- -,- -,- -,- -,159800000,126100000,151900000,197400000,270400000,299000000,272000000,550000000,621000000,582600000,900000000,2518000000,2907000000,3140000000,2423000000,2962000000,2913000000,2520000000,1431000000,1521000000,2104023000,2836000000,3861000000,4171000000,4901000000,3103000000,2965718000,4191929000,755006000,706000000,476494000,1152702000,-1000
82,Other Non-Cash Items,- -,- -,- -,- -,10100000,83300000,-36500000,-82900000,-83700000,24300000,52100000,-396600000,-49500000,65500000,-246100000,-1664722000,-82354000,-309613000,681223000,-511216000,136736000,320893000,1260532000,-349035000,-598725000,-615699000,-1164152000,-300190000,-640758000,1925231000,109257000,-1088315000,3881758000,770918000,249297000,-734975000,519690000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,74400000,82200000,51000000,33500000,89500000,183300000,210300000,143700000,297200000,224700000,427300000,704505000,843613000,226126000,432963000,778045000,672704000,621102000,820365000,669368000,432148000,991175000,900529000,814542000,912345000,871602000,907798000,1280895000,1112592000,2442361000,2253100000,2008487000,2735069000
84,CAPEX,- -,- -,- -,- -,-51000000,-38200000,-52300000,-65700000,-67200000,-90800000,-212700000,-234100000,-179400000,-166900000,-77500000,-274837000,-297236000,-57412000,-67735000,-146245000,-85457000,-129297000,-141810000,-157408000,-56095000,-111557000,-122996000,-132176000,-123074000,-177913000,-153960000,-127397000,-204098000,-254876000,-275372000,-165692000,-343676000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20500000,-169270000,-38469000,-5245000,- -,- -,- -,-133947000,-9160000,400035000,-10013000,63036000,-3988000,-24158000,97525000,-1945887000,-7065000,-83170000,-9632568000,-52839000,-11170000,-14196000,2425600000
86,Purchases of Investments,- -,- -,- -,- -,-1500000,-400000,- -,- -,- -,-72700000,-173400000,-262600000,-216400000,-199500000,-628800000,-868394000,-2968672000,-3405217000,-4666572000,-4013786000,-3457017000,-2483123000,-1807476000,-1831363000,-2787141000,-3478025000,-4289304000,-8165043000,-8540335000,-7485162000,-6083999000,-7697260000,-705485000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,164300000,254600000,192100000,152900000,365300000,841440000,2095424000,3555238000,4317703000,3480589000,3526871000,2788717000,2951471000,1774391000,2324181000,2508972000,3719145000,6983049000,7621615000,9506266000,6236174000,6708077000,3939979000,- -,- -,- -,30125000
88,Other Investing Activites,- -,- -,- -,- -,-100000,-60500000,- -,- -,- -,- -,-16900000,-63400000,-33600000,26500000,3500000,14844000,-11427000,2846000,70626000,-10449000,5644000,2458000,-8438000,2708000,-5661000,531749000,-6595000,-1362000,-5657000,-12055000,-8275000,-18520000,-15842000,-6283000,-6644000,-635000,31476000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-52600000,-99100000,-52300000,-65700000,-67200000,-163500000,-238700000,-305500000,-237300000,-187000000,-358000000,-456217000,-1220380000,90210000,-345978000,-689891000,-9959000,44808000,984587000,188363000,-534729000,-485825000,-703738000,-1339690000,-949926000,-114751000,-17125000,-1218270000,-6618014000,-313998000,-293186000,-180523000,2143525000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-56500000,-452898000,-1995398000,- -,-378156000,-5050000000,-2275000000,-2175000000,-1100000000,-3991982000
91,Common Stock Issued,- -,- -,- -,- -,2200000,- -,3200000,3200000,10000000,9800000,10100000,26100000,19300000,27600000,34200000,42864000,39947000,37305000,70862000,124115000,89402000,94392000,109149000,94155000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-8700000,-14200000,-900000,- -,- -,- -,- -,- -,- -,-84200000,- -,- -,-21831000,-97750000,-52000,-137083000,-525493000,-1024982000,-1647212000,-569853000,-3762000,-39848000,-330256000,-160536000,-60529000,-356346000,-226953000,-370061000,-46533000,-225977000,-613005000,-244487000,-3105144000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-75007000,-118998000,-201451000,-228281000,-222530000,-232988000,-249964000,-281626000,-344701000,-405955000,-454225000,-491059000,-513180000,-602119000,-703307000,-777481000,-886155000,-1109344000
94,Other Financing Activites,- -,- -,- -,- -,-7700000,9300000,7700000,30500000,29600000,200000,-21000000,275400000,-4200000,-5400000,-12400000,1087426000,-16219000,-8267000,-1254422000,- -,- -,181178000,40871000,18220000,382747000,217174000,750494000,212110000,818825000,2229359000,146409000,1238480000,11327230000,846242000,1438692000,810034000,4246806000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-14200000,-4900000,10000000,33700000,39600000,10000000,-10900000,301500000,15100000,-62000000,21800000,1130290000,1897000,-68712000,-1183612000,-87975000,-555089000,-950863000,-1725473000,-680008000,145997000,-72638000,138612000,-349627000,-100557000,-576610000,-571603000,-22917000,5628578000,-2358042000,-2126794000,-1420608000,-3959664000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-200000,-100000,-500000,-300000,1000000,-1400000,-500000,1100000,4400000,-2000000,1500000,1952000,3398000,1180000,748000,887000,995000,1309000,1546000,-9096000,2714000,-2441000,-303000,-1492000,1394000,-3097000,-3950000,-2929000,3550000,-1568000,-1389000,182000,3174000
97,Net Change In Cash,- -,- -,- -,- -,-14200000,-4900000,10000000,33700000,39600000,28400000,-39800000,140800000,79500000,-26300000,92600000,1380530000,-371472000,248804000,-1095879000,1066000,108651000,-283644000,81025000,168627000,46130000,430271000,335100000,-876267000,-136744000,177144000,315120000,36779000,126706000,-231247000,-168269000,407538000,922104000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,109100000,69300000,210100000,289600000,263300000,355900000,1736421000,1364949000,1613753000,517874000,518940000,627591000,343947000,424972000,593599000,639729000,1070000000,1405100000,528833000,392089000,569233000,884353000,921132000,1047838000,816591000,648322000,1055860000,1977964000
99,Cash at the Beginning of Period,- -,- -,- -,- -,22700000,30100000,8300000,16500000,17700000,80700000,109100000,69300000,210100000,289600000,263300000,355891000,1736421000,1364949000,1613753000,517874000,518940000,627591000,343947000,424972000,593599000,639729000,1070000000,1405100000,528833000,392089000,569233000,884353000,921132000,1047838000,816591000,648322000,1055860000
100,Free Cash Flow,- -,- -,- -,- -,23400000,44000000,-1300000,-32200000,22300000,92500000,-2400000,-90400000,117800000,57800000,349800000,429668000,546377000,168714000,365228000,631800000,587247000,491805000,678555000,511960000,376053000,879618000,777533000,682366000,789271000,693689000,753838000,1153498000,908494000,2187485000,1977728000,1842795000,2391393000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6281/000095013595000029/0000950135-95-000029-index.html,- -,https://www.sec.gov/Archives/edgar/data/6281/000095013597000278/0000950135-97-000278-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6281/000095013501000177/0000950135-01-000177-index.html,https://www.sec.gov/Archives/edgar/data/6281/000095013502000307/0000950135-02-000307-index.html,https://www.sec.gov/Archives/edgar/data/6281/000095013503000473/b45351ade10vk.htm,https://www.sec.gov/Archives/edgar/data/6281/000095013503006138/b48618aie10vk.htm,https://www.sec.gov/Archives/edgar/data/6281/000095013504005529/b52531ade10vk.htm,https://www.sec.gov/Archives/edgar/data/6281/000095013505006610/b57812ade10vk.htm,https://www.sec.gov/Archives/edgar/data/6281/000095013506007047/b63086ade10vk.htm,https://www.sec.gov/Archives/edgar/data/6281/000095013507007253/0000950135-07-007253-index.html,https://www.sec.gov/Archives/edgar/data/6281/000095013508007596/0000950135-08-007596-index.html,https://www.sec.gov/Archives/edgar/data/6281/000095012309065635/0000950123-09-065635-index.html,https://www.sec.gov/Archives/edgar/data/6281/000095012310107816/0000950123-10-107816-index.html,https://www.sec.gov/Archives/edgar/data/6281/000095012311099928/0000950123-11-099928-index.html,https://www.sec.gov/Archives/edgar/data/6281/000000628112000010/0000006281-12-000010-index.html,https://www.sec.gov/Archives/edgar/data/6281/000000628113000040/0000006281-13-000040-index.html,https://www.sec.gov/Archives/edgar/data/6281/000000628114000039/0000006281-14-000039-index.html,https://www.sec.gov/Archives/edgar/data/6281/000000628115000044/0000006281-15-000044-index.html,https://www.sec.gov/Archives/edgar/data/6281/000000628116000097/0000006281-16-000097-index.html,https://www.sec.gov/Archives/edgar/data/6281/000000628117000144/0000006281-17-000144-index.html,https://www.sec.gov/Archives/edgar/data/6281/000000628118000126/0000006281-18-000126-index.html,https://www.sec.gov/Archives/edgar/data/6281/000000628119000144/0000006281-19-000144-index.html,https://www.sec.gov/Archives/edgar/data/6281/000000628120000156/0000006281-20-000156-index.htm,https://www.sec.gov/Archives/edgar/data/6281/000000628121000294/0000006281-21-000294-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
