,https://roic.ai/company/EAT,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,700000,-12600000,20600000,-33500000,-12700000,-12200000,53800000,-47600000,6700000,-49300000,5700000,-40500000,23100000,-55900000,16500000,165458000,-201458000,-75400000,94200000,89400000,31800000,90890000,-235390000,-22700000,15300000,-63600000,23949000,-25958000,-34827000,13980000,33456000,-28900000,-90900000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,322000,6083000,1255000,608000,5398000,-5372000,1932000,-3682000,3487000,-3281000,-3000000,4100000,-9900000
79,Inventory,- -,- -,- -,-1200000,900000,-700000,-1100000,-1300000,-1200000,-2100000,-1200000,-1900000,-700000,-1300000,-1398000,-9732000,2863000,-2635000,-14047000,-12630000,8474000,3229000,-6640000,-2578000,6544000,1341000,-15000,908000,912000,475000,11000,-1558000,-1219000,400000,-4000000,-3200000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-43512000,-9963000,-21515000,12188000,-9339000,3756000,1117000,-5783000,2984000,1569000,-4100000,9800000,21100000
81,Other Working Capital,- -,- -,- -,-5800000,-18400000,2200000,-31300000,-44000000,-56200000,-2400000,-50000000,-43300000,-92600000,-86900000,-127400000,-104300000,-160200000,-143700000,21758000,-179700000,-255100000,-160900000,-71500000,-39700000,51190000,-184200000,-206900000,-191600000,-255200000,-231251000,-257209000,-292036000,-278056000,-244600000,-273500000,-364400000
82,Other Non-Cash Items,- -,- -,- -,100000,14400000,-21600000,44800000,40300000,26900000,-85100000,71800000,-12400000,95900000,24300000,96938000,-25973000,130713000,54703000,-26292000,304336000,182599000,-9433000,122992000,-63973000,-18070000,197765000,24615000,-30609000,140328000,-23181000,26988000,48617000,-24469000,-139656000,72400000,162400000
83,Cash Provided by Operating Activities,- -,- -,- -,31400000,39700000,48100000,77900000,107200000,125500000,101600000,114900000,138300000,200900000,193200000,268994000,246811000,390033000,448871000,481223000,443480000,475547000,484976000,361540000,274535000,336435000,259988000,303438000,290688000,359842000,368611000,394700000,312886000,284451000,212700000,245000000,369700000
84,CAPEX,- -,- -,- -,-34800000,-56100000,-58200000,-91100000,-120700000,-115000000,-183900000,-187100000,-191200000,-169800000,-181100000,-165397000,-297427000,-431543000,-326525000,-305863000,-334911000,-354607000,-430532000,-270413000,-93613000,-60879000,-70361000,-125226000,-131531000,-161066000,-140262000,-112788000,-102573000,-101281000,-167600000,-104500000,-94000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23095000,- -,- -,- -,- -,- -,-6290000,-24622000,- -,- -,-105577000,- -,- -,-3100000,-94600000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-24400000,-45000000,-62800000,-59000000,-15200000,-61400000,-38500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4612000,- -,-2896000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,1700000,3700000,- -,36400000,60100000,42500000,23500000,25100000,80800000,24000000,100000,- -,- -,- -,- -,- -,179325000,1101000,5994000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,500000,-1600000,1100000,-600000,-900000,-2800000,1900000,73500000,-15900000,89500000,-23900000,-954000,-1468000,-7614000,5622000,19983000,44484000,111307000,180966000,82216000,87517000,224350000,8696000,8112000,18309000,888000,1950000,4256000,3157000,23487000,492000000,5100000,3100000
89,Cash Used for Investing Activites,- -,- -,- -,-32600000,-54000000,-81500000,-100300000,-124300000,-134300000,-173700000,-149900000,-164800000,-56300000,-204900000,-166351000,-298895000,-439157000,-320903000,-285880000,-111102000,-265294000,-243572000,-188197000,-10708000,163471000,-64561000,-123404000,-137844000,-160178000,-138312000,-214109000,-99416000,-77794000,321300000,-194000000,-90900000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-180492000,-391046000,-16127000,-18749000,-466380000,-66521000,-366177000,-113402000,-391832000,-848311000,-1159500000,-876600000,-365000000
91,Common Stock Issued,- -,- -,- -,3500000,2000000,49400000,9100000,12700000,3800000,8500000,3700000,3300000,13700000,27100000,30645000,38665000,37792000,40300000,41587000,71112000,53808000,66287000,5277000,4650000,2396000,33057000,43416000,41190000,29295000,16259000,6147000,5621000,2321000,3000000,148500000,30700000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-150400000,-17100000,-48100000,-60707000,-65578000,-136069000,-64477000,-322615000,-170210000,-305714000,-569347000,-240784000,-3739000,-22868000,-422099000,-287291000,-333384000,-239597000,-306255000,-284905000,-370877000,-303239000,-167700000,-32400000,-4200000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25417000,-40906000,-42914000,-45355000,-34448000,-53185000,-50081000,-56343000,-63395000,-70832000,-74066000,-70771000,-70009000,-60300000,-57400000,-1500000
94,Other Financing Activites,- -,- -,- -,-3900000,15300000,-16600000,-600000,-200000,-3700000,98600000,13400000,169700000,-133300000,35900000,-72835000,79966000,144180000,-80390000,278955000,-238464000,80826000,332348000,74969000,551000,196528000,291000,109786000,662337000,138872000,494142000,261960000,592007000,1014389000,853000000,797400000,41200000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-400000,17300000,32800000,8500000,12500000,100000,107100000,17100000,22600000,-136700000,14900000,-102897000,53053000,45903000,-104567000,-2073000,-337562000,-196497000,-211618000,-203452000,-224385000,-249438000,-458063000,-202919000,-152580000,-201346000,-232863000,-204266000,-235852000,-204849000,-531500000,-20500000,-298800000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-400000,17300000,32800000,8500000,12500000,100000,107100000,17100000,22600000,-136700000,3200000,-254000,969000,-3221000,23401000,193270000,-5184000,13756000,29786000,-30109000,39442000,250468000,-262636000,-22885000,264000,-1682000,-2564000,-23675000,-22382000,1808000,2500000,30500000,-20000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12600000,12343000,13312000,10091000,33492000,226762000,42253000,55615000,85237000,54714000,94156000,344624000,81988000,59103000,59367000,57685000,55121000,31446000,9064000,10872000,13400000,43900000,23900000
99,Cash at the Beginning of Period,- -,- -,- -,5700000,4100000,7100000,23900000,10100000,12400000,3700000,44900000,27100000,23200000,9400000,12597000,12343000,13312000,10091000,33492000,47437000,41859000,55451000,84823000,54714000,94156000,344624000,81988000,59103000,59367000,57685000,55121000,31446000,9064000,10900000,13400000,43900000
100,Free Cash Flow,- -,- -,- -,-3400000,-16400000,-10100000,-13200000,-13500000,10500000,-82300000,-72200000,-52900000,31100000,12100000,103597000,-50616000,-41510000,122346000,175360000,108569000,120940000,54444000,91127000,180922000,275556000,189627000,178212000,159157000,198776000,228349000,281912000,210313000,183170000,45100000,140500000,275700000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/703351/000070335194000027/0000703351-94-000027-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335195000016/0000703351-95-000016-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335196000017/0000703351-96-000017-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335197000009/0000703351-97-000009-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335198000014/0000703351-98-000014-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335199000014/0000703351-99-000014-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335100000013/0000703351-00-000013-index.html,https://www.sec.gov/Archives/edgar/data/703351/000091205701531833/0000912057-01-531833-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335102000022/0000703351-02-000022-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335103000069/form10k03.htm,https://www.sec.gov/Archives/edgar/data/703351/000070335104000063/form10k04_f1.htm,https://www.sec.gov/Archives/edgar/data/703351/000070335105000088/form10k051.htm,https://www.sec.gov/Archives/edgar/data/703351/000110465906056762/a06-18312_110k.htm,https://www.sec.gov/Archives/edgar/data/703351/000104746907006683/0001047469-07-006683-index.html,https://www.sec.gov/Archives/edgar/data/703351/000104746908009621/0001047469-08-009621-index.html,https://www.sec.gov/Archives/edgar/data/703351/000104746909007949/0001047469-09-007949-index.html,https://www.sec.gov/Archives/edgar/data/703351/000119312510195848/0001193125-10-195848-index.html,https://www.sec.gov/Archives/edgar/data/703351/000119312511235557/0001193125-11-235557-index.html,https://www.sec.gov/Archives/edgar/data/703351/000119312512369923/0001193125-12-369923-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335113000009/0000703351-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335114000020/0000703351-14-000020-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335115000046/0000703351-15-000046-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335116000098/0000703351-16-000098-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335117000030/0000703351-17-000030-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335118000036/0000703351-18-000036-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335119000037/eat2019062610k.htm,https://www.sec.gov/Archives/edgar/data/703351/000070335120000059/0000703351-20-000059-index.htm,https://www.sec.gov/Archives/edgar/data/703351/000070335121000031/0000703351-21-000031-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
