,https://roic.ai/company/ADBE,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,6000000,28900000,52600000,42900000,63000000,133100000,143300000,-1000000,-52000000,-249000000,150000000,208000000,-109287000,-16713000,455000000,208000000,429000000,678000000,-486433000,251433000,-343000000,519000000,372000000,539608000,-539608000,-412107000,500443000,419664000,693000000,-3165087000,-2251926000,4330013000,-897000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,172287000,-134276000,-81065000,45166000,33649000,7928000,-79502000,-160416000,-187173000,-1983000,-187826000,106000000,-430000000
79,Inventory,- -,- -,- -,-400000,-2500000,100000,-800000,600000,1000000,2496000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13601000,-10092000,32203000,-62874000,7132000,6211000,22870000,-6281000,-45186000,54920000,23129000,96000000,-20000000
81,Other Working Capital,- -,- -,- -,43200000,72100000,124700000,167600000,230600000,363700000,507000000,506000000,454000000,205000000,355000000,563000000,453713000,437000000,892000000,1100000000,1529000000,2207000000,1720567000,1972000000,1629000000,2148000000,2520000000,3059608000,2520000000,2107893000,2608336000,3028000000,3721000000,555913000,-1696013000,2634000000,1737000000
82,Other Non-Cash Items,- -,- -,- -,600000,-31900000,-42000000,-15100000,-37300000,-37600000,-112906000,-2792000,18435000,297979000,-105265000,-96047000,283300000,97049000,-373338000,-81334000,-358914000,-560319000,828080000,-159604000,574201000,-543607000,-278977000,-560283000,721376000,810387000,-266167000,-94387000,-303154000,4116499000,2195200000,-4028013000,1265000000
83,Cash Provided by Operating Activities,- -,- -,- -,43800000,49100000,79100000,80400000,107700000,142500000,177001000,198114000,208647000,203469000,334199000,444626000,418702000,329331000,433136000,683744000,730353000,927239000,1439303000,1280682000,1117772000,1112995000,1543314000,1499580000,1151686000,1287482000,1469502000,2199728000,2912853000,4029304000,4421813000,5727000000,7230000000
84,CAPEX,- -,- -,- -,-5200000,-7400000,-12200000,-11900000,-14400000,-28500000,-34071000,-45869000,-33882000,-59745000,-42206000,-29836000,-46556000,-31578000,-39454000,-63226000,-48875000,-83250000,-132075000,-111792000,-119592000,-169642000,-210294000,-271076000,-188358000,-148332000,-184936000,-203805000,-178122000,-266579000,-394479000,-419000000,-348000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15158000,-8027000,-6121000,-3544000,-36932000,-24448000,- -,7345000,- -,-15545000,-9541000,439120000,-75528000,-3584000,-1582669000,-193281000,-259046000,-353195000,-704589000,-29802000,-826004000,-48427000,-459626000,-6314382000,-100704000,- -,-2682000000
86,Purchases of Investments,- -,- -,- -,-14800000,-13600000,-35800000,-26600000,-672700000,-1734400000,-2614349000,-2363993000,-2657302000,-1278178000,-270960000,-502934000,-849129000,-617105000,-927930000,-1214489000,-1884158000,-1619536000,-2693775000,-2506002000,-1336509000,-2629003000,-1926675000,-1806186000,-2125795000,-2031758000,-2087612000,-2343655000,-1960929000,-584597000,-748628000,-1086000000,-1575000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,643900000,1698000000,2403631000,2363793000,2875294000,1347800000,296849000,323738000,869260000,499075000,435492000,1137545000,1622211000,1458852000,2985528000,2285950000,1538903000,1800481000,1638756000,1595795000,1816679000,1719185000,1552415000,1635854000,2155800000,2480263000,788227000,1091000000,1068000000
88,Other Investing Activites,- -,- -,- -,-2800000,-22600000,-26100000,-15300000,-4700000,-41700000,-95966000,7231000,-11129000,-46634000,127399000,5420000,- -,- -,-16500000,-120867000,- -,- -,-856000,30747000,2771000,32151000,-143000,- -,24260000,- -,57779000,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-22800000,-43600000,-74100000,-53800000,-47900000,-106600000,-355913000,-46865000,166860000,-40301000,74150000,-228060000,-26425000,-142263000,-548392000,-276582000,-320363000,195186000,83294000,-304681000,-1497096000,-1159294000,-757402000,-834662000,-1177803000,-490707000,-1488358000,-960033000,-442877000,-4685295000,-455584000,-414000000,-3537000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13875000,-1003719000,-10046000,-9855000,-25879000,-14684000,-602189000,-108000,-1960000,-1707000,- -,-3150000000,- -
91,Common Stock Issued,- -,- -,- -,3300000,7200000,15300000,10300000,17000000,45200000,70367000,39870000,77351000,70935000,142938000,119135000,87536000,81859000,213421000,396105000,356547000,509506000,516087000,319165000,179566000,139270000,144754000,169274000,500776000,227841000,164270000,145697000,158351000,190990000,232932000,270000000,291000000
92,Common Stock Repurchased,- -,- -,- -,-20300000,-1100000,- -,-12700000,-21200000,-10300000,-17849000,-126778000,-275644000,-379203000,-479161000,-255456000,-485115000,-293241000,-84777000,-608681000,-600099000,-1364412000,-1951527000,-1722715000,-350013000,-850020000,-695015000,-405000000,-1100000000,-600000000,-625000000,-1075000000,-1100000000,-2050000000,-2750000000,-3050000000,-3950000000
93,Dividends Paid,- -,- -,- -,-4000000,-4700000,-6500000,-7200000,-8500000,-9900000,-12310000,-14586000,-20911000,-16291000,-12233000,-11979000,-12007000,-11881000,-11626000,-11942000,-3044000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-300000,-500000,-3000000,-100000,400000,-3600000,-3342000,- -,- -,2768000,978000,- -,- -,- -,- -,- -,- -,80230000,85050000,381983000,661980000,1499207000,9949000,10858000,65965000,-120440000,862232000,-161295000,-240126000,1855149000,-428976000,2442000000,-642000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-21300000,900000,5800000,-9700000,-12300000,21400000,36866000,-101494000,-219204000,-321791000,-347478000,-148300000,-409586000,-223263000,117018000,-224518000,-246596000,-774676000,-1350390000,-1021567000,477658000,-215262000,-550358000,-234723000,-559138000,-507283000,-200687000,-1090706000,-1183735000,-5568000,-2946044000,-3488000000,-4301000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-1300000,10000,2497000,528000,1918000,-597000,-2545000,-895000,1217000,4471000,3566000,-1637000,3933000,1715000,-14406000,14703000,11965000,4055000,5357000,-5241000,-6648000,-21297000,-14234000,8516000,-1738000,-12739000,3000000,-26000000
97,Net Change In Cash,- -,- -,- -,-21300000,900000,5800000,-9700000,-12300000,56000000,-142036000,52252000,156831000,-156705000,60274000,65721000,-18204000,-34978000,6233000,186210000,161757000,351682000,173922000,-59972000,113037000,-249596000,239609000,435552000,-590496000,282844000,-240840000,134755000,1294757000,-663297000,1007446000,1828000000,-634000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,190000000,58493000,110745000,267576000,110871000,171145000,236866000,218662000,183684000,189917000,376127000,420818000,772500000,946422000,886450000,999487000,749891000,989500000,1425052000,834556000,1117400000,876560000,1011315000,2306072000,1642775000,2650221000,4478000000,3844000000
99,Cash at the Beginning of Period,- -,- -,- -,13400000,13100000,19500000,30300000,47200000,134000000,200529000,58493000,110745000,267576000,110871000,171145000,236866000,218662000,183684000,189917000,259061000,420818000,772500000,946422000,886450000,999487000,749891000,989500000,1425052000,834556000,1117400000,876560000,1011315000,2306072000,1642775000,2650000000,4478000000
100,Free Cash Flow,- -,- -,- -,38600000,41700000,66900000,68500000,93300000,114000000,142930000,152245000,174765000,143724000,291993000,414790000,372146000,297753000,393682000,620518000,681478000,843989000,1307228000,1168890000,998180000,943353000,1333020000,1228504000,963328000,1139150000,1284566000,1995923000,2734731000,3762725000,4027334000,5308000000,6882000000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/796343/000091205796002896/0000912057-96-002896-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/796343/000091205701006700/0000912057-01-006700-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000091205702007164/0000912057-02-007164-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000117494703000004/0001174947-03-000004-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000104746904003345/0001047469-04-003345-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000104746905002143/0001047469-05-002143-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000104746906001601/0001047469-06-001601-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000110465907007286/0001104659-07-007286-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000104746908000497/0001047469-08-000497-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634309000007/0000796343-09-000007-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634310000003/0000796343-10-000003-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634311000003/0000796343-11-000003-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634312000003/0000796343-12-000003-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634313000008/0000796343-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634314000004/0000796343-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634315000022/0000796343-15-000022-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634316000224/0000796343-16-000224-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634317000031/0000796343-17-000031-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634318000015/0000796343-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634319000019/0000796343-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634320000013/0000796343-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634321000004/0000796343-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634322000032/0000796343-22-000032-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
