,https://roic.ai/company/OII,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
38,PP&E,35200000,27000000,19100000,18200000,23600000,37400000,65200000,61600000,72800000,94400000,128300000,101900000,168800000,241700000,- -,342336000,322390000,329070000,401054000,409201000,523707000,638107000,697430000,766361000,786373000,893308000,1025132000,1189099000,1305822000,1266731000,1153258000,1064204000,964670000,939770000,732313000,489596000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86931000,111951000,118706000,130820000,143234000,333471000,363193000,344018000,331474000,426872000,443551000,455599000,413121000,405079000,35016000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,14000000,13100000,12100000,11400000,10400000,9400000,- -,13884000,14658000,38468000,62977000,84608000,- -,- -,- -,- -,- -,70611000,78252000,68522000,60895000,93701000,87801000,85293000,79995000,25774000,14317000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,14000000,13100000,12100000,11400000,10400000,9400000,- -,13884000,14658000,38468000,62977000,84608000,86931000,111951000,118706000,130820000,143234000,404082000,441445000,412540000,392369000,520573000,531352000,540892000,493116000,430853000,49333000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62000000,64000000,65000000,63930000,58736000,51820000,87925000,42619000,37462000,32624000,49144000,98956000,117374000,39333000,37896000,34166000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12187000,24633000,- -,- -,- -,- -
44,Other Non-Current Assets,2500000,3900000,2400000,1700000,600000,3900000,4200000,4100000,4400000,4500000,5200000,6200000,6200000,7100000,- -,18173000,20230000,70553000,78757000,39526000,43739000,45813000,42249000,50231000,65577000,31107000,55932000,56124000,67336000,75595000,71967000,89445000,82990000,87708000,59767000,285260000
45,Total Non-Current Assets,37700000,30900000,21500000,19900000,24200000,41300000,69400000,65700000,91200000,112000000,145600000,119500000,185400000,258200000,- -,374393000,357278000,438091000,542788000,595335000,718377000,860871000,922315000,1006148000,1047004000,1416422000,1565128000,1695225000,1798151000,1912043000,1867720000,1836548000,1580109000,1496227000,875579000,774856000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,76800000,59400000,62100000,77200000,95800000,113400000,136300000,154500000,172000000,187800000,256100000,268300000,316500000,387300000,- -,579611000,590348000,662856000,819664000,989568000,1242022000,1531440000,1670020000,1880287000,2030506000,2400544000,2768118000,3128500000,3511701000,3429536000,3130315000,3023950000,2824998000,2740663000,2045842000,1962859000
48,Accounts Payable,- -,- -,- -,- -,8000000,12700000,9100000,14500000,13800000,15100000,25600000,27400000,26100000,23500000,- -,28902000,21918000,32130000,47397000,64306000,70777000,76841000,92511000,86484000,85572000,111381000,130489000,129632000,123688000,118277000,77593000,85539000,102636000,145933000,94207000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,300000,300000,- -,- -,4800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18798000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35929000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17119000,28770000,- -,- -,- -,52132000,73465000,150246000,116936000,157042000,122223000,63040000,85172000,117342000,50046000,- -
52,Other Current Liabilities,25800000,24100000,23400000,36000000,24500000,17600000,29200000,31800000,32600000,37500000,42400000,68400000,59800000,63900000,- -,84932000,89313000,100842000,123275000,158361000,191810000,233364000,264816000,302063000,354284000,337862000,413231000,447210000,438513000,340637000,308548000,287218000,306933000,337681000,274065000,501161000
53,Total Current Liabilities,25800000,24100000,23400000,36000000,32500000,30300000,38300000,46300000,46400000,52700000,68000000,95800000,86200000,87700000,- -,113834000,116031000,132972000,170672000,222667000,279706000,338975000,357327000,388547000,439856000,501375000,617185000,727088000,679137000,615956000,508364000,435797000,494741000,600956000,437116000,501161000
54,Long-Term Debt,22300000,15100000,700000,600000,- -,400000,300000,200000,200000,9500000,48000000,- -,54600000,100300000,- -,170000000,112800000,122324000,142172000,174000000,194000000,200000000,229000000,120000000,- -,120000000,94000000,- -,750000000,793927000,794615000,795302000,792180000,793281000,950455000,702067000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,24132000,- -,21400000,26557000,72204000,- -,- -,157532000,178100000,260807000,322758000,353181000,236113000,42040000,18243000,1126000,2993000,- -
57,Other Non-Current Liabilities,50200000,49800000,6000000,9200000,12800000,12800000,11300000,8500000,10800000,9600000,12000000,15900000,15400000,19900000,- -,44344000,47652000,48185000,26694000,56783000,43637000,50598000,43835000,147417000,200435000,63675000,63373000,97165000,102186000,87738000,74580000,86293000,104536000,269891000,97121000,248607000
58,Total Non-Current Liabilities,72500000,64900000,6700000,9800000,12800000,13200000,11600000,8700000,12200000,19100000,60000000,15900000,70000000,120200000,- -,214344000,160452000,170509000,192998000,230783000,259037000,277155000,345039000,267417000,200435000,341207000,335473000,357972000,1174944000,1234846000,1105308000,923635000,914959000,1064298000,1050569000,950674000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,180851000,174872000,- -
61,Total Liabilities,98300000,89000000,30100000,45800000,45300000,43500000,49900000,55000000,58600000,71800000,128000000,111700000,156200000,207900000,- -,328178000,276483000,303481000,363670000,453450000,538743000,616130000,702366000,655964000,640291000,842582000,952658000,1085060000,1854081000,1850802000,1613672000,1359432000,1409700000,1665254000,1487685000,1451835000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6004000,6203000,6203000,6455000,6695000,13610000,13769000,13854000,13854000,13854000,27709000,27709000,27709000,27709000,27709000,27709000,27709000,27709000,27709000,27709000,- -
64,Retained Earnings,-20100000,-29200000,-40700000,-39400000,-29200000,-12900000,3000000,23800000,38700000,44200000,56600000,76000000,98000000,123700000,- -,184915000,215750000,245051000,285351000,348031000,472525000,651304000,850690000,1039043000,1239574000,1426525000,1641027000,1921642000,2240229000,2364786000,2295234000,2417412000,2204548000,1850244000,1351220000,- -
65,Other Comprehensive Income/Loss,-70100000,-78900000,-87100000,-90600000,-91700000,-93800000,-99800000,-107100000,-114200000,-134500000,-145100000,-161100000,-149900000,-171000000,- -,-231402000,-266130000,-321029000,-384615000,2000000,19000000,40000000,-69000000,-14000000,-9000000,-27000000,18000000,-53000000,-183000000,-300000000,-303000000,-292000000,-339000000,-334000000,-359306000,-366458000
66,Other Total Stockholders Equity,68700000,78500000,159800000,161400000,170500000,175600000,182000000,181600000,188900000,205400000,215600000,241400000,212200000,226700000,- -,291916000,358042000,429150000,547246000,179392000,191629000,210237000,172110000,185426000,145787000,130728000,128724000,147089000,-427318000,-513761000,-503300000,-493957000,-484022000,-474607000,-467529000,- -
67,Total Stockholders Equity,-21500000,-29600000,32000000,31400000,49600000,68900000,85200000,98300000,113400000,115100000,127100000,156300000,160300000,179400000,- -,251433000,313865000,359375000,454437000,536118000,696764000,915310000,967654000,1224323000,1390215000,1557962000,1815460000,2043440000,1657620000,1578734000,1516643000,1659164000,1409235000,1069346000,552094000,511024000
68,Total Liabilities And Stockholders Equity,76800000,59400000,62100000,77200000,94900000,112400000,135100000,153300000,172000000,186900000,255100000,268000000,316500000,387300000,- -,579611000,590348000,662856000,818107000,989568000,1235507000,1531440000,1670020000,1880287000,2030506000,2400544000,2768118000,3128500000,3511701000,3429536000,3130315000,3018596000,2818935000,2734600000,2039779000,1962859000
69,Minority Interest,- -,- -,- -,- -,900000,1000000,1200000,1200000,- -,900000,1000000,300000,- -,- -,- -,- -,- -,- -,1557000,- -,6515000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5354000,6063000,6063000,6063000,- -
70,Total Liabilities & Equity,76800000,59400000,62100000,77200000,95800000,113400000,136300000,154500000,172000000,187800000,256100000,268300000,316500000,387300000,- -,579611000,590348000,662856000,819664000,989568000,1242022000,1531440000,1670020000,1880287000,2030506000,2400544000,2768118000,3128500000,3511701000,3429536000,3130315000,3023950000,2824998000,2740663000,2045842000,1962859000
