,https://roic.ai/company/CB,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
92,Common Stock Repurchased,- -,- -,-65300000,-33500000,-58003000,-182648000,-107644000,- -,- -,-179446000,- -,-556687000,- -,- -,- -,- -,- -,- -,-235000000,-195000000,-11000000,-287000000,-1429000000,-758000000,- -,-801000000,-1044000000,-1530000000,-523000000,-4861000000
93,Dividends Paid,- -,-16400000,-19900000,-22100000,-27684000,-43028000,-54389000,-77836000,-121713000,-154411000,-193132000,-230718000,-270977000,-298000000,-357000000,-386000000,-386000000,-388000000,-435000000,-459000000,-815000000,-517000000,-862000000,-862000000,-1173000000,-1308000000,-1337000000,-1354000000,-1388000000,-1401000000
94,Other Financing Activites,- -,157300000,- -,- -,- -,- -,635000000,2648919000,915789000,56144000,-350313000,1113374000,499565000,262000000,298000000,59000000,779000000,523000000,2051000000,5377000000,3059000000,3767000000,2992000000,6465000000,431000000,291000000,2391000000,3243000000,1130000000,1853000000
95,Cash Used/Provided by Financing Activities,- -,35200000,-85200000,-55400000,-85659000,-219329000,699064000,2379090000,202266000,896905000,-491411000,395206000,-154803000,1328000000,-284000000,-253000000,314000000,-321000000,732000000,-565000000,-550000000,391000000,-1777000000,3695000000,-742000000,-2319000000,-1991000000,-151000000,-2082000000,-4409000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24339000,-29000000,2000000,27000000,66000000,12000000,6000000,-27000000,-5000000,-7000000,-139000000,-145000000,-25000000,1000000,-65000000,20000000,8000000,-106000000
97,Net Change In Cash,- -,- -,- -,- -,36445000,52962000,101523000,358676000,8837000,63312000,-8026000,-101705000,-27655000,14000000,53000000,-55000000,357000000,-198000000,103000000,-158000000,1000000,-36000000,76000000,1120000000,-790000000,-257000000,489000000,306000000,190000000,-25000000
98,Cash at the End of Period,- -,- -,- -,- -,53374000,106336000,317714000,599232000,608069000,671381000,663355000,561650000,533995000,512000000,565000000,510000000,867000000,669000000,772000000,614000000,615000000,579000000,655000000,1775000000,985000000,728000000,1340000000,1646000000,1836000000,1811000000
99,Cash at the Beginning of Period,11100000,6300000,9800000,14400000,16929000,53374000,216191000,240556000,599232000,608069000,671381000,663355000,561650000,498000000,512000000,565000000,510000000,867000000,669000000,772000000,614000000,615000000,579000000,655000000,1775000000,985000000,851000000,1340000000,1646000000,1836000000
100,Free Cash Flow,256100000,123300000,336800000,437000000,621360000,282123000,66770000,-460852000,-427172000,1353005000,2424988000,4224566000,4953338000,4308000000,4105000000,4701000000,4101000000,3335000000,3546000000,3470000000,3995000000,4022000000,4496000000,3864000000,5292000000,4503000000,5480000000,6342000000,9785000000,11149000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/20171/000095012301002702/0000950123-01-002702-index.html,https://www.sec.gov/Archives/edgar/data/20171/000095012302003105/0000950123-02-003105-index.html,- -,https://www.sec.gov/Archives/edgar/data/896159/000119312504040912/d10k.htm,https://www.sec.gov/Archives/edgar/data/896159/000119312505052345/d10k.htm,https://www.sec.gov/Archives/edgar/data/896159/000119312506056531/0001193125-06-056531-index.html,https://www.sec.gov/Archives/edgar/data/896159/000119312507043123/d10k.htm,https://www.sec.gov/Archives/edgar/data/896159/000119312508042242/d10k.htm,https://www.sec.gov/Archives/edgar/data/896159/000119312509040758/0001193125-09-040758-index.html,https://www.sec.gov/Archives/edgar/data/896159/000119312510040605/0001193125-10-040605-index.html,https://www.sec.gov/Archives/edgar/data/896159/000119312511047473/d10k.htm,https://www.sec.gov/Archives/edgar/data/896159/000119312512078111/0001193125-12-078111-index.html,https://www.sec.gov/Archives/edgar/data/20171/000119312513084095/0001193125-13-084095-index.html,https://www.sec.gov/Archives/edgar/data/896159/000089615914000003/ace-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/896159/000089615915000006/ace-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/896159/000089615916000027/0000896159-16-000027-index.html,https://www.sec.gov/Archives/edgar/data/896159/000089615917000004/0000896159-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/896159/000089615918000002/0000896159-18-000002-index.html,https://www.sec.gov/Archives/edgar/data/896159/000089615919000005/0000896159-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/896159/000089615920000003/0000896159-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/896159/000089615921000003/0000896159-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/896159/000089615922000005/0000896159-22-000005-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
