,https://roic.ai/company/IVC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,1000000,-10400000,-16800000,-7900000,-17100000,-18000000,-40500000,-26600000,-200000,-64400000,728000,-36782000,5239000,21064000,-53215000,55812000,17648000,280823000,26577000,20622000,69928000,51414000,37837000,135850000,-29501000,19572000,-79953000,-86826000,72807000,41442000,14440000,19638000,33203000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,100000,19200000,10200000,31800000,30600000,31500000,43700000,34300000,37900000,50000000,72800000,78426000,58478000,124181000,109526000,98324000,76947000,61737000,79100000,76414000,155663000,122207000,99078000,62291000,10054000,8892000,-5378000,-56613000,-25774000,-46423000,2743000,21917000,- -
84,CAPEX,- -,- -,- -,- -,-26100000,-26100000,-12000000,-14500000,-12000000,-10900000,-11200000,-22600000,-47900000,-158600000,-164100000,-26445000,-20182000,-22109000,-30660000,-41403000,-31517000,-21789000,-20068000,-19957000,-17999000,-17353000,-22160000,-20091000,-14158000,-12327000,-7522000,-10151000,-14569000,-9823000,-10874000,-22304000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2814000,- -,- -,-70555000,-343554000,-58216000,-15296000,-5496000,-8420000,- -,-13725000,-42430000,-9000000,187552000,21870000,13700000,13829000,- -,- -,- -,14563000,- -
86,Purchases of Investments,- -,- -,- -,- -,-3000000,-4700000,-2600000,-3100000,-6900000,-400000,-4300000,-3400000,-4000000,-3800000,-600000,-501000,-1807000,-43000,- -,-603000,-44000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,2800000,3800000,7100000,2300000,500000,1400000,4900000,2300000,8400000,1500000,1500000,1017000,- -,- -,1130000,- -,- -,252000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,12100000,15900000,-14200000,-48000000,-26400000,-28200000,-45500000,-52700000,-9500000,-26900000,-35000000,992000,11762000,12754000,5205000,-3462000,3340000,2387000,3506000,5892000,1317000,461000,-673000,-351000,1951000,24039000,38198000,-29000,-79000,3460000,-740000,-1806000,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-14200000,-11100000,-21700000,-63300000,-44800000,-38100000,-56100000,-76400000,-53000000,-187800000,-198200000,-27751000,-10227000,-9398000,-94880000,-389022000,-86437000,-34446000,-22058000,-22485000,-16682000,-30617000,-65263000,-29442000,175345000,33582000,44376000,3649000,-14648000,-6363000,-11614000,-9547000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-553436000,-781989000,-454567000,-367500000,-545874000,-286712000,-232808000,-2830000,-16308000,-1493000,-24124000,-76196000,- -
91,Common Stock Issued,- -,- -,- -,- -,100000,300000,31500000,1500000,300000,1800000,1400000,4200000,3800000,4800000,1400000,5965000,8854000,6154000,5063000,9850000,4623000,3081000,44000,834000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-200000,-800000,-600000,- -,- -,- -,-2300000,- -,-2500000,-2700000,- -,-7471000,-1674000,-8345000,-4430000,- -,- -,- -,- -,- -,-5687000,-21548000,- -,- -,- -,- -,-5331000,-1276000,-2427000,-894000,-1707000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-400000,-1000000,-1500000,-1500000,-1500000,-1500000,-1499000,-1525000,-1567000,-1531000,-1557000,-1580000,-1589000,-1596000,-1599000,-1605000,-1612000,-1588000,-1581000,-1581000,-1584000,-1589000,-1583000,-1604000,-1630000,-1645000,-414000,- -
94,Other Financing Activites,- -,- -,- -,- -,14500000,-8500000,-18800000,38500000,15900000,2800000,8200000,42200000,14200000,140000000,137000000,-53946000,-35163000,-123070000,-9142000,303188000,-546000,26449000,-77993000,-60921000,401751000,711654000,430621000,339313000,352967000,256138000,220051000,128293000,107285000,2626000,-1278000,84576000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,14600000,-8400000,11900000,39400000,16200000,4200000,8600000,42600000,16500000,140800000,134200000,-49480000,-35305000,-120157000,-13955000,307051000,2497000,27941000,-79545000,-61686000,-153290000,-77634000,-47082000,-29768000,-194488000,-32158000,-14346000,118549000,88097000,-2924000,-27941000,6259000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,100000,- -,-1200000,-700000,400000,500000,-200000,-100000,800000,- -,-7096000,-8620000,1777000,2297000,140000,50000,1347000,2500000,-6927000,4294000,-2995000,-271000,786000,83000,-1170000,-3528000,-1406000,4619000,-3911000,-32000,6606000,- -
97,Net Change In Cash,- -,- -,- -,- -,14600000,-8400000,11900000,39400000,16200000,4200000,8600000,42600000,16500000,140800000,8800000,-5901000,4326000,-3597000,2988000,16493000,-6943000,56579000,-20003000,-14684000,-10015000,10961000,-13538000,3867000,-9006000,9146000,21124000,64179000,52294000,-59621000,-36844000,25235000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18300000,12357000,16683000,13086000,16074000,32567000,25624000,82203000,62200000,47516000,37501000,48462000,34924000,38791000,29785000,38931000,60055000,124234000,176528000,116907000,80063000,105298000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,700000,1300000,1000000,1500000,8200000,9400000,7400000,4100000,4400000,5700000,9500000,18258000,12357000,16683000,13086000,16074000,32567000,25624000,82203000,62200000,47516000,37501000,48462000,34924000,38791000,29785000,38931000,60055000,124234000,176528000,116907000,80063000,105298000
100,Free Cash Flow,- -,- -,- -,- -,-26000000,-6900000,-1800000,17300000,18600000,20600000,32500000,11700000,-10000000,-108600000,-91300000,51981000,38296000,102072000,78866000,56921000,45430000,39948000,59032000,56457000,137664000,104854000,76918000,42200000,-4104000,-3435000,-12900000,-66764000,-40343000,-56246000,-8131000,-387000,- -
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/742112/000074211296000005/0000742112-96-000005-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/742112/000074211201000006/0000742112-01-000006-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/742112/000074211208000010/0000742112-08-000010-index.htm,https://www.sec.gov/Archives/edgar/data/742112/000119312509040670/0001193125-09-040670-index.htm,- -,https://www.sec.gov/Archives/edgar/data/742112/000119312511046991/0001193125-11-046991-index.htm,https://www.sec.gov/Archives/edgar/data/742112/000074211212000012/0000742112-12-000012-index.htm,https://www.sec.gov/Archives/edgar/data/742112/000074211213000015/0000742112-13-000015-index.htm,https://www.sec.gov/Archives/edgar/data/742112/000074211214000017/0000742112-14-000017-index.htm,https://www.sec.gov/Archives/edgar/data/742112/000074211215000023/0000742112-15-000023-index.htm,https://www.sec.gov/Archives/edgar/data/742112/000074211216000102/0000742112-16-000102-index.htm,https://www.sec.gov/Archives/edgar/data/742112/000074211217000019/0000742112-17-000019-index.htm,https://www.sec.gov/Archives/edgar/data/742112/000074211218000023/0000742112-18-000023-index.htm,https://www.sec.gov/Archives/edgar/data/742112/000074211219000010/0000742112-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/742112/000074211220000015/0000742112-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/742112/000074211221000012/0000742112-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/742112/000074211222000012/0000742112-22-000012-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
