,https://roic.ai/company/CLDX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,12300000,2300000,12300000,10300000,8200000,7800000,26100000,15100000,11200000,11700000,4600000,12300000,12289200,46408600,37820900,22427400,18923600,29088800,20912153,32319181,6579548,32974858,69569000,42739000,40386000,67429000,284839000,180494000,264696000,160346000,117020000,86477000,55055000,183637000,- -
82,Other Non-Cash Items,- -,- -,600000,11000000,-9200000,1800000,1900000,1500000,-16900000,12700000,3600000,100000,12100000,34200000,792200,-17887100,8257900,10941200,2906900,-9025600,18126927,33871606,25388043,36848594,-36528142,-9672000,4991000,-23137000,-211022000,110635000,-72677000,100435000,43086000,95375000,26476000,-115883000,-1138000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,-700000,-3000000,-3900000,-5500000,-9100000,-7900000,-9700000,-7700000,-8900000,-8539100,-4431900,-20825500,-16659400,-11739400,-10347900,-6016630,27000319,-19302986,18280766,-29869000,-30372000,-35658000,-49782000,-67669000,-101537000,-98887000,-113036000,-99931000,-75235000,-46415000,-40404000,-60909000
84,CAPEX,- -,- -,- -,- -,- -,-700000,-400000,-500000,-500000,-800000,-600000,-600000,-100000,-300000,-688500,-177200,-605200,-567700,-210100,- -,- -,-9324644,-4975816,-1304706,-528000,-2100000,-509000,-303000,-4219000,-1929000,-4876000,-2751000,-1788000,-813000,-731000,-1552000,-1249000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-724000,- -,- -,- -,-3651500,-2175918,- -,- -,11001137,51654000,- -,- -,- -,- -,- -,- -,4592000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-2500000,- -,-1200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,- -,- -,- -,- -,-9559000,-56522000,-52717000,-69255000,-112118000,-148314000,-206405000,-175726000,-170980000,-171182000,-95382000,-220321000,-389881000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,13000000,14000000,8500000,- -,- -,4500000,4903100,- -,- -,- -,- -,4000000,- -,- -,- -,- -,3524000,42383000,51003000,52360000,38894000,109232000,161090000,242792000,219236000,201469000,113173000,123600000,174947000
88,Other Investing Activites,- -,- -,- -,- -,- -,-200000,- -,-600000,-700000,-400000,-2000000,400000,1600000,3400000,-946200,-65000,-170200,-272900,-2000000,-5200,2150,14854,-735000,458757,- -,77000,68000,218000,21000,- -,- -,- -,- -,342000,20000,55000,27000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-900000,-400000,-3600000,11800000,11600000,5900000,-200000,1500000,7600000,3268400,-966200,-775400,-840600,-2210100,-1656700,-2173768,-9309790,-5710816,10155188,45091000,-16162000,-2155000,-16980000,-77422000,-41011000,-50191000,68907000,46468000,29816000,17080000,-98218000,-216156000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3133000,-197000,-12503000,-3971000,-11029000,- -,- -,- -,- -,- -,- -,-2962000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,3400000,800000,300000,17200000,- -,6600000,10200000,- -,3700000,9952500,41956100,14089800,41200,9221000,23363700,40066,19033,4543,10867188,668000,1014000,36023000,83784000,295697000,- -,188840000,13946000,51025000,29022000,16248000,170792000,269893000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,-136400,-91200,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,2131400,-171728,-217457,-244300,57924,- -,10000000,4914000,-55000,4931000,1171000,4311000,536000,265000,419000,9000,3396000,2479000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,3400000,800000,300000,17700000,- -,6700000,10200000,- -,3700000,9952500,41956100,14089800,-95200,9129800,25495100,-131662,-198424,-239757,10925112,-2465000,10817000,28434000,79758000,289599000,1171000,193151000,14482000,51290000,29441000,16257000,171226000,272372000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13310,-12000,2000,-9000,2000,-3000,-5000,15000,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,3400000,800000,300000,17700000,- -,6700000,10200000,- -,2500000,4681800,36558000,-7511100,-17595200,-4819700,13490500,-8322060,17492105,-25253559,39347756,12745000,-35715000,-9388000,12998000,144505000,-141382000,44088000,-29647000,-2173000,-15978000,-13078000,32604000,-4693000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8900000,13619000,50177000,42665900,25070700,20251000,31741500,23419434,40911539,15657980,44257286,57002000,21287000,11899000,24897000,169402000,28020000,72108000,42461000,40288000,24310000,11232000,43836000,39143000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,9600000,11300000,10600000,4300000,5200000,7600000,12300000,12600000,6400000,8937200,13619000,50177000,42665900,25070700,18251000,31741494,23419434,40911539,4909530,44257000,57002000,21287000,11899000,24897000,169402000,28020000,72108000,42461000,40288000,24310000,11232000,43836000
100,Free Cash Flow,- -,- -,- -,- -,- -,-1400000,-3400000,-4400000,-6000000,-9900000,-8500000,-10300000,-7800000,-9200000,-9227600,-4609100,-21430700,-17227100,-11949500,-10347900,-6016630,17675675,-24278802,16976060,-30397000,-32472000,-36167000,-50085000,-71888000,-103466000,-103763000,-115787000,-101719000,-76048000,-47146000,-41956000,-62158000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/744218/000091205701008484/0000912057-01-008484-index.html,https://www.sec.gov/Archives/edgar/data/744218/000091205702011869/0000912057-02-011869-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746903010068/0001047469-03-010068-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746904007780/0001047469-04-007780-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746905006822/0001047469-05-006822-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000110465906017401/0001104659-06-017401-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000110465907019897/0001104659-07-019897-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746908003032/0001047469-08-003032-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746909002264/0001047469-09-002264-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746910002142/0001047469-10-002142-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746911001901/0001047469-11-001901-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746912002276/0001047469-12-002276-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746913002403/0001047469-13-002403-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746914001653/0001047469-14-001653-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746915001081/0001047469-15-001081-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746916010308/0001047469-16-010308-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746917001564/0001047469-17-001564-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746918001363/0001047469-18-001363-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746919000992/0001047469-19-000992-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746920001809/0001047469-20-001809-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000110465921043161/0001104659-21-043161-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000110465922028070/0001104659-22-028070-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
