,https://roic.ai/company/PLAB,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,3900000,11100000,23500000,20800000,17600000,32400000,49700000,21600000,81400000,36900000,29200000,87024000,48732000,142100000,258500000,255062000,300500000,127700000,96600000,66400000,89500000,86573000,209300000,234300000,213900000,197400000,168068000,360269000,367348000,311655000,275573000,357200000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,-100000,-7900000,-14900000,2400000,2900000,-12900000,-11200000,31500000,-66200000,28700000,4400000,-76531000,88953000,-34315000,-67404000,16213000,-34055000,168056000,44236000,239093000,-2719000,-8501000,-91269000,-1519000,32098000,5716000,35128000,-193888000,-15209000,56965000,-9222000,-70697000,23367000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,3800000,7800000,8800000,9200000,10500000,21000000,33600000,38600000,46500000,45100000,55300000,49588000,113579000,136402000,83232000,126216000,142567000,116199000,134693000,92080000,68148000,95919000,136553000,132549000,99401000,96361000,133195000,122137000,96833000,130567000,68386000,143046000,150772000
84,CAPEX,- -,- -,- -,- -,-3000000,-6100000,-6400000,-11700000,-15500000,-6200000,-35500000,-55800000,-96300000,-98900000,-72400000,-43599000,-48670000,-126462000,-47022000,-80136000,-121354000,-94646000,-94132000,-105125000,-34995000,-71381000,-82121000,-96978000,-65965000,-91449000,-104804000,-50160000,-92799000,-92803000,-178470000,-70974000,-109269000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37312000,-48864000,- -,- -,- -,- -,-8432000,5784000,- -,5000000,- -,- -,- -,- -,- -,- -,- -,-5400000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-100000,-2500000,-10500000,- -,- -,- -,-13700000,- -,-20300000,- -,- -,- -,- -,-15000000,-930000,-92424000,-94550000,-203087000,-7650000,-2925000,-162000,- -,-18616000,-13397000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,6800000,3500000,1700000,5800000,8300000,1900000,21600000,1600000,6706000,- -,- -,- -,24932000,88629000,104962000,66304000,8815000,5479000,289000,- -,- -,- -,- -,- -,101853000,167000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,300000,- -,-900000,-1200000,400000,-400000,-10500000,-10700000,1100000,2200000,-300000,-135000,-1026000,732000,- -,- -,-58248000,- -,- -,- -,- -,12880000,- -,-1568000,-2445000,3600000,-272000,584000,-868000,1856000,26969000,5104000,5605000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-2800000,-8600000,-17800000,-6100000,-11600000,-4900000,-53900000,-58200000,-113600000,-75100000,-71100000,-74340000,-98560000,-140730000,-47952000,-147628000,-185523000,-201203000,-29694000,-99235000,-24678000,-58212000,-100737000,-111943000,-66237000,-87485000,-104305000,52290000,-98066000,-90729000,-151406000,-65711000,-103494000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-167380000,-72932000,-68308000,-5293000,-8314000,-29782000,-9571000,-57609000,-5428000,-4639000,-61319000,-7392000,-20352000
91,Common Stock Issued,- -,- -,- -,- -,- -,9700000,10100000,300000,300000,1500000,31400000,2800000,6100000,4000000,4800000,32424000,7765000,4590000,5501000,2000000,170667000,1809000,988000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6800000,-6900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9878000,-15598000,- -,- -,- -,- -,- -,-23111000,-21696000,-34394000,-48249000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,500000,-5200000,-800000,-700000,-600000,-800000,-500000,-100000,99500000,-200000,10300000,10376000,-24776000,78063000,58635000,-55332000,-72117000,11737000,-90808000,-47659000,126878000,40476000,132711000,25455000,-31530000,241000,2472000,-9413000,-5500000,13945000,40956000,25776000,14698000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,500000,4500000,9300000,-400000,-300000,700000,30900000,2700000,105600000,-3000000,8200000,42800000,-17011000,82653000,64136000,-53332000,98550000,13546000,-89820000,-47659000,-40502000,-32456000,54525000,4564000,-39844000,-29541000,-7099000,-67022000,-10928000,-13805000,-42059000,-16010000,-53903000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,-1000000,- -,493000,-1506000,935000,1417000,2267000,-1845000,4834000,1445000,-7472000,1808000,5155000,642000,2945000,4252000,-2021000,-8853000,802000,6108000,-4777000,2381000,10986000,4703000
97,Net Change In Cash,- -,- -,- -,- -,500000,4500000,9300000,-400000,-300000,700000,30900000,2700000,105600000,-3000000,-7500000,18541000,-3498000,79260000,100833000,-72477000,53749000,-66624000,16624000,-62286000,4776000,10406000,90983000,28115000,-2428000,-22686000,12938000,108207000,-6053000,21256000,-122698000,72311000,-1922000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16300000,38182000,34684000,113944000,214777000,142300000,196049000,129425000,146049000,83763000,88539000,98945000,189928000,218043000,215615000,192929000,205867000,314074000,308021000,329277000,209291000,281602000,279680000
99,Cash at the Beginning of Period,- -,- -,- -,- -,1500000,3000000,6700000,7000000,9700000,8200000,25100000,35600000,18800000,57800000,23800000,19641000,38182000,34684000,113944000,214777000,142300000,196049000,129425000,146049000,83763000,88539000,98945000,189928000,218043000,215615000,192929000,205867000,314074000,308021000,331989000,209291000,281602000
100,Free Cash Flow,- -,- -,- -,- -,800000,1700000,2400000,-2500000,-5000000,14800000,-1900000,-17200000,-49800000,-53800000,-17100000,5989000,64909000,9940000,36210000,46080000,21213000,21553000,40561000,-13045000,33153000,24538000,54432000,35571000,33436000,4912000,28391000,71977000,4034000,37764000,-110084000,72072000,41503000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/810136/000081013604000002/plab_10-k2003.htm,https://www.sec.gov/Archives/edgar/data/810136/000081013605000003/plab_10k-2004.htm,https://www.sec.gov/Archives/edgar/data/810136/000081013606000009/plab_10k-2005.htm,https://www.sec.gov/Archives/edgar/data/810136/000081013607000002/plab_10k-2006.htm,https://www.sec.gov/Archives/edgar/data/810136/000081013608000003/plab_10k-2007.htm,https://www.sec.gov/Archives/edgar/data/810136/000081013609000008/0000810136-09-000008-index.html,https://www.sec.gov/Archives/edgar/data/810136/000081013610000003/0000810136-10-000003-index.html,https://www.sec.gov/Archives/edgar/data/810136/000120677411000053/photronics_10k.htm,https://www.sec.gov/Archives/edgar/data/810136/000114036112002364/0001140361-12-002364-index.html,https://www.sec.gov/Archives/edgar/data/810136/000114036113001560/0001140361-13-001560-index.html,https://www.sec.gov/Archives/edgar/data/810136/000114036114000609/form10k.htm,https://www.sec.gov/Archives/edgar/data/810136/000114036115000753/form10k.htm,https://www.sec.gov/Archives/edgar/data/810136/000114036116047150/0001140361-16-047150-index.html,https://www.sec.gov/Archives/edgar/data/810136/000114036117000934/0001140361-17-000934-index.html,https://www.sec.gov/Archives/edgar/data/810136/000114036117046903/0001140361-17-046903-index.html,https://www.sec.gov/Archives/edgar/data/810136/000114036118045611/0001140361-18-045611-index.html,https://www.sec.gov/Archives/edgar/data/810136/000114036119023041/0001140361-19-023041-index.html,https://www.sec.gov/Archives/edgar/data/810136/000114036121001225/0001140361-21-001225-index.htm,https://www.sec.gov/Archives/edgar/data/810136/000114036121042251/0001140361-21-042251-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
