,https://roic.ai/company/SRE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83000000,75000000,71000000,63000000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,85100000,- -,- -,-8000000,-279000000,-755000000,326000000,479000000,-225000000,156000000,1467000000,506000000,-723000000,-2080000000,-457000000,1160000000,-1398000000,1268000000,191000000,-513000000,-836000000,-1096000000,-477000000,-584000000,-1933000000,3483000000,-6023000000,583000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36000000,-273000000,44000000,-99000000,-42000000,17000000,-144000000,-91000000,-315000000,-599000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,4100000,7600000,4500000,-3600000,-40000000,3000000,- -,33000000,-11000000,-13000000,-25000000,- -,-3000000,-9000000,-75000000,124000000,-62000000,-84000000,-78000000,116000000,-133000000,65000000,-20000000,-49000000,23000000,-22000000,-35000000,-87000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-526000000,-109000000,79000000,60000000,3000000,-28000000,109000000,-157000000,122000000,83000000,92000000,12000000,73000000,263000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8000000,-287000000,-1042000000,-716000000,-237000000,-462000000,-306000000,1161000000,1667000000,944000000,-1136000000,-1593000000,-433000000,-1831000000,-563000000,-372000000,-885000000,-1721000000,-2817000000,-3294000000,-3878000000,-5811000000,-2328000000,-8351000000,1246000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,392000000,421200000,335400000,276800000,1507000000,1592000000,-131000000,-371000000,1097000000,389000000,-1426000000,-622000000,869000000,2949000000,-486000000,-1474000000,1898000000,-1712000000,-85000000,-159000000,533000000,1162000000,-104000000,1302000000,2880000000,-4426000000,2785000000,101000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,566400000,623900000,559400000,539100000,1323000000,1188000000,882000000,732000000,1371000000,1121000000,949000000,521000000,1629000000,2117000000,1181000000,1875000000,2154000000,1867000000,2018000000,1784000000,2161000000,2905000000,2319000000,3625000000,3447000000,3088000000,2591000000,3842000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-263700000,-220700000,-208900000,-197200000,-438000000,-589000000,-759000000,-1068000000,-1214000000,-1049000000,-1083000000,-1404000000,-1907000000,-2011000000,-2546000000,-2179000000,-2062000000,-3599000000,-2956000000,-2572000000,-3123000000,-3156000000,-4214000000,-3949000000,-3784000000,-3708000000,-4676000000,-5015000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-191000000,-639000000,-243000000,-111000000,-442000000,- -,-74000000,-86000000,-257000000,-121000000,-380000000,-939000000,-611000000,-941000000,-445000000,-22000000,-91000000,173000000,-1582000000,-270000000,-10376000000,-1797000000,-652000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2675000000,-989000000,-371000000,- -,-738000000,-697000000,-613000000,-531000000,-1034000000,-1314000000,-890000000,-914000000,-1439000000,-1594000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34000000,23000000,371000000,64000000,733000000,933000000,601000000,577000000,1134000000,1314000000,890000000,914000000,1439000000,961000000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,30800000,-13100000,-18700000,-143700000,-50000000,439000000,78000000,140000000,-3000000,-204000000,598000000,305000000,1298000000,59000000,3181000000,1412000000,1390000000,1406000000,248000000,669000000,-116000000,52000000,810000000,-481000000,1603000000,912000000,5881000000,-4875000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-232900000,-233800000,-227600000,-340900000,-679000000,-789000000,-924000000,-1039000000,-1659000000,-1253000000,-559000000,-1185000000,-866000000,-2073000000,-2386000000,-2672000000,-1283000000,-3070000000,-3158000000,-1689000000,-3342000000,-2885000000,-4886000000,-4700000000,-12557000000,-4593000000,553000000,-5508000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-79000000,-535000000,-905000000,-482000000,-1112000000,-1788000000,-2034000000,-1854000000,-2057000000,-2800000000,-3510000000,-3667000000,-5864000000,-5489000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34000000,3000000,12000000,41000000,13000000,549000000,110000000,694000000,97000000,40000000,18000000,73000000,40000000,28000000,78000000,62000000,56000000,52000000,51000000,47000000,2272000000,1830000000,11000000,5000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-600000,-200000,-15700000,-74100000,-76000000,- -,-725000000,-1000000,-16000000,-6000000,-5000000,-95000000,-37000000,-185000000,-1018000000,-22000000,-502000000,-98000000,-16000000,-127000000,-38000000,-74000000,-56000000,-15000000,-21000000,-26000000,-566000000,-339000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-183500000,-188300000,-181800000,-179600000,-325000000,-368000000,-244000000,-203000000,-205000000,-207000000,-195000000,-268000000,-283000000,-316000000,-339000000,-351000000,-374000000,-448000000,-556000000,-611000000,-599000000,-629000000,-687000000,-756000000,-967000000,-1135000000,-1331000000,-1430000000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-134300000,-130600000,-57700000,506700000,-667000000,29000000,1149000000,438000000,346000000,-227000000,-290000000,686000000,-389000000,165000000,2286000000,1411000000,1672000000,1534000000,2961000000,2802000000,3469000000,2332000000,5262000000,4531000000,11232000000,4473000000,5377000000,8513000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-318400000,-319100000,-255200000,253000000,-1034000000,-336000000,192000000,275000000,138000000,109000000,-380000000,1017000000,-612000000,-296000000,868000000,576000000,-69000000,534000000,1355000000,338000000,854000000,-173000000,2513000000,1007000000,9006000000,1475000000,-2373000000,1260000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,8000000,-4000000,-7000000,-14000000,- -,7000000,-14000000,1000000,-3000000,2000000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000,71000000,76700000,451300000,-390000000,63000000,150000000,-32000000,-150000000,-23000000,10000000,353000000,151000000,-252000000,-337000000,-221000000,802000000,-660000000,223000000,429000000,-334000000,-167000000,-54000000,-61000000,-118000000,-29000000,768000000,-404000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,32500000,96400000,173100000,624400000,424000000,487000000,637000000,605000000,455000000,432000000,419000000,772000000,920000000,668000000,331000000,110000000,912000000,252000000,475000000,904000000,570000000,403000000,349000000,364000000,246000000,217000000,985000000,581000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,17500000,25400000,96400000,173100000,814000000,424000000,487000000,637000000,605000000,455000000,409000000,419000000,769000000,920000000,668000000,331000000,110000000,912000000,252000000,475000000,904000000,570000000,403000000,425000000,364000000,246000000,217000000,985000000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,302700000,403200000,350500000,341900000,885000000,599000000,123000000,-336000000,157000000,72000000,-134000000,-883000000,-278000000,106000000,-1365000000,-304000000,92000000,-1732000000,-938000000,-788000000,-962000000,-251000000,-1895000000,-324000000,-337000000,-620000000,-2085000000,-1173000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1032208/000008652199000003/0000086521-99-000003-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652100000007/0000086521-00-000007-index.html,https://www.sec.gov/Archives/edgar/data/75527/000008652101000009/0000086521-01-000009-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652102000006/0000086521-02-000006-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652103000005/0000086521-03-000005-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652104000004/0000086521-04-000004-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652105000014/0000086521-05-000014-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652106000008/se10k12312005.htm,https://www.sec.gov/Archives/edgar/data/1032208/000008652107000014/se10k123106.htm,https://www.sec.gov/Archives/edgar/data/1032208/000008652108000015/sempra10k2007.htm,https://www.sec.gov/Archives/edgar/data/75527/000008652109000012/0000086521-09-000012-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652110000019/0000086521-10-000019-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652111000017/sre2010_10k2.htm,https://www.sec.gov/Archives/edgar/data/1032208/000008652112000010/0000086521-12-000010-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652113000014/0000086521-13-000014-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652114000011/sre10k02272014.htm,https://www.sec.gov/Archives/edgar/data/1032208/000008652115000011/sre10k02262015.htm,https://www.sec.gov/Archives/edgar/data/1032208/000008652116000091/0000086521-16-000091-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652117000017/0000086521-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652118000019/0000086521-18-000019-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652119000014/0000086521-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000103220820000006/0001032208-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000103220821000007/0001032208-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1032208/000103220822000007/0001032208-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
