,https://roic.ai/company/PNR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,- -,7500000,- -,- -,- -,283500000,-33100000,62300000,500000,40600000,35800000,53410000,-35840000,-72562000,-2608000,-33742000,72096000,65992000,40769000,56560000,-33656000,22482000,73493000,1126453000,-100547000,-367300000,39500000,-93300000,-651400000,-328700000,92200000,-110300000,-32400000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1348000,55720000,-91100000,9000000,48800000,21300000,-30900000,-15300000,-17500000,- -,-142000000
79,Inventory,- -,- -,- -,- -,- -,11300000,-3700000,-10400000,-15900000,-19700000,-9300000,-16300000,-22400000,-4500000,-38500000,-45186000,87840000,29717000,25782000,-51996000,-19201000,-39354000,19057000,-33311000,66684000,-44495000,18263000,125099000,67700000,-3700000,1400000,34300000,-29400000,-40100000,13600000,-29100000,-121400000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13822000,55321000,-24330000,-61990000,36400000,34500000,-8100000,38000000,32600000,58300000,-63600000,-81900000,114200000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,283500000,250400000,312700000,313200000,353800000,389600000,443010000,407170000,334608000,332000000,298258000,370354000,436346000,477115000,533675000,500019000,522501000,595994000,1722447000,1621900000,1254600000,1294100000,1200800000,549400000,220700000,312900000,202600000,12900000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-4800000,-5200000,37300000,-9200000,-299100000,-28000000,-95100000,-30700000,-86200000,-72900000,-36496000,136271000,137745000,25418000,48963000,-87745000,-82123000,22131000,-209115000,23112000,-85034000,90473000,-1004050000,106647000,872500000,479300000,233400000,542300000,319000000,-177900000,225300000,-5700000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,79500000,81700000,85800000,90900000,111100000,70700000,101700000,117900000,135300000,146000000,184947000,232334000,270794000,262939000,264091000,247858000,231611000,341880000,204214000,258369000,270376000,320226000,67960000,915300000,1008400000,739300000,861400000,620200000,439100000,353000000,573600000,613200000
84,CAPEX,- -,- -,- -,- -,- -,-61300000,-49400000,-67200000,-73400000,-92700000,-63800000,-146800000,-77500000,-122200000,-1013800000,-68041000,-53668000,-33744000,-43622000,-48867000,-62471000,-51078000,-62129000,-53089000,-54137000,-59523000,-73348000,-94532000,-170000000,-129600000,-134300000,-117800000,-70900000,-48200000,-58500000,-62200000,-60200000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1937000,-193222000,- -,-869155000,-150534000,-29286000,-487561000,-2027000,- -,- -,-733105000,470459000,-48900000,-12000000,-1913900000,-25000000,2699900000,-13700000,-272500000,-58000000,-337100000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-5000000,-8100000,-13500000,-9600000,-13100000,-16000000,-2000000,- -,- -,- -,-25438000,-9383000,-5294000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,3000000,4500000,6100000,6300000,48700000,- -,- -,- -,- -,- -,- -,60000,23835000,1153000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,30300000,11000000,-14400000,-16600000,-146200000,199500000,-30000000,-91500000,13700000,1800000,-32000,69914000,1737000,-231446000,773399000,4885000,-30846000,-335000,42636000,-54586000,-60313000,-74981000,-94882000,-162300000,-116300000,-51600000,-96800000,-69500000,-55100000,-59400000,-59900000,-53600000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-31000000,-43400000,-89700000,-100500000,-244000000,128700000,-186500000,-122300000,-108500000,-1012000000,-68073000,-11129000,-234612000,-280362000,-144563000,-184285000,-110057000,-550025000,-12480000,-54586000,-60313000,-808086000,375577000,-211200000,-128300000,-1965500000,-121800000,2630400000,-68800000,-331900000,-117900000,-390700000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-730304000,-804713000,-832147000,-1309039000,-7400000,-16800000,-358900000,-386000000,-2923200000,-675100000,-401500000,-191500000,-103800000
91,Common Stock Issued,- -,- -,- -,- -,- -,2900000,1900000,3900000,3200000,3000000,4200000,6500000,5500000,4200000,224400000,3874000,2913000,2730000,5795000,10862000,17056000,4066000,7388000,5590000,- -,9941000,13322000,- -,- -,- -,- -,- -,- -,- -,- -,32900000,22200000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-13200000,- -,- -,- -,- -,- -,- -,- -,-12400000,-4000000,-410000,-1458000,- -,-1589000,-4200000,-25000000,-59359000,-40641000,-50000000,- -,-24712000,-12785000,-334159000,-715800000,-1150000000,-200000000,- -,-200000000,-500000000,-150000000,-150200000,-150000000
93,Dividends Paid,- -,- -,- -,- -,- -,-13600000,-18200000,-18900000,-18000000,-18500000,-19900000,-23700000,-25400000,-27300000,-28200000,-32038000,-34327000,-36420000,-40494000,-43128000,-53134000,-56583000,-59910000,-67284000,-70927000,-75465000,-79537000,-112397000,-194200000,-211400000,-231700000,-243600000,-251700000,-187200000,-122700000,-127100000,-133000000
94,Other Financing Activites,- -,- -,- -,- -,- -,-24500000,-24700000,21200000,26300000,160200000,-173100000,82800000,45200000,14000000,689500000,-112491000,-190050000,-4897000,70098000,-101364000,17301000,-5906000,315849000,-105507000,592148000,704358000,1414700000,1523289000,198300000,383100000,2076900000,29500000,-57700000,954400000,657100000,- -,142400000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-48400000,-41000000,6200000,11500000,144700000,-188800000,65600000,25300000,-21500000,881700000,-141065000,-222922000,-38587000,33810000,-137830000,-43777000,-117782000,222686000,-217201000,-209083000,-190591000,503553000,-232306000,-719100000,-995100000,1286300000,-600100000,-3432600000,-407900000,-17100000,-435900000,-222200000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,10500000,-6800000,5600000,-9500000,-7600000,18500000,-3880000,6617000,2209000,-8046000,1808000,-2791000,2548000,1434000,-5985000,-648000,-6812000,-11672000,33000,18800000,-30600000,-44200000,-27300000,56800000,-1400000,4200000,-20200000,12100000
97,Net Change In Cash,- -,- -,- -,- -,- -,-48400000,-41000000,6200000,11500000,22400000,-188800000,65600000,25300000,-21500000,34200000,-28071000,4900000,-196000,8341000,-16494000,17005000,6320000,15975000,-31451000,-5948000,12660000,4021000,211264000,3800000,-145600000,15900000,112200000,-125200000,-12000000,8200000,-400000,12400000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,32700000,- -,- -,- -,- -,66200000,34944000,39844000,39648000,47989000,31495000,48500000,54820000,70795000,39344000,33396000,46056000,50077000,261341000,265100000,110400000,126300000,238500000,113300000,74300000,82500000,82100000,94500000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,8700000,8800000,6100000,8400000,10300000,32700000,36600000,23000000,34300000,32000000,63015000,34944000,39844000,39648000,47989000,31495000,48500000,54820000,70795000,39344000,33396000,46056000,50077000,261300000,256000000,110400000,126300000,238500000,86300000,74300000,82500000,82100000
100,Free Cash Flow,- -,- -,- -,- -,- -,18200000,32300000,18600000,17500000,18400000,6900000,-45100000,40400000,13100000,-867800000,116906000,178666000,237050000,219317000,215224000,185387000,180533000,279751000,151125000,204232000,210853000,246878000,-26572000,745300000,878800000,605000000,743600000,549300000,390900000,294500000,511400000,553000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/77360/000007736095000006/0000077360-95-000006-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/77360/000095012401001379/0000950124-01-001379-index.html,https://www.sec.gov/Archives/edgar/data/77360/000104596902000450/0001045969-02-000450-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000104596903000642/0001045969-03-000642-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000119312504035574/0001193125-04-035574-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000119312505047835/0001193125-05-047835-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000095013406003965/0000950134-06-003965-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000095013707002780/0000950137-07-002780-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000095013708002776/0000950137-08-002776-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000095013709001270/0000950137-09-001270-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000095012310015693/0000950123-10-015693-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000095012311016702/0000950123-11-016702-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000119312512070520/0001193125-12-070520-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000119312513077034/0001193125-13-077034-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000007736014000010/0000077360-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000007736015000007/0000077360-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000007736016000058/0000077360-16-000058-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000007736017000008/0000077360-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000007736018000007/0000077360-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000007736019000006/0000077360-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000007736020000006/0000077360-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000007736021000005/0000077360-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000007736022000006/0000077360-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
