,https://roic.ai/company/GILT,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24864000,-19999000,-35003000
94,Other Financing Activites,- -,- -,-120000,250000,50000,500000,-500000,1800000,-1700000,74000000,20500000,-16172000,457788000,40303000,-27298000,-242000,-535000,-4810000,-15675000,-940000,3194000,-6489000,39054000,842000,10800000,81000,17256000,5183000,588000,661000,2149000,375000,- -,- -
95,Cash Used/Provided by Financing Activities,- -,- -,1570000,1850000,90000,25000000,-500000,39300000,-1500000,75600000,22900000,243977000,465286000,40350000,-27293000,-206000,-103000,-3592000,28169000,3307000,-2168000,-11009000,29845000,-1191000,-9974000,-16387000,12389000,-5867000,23921000,-4012000,-2321000,-28936000,-24095000,-39003000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-240000,-224000,-64000,87000,1496000,36000,353000,311000,1016000,-1596000,782000,9000,-448000,-262000,-325000,-172000,-977000,568000,11000,-1490000,-99000,-360000,-303000
97,Net Change In Cash,- -,- -,400000,90000,1210000,- -,- -,- -,- -,- -,-8100000,25817000,159090000,-95146000,-49253000,3709000,23990000,-842000,74616000,-26738000,-48891000,48756000,-65434000,-1007000,10737000,-8544000,-30698000,-9291000,21698000,12824000,17447000,-2235000,13989000,-31495000
98,Cash at the End of Period,- -,- -,67781000,90000,1710000,- -,- -,- -,- -,- -,7600000,33381000,192471000,97325000,48072000,51781000,75771000,74929000,149545000,122807000,73916000,122672000,57238000,56231000,66968000,58424000,27726000,18435000,40133000,52957000,104204000,101969000,115958000,84463000
99,Cash at the Beginning of Period,- -,- -,67381000,- -,500000,1700000,17800000,6400000,35300000,28400000,15700000,7564000,33381000,192471000,97325000,48072000,51781000,75771000,74929000,149545000,122807000,73916000,122672000,57238000,56231000,66968000,58424000,27726000,18435000,40133000,86757000,104204000,101969000,115958000
100,Free Cash Flow,- -,- -,-1210000,-1770000,1110000,-5000000,-6800000,-11600000,-9500000,-33800000,-26200000,-135707000,-271822000,-222857000,-16548000,21839000,24358000,82000,31305000,13506000,-33419000,-4691000,2767000,-389000,16836000,12318000,-28792000,-18717000,6471000,17108000,21258000,26800000,38444000,9970000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/897322/000117891304000313/d40573.htm,https://www.sec.gov/Archives/edgar/data/897322/000117891305000366/zk51380.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/897322/000117891310000951/zk1008132.htm,https://www.sec.gov/Archives/edgar/data/897322/000117891311001094/zk1109735.htm,https://www.sec.gov/Archives/edgar/data/897322/000117891312000953/zk1211171.htm,https://www.sec.gov/Archives/edgar/data/897322/000117891313001060/zk1312910.htm,https://www.sec.gov/Archives/edgar/data/897322/000117891314001148/zk1414680.htm,https://www.sec.gov/Archives/edgar/data/897322/000117891315001135/zk1516527.htm,https://www.sec.gov/Archives/edgar/data/897322/000117891316004773/zk1618214.htm,https://www.sec.gov/Archives/edgar/data/897322/000117891317000958/zk1719725.htm,https://www.sec.gov/Archives/edgar/data/897322/000117891318000901/zk1821325.htm,https://www.sec.gov/Archives/edgar/data/897322/000117891319000837/zk1922794.htm,https://www.sec.gov/Archives/edgar/data/897322/000117891320000895/zk2024178.htm,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
