,https://roic.ai/company/ABT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1800/000091205795001314/0000912057-95-001314-index.html,- -,https://www.sec.gov/Archives/edgar/data/1800/000091205797008391/0000912057-97-008391-index.html,https://www.sec.gov/Archives/edgar/data/1800/000104746998009108/0001047469-98-009108-index.html,https://www.sec.gov/Archives/edgar/data/1800/000104746999008952/0001047469-99-008952-index.html,- -,https://www.sec.gov/Archives/edgar/data/1800/000091205701006039/0000912057-01-006039-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1800/000110465907013496/a07-1583_110k.htm,https://www.sec.gov/Archives/edgar/data/1800/000104746908001480/0001047469-08-001480-index.html,https://www.sec.gov/Archives/edgar/data/1800/000104746909001642/0001047469-09-001642-index.html,https://www.sec.gov/Archives/edgar/data/1800/000104746910001018/0001047469-10-001018-index.html,https://www.sec.gov/Archives/edgar/data/1800/000104746911001056/a2201962z10-k.htm,https://www.sec.gov/Archives/edgar/data/1800/000104746912001216/0001047469-12-001216-index.html,https://www.sec.gov/Archives/edgar/data/1800/000104746913001180/0001047469-13-001180-index.html,https://www.sec.gov/Archives/edgar/data/1800/000104746914001176/a2218043z10-k.htm,https://www.sec.gov/Archives/edgar/data/1800/000104746915001377/a2222655z10-k.htm,https://www.sec.gov/Archives/edgar/data/1800/000104746916010246/0001047469-16-010246-index.html,https://www.sec.gov/Archives/edgar/data/1800/000104746917000744/0001047469-17-000744-index.html,https://www.sec.gov/Archives/edgar/data/1800/000104746918000856/0001047469-18-000856-index.html,https://www.sec.gov/Archives/edgar/data/1800/000104746919000624/0001047469-19-000624-index.html,https://www.sec.gov/Archives/edgar/data/1800/000110465920023904/0001104659-20-023904-index.html,https://www.sec.gov/Archives/edgar/data/1800/000110465921025751/0001104659-21-025751-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465922025141/0001104659-22-025141-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,859800000,965800000,1088800000,1239100000,1399126000,1516683000,1688700000,1882033000,2094462000,2333231000,2445759000,2785977000,1550390000,2793703000,2753233000,3235851000,3372065000,1716755000,3606314000,4880719000,5745838000,4626172000,4728449000,5962920000,2576000000,2284000000,4423000000,1400000000,477000000,2368000000,3687000000,4495000000,7071000000
74,Depreciation and Amortization,- -,- -,- -,- -,307300000,355900000,379000000,427800000,484081000,510504000,566423000,686085000,727754000,784243000,828006000,827431000,1168018000,1177345000,1273991000,1288700000,1358939000,1558750000,1854886000,1838829000,2089510000,2624305000,3043894000,2783207000,1719000000,1548000000,1472000000,1353000000,3021000000,3278000000,3014000000,3327000000,3538000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,347015000,366357000,387183000,382602000,433114000,262000000,246000000,292000000,310000000,406000000,477000000,519000000,546000000,640000000
77,Change in Working Capital,- -,- -,- -,- -,-212300000,-259100000,201700000,-212600000,41402000,-90140000,35935000,-299212000,-133445000,587270000,1312033000,1175658000,-2586329000,1627198000,531310000,1257961000,61673000,-4639826000,5608767000,511196000,4813751000,-5209307000,3233451000,9753861000,-8302407000,-5011000000,240000000,15147000000,-8881000000,-5615000000,-816000000,3730000000,-771000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-948314000,-387749000,-394665000,-670152000,35996000,-113000000,-195000000,-171000000,-177000000,-207000000,-190000000,-275000000,-924000000,-383000000
79,Inventory,- -,- -,- -,- -,-96800000,-54700000,-44800000,-109100000,-91490000,-52293000,-93184000,-125726000,-98964000,-111649000,-147778000,-361377000,-184953000,-190975000,7007000,-285328000,-88257000,104653000,131324000,-257476000,230555000,139857000,-129621000,-417053000,-154000000,-297000000,-257000000,-98000000,249000000,-514000000,-593000000,-493000000,-456000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,569056000,-374715000,572533000,1789652000,-134209000,-436000000,-225000000,-742000000,-652000000,615000000,747000000,220000000,1766000000,1288000000
81,Other Working Capital,- -,- -,- -,- -,719200000,460100000,661800000,449200000,490602000,400462000,436397000,137185000,3740000,591010000,1903043000,3078701000,492372000,2119570000,2650880000,3908841000,3970514000,-669312000,4939455000,5450651000,10264402000,5055095000,8288546000,18042407000,9740000000,4729000000,4969000000,20116000000,11235000000,5620000000,4804000000,8534000000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,5100000,138300000,-216300000,-65500000,-77700000,275090000,-325477000,113156000,-60004000,-971843000,-1648277000,-1689448000,3434769000,-1415302000,-812086000,-1374569000,381739000,6693562000,-5886124000,-233568000,-5740296000,6307628000,-2418319000,-9618701000,7069407000,4608000000,-3461000000,-15007000000,10547000000,5792000000,-268000000,-4197000000,55000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,959900000,1200900000,1453200000,1388800000,1846909000,2212137000,1965581000,2382062000,2628767000,2732901000,2937521000,3099618000,3566848000,4182944000,3746448000,4407943000,5174416000,5329241000,5183843000,7344191000,7275160000,8735981000,8970077000,9314401000,3324000000,3675000000,2966000000,3203000000,5570000000,6300000000,6136000000,7901000000,10533000000
84,CAPEX,- -,- -,- -,- -,-573100000,-641400000,-770600000,-1007200000,- -,- -,- -,- -,- -,- -,-987098000,-1035873000,-1163707000,-1296397000,-1246741000,-1291633000,-1207493000,-1337818000,-1656207000,-1287724000,-1089048000,-1015075000,-1491500000,-1795289000,-1145000000,-1077000000,-1110000000,-1121000000,-1135000000,-1394000000,-1638000000,-2177000000,-1885000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-952732000,-929488000,-947021000,-1779587000,-1207771000,-1239796000,-217000000,- -,-7424356000,-585999000,-497914000,-2327821000,-295123000,-7923163000,- -,-250000000,-2370630000,-9433243000,-672500000,-1227473000,-580000000,-3317000000,2285000000,-55000000,-8437000000,48000000,-122000000,16000000,-53000000
86,Purchases of Investments,- -,- -,- -,- -,-448800000,-309700000,-284100000,-178700000,-335915000,-226728000,-183443000,-312535000,-25115000,-278002000,-175694000,-68085000,-179618000,-156078000,-289432000,-543292000,-15670000,-2129412000,535585000,-923937000,-248970000,-805932000,-5109987000,-11997654000,-10064000000,-1507000000,-4933000000,-2823000000,-210000000,-131000000,-103000000,-83000000,-173000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,591000000,310900000,398700000,496100000,447983000,185268000,67130000,117783000,43424000,78898000,169356000,235839000,- -,140284000,337017000,224923000,783599000,18476000,17830000,449231000,16306000,954361000,5648720000,8936406000,7839000000,5624000000,4112000000,3709000000,129000000,73000000,21000000,10000000,77000000
88,Other Investing Activites,- -,- -,- -,- -,38700000,21900000,13900000,22200000,46826000,26863000,25611000,19098000,-8209000,18034000,12187000,250455000,382807000,16570000,66465000,14433000,14600000,-25712000,-33485000,-75061000,-6368000,-1888426000,1886099000,2722000,21000000,75000000,52000000,42000000,35000000,48000000,27000000,19000000,26000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-392200000,-618300000,-642100000,-667600000,-793838000,-944085000,-1037723000,-1955241000,-1197671000,-1420866000,-1198249000,-617664000,-8384874000,-1881620000,-1630605000,-3923390000,-720087000,-11397629000,-1136277000,-2087491000,-3698710000,-12188315000,260832000,-6081288000,-3929000000,-202000000,406000000,-248000000,-9618000000,-1356000000,-1815000000,-2215000000,-2008000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-913948000,-2483176000,-1673998000,-3012426000,-11071178000,-303000000,-577000000,-57000000,-12000000,-8650000000,-12433000000,-3441000000,-1333000000,-48000000
91,Common Stock Issued,- -,- -,- -,- -,26600000,51300000,57900000,74000000,27536000,36214000,76540000,109638000,137482000,150881000,434183000,135570000,169422000,137004000,75035000,155197000,223637000,502782000,1249804000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-289500000,-605600000,-317800000,-607600000,-465822000,-615946000,-771411000,-808816000,-1054512000,-875407000,- -,-464856000,-17364000,- -,-97617000,-499745000,-1302314000,-754502000,-1058793000,-1081806000,-826345000,-866825000,-77007000,-2364240000,-1605000000,-2195000000,-2237000000,-522000000,-827000000,-238000000,-718000000,-403000000,-2299000000
93,Dividends Paid,- -,- -,- -,- -,-301900000,-351200000,-410300000,-488400000,-548044000,-602356000,-653567000,-728147000,-809554000,-891661000,-1003295000,-1145894000,-1270782000,-1427850000,-1515703000,-1599770000,-1686472000,-1777170000,-1959150000,-2174252000,-2414460000,-2671475000,-2938096000,-3182811000,-882000000,-1342000000,-1443000000,-1539000000,-1849000000,-1974000000,-2270000000,-2560000000,-3202000000
94,Other Financing Activites,- -,- -,- -,- -,-371100000,347300000,-109600000,364500000,122463000,-97834000,414565000,835037000,418085000,382501000,-857714000,-672769000,5742540000,-1019128000,-467927000,1505998000,172833000,5650817000,-544493000,684104000,6726000000,4124557000,4074000,17334322000,-3906000000,1372000000,1501000000,13220000000,6045000000,4254000000,2140000000,1517000000,55000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-935900000,-558200000,-779800000,-657500000,-863867000,-1279922000,-933873000,-592288000,-1308499000,-1233686000,-1426826000,-2147949000,4623816000,-2309974000,-2006212000,-438320000,-2592316000,3621927000,-2312632000,-3485902000,1002019000,-1087741000,-6023455000,716093000,-6696000000,-2742000000,-2236000000,11147000000,-5281000000,-10391000000,-4289000000,-2779000000,-5494000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-9100000,-4000000,-4900000,-7600000,-5104000,1466000,-3060000,-5521000,-2782000,-143000,-19587000,-27884000,-62630000,55722000,181043000,184271000,-193954000,73966000,200258000,-115160000,118848000,-620893000,-43005000,40137000,-26000000,-143000000,-198000000,-483000000,116000000,-116000000,-16000000,71000000,-70000000
97,Net Change In Cash,- -,- -,- -,- -,-935900000,-558200000,-779800000,-657500000,184100000,-10404000,-9075000,-170988000,119815000,78206000,292859000,306121000,-256840000,47072000,290674000,230504000,1668059000,-2372495000,1935192000,1655638000,4697317000,-5160968000,3164449000,3989343000,-7327000000,588000000,938000000,13619000000,-9213000000,-5563000000,16000000,2978000000,2961000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,300676000,290272000,281197000,110209000,230024000,308230000,608097000,914218000,657378000,704450000,995124000,1225628000,2893687000,521192000,2456384000,4112022000,8809339000,3648371000,6812820000,10802163000,3475000000,4063000000,5001000000,18620000000,9407000000,3844000000,3860000000,6838000000,9799000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,390900000,13600000,34000000,60400000,116576000,300676000,290272000,281197000,110209000,230024000,315238000,608097000,914218000,657378000,704450000,995124000,1225628000,2893687000,521192000,2456384000,4112022000,8809339000,3648371000,6812820000,10802000000,3475000000,4063000000,5001000000,18620000000,9407000000,3844000000,3860000000,6838000000
100,Free Cash Flow,- -,- -,- -,- -,386800000,559500000,682600000,381600000,1846909000,2212137000,1965581000,2382062000,2628767000,2732901000,1950423000,2063745000,2403141000,2886547000,2499707000,3116310000,3966923000,3991423000,3527636000,6056467000,6186112000,7720906000,7478577000,7519112000,2179000000,2598000000,1856000000,2082000000,4435000000,4906000000,4498000000,5724000000,8648000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1800/000091205795001314/0000912057-95-001314-index.html,- -,https://www.sec.gov/Archives/edgar/data/1800/000091205797008391/0000912057-97-008391-index.html,https://www.sec.gov/Archives/edgar/data/1800/000104746998009108/0001047469-98-009108-index.html,https://www.sec.gov/Archives/edgar/data/1800/000104746999008952/0001047469-99-008952-index.html,- -,https://www.sec.gov/Archives/edgar/data/1800/000091205701006039/0000912057-01-006039-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1800/000110465907013496/a07-1583_110k.htm,https://www.sec.gov/Archives/edgar/data/1800/000104746908001480/0001047469-08-001480-index.html,https://www.sec.gov/Archives/edgar/data/1800/000104746909001642/0001047469-09-001642-index.html,https://www.sec.gov/Archives/edgar/data/1800/000104746910001018/0001047469-10-001018-index.html,https://www.sec.gov/Archives/edgar/data/1800/000104746911001056/a2201962z10-k.htm,https://www.sec.gov/Archives/edgar/data/1800/000104746912001216/0001047469-12-001216-index.html,https://www.sec.gov/Archives/edgar/data/1800/000104746913001180/0001047469-13-001180-index.html,https://www.sec.gov/Archives/edgar/data/1800/000104746914001176/a2218043z10-k.htm,https://www.sec.gov/Archives/edgar/data/1800/000104746915001377/a2222655z10-k.htm,https://www.sec.gov/Archives/edgar/data/1800/000104746916010246/0001047469-16-010246-index.html,https://www.sec.gov/Archives/edgar/data/1800/000104746917000744/0001047469-17-000744-index.html,https://www.sec.gov/Archives/edgar/data/1800/000104746918000856/0001047469-18-000856-index.html,https://www.sec.gov/Archives/edgar/data/1800/000104746919000624/0001047469-19-000624-index.html,https://www.sec.gov/Archives/edgar/data/1800/000110465920023904/0001104659-20-023904-index.html,https://www.sec.gov/Archives/edgar/data/1800/000110465921025751/0001104659-21-025751-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465922025141/0001104659-22-025141-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
