,https://roic.ai/company/DLX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,9300000,50100000,186000000,55800000,-162300000,-94100000,-118100000,95800000,22900000,36800000,-153800000,-110405000,-186747000,268019000,-293778000,-21901000,53665000,-185239000,356743000,-10908000,33002000,43274000,-67517000,107425000,-170391000,22400000,-276697000,407601000,-15350000,90800000,6268000,30547000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10578000,-1481000,-3962000,-6648000,-2915000,-14754000,-21095000,-4525000,-23414000,5279000,-16795000,5609000,-2709000,- -
79,Inventory,- -,- -,- -,- -,600000,-12500000,3700000,2000000,-11700000,-18000000,12900000,13400000,300000,3600000,400000,2079000,117000,1976000,1482000,3980000,-2030000,-505000,-779000,321000,2793000,-470000,-398000,-1629000,-1594000,-4353000,-339000,2244000,-644000,-3641000,4843000,-11281000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9768000,1868000,-5193000,3460000,228000,886000,12218000,-4528000,15888000,-7796000,4366000,5130000,-9518000,- -
81,Other Working Capital,- -,- -,- -,- -,94900000,145000000,331000000,386800000,224500000,130400000,12300000,108100000,131000000,167800000,14000000,-96405000,-283152000,-15133000,-308911000,-330812000,-277147000,-462386000,-105643000,-116551000,-83549000,-40275000,-107792000,-367000,-170758000,-148358000,-425055000,-17454000,-32804000,57996000,64264000,94811000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,-1600000,-21800000,-171100000,-41500000,187900000,55900000,146300000,43400000,156600000,13400000,23900000,123981000,200929000,-294463000,204597000,10423000,-168215000,239578000,-356902000,9285000,-12866000,-83710000,69863000,-113054000,175449000,-10004000,280663000,-423599000,25042000,-34237000,369494000,50826000,-600000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,233100000,267300000,268700000,281000000,223700000,193800000,209300000,290700000,295800000,294800000,220900000,253572000,270623000,257139000,181467000,312243000,174127000,239364000,244716000,199482000,205968000,212615000,235367000,244077000,261502000,280395000,307933000,319312000,338431000,339315000,286653000,217553000,210800000
84,CAPEX,- -,- -,- -,- -,-88400000,-64000000,-71500000,-64100000,-61000000,-126200000,-37300000,-92000000,-117500000,-121300000,-150700000,-48483000,-28775000,-40708000,-22034000,-43817000,-55653000,-41324000,-32328000,-35502000,-45905000,-44197000,-35506000,-35193000,-37459000,-41119000,-43261000,-46614000,-47450000,-62238000,-66595000,-73720000,-109100000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-95991000,- -,- -,- -,-624859000,-2888000,-16521000,-2316000,-100698000,-30825000,-98621000,-85641000,-34172000,-69709000,-105029000,-212990000,-270939000,-139223000,-214258000,-11605000,- -,-958500000
86,Purchases of Investments,- -,- -,- -,- -,-32900000,-75300000,-95100000,-120400000,-151400000,-13100000,- -,-18100000,-10600000,-52400000,-17900000,-40000000,-30000000,- -,- -,- -,- -,- -,-1057460000,- -,-4581000,-14000,-18000,- -,- -,- -,- -,- -,- -,-7807000,-7642000,-3918000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,4100000,7000000,112300000,102500000,149800000,69300000,44900000,22300000,- -,19200000,32800000,47627000,48608000,- -,- -,- -,- -,- -,1057460000,- -,914000,1970000,- -,- -,- -,- -,- -,- -,3500000,7807000,7642000,7764000,- -
88,Other Investing Activites,- -,- -,- -,- -,-11400000,2100000,27000000,-9300000,-133300000,-76700000,-128000000,111300000,38700000,117600000,135500000,40706000,-3330000,-3441000,-2849000,-2161000,18403000,27642000,23673000,-3210000,-3060000,4427000,-10620000,852000,6118000,10105000,5111000,6767000,2282000,1082000,2449000,2699000,1000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-128600000,-130200000,-27300000,-91300000,-195900000,-146700000,-120400000,23500000,-89400000,-36900000,-300000,-96141000,-13497000,-44149000,-24883000,-670837000,-40138000,-30203000,-10971000,-135773000,-81818000,-136170000,-131785000,-68513000,-101050000,-136043000,-251140000,-310786000,-180891000,-275414000,-75751000,-56093000,-1066600000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8125000,-77987000,-19693000,-215030000,-291538000,-1555000,-254403000,-208062000,-442189000,-454165000,-1078853000,-268000000,-352500000,- -
91,Common Stock Issued,- -,- -,- -,- -,17300000,20300000,29400000,32200000,28500000,25100000,25000000,28100000,23700000,26200000,29200000,8064000,68723000,30869000,23869000,18923000,11247000,8936000,15923000,2801000,1972000,3267000,7671000,- -,- -,- -,- -,- -,- -,- -,- -,- -,16800000
92,Common Stock Repurchased,- -,- -,- -,- -,-28900000,-60800000,-46200000,-57000000,-89200000,-39600000,-34700000,-48100000,-56300000,-60300000,-314900000,- -,-345399000,-172803000,-507126000,-26637000,- -,- -,-11288000,-21847000,-1319000,-2999000,-23620000,-27155000,-48798000,-60119000,-59952000,-55224000,-65000000,-200000000,-118547000,-14000000,- -
93,Dividends Paid,- -,- -,- -,- -,-83700000,-93100000,-102500000,-112500000,- -,-120500000,-122100000,-122000000,-121300000,-119700000,-113500000,-107195000,-101773000,-92940000,-80453000,-74302000,-81271000,-66973000,-52048000,-51422000,-51279000,-51435000,-51126000,-50918000,-50711000,-57603000,-59755000,-58720000,-58098000,-56669000,-51742000,-50746000,-51600000
94,Other Financing Activites,- -,- -,- -,- -,-11900000,-2500000,97800000,-1600000,-128200000,3000000,27400000,-43300000,-23600000,-6600000,50600000,-60794000,50162000,137168000,285239000,451979000,-72792000,-146550000,-177477000,10912000,68000,-1681000,190403000,210101000,18767000,172780000,281080000,560408000,400314000,1295697000,251495000,306691000,947800000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-107200000,-136100000,-21500000,-138900000,-188900000,-132000000,-104400000,-185300000,-177500000,-160400000,-348600000,-159925000,-328287000,-97706000,-278471000,369963000,-142816000,-204587000,-224890000,-67681000,-128545000,-72541000,-91702000,-159510000,-82297000,-199345000,-46689000,4275000,-176949000,-39825000,-186794000,-110555000,913000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1155000,202000,158000,1161000,-2053000,1594000,690000,-576000,694000,-2501000,-4555000,-9218000,1346000,2075000,-7636000,5444000,3693000,-1100000
97,Net Change In Cash,- -,- -,- -,- -,-107200000,-136100000,-21500000,-138900000,-188900000,-85000000,-104400000,-185300000,-177500000,97500000,-127900000,-2494000,-71161000,115284000,-121887000,12524000,-8625000,4732000,10016000,-6025000,-2801000,4594000,11304000,16748000,75654000,-59548000,886000,14147000,-17334000,16440000,29552000,54598000,56100000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,29100000,- -,- -,- -,268900000,140500000,69762000,9571000,124855000,2968000,15492000,6867000,11599000,21615000,15590000,12789000,17383000,28687000,45435000,121089000,61541000,62427000,76574000,59240000,145259000,174811000,229409000,285500000
99,Cash at the Beginning of Period,- -,- -,- -,- -,6300000,3500000,4500000,224400000,275200000,114100000,29100000,13700000,142600000,171400000,268400000,72256000,80732000,9571000,124855000,2968000,15492000,6867000,11599000,21615000,15590000,12789000,17383000,28687000,45435000,121089000,61541000,62427000,76574000,128819000,145259000,174811000,229400000
100,Free Cash Flow,- -,- -,- -,- -,144700000,203300000,197200000,216900000,162700000,67600000,172000000,198700000,178300000,173500000,70200000,205089000,241848000,216431000,159433000,268426000,118474000,198040000,212388000,163980000,160063000,168418000,199861000,208884000,224043000,239276000,264672000,272698000,290981000,277077000,220058000,143833000,101700000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/27996/000089710197000381/0000897101-97-000381-index.html,- -,https://www.sec.gov/Archives/edgar/data/27996/000089710199000319/0000897101-99-000319-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/27996/000104596902000507/0001045969-02-000507-index.html,https://www.sec.gov/Archives/edgar/data/27996/000089710103000235/deluxe031250_10k.htm,https://www.sec.gov/Archives/edgar/data/27996/000089710104000509/deluxe040989_10k.htm,https://www.sec.gov/Archives/edgar/data/27996/000089710105000730/deluxe050979_10k.htm,https://www.sec.gov/Archives/edgar/data/27996/000089710106000492/deluxe060594_10k.htm,https://www.sec.gov/Archives/edgar/data/27996/000089710107000382/deluxe070505_10k.htm,https://www.sec.gov/Archives/edgar/data/27996/000095013708002616/c23618e10vk.htm,https://www.sec.gov/Archives/edgar/data/27996/000095013709001188/0000950137-09-001188-index.html,https://www.sec.gov/Archives/edgar/data/27996/000095012310014487/0000950123-10-014487-index.html,https://www.sec.gov/Archives/edgar/data/27996/000114036111011194/form10k.htm,https://www.sec.gov/Archives/edgar/data/27996/000114036112010738/0001140361-12-010738-index.html,https://www.sec.gov/Archives/edgar/data/27996/000002799613000005/0000027996-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/27996/000002799614000013/a2013123110-k.htm,https://www.sec.gov/Archives/edgar/data/27996/000002799615000005/a2014123110-k.htm,https://www.sec.gov/Archives/edgar/data/27996/000002799616000050/0000027996-16-000050-index.html,https://www.sec.gov/Archives/edgar/data/27996/000002799617000028/0000027996-17-000028-index.html,https://www.sec.gov/Archives/edgar/data/27996/000002799618000034/0000027996-18-000034-index.html,https://www.sec.gov/Archives/edgar/data/27996/000002799619000036/0000027996-19-000036-index.html,https://www.sec.gov/Archives/edgar/data/27996/000002799620000022/0000027996-20-000022-index.html,https://www.sec.gov/Archives/edgar/data/27996/000002799621000033/0000027996-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/27996/000002799622000078/0000027996-22-000078-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
