,https://roic.ai/company/GLT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2390000,21064000,13606000,6953000,24822000,-4175000,26042000,-8174000,13065000,13774000,10337000,-7234000,- -
81,Other Working Capital,- -,- -,- -,- -,26300000,61000000,79600000,33400000,99400000,31200000,76400000,101900000,87600000,115000000,135496000,167440000,31113000,78432000,59232000,94445000,83679000,181748000,175856000,201717000,333946000,289544000,211173000,267950000,298215000,294891000,248047000,171248000,237795000,236484000,246829000,219582000,613723000
82,Other Non-Cash Items,- -,- -,- -,- -,-16800000,-37200000,-15100000,29600000,-75000000,260100000,-48200000,-41400000,15500000,-10800000,-38400000,-26915000,139004000,-73653000,-10517000,-120693000,-38642000,-151555000,-21253000,-94200000,-73421000,169021000,169889000,-7621000,80360000,35215000,110670000,187521000,4561000,174379000,133419000,54758000,-401078000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,69300000,125700000,110200000,81500000,45400000,46300000,115800000,96600000,85200000,100400000,81658000,103408000,63899000,74342000,46752000,39584000,42868000,-28427000,100332000,53425000,163868000,168005000,140307000,112846000,173635000,99577000,133743000,116110000,104262000,-5952000,102835000,108993000,- -
84,CAPEX,- -,- -,- -,- -,-56900000,-35400000,-46600000,-90300000,-112800000,-83500000,-25800000,-37500000,-57700000,-188000000,-24160000,-29215000,-47845000,-51152000,-66758000,-18587000,-31024000,-44460000,-28960000,-52469000,-26257000,-36491000,-64491000,-58752000,-103047000,-66046000,-99889000,-160158000,-132304000,-42129000,-27765000,-28136000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7399000,- -,- -,- -,- -,- -,- -,-158442000,-7923000,- -,- -,-228290000,- -,- -,-210911000,-8015000,-224000,- -,- -,-178905000,-1383000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-27200000,- -,- -,-700000,-154400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,158000000,- -,- -,- -,- -,22100000,2900000,- -,- -,158500000,401000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,7200000,-5500000,-4900000,4500000,3500000,3400000,-5700000,2000000,1000000,300000,1929000,143000,17269000,1498000,4331000,60696000,22995000,21071000,41616000,19279000,38801000,564000,47661000,10047000,1522000,4472000,22859000,-730000,-15000,3394000,2035000,1363000,-489766000
89,Cash Used for Investing Activites,- -,- -,- -,- -,108300000,-40900000,-51500000,-85800000,-136500000,-58000000,-28600000,-36200000,-211100000,-29200000,-29229000,-29072000,-30576000,-49654000,-62427000,42109000,-8029000,-181831000,4733000,-33190000,12544000,-264217000,-16830000,-48705000,-312436000,-69589000,-77254000,-160888000,-132319000,-217640000,-27113000,-26773000,-489766000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-58733000,-22548000,-141056000,-232131000,- -,-30720000,-27523000,-5314000,-9771000,-66515000,-294722000,-76638000,- -
91,Common Stock Issued,- -,- -,- -,- -,1500000,1700000,1900000,2100000,2400000,2400000,2600000,1600000,3300000,1100000,- -,- -,2960000,10491000,541000,917000,1414000,7498000,7551000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-25500000,-33800000,-17300000,-19700000,-4300000,- -,-19100000,-19100000,-11300000,-4300000,- -,-382000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48033000,-5675000,- -,-12180000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-23900000,-25800000,-27100000,-29900000,-30800000,- -,-30800000,-30000000,-29600000,-29400000,-29510000,-29624000,-29876000,-30307000,-26879000,-15782000,-15839000,-16023000,-16350000,-16469000,-16596000,-16746000,-16611000,-15608000,-16965000,-18696000,-20443000,-21589000,-22480000,-22760000,-22936000,-23492000,- -
94,Other Financing Activites,- -,- -,- -,- -,-131600000,-1100000,- -,10200000,139900000,-6800000,-24100000,100000,198600000,-54200000,2828000,-10136000,-21794000,-64789000,23876000,-44888000,-733000,181913000,-90572000,3590000,- -,98975000,25560000,247925000,180140000,10715000,-50000,23884000,113839000,-2151000,244884000,-176000,462352000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-179500000,-59000000,-42500000,-37300000,107200000,-4400000,-71400000,-47400000,161000000,-86800000,-26682000,-40142000,-48710000,-84605000,-2462000,-59753000,-15158000,173388000,-99371000,-12879000,-75329000,59681000,-180140000,-5489000,163175000,-50881000,-48016000,-3019000,81588000,-91426000,-72774000,-100306000,462352000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-400000,-619000,323000,336000,490000,1484000,2445000,-2190000,1413000,2154000,-4955000,2103000,-3101000,-848000,750000,829000,-2152000,-3006000,-2063000,7244000,-5564000,-269000,5163000,-5418000
97,Net Change In Cash,- -,- -,- -,- -,-179500000,-59000000,-42500000,-37300000,107200000,-4400000,-71400000,-47400000,161000000,-86800000,25128000,34517000,-15051000,-59427000,-16653000,24385000,17491000,-35457000,7848000,2401000,103186000,-39632000,-57511000,59402000,25203000,-23045000,5467000,-49860000,60775000,26466000,-16484000,-26620000,49233000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76035000,110552000,95501000,36074000,15566000,39951000,57442000,21985000,29833000,32234000,135420000,95788000,38277000,97679000,122882000,99837000,105304000,55444000,116219000,142685000,126201000,99581000,148814000
99,Cash at the Beginning of Period,- -,- -,- -,- -,4700000,2800000,28500000,44800000,3100000,19200000,3100000,18900000,31800000,66900000,50907000,76035000,110552000,95501000,32219000,15566000,39951000,57442000,21985000,29833000,32234000,135420000,95788000,38277000,97679000,122882000,99837000,105304000,55444000,116219000,142685000,126201000,99581000
100,Free Cash Flow,- -,- -,- -,- -,12400000,90300000,63600000,-8800000,-67400000,-37200000,90000000,59100000,27500000,-87600000,57498000,74193000,16054000,23190000,-20006000,20997000,11844000,-72887000,71372000,956000,137611000,131514000,75816000,54094000,70588000,33531000,33854000,-44048000,-28042000,-48081000,75070000,80857000,- -
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/41719/000089322095000198/0000893220-95-000198-index.html,https://www.sec.gov/Archives/edgar/data/41719/000089322096000452/0000893220-96-000452-index.html,https://www.sec.gov/Archives/edgar/data/41719/000089322097000640/0000893220-97-000640-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/41719/000089322001000284/0000893220-01-000284-index.html,https://www.sec.gov/Archives/edgar/data/41719/000089322002000325/0000893220-02-000325-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/41719/000089322005000600/w06428e10vk.htm,https://www.sec.gov/Archives/edgar/data/41719/000089322006000522/w18389e10vk.htm,https://www.sec.gov/Archives/edgar/data/41719/000089322007000775/w31558e10vk.htm,https://www.sec.gov/Archives/edgar/data/41719/000089322008000703/w47335e10vk.htm,https://www.sec.gov/Archives/edgar/data/41719/000089322009000541/0000893220-09-000541-index.html,https://www.sec.gov/Archives/edgar/data/41719/000095012310025244/0000950123-10-025244-index.html,https://www.sec.gov/Archives/edgar/data/41719/000095012311024824/w81919e10vk.htm,- -,https://www.sec.gov/Archives/edgar/data/41719/000119312513096334/0001193125-13-096334-index.html,https://www.sec.gov/Archives/edgar/data/41719/000119312514080641/d656787d10k.htm,https://www.sec.gov/Archives/edgar/data/41719/000119312515070196/d852804d10k.htm,https://www.sec.gov/Archives/edgar/data/41719/000119312516481956/0001193125-16-481956-index.html,https://www.sec.gov/Archives/edgar/data/41719/000156459017002406/0001564590-17-002406-index.html,https://www.sec.gov/Archives/edgar/data/41719/000156459018003072/0001564590-18-003072-index.html,https://www.sec.gov/Archives/edgar/data/41719/000156459019004077/0001564590-19-004077-index.html,https://www.sec.gov/Archives/edgar/data/41719/000156459020006478/0001564590-20-006478-index.html,https://www.sec.gov/Archives/edgar/data/41719/000156459021008961/0001564590-21-008961-index.htm,https://www.sec.gov/Archives/edgar/data/41719/000004171922000012/0000041719-22-000012-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
