,https://roic.ai/company/THC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
73,Net Income,- -,- -,- -,- -,143000000,242000000,277000000,104000000,160000000,-425100000,183000000,349800000,-254000000,261000000,249000000,302000000,643000000,785000000,-1477000000,-2640000000,-708000000,-803000000,-89000000,25000000,187000000,1143000000,82000000,152000000,-134000000,12000000,-140000000,-192000000,-704000000,111000000,-232000000,399000000,914000000
74,Depreciation and Amortization,- -,- -,- -,- -,157000000,170000000,172000000,196000000,199000000,198000000,195000000,321000000,443000000,460000000,556000000,533000000,554000000,604000000,471000000,388000000,382000000,342000000,362000000,373000000,386000000,425000000,413000000,430000000,545000000,849000000,797000000,850000000,870000000,802000000,850000000,857000000,855000000
75,Deferred Income Tax,- -,- -,- -,- -,-12000000,33000000,1000000,-96000000,-32000000,-253000000,95000000,243000000,-219000000,131000000,101000000,2000000,48000000,90000000,-563000000,495000000,510000000,-68000000,2000000,-13000000,20000000,-952000000,81000000,92000000,-67000000,30000000,42000000,41000000,200000000,150000000,137000000,-128000000,250000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33000000,23000000,22000000,24000000,32000000,36000000,51000000,69000000,68000000,59000000,46000000,42000000,44000000,56000000
77,Change in Working Capital,- -,- -,- -,- -,-133000000,-197000000,97000000,-123000000,-68000000,-351000000,464000000,143000000,111000000,601000000,817000000,-258000000,-622000000,351000000,443000000,8000000,-646000000,-116000000,-588000000,248000000,-71000000,-103000000,-44000000,376000000,-136000000,358000000,-277000000,360000000,18000000,-462000000,97000000,1424000000,-737000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-651000000,-646000000,-744000000,-865000000,-868000000,-1060000000,-1896000000,-1632000000,-1604000000,-1448000000,-134000000,-247000000,195000000,-197000000
79,Inventory,- -,- -,- -,- -,-13000000,-17000000,-27000000,-13000000,-43000000,-21000000,1000000,-12000000,-7000000,- -,-114000000,51000000,45000000,-104000000,- -,-40000000,24000000,-45000000,-26000000,-2000000,-22000000,-17000000,-38000000,-59000000,-130000000,-314000000,-130000000,-83000000,-35000000,17000000,-94000000,-145000000,-52000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29000000,12000000,- -,- -,9000000,38000000,505000000,68000000,-51000000,-10000000,-152000000,36000000,1302000000,-584000000
81,Other Working Capital,- -,- -,- -,- -,446000000,249000000,346000000,223000000,155000000,-196000000,268000000,411000000,522000000,1123000000,1940000000,1682000000,1060000000,1411000000,1854000000,1862000000,1216000000,1100000000,512000000,760000000,689000000,586000000,542000000,918000000,782000000,1140000000,863000000,1223000000,1241000000,779000000,876000000,2300000000,68000000
82,Other Non-Cash Items,- -,- -,- -,- -,210000000,200000000,53000000,478000000,139000000,978100000,-944000000,-861800000,323000000,-1050000000,-1141000000,290000000,1195000000,485000000,1964000000,1667000000,1225000000,183000000,639000000,-458000000,-120000000,-63000000,-59000000,-489000000,345000000,-613000000,535000000,-569000000,757000000,402000000,339000000,811000000,230000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,365000000,448000000,600000000,559000000,398000000,147000000,-7000000,195000000,404000000,403000000,582000000,869000000,1818000000,2315000000,838000000,-82000000,763000000,-462000000,326000000,208000000,425000000,472000000,497000000,593000000,589000000,687000000,1026000000,558000000,1200000000,1049000000,1233000000,3407000000,1568000000
84,CAPEX,- -,- -,- -,- -,-388000000,-450000000,-378000000,-421000000,-319000000,-185000000,-1693000000,-370000000,-406000000,-1213000000,-1238000000,-657000000,-630000000,-889000000,-872000000,-558000000,-578000000,-643000000,-729000000,-547000000,-456000000,-476000000,-475000000,-508000000,-691000000,-933000000,-842000000,-875000000,-707000000,-617000000,-670000000,-540000000,-658000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-324000000,- -,- -,- -,- -,-36000000,-92000000,- -,-65000000,-84000000,-211000000,-1515000000,-428000000,-1074000000,-156000000,-118000000,-240000000,-25000000,-1177000000,-1220000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000000,-43000000,-43000000,-652000000,-26000000,-17000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-62000000,-44000000,-108000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,706000000,232000000,116000000,84000000,59000000,17000000,15000000,31000000,60000000,62000000,36000000,199000000,82000000,59000000,31000000
88,Other Investing Activites,- -,- -,- -,- -,-3000000,-119000000,37000000,84000000,20000000,571000000,180000000,102000000,-719000000,130000000,91000000,621000000,56000000,-14000000,539000000,549000000,229000000,307000000,191000000,159000000,232000000,37000000,-3000000,40000000,27000000,8000000,539000000,539000000,810000000,543000000,56000000,94000000,1241000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-391000000,-569000000,-341000000,-337000000,-299000000,386000000,-1513000000,-268000000,-1125000000,-1083000000,-1147000000,-36000000,-574000000,-1227000000,-333000000,-12000000,-392000000,-379000000,-520000000,-274000000,-125000000,-420000000,-503000000,-662000000,-2164000000,-1322000000,-1317000000,-430000000,21000000,-115000000,-619000000,-1608000000,-714000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,-1291000000,-886000000,-1208000000,-2021000000,-6419000000,-3113000000,-4864000000,-2049000000,-5109000000,-1262000000,-8771000000,-4033000000,-3221000000
91,Common Stock Issued,- -,- -,- -,- -,21000000,15000000,23000000,6000000,1000000,- -,- -,233000000,71000000,97000000,36000000,45000000,269000000,294000000,5000000,2000000,12000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-1000000,-99000000,- -,-150000000,-19000000,- -,- -,- -,- -,- -,- -,- -,- -,-715000000,-208000000,- -,- -,- -,- -,- -,- -,- -,-374000000,-418000000,-400000000,- -,-40000000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-49000000,-56000000,-62000000,-76000000,-78000000,-40000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32000000,-24000000,-14000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,72000000,313000000,-205000000,-4000000,24000000,-321000000,1362000000,-226000000,582000000,571000000,535000000,-772000000,-1586000000,-691000000,107000000,127000000,336000000,252000000,-18000000,2000000,1174000000,581000000,1320000000,2773000000,8143000000,3828000000,5358000000,2281000000,3783000000,128000000,8008000000,4418000000,2285000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,43000000,173000000,-244000000,-224000000,-72000000,-361000000,1362000000,7000000,653000000,668000000,571000000,-727000000,-1317000000,-1112000000,-96000000,129000000,348000000,252000000,-18000000,1000000,-117000000,-337000000,-286000000,320000000,1324000000,715000000,454000000,232000000,-1326000000,-1134000000,-763000000,385000000,-936000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,43000000,173000000,-244000000,-224000000,-72000000,-361000000,1362000000,7000000,653000000,668000000,571000000,106000000,-73000000,-24000000,409000000,35000000,719000000,-589000000,-212000000,-65000000,183000000,-285000000,-292000000,251000000,-251000000,80000000,163000000,360000000,-105000000,-200000000,-149000000,2184000000,-82000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,135000000,62000000,38000000,619000000,654000000,1373000000,784000000,572000000,507000000,690000000,405000000,113000000,364000000,113000000,193000000,356000000,716000000,611000000,411000000,262000000,2446000000,2364000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,32000000,49000000,101000000,116000000,114000000,141000000,313000000,155000000,103000000,35000000,23000000,29000000,135000000,62000000,210000000,619000000,654000000,1373000000,784000000,572000000,507000000,690000000,405000000,113000000,364000000,113000000,193000000,356000000,716000000,611000000,411000000,262000000,2446000000
100,Free Cash Flow,- -,- -,- -,- -,-23000000,-2000000,222000000,138000000,79000000,-38000000,-1700000000,-175000000,-2000000,-810000000,-656000000,212000000,1188000000,1426000000,-34000000,-640000000,185000000,-1105000000,-403000000,-339000000,-31000000,-4000000,22000000,85000000,-102000000,-246000000,184000000,-317000000,493000000,432000000,563000000,2867000000,910000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/70318/000089843094000634/0000898430-94-000634-index.html,https://www.sec.gov/Archives/edgar/data/70318/000089843095001700/0000898430-95-001700-index.html,https://www.sec.gov/Archives/edgar/data/70318/000091205796018792/0000912057-96-018792-index.html,https://www.sec.gov/Archives/edgar/data/70318/000091205797029143/0000912057-97-029143-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/70318/000091205700037746/0000912057-00-037746-index.htm,https://www.sec.gov/Archives/edgar/data/70318/000091205701529717/a2056090z10-k405.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/70318/000104746905005606/a2152529z10-k.htm,https://www.sec.gov/Archives/edgar/data/70318/000104746906003135/a2167731z10-k.htm,https://www.sec.gov/Archives/edgar/data/70318/000110465907014090/a07-2935_110k.htm,https://www.sec.gov/Archives/edgar/data/70318/000110465908012766/a08-2348_110k.htm,https://www.sec.gov/Archives/edgar/data/70318/000119312509035651/0001193125-09-035651-index.html,https://www.sec.gov/Archives/edgar/data/70318/000119312510036920/0001193125-10-036920-index.html,https://www.sec.gov/Archives/edgar/data/70318/000119312511046322/d10k.htm,https://www.sec.gov/Archives/edgar/data/70318/000110465912013589/0001104659-12-013589-index.html,https://www.sec.gov/Archives/edgar/data/70318/000110465913014113/0001104659-13-014113-index.html,https://www.sec.gov/Archives/edgar/data/70318/000110465914012768/a13-26042_110k.htm,https://www.sec.gov/Archives/edgar/data/70318/000155837015000132/thc-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/70318/000155837016003350/0001558370-16-003350-index.html,https://www.sec.gov/Archives/edgar/data/70318/000155837017001079/0001558370-17-001079-index.html,https://www.sec.gov/Archives/edgar/data/70318/000007031818000011/0000070318-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/70318/000007031819000017/0000070318-19-000017-index.html,https://www.sec.gov/Archives/edgar/data/70318/000007031820000014/0000070318-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/70318/000007031821000008/0000070318-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/70318/000007031822000013/0000070318-22-000013-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
