,https://roic.ai/company/RHI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-2600000,5300000,-1200000,-4600000,-47100000,-45500000,-70200000,-105100000,-68500000,-62800000,-79672000,18121000,140946000,5841000,-164405000,-21021000,21865000,148742000,52736000,135105000,-18367000,16640000,-25331000,-90985000,-115335000,6051000,77340000,-69003000,72916000,-73339000,79457000,-598626000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,5000000,13600000,17700000,11500000,14900000,25400000,42200000,54400000,82000000,155300000,147500000,267068000,275830000,165587000,123879000,161833000,327528000,376218000,411224000,447125000,240153000,175883000,256316000,289177000,309217000,340698000,438236000,442081000,452991000,572322000,519629000,596528000,- -
84,CAPEX,- -,- -,- -,- -,-3900000,-3300000,-800000,-1100000,-2300000,-4700000,-8400000,-18000000,-32000000,-71400000,-52600000,-73992000,-84695000,-48300000,-36492000,-32867000,-61751000,-92404000,-103301000,-73685000,-41248000,-35673000,-56535000,-50056000,-53725000,-62830000,-75057000,-82956000,-40753000,-42484000,-59464000,-33377000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3153000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14393000,- -,- -,-14668000,-2200000,-1160000,- -,- -,-15836000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-602000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92128000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-9200000,-5000000,-700000,-6400000,-11200000,-4500000,-1000000,-4600000,-3300000,- -,- -,- -,- -,-40564000,-19654000,-2139000,-7439000,-3618000,-12949000,-94801000,-45967000,-39097000,-63402000,-58633000,-97777000,-88641000,-103282000,-110035000,-77337000,-88509000,-102138000,25297000,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-13100000,-8300000,-1500000,-7500000,-13500000,-9200000,-9400000,-22600000,-35300000,-71400000,-52600000,-77145000,-84695000,-88864000,-56146000,-35006000,22336000,-96022000,-116250000,-94801000,-45967000,-39097000,-63402000,-73026000,-97777000,-88641000,-117950000,-112235000,-78497000,-88509000,-102138000,9461000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1980000,-105000,-113000,-91000,-107000,-4496000,-128000,-140000,-154000,-167000,-183000,-200000,-218000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,2600000,1900000,2100000,7900000,17500000,10300000,16700000,26900000,42200000,- -,- -,36334000,39303000,25259000,44331000,77000000,105373000,52386000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5614000,4253000,2506000,2796000
92,Common Stock Repurchased,- -,- -,- -,- -,-7400000,-3200000,- -,-700000,-1400000,-2100000,-3000000,-5400000,-20900000,-89200000,- -,-126623000,-118811000,-145665000,-33330000,-89601000,-262382000,-399817000,-452944000,-245497000,-149818000,-155460000,-168103000,-176794000,-167975000,-153821000,-271138000,-176031000,-231724000,-353509000,-277535000,-159172000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31095000,-47781000,-54403000,-65520000,-68608000,-72149000,-76591000,-80303000,-84129000,-89187000,-97604000,-107561000,-114164000,-121000000,-136423000,-145631000,-155935000,- -
94,Other Financing Activites,- -,- -,- -,- -,-17300000,-6600000,-18500000,-5600000,-6700000,-30700000,-1300000,-4200000,-1500000,-2200000,-109900000,24818000,-1082000,-202000,-66000,-71000,711000,49581000,14338000,31168000,29702000,44169000,22520000,51414000,41388000,21498000,10291000,2045000,- -,-5614000,-4253000,-2506000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-24700000,-7200000,-16600000,-4200000,-200000,-15300000,6000000,7100000,4500000,-49200000,-109900000,-101805000,-83559000,-106564000,-8137000,-76436000,-232452000,-299266000,-451740000,-284917000,-192370000,-187995000,-225977000,-209616000,-220270000,-230055000,-368548000,-288304000,-352891000,-490115000,-423366000,-315325000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9895000,-4337000,8191000,19287000,-22651000,9222000,552000,-2738000,1764000,-3041000,-10647000,-14280000,-5918000,12949000,-11872000,-226000,13284000,- -
97,Net Change In Cash,- -,- -,- -,- -,-24700000,-7200000,-16600000,-4200000,-200000,-15300000,6000000,7100000,4500000,-49200000,-15000000,88118000,107576000,-29841000,59596000,60286000,113075000,-10879000,-137479000,44756000,11038000,-50657000,-35801000,8299000,-11871000,11355000,-62542000,35624000,34552000,-18174000,-6101000,303948000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,151100000,239192000,346768000,316927000,376523000,436809000,458358000,447479000,310000000,354756000,365794000,315137000,279336000,287635000,275764000,287119000,224577000,260201000,294753000,276579000,270478000,574426000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,35800000,3100000,1200000,800000,600000,1800000,2600000,41300000,80200000,131300000,166100000,151074000,239192000,346768000,316927000,376523000,345283000,458358000,447479000,310000000,354756000,365794000,315137000,279336000,287635000,275764000,287119000,224577000,260201000,294753000,276579000,270478000,- -
100,Free Cash Flow,- -,- -,- -,- -,1100000,10300000,16900000,10400000,12600000,20700000,33800000,36400000,50000000,83900000,94900000,193076000,191135000,117287000,87387000,128966000,265777000,283814000,307923000,373440000,198905000,140210000,199781000,239121000,255492000,277868000,363179000,359125000,412238000,529838000,460165000,563151000,- -
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/315213/000091205796005084/0000912057-96-005084-index.html,- -,https://www.sec.gov/Archives/edgar/data/315213/0001047469-98-009798-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/315213/000091205702010203/a2066962z10-k405.htm,https://www.sec.gov/Archives/edgar/data/315213/000104746903010372/a2095565z10-k.htm,https://www.sec.gov/Archives/edgar/data/315213/000104746904006986/a2124746z10-k.htm,https://www.sec.gov/Archives/edgar/data/315213/000119312505035210/d10k.htm,https://www.sec.gov/Archives/edgar/data/315213/000119312506046180/d10k.htm,https://www.sec.gov/Archives/edgar/data/315213/000119312507038451/d10k.htm,https://www.sec.gov/Archives/edgar/data/315213/000119312508034558/d10k.htm,https://www.sec.gov/Archives/edgar/data/315213/000119312509033115/0001193125-09-033115-index.html,https://www.sec.gov/Archives/edgar/data/315213/000119312510034421/0001193125-10-034421-index.html,https://www.sec.gov/Archives/edgar/data/315213/000119312511038990/d10k.htm,https://www.sec.gov/Archives/edgar/data/315213/000119312512067457/0001193125-12-067457-index.html,https://www.sec.gov/Archives/edgar/data/315213/000119312513062356/0001193125-13-062356-index.html,- -,https://www.sec.gov/Archives/edgar/data/315213/000162828015000736/rhi10k123114.htm,https://www.sec.gov/Archives/edgar/data/315213/000162828016011322/0001628280-16-011322-index.html,https://www.sec.gov/Archives/edgar/data/315213/000162828017001192/0001628280-17-001192-index.html,https://www.sec.gov/Archives/edgar/data/315213/000162828018001911/0001628280-18-001911-index.html,https://www.sec.gov/Archives/edgar/data/315213/000162828019001488/0001628280-19-001488-index.html,https://www.sec.gov/Archives/edgar/data/315213/000031521320000029/0000315213-20-000029-index.html,https://www.sec.gov/Archives/edgar/data/315213/000031521321000025/0000315213-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/315213/000031521322000018/0000315213-22-000018-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
