,https://roic.ai/company/APD,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
74,Depreciation and Amortization,- -,- -,- -,- -,281200000,303200000,319100000,340200000,345700000,352800000,382000000,412000000,459100000,489400000,527200000,575700000,573000000,581000000,640200000,714900000,728300000,763000000,840000000,869000000,840300000,863400000,873900000,840800000,907000000,956900000,936400000,925900000,865800000,970700000,1082800000,1185000000,1321300000
75,Deferred Income Tax,- -,- -,- -,- -,15100000,19700000,24300000,20000000,-200000,9400000,66000000,87000000,94100000,62300000,58800000,-5500000,39000000,65200000,26800000,86200000,69000000,-2600000,14000000,36900000,-52300000,96200000,185700000,6900000,12800000,125500000,2900000,62900000,-38000000,185200000,107000000,165000000,94000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60400000,48600000,44800000,43800000,43500000,44000000,45700000,37600000,39900000,38800000,41200000,53500000,44500000
77,Change in Working Capital,- -,- -,- -,- -,-78800000,-97600000,162100000,43500000,-221000000,-80300000,91000000,387700000,-123600000,-451500000,505600000,-97800000,320700000,-166400000,224600000,-239800000,-182300000,146500000,200400000,-141900000,295500000,58100000,-121900000,-514400000,120300000,-1069100000,1771300000,2353700000,-643800000,53500000,3470800000,-691000000,16700000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,159000000,-142500000,-103500000,-55100000,4800000,-2700000,-29700000,-61700000,-73600000,-42800000,-69000000,43200000,-130500000
79,Inventory,- -,- -,- -,- -,-67200000,21800000,-37000000,-6900000,-68900000,-35000000,-58000000,-28000000,-13300000,-2700000,37000000,-57400000,2600000,55100000,-53200000,-27900000,-10300000,-103900000,-300000,60300000,-17700000,-65900000,-85100000,1300000,75000000,-23500000,8300000,32900000,6400000,-64200000,-3000000,-5200000,-47200000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,214300000,116700000,278800000,322300000,101300000,21000000,112000000,499700000,376100000,-75400000,430200000,332400000,653100000,486700000,711300000,471500000,289200000,435700000,636100000,494200000,789700000,847800000,725900000,211500000,331800000,-737300000,1034000000,3387700000,2743900000,2797400000,6268200000,5577200000,-69000000
82,Other Non-Cash Items,- -,- -,- -,- -,5200000,72300000,-135100000,-75500000,259000000,221300000,-189000000,-546700000,174400000,326700000,-453200000,577400000,-408900000,58700000,-252900000,-79500000,49100000,-284100000,-592600000,5900000,-452300000,-573000000,-453500000,254300000,-510400000,1138100000,-1596400000,-1383700000,-1656400000,-204100000,-3491900000,665500000,-233700000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,444800000,527500000,619300000,599200000,584400000,751000000,718000000,756000000,1033300000,973700000,1088900000,1174000000,1084000000,1063900000,1036000000,1085900000,1375800000,1346200000,1497400000,1679600000,1322900000,1522400000,1753200000,1798700000,1567400000,2187100000,2437800000,2627500000,1567900000,2541900000,2969900000,3264700000,3341900000
84,CAPEX,- -,- -,- -,- -,-413700000,-467500000,-506400000,-427500000,-490600000,-611100000,-870000000,-951000000,-870200000,-770900000,-888900000,-767700000,-708300000,-627600000,-612900000,-705500000,-929500000,-1261300000,-1055000000,-1085100000,-1179100000,-1030900000,-1351700000,-1521000000,-1524200000,-1684200000,-1614800000,-1055800000,-1039700000,-1568400000,-1989700000,-2509000000,-2464200000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47000000,-6000000,- -,-182200000,-83000000,-170400000,-59200000,-114800000,-529600000,-84600000,-97200000,-127000000,-539100000,-72000000,-57200000,-42000000,-56600000,-1038800000,-223600000,2000000,-38800000,- -,-16300000,-345400000,-138900000,-207700000,-86500000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-48600000,- -,-41900000,-6000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22500000,-200000,-2200000,- -,-69600000,- -,- -,- -,- -,- -,- -,-2692600000,-530300000,-172100000,-2865500000,-2100700000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51000000,- -,176300000,- -,- -,- -,- -,- -,2290700000,748200000,190500000,1938000000,1875200000
88,Other Investing Activites,- -,- -,- -,- -,-59100000,-82300000,-116800000,73400000,-117800000,-22100000,7000000,-122000000,-232700000,268800000,-66700000,-289500000,489800000,248800000,95900000,27400000,53300000,261800000,116800000,-183500000,144900000,86000000,19800000,124600000,50800000,44200000,53900000,83800000,40200000,46800000,-3200000,84200000,43300000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-472800000,-549800000,-623200000,-402700000,-608400000,-675100000,-916000000,-1079000000,-1102900000,-684300000,-1038600000,-1227600000,-277700000,-493600000,-1046600000,-762700000,-973400000,-1149000000,-1477500000,-1342800000,-1040400000,-1056500000,-1212200000,-2435200000,-1697000000,-1638000000,-1599700000,-972000000,-1417700000,-1649100000,-2113400000,-3560000000,-2732900000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-205600000,-511000000,-187100000,-490600000,-437500000,-608600000,-708700000,-485000000,-483900000,-418700000,-428600000,-406600000,-462900000
91,Common Stock Issued,- -,- -,- -,- -,5900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87100000,103800000,76500000,146000000,137500000,102900000,202800000,87400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-2500000,- -,- -,- -,- -,-85600000,-124000000,-100000000,-135000000,-365000000,-24600000,- -,-87200000,- -,- -,- -,-500000000,-482300000,-575200000,-793400000,- -,- -,-649200000,-53100000,-461600000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-69300000,-76700000,-84000000,-93300000,-101600000,-107800000,-115000000,-117000000,-123800000,-134000000,-146200000,-155700000,-165200000,-175600000,-188600000,-218900000,-276200000,-293600000,-312000000,-349300000,-373300000,-398700000,-456700000,-514900000,-565600000,-627700000,-677500000,-721200000,-787900000,-897800000,-994000000,-1103600000,-1256700000
94,Other Financing Activites,- -,- -,- -,- -,107600000,118600000,120300000,-97800000,258400000,-22800000,421000000,533000000,302300000,219100000,119200000,235800000,-667600000,-313200000,-70600000,-183900000,146000000,250400000,669500000,356800000,680400000,330000000,808500000,980200000,1580100000,574900000,440800000,935100000,-699600000,-43300000,52100000,4794900000,298700000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,41700000,41900000,36300000,-191100000,156800000,-216200000,182000000,316000000,43500000,-279900000,-51600000,80100000,-832900000,-385000000,-182700000,-256800000,-492700000,-422600000,-14900000,-698500000,101500000,-579700000,-484500000,-78400000,115400000,-661400000,-945400000,-271100000,-1971400000,-1359800000,-1370500000,3284700000,-1420900000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-400000,5300000,-2400000,7000000,-11200000,1800000,3000000,-1000000,-100000,-500000,1400000,6000000,-1300000,2200000,15800000,3700000,-200000,2500000,7600000,1700000,700000,-100000,-8300000,-18600000,11400000,-11300000,-22900000,7500000,13400000,-33900000,-28600000,14900000,27800000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-138500000,-13000000,-8000000,-26200000,9000000,100000,32500000,-27900000,187500000,-177500000,70100000,-90500000,-20600000,7100000,63000000,384700000,-113900000,48200000,31900000,-4000000,-113800000,-130200000,1294900000,1942800000,-482300000,-542600000,3004300000,-784100000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,99900000,87000000,79000000,52500000,61500000,61600000,94100000,66200000,253700000,76200000,146300000,55800000,35200000,42300000,103500000,488200000,374300000,422500000,454400000,450400000,336600000,206400000,1501300000,3273600000,2791300000,2248700000,5253000000,4468900000
99,Cash at the Beginning of Period,- -,- -,- -,- -,36200000,49500000,74400000,104400000,116800000,238400000,100000000,87000000,78700000,52500000,61500000,61600000,94100000,66200000,253700000,76200000,146300000,55800000,35200000,40500000,103500000,488200000,374300000,422500000,454400000,450400000,336600000,206400000,1330800000,3273600000,2791300000,2248700000,5253000000
100,Free Cash Flow,- -,- -,- -,- -,31100000,60000000,112900000,171700000,93800000,139900000,-152000000,-195000000,163100000,202800000,200000000,406300000,375700000,436300000,423100000,380400000,446300000,84900000,442400000,594500000,143800000,491500000,401500000,277700000,43200000,502900000,823000000,1571700000,528200000,973500000,980200000,755700000,877700000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/2969/000000296901500028/0000002969-01-500028-index.html,https://www.sec.gov/Archives/edgar/data/2969/000000296902000029/0000002969-02-000029-index.html,- -,https://www.sec.gov/Archives/edgar/data/2969/000095012304014695/y68942e10vk.htm,https://www.sec.gov/Archives/edgar/data/2969/000095012305013994/y14674e10vk.htm,https://www.sec.gov/Archives/edgar/data/2969/000095012306015112/y27203e10vk.htm,https://www.sec.gov/Archives/edgar/data/2969/000095012307016020/0000950123-07-016020-index.html,https://www.sec.gov/Archives/edgar/data/2969/000095012308016491/0000950123-08-016491-index.html,https://www.sec.gov/Archives/edgar/data/2969/000095012309066095/0000950123-09-066095-index.html,https://www.sec.gov/Archives/edgar/data/2969/000119312510266784/0001193125-10-266784-index.html,https://www.sec.gov/Archives/edgar/data/2969/000119312511319887/0001193125-11-319887-index.html,https://www.sec.gov/Archives/edgar/data/2969/000119312512476878/0001193125-12-476878-index.html,https://www.sec.gov/Archives/edgar/data/2969/000119312513453925/0001193125-13-453925-index.html,https://www.sec.gov/Archives/edgar/data/2969/000119312514423115/0001193125-14-423115-index.html,https://www.sec.gov/Archives/edgar/data/2969/000119312515386399/0001193125-15-386399-index.html,https://www.sec.gov/Archives/edgar/data/2969/000119312516773346/0001193125-16-773346-index.html,https://www.sec.gov/Archives/edgar/data/2969/000000296917000039/0000002969-17-000039-index.html,https://www.sec.gov/Archives/edgar/data/2969/000000296918000044/0000002969-18-000044-index.html,https://www.sec.gov/Archives/edgar/data/2969/000000296919000051/0000002969-19-000051-index.html,https://www.sec.gov/Archives/edgar/data/2969/000000296920000049/0000002969-20-000049-index.htm,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
