,https://roic.ai/company/CVM,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,- -,- -,- -,-100000,-200000,-300000,-200000,-500000,-300000,-300000,-100000,-200000,200000,- -,-98500,- -,-39439,-85697,-121430,- -,- -,-7105220,1180977,1065810,21855,-101349,-78959,-30728,-34887,-20132,-2819,-6477,-57125,-158060,-39975,-6168405
89,Cash Used for Investing Activites,- -,- -,- -,-100000,-200000,-300000,-10300000,1100000,4200000,2100000,-6400000,5400000,-8900000,6200000,-946841,3014730,541600,-92602,-173605,-153702,-90704,-7424563,-2523123,368717,-503940,-318110,-133596,-132761,-138864,-93531,-34224,-17002,-58140,-335839,-2694881,-15184734
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2954250,- -,- -,-4950000,-6858,-8137,-8452,-1112270,-3968,-6312,-5121,-800241,-1079392
91,Common Stock Issued,- -,- -,- -,400000,400000,600000,14900000,- -,- -,2000000,10900000,600000,14100000,100000,13637467,590351,172713,771582,8544655,549785,1927624,15644966,1051945,32242716,- -,3936284,14289518,9788769,28428641,21148378,21420301,10519306,11596652,291997,13992439,47363426
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4050000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,300000,500000,600000,- -,- -,800000,- -,600000,- -,- -,- -,- -,-143970,3813016,1533859,-1462933,367272,12961658,-417670,-868795,9712384,6308874,679588,2664539,- -,3118387,- -,- -,2745000,9797964,14504378,11842979,8238955
95,Cash Used/Provided by Financing Activities,- -,- -,- -,700000,900000,1200000,14900000,- -,800000,2000000,11400000,500000,14100000,100000,13637467,446381,3985729,2305441,7081722,917057,14889282,15227296,183150,39000850,6308874,565872,12004057,9781911,31538891,21139926,20308031,13260338,21388304,14791254,25035177,54522989
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,4161619,-5125273,295286,-325969,2510324,-2306017,6122751,2912656,-10281763,32856258,-6999273,-22307649,-319552,-3899430,8472008,-2786938,-2808686,-548558,7940606,-1865270,7064135,20551239
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2700000,6909263,1783990,2079276,1753307,4263631,1957614,8080365,10993021,711258,33567516,26568243,4260594,3941042,41612,8513620,5726682,2917996,2369438,10310044,8444774,15508909,36060148
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,100000,3200000,2300000,3400000,3900000,3500000,3500000,2800000,2747644,6909263,1783990,2079276,1753307,4263631,1957614,8080365,10993021,711258,33567516,26568243,4260594,3941042,41612,8513620,5726682,2917996,2369438,10310044,8444774,15508909
100,Free Cash Flow,- -,- -,- -,-500000,-700000,-900000,-1400000,-2200000,-5000000,-3700000,-5300000,-6200000,-6000000,-6400000,-8813050,-8790718,-4247356,-2545713,-4449968,-3223074,-8766531,-5209420,-11445890,-7263692,-13355342,-22894878,-12323609,-13681341,-23066883,-23926864,-23116717,-13808896,-13447698,-16656524,12854003,-27803345
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/725363/000100487896000111/0001004878-96-000111-index.html,https://www.sec.gov/Archives/edgar/data/725363/000100487897000096/0001004878-97-000096-index.html,- -,https://www.sec.gov/Archives/edgar/data/725363/000100487899000059/0001004878-99-000059-index.html,https://www.sec.gov/Archives/edgar/data/725363/000100487800000202/0001004878-00-000202-index.html,https://www.sec.gov/Archives/edgar/data/725363/000100487801500141/0001004878-01-500141-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/725363/000100487809000010/0001004878-09-000010-index.htm,- -,https://www.sec.gov/Archives/edgar/data/725363/000100487810000213/0001004878-10-000213-index.html,https://www.sec.gov/Archives/edgar/data/725363/000135448811005189/0001354488-11-005189-index.htm,https://www.sec.gov/Archives/edgar/data/725363/000135448812006445/0001354488-12-006445-index.htm,https://www.sec.gov/Archives/edgar/data/725363/000135448813007041/0001354488-13-007041-index.htm,https://www.sec.gov/Archives/edgar/data/725363/000135448814006305/0001354488-14-006305-index.htm,https://www.sec.gov/Archives/edgar/data/725363/000135448815005519/0001354488-15-005519-index.htm,https://www.sec.gov/Archives/edgar/data/725363/000165495416004867/0001654954-16-004867-index.htm,https://www.sec.gov/Archives/edgar/data/725363/000165495417011928/0001654954-17-011928-index.htm,https://www.sec.gov/Archives/edgar/data/725363/000165495418014104/0001654954-18-014104-index.htm,https://www.sec.gov/Archives/edgar/data/725363/000165495419013971/0001654954-19-013971-index.htm,https://www.sec.gov/Archives/edgar/data/725363/000165495420013975/0001654954-20-013975-index.htm,https://www.sec.gov/Archives/edgar/data/725363/000165495421013417/0001654954-21-013417-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
