,https://roic.ai/company/GE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3162000000,- -,2848000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,166250000000,195470000000,238270000000,265892000000,312780000000,357429000000,381578000000,434984000000,506065000000,562523000000,623663000000,555934000000,577347000000,671774000000,684157000000,656682000000,627018000000,599108000000,556858000000,519777000000,511516000000,392554000000,287692000000,295959000000,257648000000,236187000000,216378000000,157262000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,6000000,6000000,6000000,6000000,6000000,6000000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,594000000,669000000,669000000,669000000,669000000,669000000,669000000,669000000,669000000,702000000,702000000,702000000,702000000,702000000,702000000,702000000,702000000,702000000,702000000,702000000,702000000,702000000,15000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,30793000000,34528000000,38670000000,43338000000,48553000000,54484000000,61572000000,68701000000,75553000000,82796000000,90795000000,98117000000,107798000000,117362000000,122123000000,126363000000,131137000000,137786000000,144055000000,149051000000,155333000000,140020000000,139532000000,125682000000,93109000000,87732000000,92247000000,85110000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18205000000,-20267000000,-21989000000,-23341000000,-16616000000,-27337000000,-27975000000,-29147000000,-3177000000,2815000000,5049000000,836000000,1646000000,8200000000,-18759000000,-15265000000,-17855000000,-23974000000,-20230000000,-9120000000,-18172000000,-16529000000,-18599000000,-14395000000,-14414000000,-11732000000,-9749000000,1582000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,15646000000,18304000000,17451000000,18123000000,11218000000,20030000000,21162000000,19816000000,-9339000000,-7100000000,13771000000,9732000000,2201000000,-10672000000,599000000,5491000000,4952000000,1924000000,-1501000000,-10067000000,-9704000000,-25925000000,-45813000000,-47732000000,-48422000000,-48392000000,-47654000000,-46403000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,28234000000,32565000000,34132000000,38120000000,43155000000,47771000000,55428000000,60039000000,63706000000,79180000000,110284000000,109354000000,112314000000,115559000000,104665000000,117291000000,118936000000,116438000000,123026000000,130566000000,128159000000,98274000000,75828000000,64263000000,30981000000,28316000000,35552000000,40310000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,194484000000,228035000000,272402000000,304012000000,355935000000,405200000000,437006000000,495023000000,569771000000,641703000000,733947000000,665288000000,689661000000,787333000000,788822000000,773973000000,745954000000,715546000000,679884000000,650343000000,639675000000,490828000000,363520000000,360222000000,288629000000,264503000000,251930000000,197572000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5473000000,5780000000,16383000000,8054000000,7578000000,8004000000,8947000000,7845000000,5262000000,1696000000,5444000000,6217000000,8674000000,1864000000,1663000000,17723000000,20500000000,1545000000,1522000000,1302000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,194484000000,228035000000,272402000000,304012000000,355935000000,405200000000,437006000000,495023000000,575244000000,647483000000,750330000000,673342000000,697239000000,795337000000,797769000000,781818000000,751216000000,717242000000,685328000000,656560000000,648349000000,492692000000,365183000000,377945000000,309129000000,266048000000,253452000000,198874000000
