,https://roic.ai/company/KWR,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,-5200000,- -,5300000,5100000,-3100000,1700000,11400000,-15700000,-1800000,-14000000,-3400000,27700000,-4600000,5800000,1481000,-5557000,-9895000,190000,7850000,33536000,16957000,11088000,9812000,-18031000,15360000,1976000,17118000,27973000,28626000,14681000,7759000,2786000,15197000,88998000,53729000,-136346000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6816000,-4469000,-31558000,779000,-11837000,-24944000,-188000,-11705000,-1941000,-2822000,19926000,17170000,-67473000
79,Inventory,- -,- -,- -,- -,- -,- -,-900000,-1600000,1400000,1400000,400000,-2100000,-2800000,100000,-1900000,-1100000,-600000,-650000,2762000,-3101000,-4692000,-7559000,-5821000,-4146000,-5182000,-73000,9765000,-7153000,-9281000,3228000,406000,-5484000,1292000,-1870000,-6135000,-10548000,10844000,-3854000,-84428000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2562000,11301000,2999000,-9040000,14566000,12381000,190000,- -,- -,- -
81,Other Working Capital,- -,- -,42300000,37100000,- -,42400000,47500000,44400000,46100000,57500000,41800000,40000000,26000000,22600000,50300000,45700000,51500000,52981000,47424000,37529000,37719000,45569000,79105000,96062000,107150000,116962000,98931000,114291000,152900000,170018000,197991000,226617000,241298000,249057000,251843000,267040000,356038000,409767000,3997000
82,Other Non-Cash Items,- -,- -,-10200000,-6400000,- -,-21500000,-8400000,2800000,-9500000,-7700000,27200000,-10300000,6500000,34000000,-33100000,-500000,-15300000,-2242000,14743000,13431000,-15672000,-21362000,-29990000,-32408000,-11587000,-20623000,31186000,-25420000,-45616000,-21742000,-28600000,-52119000,-14031000,-23606000,-1220000,-19256000,-65574000,27966000,-20250000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,14300000,19700000,10200000,23700000,16800000,4400000,7300000,28000000,15200000,12600000,14200000,21393000,22604000,24398000,8377000,3357000,11289000,8183000,27501000,13391000,41603000,37547000,19666000,62893000,73801000,54690000,73432000,73753000,64762000,78779000,82374000,178389000,48933000
84,CAPEX,- -,- -,- -,- -,- -,- -,-7600000,-12700000,-8400000,-7200000,-9000000,-9300000,-9800000,-6900000,-5600000,-17500000,-5700000,-6126000,-8036000,-10837000,-12608000,-8643000,-6989000,-12379000,-9165000,-11742000,-13834000,-9354000,-12117000,-12735000,-11439000,-13052000,-11033000,-9954000,-10872000,-12886000,-15545000,-17901000,-21457000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3500000,-1718000,-21285000,- -,- -,-6700000,-1684000,-2373000,-1859000,-1975000,- -,-25477000,-5635000,-2478000,-73527000,-24058000,-15024000,-5363000,-500000,-893412000,-56230000,-42417000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-2400000,- -,- -,-900000,-4500000,-2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1124000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,2100000,- -,5000000,4100000,800000,1000000,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5122000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,800000,-400000,-1600000,-11600000,-5100000,13200000,-6300000,600000,4200000,700000,-700000,5582000,1727000,1871000,-11758000,2093000,5141000,608000,2113000,-6548000,-4637000,-45034000,-9884000,1636000,1501000,2108000,895000,1209000,2339000,1028000,325000,2746000,14744000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-4700000,-15500000,-5000000,-14700000,-14200000,400000,-17500000,-6300000,-1400000,-16800000,-6400000,-4044000,-8027000,-30251000,-24366000,-6550000,-8548000,-13455000,-9425000,-20149000,-6612000,-41036000,-35361000,-16734000,-12416000,-84471000,-34196000,-23769000,-13896000,-12358000,-908632000,-71385000,-49130000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25728000,-2092000,-27364000,-17632000,-12791000,-1368000,-477000,-14513000,-2853000,-26791000,-8798000,-49761000,-38787000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,100000,200000,1300000,2500000,1000000,- -,1400000,1000000,900000,1600000,600000,810000,2902000,2951000,4328000,1009000,436000,1235000,3309000,11919000,- -,- -,48143000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-2900000,-8000000,- -,- -,- -,-7600000,-3600000,-1600000,- -,- -,- -,-1961000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7276000,-5859000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-3800000,-4300000,-4800000,-5100000,-5500000,-5700000,-6000000,-5900000,-6200000,-6500000,-6800000,-6989000,-7410000,-10387000,-7916000,-8241000,-8340000,-8444000,-8654000,-9503000,-10111000,-10449000,-11586000,-12616000,-13018000,-14562000,-16513000,-17625000,-18613000,-19319000,-21830000,-27563000,-28599000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,300000,6300000,2300000,-200000,-1700000,-900000,14300000,-12300000,2700000,1500000,-1200000,-613000,-5048000,6173000,25620000,14612000,-6942000,11366000,-10558000,6938000,3022000,16878000,-40000,-293000,-397000,46091000,7369000,-133000,-33743000,-795000,874758000,2069000,53921000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,-6300000,-5800000,-1200000,-2800000,-6200000,-14200000,6100000,-18800000,-2600000,-3400000,-7400000,-8753000,-9556000,-1263000,22032000,7380000,-14846000,4157000,-15903000,9354000,-32817000,4337000,9153000,-30541000,-26206000,30161000,-16897000,-38130000,-55209000,-46905000,844130000,-75255000,-13465000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,300000,2100000,-1000000,-2800000,-1500000,1400000,- -,-1600000,-1300000,-600000,-2100000,-721000,-1024000,424000,2015000,2976000,-852000,1056000,1960000,-1899000,1985000,-133000,-2315000,20000,766000,-4141000,-6017000,-4089000,5404000,-6141000,1258000,6591000,-3057000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,-6300000,-5800000,-1200000,-2800000,-6200000,-14200000,6100000,-18800000,-2600000,-3400000,-1500000,7875000,3997000,-6692000,8058000,7163000,-12957000,-59000,4133000,697000,4159000,715000,-8857000,15638000,35945000,-3761000,16322000,7765000,1061000,13375000,19130000,38340000,-16719000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8700000,16552000,20549000,13857000,21915000,29078000,16121000,16062000,20195000,20892000,25051000,25766000,16909000,32547000,68492000,64731000,81053000,88818000,89879000,124425000,143555000,181895000,165176000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,13800000,17500000,18000000,21000000,24400000,19300000,11300000,7200000,8500000,18400000,10200000,8677000,16552000,20549000,13857000,21915000,29078000,16121000,16062000,20195000,20892000,25051000,25766000,16909000,32547000,68492000,64731000,81053000,88818000,111050000,124425000,143555000,181895000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,6700000,7000000,1800000,16500000,7800000,-4900000,-2500000,21100000,9600000,-4900000,8500000,15267000,14568000,13561000,-4231000,-5286000,4300000,-4196000,18336000,1649000,27769000,28193000,7549000,50158000,62362000,41638000,62399000,63799000,53890000,65893000,66829000,160488000,27476000
101,SEC Link,undefined,undefined,- -,- -,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/81362/000092004995000033/0000920049-95-000033-index.html,https://www.sec.gov/Archives/edgar/data/81362/000089155496000183/0000891554-96-000183-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/81362/000119312504040386/0001193125-04-040386-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000119312505049314/0001193125-05-049314-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000119312506052033/0001193125-06-052033-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000119312507050444/0001193125-07-050444-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000119312508049776/0001193125-08-049776-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000119312509045897/0001193125-09-045897-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000119312510046944/0001193125-10-046944-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000119312511053672/0001193125-11-053672-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000008136212000005/0000081362-12-000005-index.htm,- -,https://www.sec.gov/Archives/edgar/data/81362/000008136214000006/0000081362-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000008136215000004/0000081362-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000008136216000025/0000081362-16-000025-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000008136217000006/0000081362-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000008136218000003/0000081362-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000008136219000002/0000081362-19-000002-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000008136220000002/0000081362-20-000002-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000008136221000004/0000081362-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000008136222000003/0000081362-22-000003-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
